filename,local_time
KGSP20190601_091851_V06,20190601_051851
KGSP20190601_092556_V06,20190601_052556
KGSP20190601_093302_V06,20190601_053302
KGSP20190601_094006_V06,20190601_054006
KGSP20190601_094710_V06,20190601_054710
KGSP20190601_100119_V06,20190601_060119
KGSP20190601_100825_V06,20190601_060825
KGSP20190601_101530_V06,20190601_061530
KGSP20190601_102235_V06,20190601_062235
KGSP20190601_102940_V06,20190601_062940
KGSP20190601_103645_V06,20190601_063645
KGSP20190601_104351_V06,20190601_064351
KGSP20190601_105058_V06,20190601_065058
KGSP20190601_110508_V06,20190601_070508
KGSP20190601_111213_V06,20190601_071213
KGSP20190601_111917_V06,20190601_071917
KGSP20190601_112813_V06,20190601_072813
KGSP20190601_113518_V06,20190601_073518
KGSP20190601_114224_V06,20190601_074224
KGSP20190602_092126_V06,20190602_052126
KGSP20190602_092831_V06,20190602_052831
KGSP20190602_093536_V06,20190602_053536
KGSP20190602_094241_V06,20190602_054241
KGSP20190602_094946_V06,20190602_054946
KGSP20190602_100355_V06,20190602_060355
KGSP20190602_101101_V06,20190602_061101
KGSP20190602_101805_V06,20190602_061805
KGSP20190602_102510_V06,20190602_062510
KGSP20190602_103216_V06,20190602_063216
KGSP20190602_103922_V06,20190602_063922
KGSP20190602_104627_V06,20190602_064627
KGSP20190602_110037_V06,20190602_070037
KGSP20190602_110742_V06,20190602_070742
KGSP20190602_111448_V06,20190602_071448
KGSP20190602_112153_V06,20190602_072153
KGSP20190602_113056_V06,20190602_073056
KGSP20190602_113801_V06,20190602_073801
KGSP20190602_114506_V06,20190602_074506
KGSP20190603_092301_V06,20190603_052301
KGSP20190603_093006_V06,20190603_053006
KGSP20190603_093711_V06,20190603_053711
KGSP20190603_094415_V06,20190603_054415
KGSP20190603_095120_V06,20190603_055120
KGSP20190603_100530_V06,20190603_060530
KGSP20190603_101234_V06,20190603_061234
KGSP20190603_101940_V06,20190603_061940
KGSP20190603_102646_V06,20190603_062646
KGSP20190603_103353_V06,20190603_063353
KGSP20190603_104058_V06,20190603_064058
KGSP20190603_104804_V06,20190603_064804
KGSP20190603_110215_V06,20190603_070215
KGSP20190603_110920_V06,20190603_070920
KGSP20190603_111624_V06,20190603_071624
KGSP20190603_112329_V06,20190603_072329
KGSP20190603_113034_V06,20190603_073034
KGSP20190603_113934_V06,20190603_073934
KGSP20190604_092211_V06,20190604_052211
KGSP20190604_092916_V06,20190604_052916
KGSP20190604_093615_V06,20190604_053615
KGSP20190604_094313_V06,20190604_054313
KGSP20190604_095011_V06,20190604_055011
KGSP20190604_100415_V06,20190604_060415
KGSP20190604_101121_V06,20190604_061121
KGSP20190604_101826_V06,20190604_061826
KGSP20190604_102525_V06,20190604_062525
KGSP20190604_103225_V06,20190604_063225
KGSP20190604_103929_V06,20190604_063929
KGSP20190604_104635_V06,20190604_064635
KGSP20190604_110239_V06,20190604_070239
KGSP20190604_110942_V06,20190604_070942
KGSP20190604_111641_V06,20190604_071641
KGSP20190604_112346_V06,20190604_072346
KGSP20190604_113050_V06,20190604_073050
KGSP20190604_113755_V06,20190604_073755
KGSP20190604_114459_V06,20190604_074459
KGSP20190605_092157_V06,20190605_052157
