filename,local_time
KGWX20150601_094631_V06,20150601_044631
KGWX20150601_095042_V06,20150601_045042
KGWX20150601_095453_V06,20150601_045453
KGWX20150601_095904_V06,20150601_045904
KGWX20150601_100315_V06,20150601_050315
KGWX20150601_100727_V06,20150601_050727
KGWX20150601_101139_V06,20150601_051139
KGWX20150601_101543_V06,20150601_051543
KGWX20150601_101936_V06,20150601_051936
KGWX20150601_102330_V06,20150601_052330
KGWX20150601_102724_V06,20150601_052724
KGWX20150601_103117_V06,20150601_053117
KGWX20150601_103511_V06,20150601_053511
KGWX20150601_103908_V06,20150601_053908
KGWX20150601_104304_V06,20150601_054304
KGWX20150601_104658_V06,20150601_054658
KGWX20150601_105053_V06,20150601_055053
KGWX20150601_105450_V06,20150601_055450
KGWX20150601_105845_V06,20150601_055845
KGWX20150601_110240_V06,20150601_060240
KGWX20150601_110636_V06,20150601_060636
KGWX20150601_111033_V06,20150601_061033
KGWX20150601_111428_V06,20150601_061428
KGWX20150601_111822_V06,20150601_061822
KGWX20150601_112216_V06,20150601_062216
KGWX20150601_112611_V06,20150601_062611
KGWX20150601_113005_V06,20150601_063005
KGWX20150601_113359_V06,20150601_063359
KGWX20150601_113752_V06,20150601_063752
KGWX20150601_114147_V06,20150601_064147
KGWX20150601_114540_V06,20150601_064540
KGWX20150601_114940_V06,20150601_064940
KGWX20150601_115340_V06,20150601_065340
KGWX20150601_115740_V06,20150601_065740
KGWX20150601_120138_V06,20150601_070138
KGWX20150601_120536_V06,20150601_070536
KGWX20150601_120930_V06,20150601_070930
KGWX20150602_094631_V06,20150602_044631
KGWX20150602_095043_V06,20150602_045043
KGWX20150602_095454_V06,20150602_045454
KGWX20150602_095904_V06,20150602_045904
KGWX20150602_100314_V06,20150602_050314
KGWX20150602_100726_V06,20150602_050726
KGWX20150602_101137_V06,20150602_051137
KGWX20150602_101548_V06,20150602_051548
KGWX20150602_101959_V06,20150602_051959
KGWX20150602_102410_V06,20150602_052410
KGWX20150602_102821_V06,20150602_052821
KGWX20150602_103233_V06,20150602_053233
KGWX20150602_103647_V06,20150602_053647
KGWX20150602_104101_V06,20150602_054101
KGWX20150602_104513_V06,20150602_054513
KGWX20150602_104926_V06,20150602_054926
KGWX20150602_105340_V06,20150602_055340
KGWX20150602_105753_V06,20150602_055753
KGWX20150602_110205_V06,20150602_060205
KGWX20150602_110610_V06,20150602_060610
KGWX20150602_111015_V06,20150602_061015
KGWX20150602_111427_V06,20150602_061427
KGWX20150602_111833_V06,20150602_061833
KGWX20150602_112241_V06,20150602_062241
KGWX20150602_112640_V06,20150602_062640
KGWX20150602_113047_V06,20150602_063047
KGWX20150602_113447_V06,20150602_063447
KGWX20150602_113840_V06,20150602_063840
KGWX20150602_114239_V06,20150602_064239
KGWX20150602_114644_V06,20150602_064644
KGWX20150602_115049_V06,20150602_065049
KGWX20150602_115449_V06,20150602_065449
KGWX20150602_115903_V06,20150602_065903
KGWX20150602_120309_V06,20150602_070309
KGWX20150602_120723_V06,20150602_070723
KGWX20150602_121135_V06,20150602_071135
KGWX20150603_094859_V06,20150603_044859
KGWX20150603_095816_V06,20150603_045816
KGWX20150603_100732_V06,20150603_050732
KGWX20150603_101651_V06,20150603_051651
KGWX20150603_102611_V06,20150603_052611
KGWX20150603_103531_V06,20150603_053531
KGWX20150603_104451_V06,20150603_054451
KGWX20150603_105411_V06,20150603_055411
KGWX20150603_110331_V06,20150603_060331
KGWX20150603_111247_V06,20150603_061247
KGWX20150603_112204_V06,20150603_062204
KGWX20150603_113121_V06,20150603_063121
KGWX20150603_114039_V06,20150603_064039
KGWX20150603_114955_V06,20150603_064955
KGWX20150603_115913_V06,20150603_065913
KGWX20150603_120833_V06,20150603_070833
KGWX20150604_094835_V06,20150604_044835
KGWX20150604_095749_V06,20150604_045749
KGWX20150604_100703_V06,20150604_050703
KGWX20150604_101617_V06,20150604_051617
KGWX20150604_102533_V06,20150604_052533
KGWX20150604_103448_V06,20150604_053448
KGWX20150604_104403_V06,20150604_054403
KGWX20150604_105316_V06,20150604_055316
KGWX20150604_110231_V06,20150604_060231
KGWX20150604_111142_V06,20150604_061142
