filename,local_time
KGYX20170601_080149_V06,20170601_040149
KGYX20170601_080645_V06,20170601_040645
KGYX20170601_081142_V06,20170601_041142
KGYX20170601_081639_V06,20170601_041639
KGYX20170601_082137_V06,20170601_042137
KGYX20170601_082633_V06,20170601_042633
KGYX20170601_083129_V06,20170601_043129
KGYX20170601_083625_V06,20170601_043625
KGYX20170601_084122_V06,20170601_044122
KGYX20170601_084619_V06,20170601_044619
KGYX20170601_085116_V06,20170601_045116
KGYX20170601_085612_V06,20170601_045612
KGYX20170601_090556_V06,20170601_050556
KGYX20170601_091541_V06,20170601_051541
KGYX20170601_092526_V06,20170601_052526
KGYX20170601_093511_V06,20170601_053511
KGYX20170601_094458_V06,20170601_054458
KGYX20170601_095443_V06,20170601_055443
KGYX20170601_100428_V06,20170601_060428
KGYX20170601_101412_V06,20170601_061412
KGYX20170601_102357_V06,20170601_062357
KGYX20170602_080110_V06,20170602_040110
KGYX20170602_080607_V06,20170602_040607
KGYX20170602_081104_V06,20170602_041104
KGYX20170602_081601_V06,20170602_041601
KGYX20170602_082057_V06,20170602_042057
KGYX20170602_082554_V06,20170602_042554
KGYX20170602_083050_V06,20170602_043050
KGYX20170602_083547_V06,20170602_043547
KGYX20170602_084043_V06,20170602_044043
KGYX20170602_084541_V06,20170602_044541
KGYX20170602_085038_V06,20170602_045038
KGYX20170602_085534_V06,20170602_045534
KGYX20170602_090032_V06,20170602_050032
KGYX20170602_090529_V06,20170602_050529
KGYX20170602_091026_V06,20170602_051026
KGYX20170602_091523_V06,20170602_051523
KGYX20170602_092021_V06,20170602_052021
KGYX20170602_092519_V06,20170602_052519
KGYX20170602_093502_V06,20170602_053502
KGYX20170602_094447_V06,20170602_054447
KGYX20170602_095431_V06,20170602_055431
KGYX20170602_100416_V06,20170602_060416
KGYX20170602_101400_V06,20170602_061400
KGYX20170602_102346_V06,20170602_062346
KGYX20170603_080135_V06,20170603_040135
KGYX20170603_081120_V06,20170603_041120
KGYX20170603_082105_V06,20170603_042105
KGYX20170603_083049_V06,20170603_043049
KGYX20170603_084034_V06,20170603_044034
KGYX20170603_085019_V06,20170603_045019
KGYX20170603_090004_V06,20170603_050004
KGYX20170603_090949_V06,20170603_050949
KGYX20170603_091934_V06,20170603_051934
KGYX20170603_092920_V06,20170603_052920
KGYX20170603_093905_V06,20170603_053905
KGYX20170603_094851_V06,20170603_054851
KGYX20170603_095837_V06,20170603_055837
KGYX20170603_100824_V06,20170603_060824
KGYX20170603_101809_V06,20170603_061809
KGYX20170603_102307_V06,20170603_062307
KGYX20170603_102804_V06,20170603_062804
KGYX20170604_080931_V06,20170604_040931
KGYX20170604_081917_V06,20170604_041917
KGYX20170604_082903_V06,20170604_042903
KGYX20170604_083849_V06,20170604_043849
KGYX20170604_084834_V06,20170604_044834
KGYX20170604_085820_V06,20170604_045820
KGYX20170604_090806_V06,20170604_050806
KGYX20170604_091751_V06,20170604_051751
KGYX20170604_092737_V06,20170604_052737
KGYX20170604_093723_V06,20170604_053723
KGYX20170604_094708_V06,20170604_054708
KGYX20170604_095654_V06,20170604_055654
KGYX20170604_100640_V06,20170604_060640
KGYX20170604_101625_V06,20170604_061625
KGYX20170604_102610_V06,20170604_062610
KGYX20170605_080419_V06,20170605_040419
KGYX20170605_081015_V06,20170605_041015
KGYX20170605_081608_V06,20170605_041608
KGYX20170605_082201_V06,20170605_042201
KGYX20170605_082754_V06,20170605_042754
KGYX20170605_083347_V06,20170605_043347
KGYX20170605_083936_V06,20170605_043936
KGYX20170605_084530_V06,20170605_044530
KGYX20170605_085120_V06,20170605_045120
KGYX20170605_085715_V06,20170605_045715
KGYX20170605_090308_V06,20170605_050308
KGYX20170605_090902_V06,20170605_050902
KGYX20170605_091453_V06,20170605_051453
KGYX20170605_092046_V06,20170605_052046
KGYX20170605_092638_V06,20170605_052638
KGYX20170605_093230_V06,20170605_053230
KGYX20170605_093822_V06,20170605_053822
KGYX20170605_094413_V06,20170605_054413
KGYX20170605_095007_V06,20170605_055007
KGYX20170605_095600_V06,20170605_055600
KGYX20170605_100155_V06,20170605_060155
KGYX20170605_100745_V06,20170605_060745
KGYX20170605_101338_V06,20170605_061338
KGYX20170605_101931_V06,20170605_061931
KGYX20170605_102522_V06,20170605_062522
KGYX20170606_080219_V06,20170606_040219
KGYX20170606_080743_V06,20170606_040743
KGYX20170606_081334_V06,20170606_041334
KGYX20170606_081926_V06,20170606_041926
KGYX20170606_082517_V06,20170606_042517
KGYX20170606_083108_V06,20170606_043108
KGYX20170606_083658_V06,20170606_043658
KGYX20170606_084249_V06,20170606_044249
KGYX20170606_084841_V06,20170606_044841
KGYX20170606_085431_V06,20170606_045431
KGYX20170606_090023_V06,20170606_050023
KGYX20170606_090613_V06,20170606_050613
KGYX20170606_091205_V06,20170606_051205
KGYX20170606_091756_V06,20170606_051756
KGYX20170606_092346_V06,20170606_052346
KGYX20170606_092937_V06,20170606_052937
KGYX20170606_093528_V06,20170606_053528
KGYX20170606_094118_V06,20170606_054118
KGYX20170606_094709_V06,20170606_054709
KGYX20170606_095300_V06,20170606_055300
KGYX20170606_095851_V06,20170606_055851
KGYX20170606_100442_V06,20170606_060442
KGYX20170606_101032_V06,20170606_061032
KGYX20170606_101624_V06,20170606_061624
KGYX20170606_102215_V06,20170606_062215
KGYX20170606_102805_V06,20170606_062805
KGYX20170607_075929_V06,20170607_035929
KGYX20170607_080521_V06,20170607_040521
KGYX20170607_081112_V06,20170607_041112
KGYX20170607_081701_V06,20170607_041701
KGYX20170607_082227_V06,20170607_042227
KGYX20170607_082751_V06,20170607_042751
KGYX20170607_083314_V06,20170607_043314
KGYX20170607_083838_V06,20170607_043838
KGYX20170607_084402_V06,20170607_044402
KGYX20170607_084927_V06,20170607_044927
KGYX20170607_085452_V06,20170607_045452
KGYX20170607_085950_V06,20170607_045950
KGYX20170607_090446_V06,20170607_050446
KGYX20170607_090943_V06,20170607_050943
KGYX20170607_091441_V06,20170607_051441
KGYX20170607_091938_V06,20170607_051938
KGYX20170607_092437_V06,20170607_052437
KGYX20170607_092935_V06,20170607_052935
KGYX20170607_093431_V06,20170607_053431
KGYX20170607_093929_V06,20170607_053929
KGYX20170607_094427_V06,20170607_054427
KGYX20170607_094924_V06,20170607_054924
KGYX20170607_095423_V06,20170607_055423
KGYX20170607_095920_V06,20170607_055920
KGYX20170607_100417_V06,20170607_060417
KGYX20170607_100915_V06,20170607_060915
KGYX20170607_101412_V06,20170607_061412
KGYX20170607_101909_V06,20170607_061909
KGYX20170607_102406_V06,20170607_062406
KGYX20170607_102903_V06,20170607_062903
KGYX20170608_075927_V06,20170608_035927
KGYX20170608_080913_V06,20170608_040913
KGYX20170608_081900_V06,20170608_041900
KGYX20170608_082847_V06,20170608_042847
KGYX20170608_083834_V06,20170608_043834
KGYX20170608_084821_V06,20170608_044821
KGYX20170608_085807_V06,20170608_045807
KGYX20170608_090754_V06,20170608_050754
KGYX20170608_091741_V06,20170608_051741
KGYX20170608_092728_V06,20170608_052728
KGYX20170608_093715_V06,20170608_053715
KGYX20170608_094701_V06,20170608_054701
KGYX20170608_095648_V06,20170608_055648
KGYX20170608_100635_V06,20170608_060635
KGYX20170608_101622_V06,20170608_061622
KGYX20170608_102609_V06,20170608_062609
KGYX20170609_080230_V06,20170609_040230
KGYX20170609_080753_V06,20170609_040753
KGYX20170609_081317_V06,20170609_041317
KGYX20170609_081907_V06,20170609_041907
KGYX20170609_082432_V06,20170609_042432
KGYX20170609_083021_V06,20170609_043021
KGYX20170609_083611_V06,20170609_043611
KGYX20170609_084201_V06,20170609_044201
KGYX20170609_084751_V06,20170609_044751
KGYX20170609_085341_V06,20170609_045341
KGYX20170609_085932_V06,20170609_045932
KGYX20170609_090524_V06,20170609_050524
KGYX20170609_091113_V06,20170609_051113
KGYX20170609_091703_V06,20170609_051703
KGYX20170609_092253_V06,20170609_052253
KGYX20170609_092844_V06,20170609_052844
KGYX20170609_093435_V06,20170609_053435
KGYX20170609_094025_V06,20170609_054025
KGYX20170609_094617_V06,20170609_054617
KGYX20170609_095206_V06,20170609_055206
KGYX20170609_095757_V06,20170609_055757
KGYX20170609_100348_V06,20170609_060348
KGYX20170609_100939_V06,20170609_060939
KGYX20170609_101531_V06,20170609_061531
KGYX20170609_102123_V06,20170609_062123
KGYX20170609_102715_V06,20170609_062715
KGYX20170610_080345_V06,20170610_040345
KGYX20170610_081327_V06,20170610_041327
KGYX20170610_082310_V06,20170610_042310
KGYX20170610_083254_V06,20170610_043254
KGYX20170610_084238_V06,20170610_044238
KGYX20170610_085222_V06,20170610_045222
KGYX20170610_090206_V06,20170610_050206
KGYX20170610_091150_V06,20170610_051150
KGYX20170610_092133_V06,20170610_052133
KGYX20170610_093118_V06,20170610_053118
KGYX20170610_094101_V06,20170610_054101
KGYX20170610_095047_V06,20170610_055047
KGYX20170610_100031_V06,20170610_060031
KGYX20170610_101016_V06,20170610_061016
KGYX20170610_102002_V06,20170610_062002
KGYX20170611_075828_V06,20170611_035828
KGYX20170611_080814_V06,20170611_040814
KGYX20170611_081800_V06,20170611_041800
KGYX20170611_082746_V06,20170611_042746
KGYX20170611_083730_V06,20170611_043730
KGYX20170611_084229_V06,20170611_044229
KGYX20170611_084725_V06,20170611_044725
KGYX20170611_085222_V06,20170611_045222
KGYX20170611_085720_V06,20170611_045720
KGYX20170611_090217_V06,20170611_050217
KGYX20170611_090713_V06,20170611_050713
KGYX20170611_091211_V06,20170611_051211
KGYX20170611_091708_V06,20170611_051708
KGYX20170611_092206_V06,20170611_052206
KGYX20170611_092702_V06,20170611_052702
KGYX20170611_093200_V06,20170611_053200
KGYX20170611_093656_V06,20170611_053656
KGYX20170611_094152_V06,20170611_054152
KGYX20170611_094649_V06,20170611_054649
KGYX20170611_095145_V06,20170611_055145
KGYX20170611_095643_V06,20170611_055643
KGYX20170611_100140_V06,20170611_060140
KGYX20170611_100636_V06,20170611_060636
KGYX20170611_101133_V06,20170611_061133
KGYX20170611_101629_V06,20170611_061629
