filename,local_time
KHDX20200601_110434_V06,20200601_050434
KHDX20200601_111408_V06,20200601_051408
KHDX20200601_112342_V06,20200601_052342
KHDX20200601_113316_V06,20200601_053316
KHDX20200601_114250_V06,20200601_054250
KHDX20200601_121331_V06,20200601_061331
KHDX20200601_122305_V06,20200601_062305
KHDX20200601_123239_V06,20200601_063239
KHDX20200601_124214_V06,20200601_064214
KHDX20200601_130122_V06,20200601_070122
KHDX20200601_131056_V06,20200601_071056
KHDX20200601_132029_V06,20200601_072029
KHDX20200602_110425_V06,20200602_050425
KHDX20200602_111359_V06,20200602_051359
KHDX20200602_112333_V06,20200602_052333
KHDX20200602_113307_V06,20200602_053307
KHDX20200602_114241_V06,20200602_054241
KHDX20200602_120149_V06,20200602_060149
KHDX20200602_121319_V06,20200602_061319
KHDX20200602_122253_V06,20200602_062253
KHDX20200602_123227_V06,20200602_063227
KHDX20200602_124201_V06,20200602_064201
KHDX20200602_130109_V06,20200602_070109
KHDX20200602_131044_V06,20200602_071044
KHDX20200602_132018_V06,20200602_072018
KHDX20200603_110321_V06,20200603_050321
KHDX20200603_111255_V06,20200603_051255
KHDX20200603_112229_V06,20200603_052229
KHDX20200603_113204_V06,20200603_053204
KHDX20200603_114137_V06,20200603_054137
KHDX20200603_120044_V06,20200603_060044
KHDX20200603_121018_V06,20200603_061018
KHDX20200603_122152_V06,20200603_062152
KHDX20200603_123126_V06,20200603_063126
KHDX20200603_124059_V06,20200603_064059
KHDX20200603_125033_V06,20200603_065033
KHDX20200603_130940_V06,20200603_070940
KHDX20200603_131914_V06,20200603_071914
KHDX20200604_110338_V06,20200604_050338
KHDX20200604_111312_V06,20200604_051312
KHDX20200604_112245_V06,20200604_052245
KHDX20200604_113219_V06,20200604_053219
KHDX20200604_114152_V06,20200604_054152
KHDX20200604_120100_V06,20200604_060100
KHDX20200604_121033_V06,20200604_061033
KHDX20200604_122007_V06,20200604_062007
KHDX20200604_122941_V06,20200604_062941
KHDX20200604_123915_V06,20200604_063915
KHDX20200604_124849_V06,20200604_064849
KHDX20200604_130757_V06,20200604_070757
KHDX20200604_131731_V06,20200604_071731
KHDX20200605_110023_V06,20200605_050023
KHDX20200605_110958_V06,20200605_050958
KHDX20200605_111931_V06,20200605_051931
KHDX20200605_112905_V06,20200605_052905
KHDX20200605_113839_V06,20200605_053839
KHDX20200605_114813_V06,20200605_054813
KHDX20200605_120721_V06,20200605_060721
KHDX20200605_121655_V06,20200605_061655
KHDX20200605_122628_V06,20200605_062628
KHDX20200605_123602_V06,20200605_063602
KHDX20200605_124536_V06,20200605_064536
KHDX20200605_130445_V06,20200605_070445
KHDX20200605_131418_V06,20200605_071418
KHDX20200605_132353_V06,20200605_072353
KHDX20200606_110035_V06,20200606_050035
KHDX20200606_110739_V06,20200606_050739
KHDX20200606_111416_V06,20200606_051416
KHDX20200606_112053_V06,20200606_052053
KHDX20200606_112731_V06,20200606_052731
KHDX20200606_113408_V06,20200606_053408
KHDX20200606_114045_V06,20200606_054045
KHDX20200606_114722_V06,20200606_054722
KHDX20200606_120037_V06,20200606_060037
KHDX20200606_120714_V06,20200606_060714
KHDX20200606_121351_V06,20200606_061351
KHDX20200606_122028_V06,20200606_062028
KHDX20200606_122711_V06,20200606_062711
KHDX20200606_123349_V06,20200606_063349
KHDX20200606_124027_V06,20200606_064027
KHDX20200606_124634_V06,20200606_064634
KHDX20200606_125242_V06,20200606_065242
KHDX20200606_130428_V06,20200606_070428
KHDX20200606_131049_V06,20200606_071049
KHDX20200606_131628_V06,20200606_071628
KHDX20200606_132219_V06,20200606_072219
KHDX20200607_110350_V06,20200607_050350
KHDX20200607_111325_V06,20200607_051325
KHDX20200607_112300_V06,20200607_052300
KHDX20200607_113235_V06,20200607_053235
KHDX20200607_114209_V06,20200607_054209
KHDX20200607_120118_V06,20200607_060118
KHDX20200607_121053_V06,20200607_061053
KHDX20200607_122028_V06,20200607_062028
KHDX20200607_123002_V06,20200607_063002
KHDX20200607_123937_V06,20200607_063937
KHDX20200607_124911_V06,20200607_064911
KHDX20200607_130820_V06,20200607_070820
KHDX20200607_131755_V06,20200607_071755
KHDX20200608_110536_V06,20200608_050536
KHDX20200608_111510_V06,20200608_051510
KHDX20200608_112444_V06,20200608_052444
KHDX20200608_113418_V06,20200608_053418
KHDX20200608_114352_V06,20200608_054352
KHDX20200608_120300_V06,20200608_060300
KHDX20200608_121234_V06,20200608_061234
KHDX20200608_122209_V06,20200608_062209
KHDX20200608_123144_V06,20200608_063144
KHDX20200608_124118_V06,20200608_064118
KHDX20200608_130027_V06,20200608_070027
KHDX20200608_131002_V06,20200608_071002
KHDX20200608_131936_V06,20200608_071936
KHDX20200609_110647_V06,20200609_050647
KHDX20200609_111622_V06,20200609_051622
KHDX20200609_112557_V06,20200609_052557
KHDX20200609_113531_V06,20200609_053531
KHDX20200609_114506_V06,20200609_054506
KHDX20200609_120415_V06,20200609_060415
KHDX20200609_121350_V06,20200609_061350
KHDX20200609_122323_V06,20200609_062323
KHDX20200609_123258_V06,20200609_063258
KHDX20200609_124232_V06,20200609_064232
KHDX20200609_130140_V06,20200609_070140
KHDX20200609_131115_V06,20200609_071115
KHDX20200609_132050_V06,20200609_072050
KHDX20200610_110843_V06,20200610_050843
KHDX20200610_111818_V06,20200610_051818
KHDX20200610_112752_V06,20200610_052752
KHDX20200610_113727_V06,20200610_053727
KHDX20200610_114701_V06,20200610_054701
KHDX20200610_120611_V06,20200610_060611
KHDX20200610_121545_V06,20200610_061545
KHDX20200610_122520_V06,20200610_062520
KHDX20200610_123454_V06,20200610_063454
KHDX20200610_124429_V06,20200610_064429
KHDX20200610_130338_V06,20200610_070338
KHDX20200610_131313_V06,20200610_071313
KHDX20200610_132248_V06,20200610_072248
KHDX20200611_110033_V06,20200611_050033
KHDX20200611_111007_V06,20200611_051007
KHDX20200611_111942_V06,20200611_051942
KHDX20200611_112916_V06,20200611_052916
KHDX20200611_113850_V06,20200611_053850
KHDX20200611_114823_V06,20200611_054823
KHDX20200611_120733_V06,20200611_060733
KHDX20200611_121706_V06,20200611_061706
KHDX20200611_122640_V06,20200611_062640
KHDX20200611_123614_V06,20200611_063614
KHDX20200611_124548_V06,20200611_064548
KHDX20200611_130458_V06,20200611_070458
KHDX20200611_131433_V06,20200611_071433
KHDX20200611_132406_V06,20200611_072406
KHDX20200612_110449_V06,20200612_050449
KHDX20200612_110953_V06,20200612_050953
KHDX20200612_111456_V06,20200612_051456
KHDX20200612_111959_V06,20200612_051959
KHDX20200612_112503_V06,20200612_052503
KHDX20200612_113015_V06,20200612_053015
KHDX20200612_113527_V06,20200612_053527
KHDX20200612_114050_V06,20200612_054050
KHDX20200612_114615_V06,20200612_054615
KHDX20200612_120521_V06,20200612_060521
KHDX20200612_121455_V06,20200612_061455
KHDX20200612_122428_V06,20200612_062428
KHDX20200612_123403_V06,20200612_063403
KHDX20200612_124338_V06,20200612_064338
KHDX20200612_130246_V06,20200612_070246
KHDX20200612_131219_V06,20200612_071219
KHDX20200612_132153_V06,20200612_072153
KHDX20200613_110106_V06,20200613_050106
KHDX20200613_111041_V06,20200613_051041
KHDX20200613_112014_V06,20200613_052014
KHDX20200613_112949_V06,20200613_052949
KHDX20200613_113923_V06,20200613_053923
KHDX20200613_114858_V06,20200613_054858
KHDX20200613_120806_V06,20200613_060806
KHDX20200613_121741_V06,20200613_061741
KHDX20200613_122715_V06,20200613_062715
KHDX20200613_123650_V06,20200613_063650
KHDX20200613_124624_V06,20200613_064624
KHDX20200613_130534_V06,20200613_070534
KHDX20200613_131508_V06,20200613_071508
KHDX20200613_132443_V06,20200613_072443
KHDX20200614_110341_V06,20200614_050341
KHDX20200614_111315_V06,20200614_051315
KHDX20200614_112250_V06,20200614_052250
KHDX20200614_113225_V06,20200614_053225
KHDX20200614_114159_V06,20200614_054159
KHDX20200614_120108_V06,20200614_060108
KHDX20200614_121043_V06,20200614_061043
KHDX20200614_122017_V06,20200614_062017
KHDX20200614_122952_V06,20200614_062952
KHDX20200614_123927_V06,20200614_063927
KHDX20200614_124901_V06,20200614_064901
