filename,local_time
KHGX20210601_102458_V06,20210601_052458
KHGX20210601_102934_V06,20210601_052934
KHGX20210601_103409_V06,20210601_053409
KHGX20210601_103846_V06,20210601_053846
KHGX20210601_104330_V06,20210601_054330
KHGX20210601_104800_V06,20210601_054800
KHGX20210601_105230_V06,20210601_055230
KHGX20210601_110221_V06,20210601_060221
KHGX20210601_110725_V06,20210601_060725
KHGX20210601_111225_V06,20210601_061225
KHGX20210601_111740_V06,20210601_061740
KHGX20210601_112255_V06,20210601_062255
KHGX20210601_112823_V06,20210601_062823
KHGX20210601_113339_V06,20210601_063339
KHGX20210601_113846_V06,20210601_063846
KHGX20210601_114352_V06,20210601_064352
KHGX20210601_114904_V06,20210601_064904
KHGX20210601_120018_V06,20210601_070018
KHGX20210601_120604_V06,20210601_070604
KHGX20210601_121149_V06,20210601_071149
KHGX20210601_121734_V06,20210601_071734
KHGX20210601_122308_V06,20210601_072308
KHGX20210601_122844_V06,20210601_072844
KHGX20210601_123420_V06,20210601_073420
KHGX20210601_123957_V06,20210601_073957
KHGX20210601_124532_V06,20210601_074532
KHGX20210602_102114_V06,20210602_052114
KHGX20210602_102545_V06,20210602_052545
KHGX20210602_103017_V06,20210602_053017
KHGX20210602_103448_V06,20210602_053448
KHGX20210602_103920_V06,20210602_053920
KHGX20210602_104352_V06,20210602_054352
KHGX20210602_104823_V06,20210602_054823
KHGX20210602_105255_V06,20210602_055255
KHGX20210602_110157_V06,20210602_060157
KHGX20210602_110628_V06,20210602_060628
KHGX20210602_111059_V06,20210602_061059
KHGX20210602_111531_V06,20210602_061531
KHGX20210602_112001_V06,20210602_062001
KHGX20210602_112434_V06,20210602_062434
KHGX20210602_112905_V06,20210602_062905
KHGX20210602_113337_V06,20210602_063337
KHGX20210602_113809_V06,20210602_063809
KHGX20210602_114240_V06,20210602_064240
KHGX20210602_114713_V06,20210602_064713
KHGX20210602_120651_V06,20210602_070651
KHGX20210602_121640_V06,20210602_071640
KHGX20210603_102254_V06,20210603_052254
KHGX20210603_102800_V06,20210603_052800
KHGX20210603_103309_V06,20210603_053309
KHGX20210603_103713_V06,20210603_053713
KHGX20210603_104135_V06,20210603_054135
KHGX20210603_104545_V06,20210603_054545
KHGX20210603_104947_V06,20210603_054947
KHGX20210603_105350_V06,20210603_055350
KHGX20210603_110208_V06,20210603_060208
KHGX20210603_110616_V06,20210603_060616
KHGX20210603_111032_V06,20210603_061032
KHGX20210603_111447_V06,20210603_061447
KHGX20210603_111901_V06,20210603_061901
