filename,local_time
KHPX20170601_093517_V06,20170601_043517
KHPX20170601_094120_V06,20170601_044120
KHPX20170601_094721_V06,20170601_044721
KHPX20170601_095322_V06,20170601_045322
KHPX20170601_095924_V06,20170601_045924
KHPX20170601_100525_V06,20170601_050525
KHPX20170601_101127_V06,20170601_051127
KHPX20170601_101728_V06,20170601_051728
KHPX20170601_102330_V06,20170601_052330
KHPX20170601_102932_V06,20170601_052932
KHPX20170601_103533_V06,20170601_053533
KHPX20170601_104134_V06,20170601_054134
KHPX20170601_104736_V06,20170601_054736
KHPX20170601_105337_V06,20170601_055337
KHPX20170601_105939_V06,20170601_055939
KHPX20170601_110540_V06,20170601_060540
KHPX20170601_111142_V06,20170601_061142
KHPX20170601_111743_V06,20170601_061743
KHPX20170601_112344_V06,20170601_062344
KHPX20170601_112918_V06,20170601_062918
KHPX20170601_113453_V06,20170601_063453
KHPX20170601_114027_V06,20170601_064027
KHPX20170601_114600_V06,20170601_064600
KHPX20170601_115106_V06,20170601_065106
KHPX20170601_115613_V06,20170601_065613
KHPX20170601_120118_V06,20170601_070118
KHPX20170602_093818_V06,20170602_043818
KHPX20170602_094822_V06,20170602_044822
KHPX20170602_095828_V06,20170602_045828
KHPX20170602_100834_V06,20170602_050834
KHPX20170602_101840_V06,20170602_051840
KHPX20170602_102848_V06,20170602_052848
KHPX20170602_103854_V06,20170602_053854
KHPX20170602_104859_V06,20170602_054859
KHPX20170602_105905_V06,20170602_055905
KHPX20170602_110910_V06,20170602_060910
KHPX20170602_111915_V06,20170602_061915
KHPX20170602_112922_V06,20170602_062922
KHPX20170602_113927_V06,20170602_063927
KHPX20170602_114933_V06,20170602_064933
KHPX20170602_115939_V06,20170602_065939
KHPX20170603_093148_V06,20170603_043148
KHPX20170603_094153_V06,20170603_044153
KHPX20170603_095158_V06,20170603_045158
KHPX20170603_100203_V06,20170603_050203
KHPX20170603_101208_V06,20170603_051208
KHPX20170603_102214_V06,20170603_052214
KHPX20170603_103219_V06,20170603_053219
KHPX20170603_104224_V06,20170603_054224
KHPX20170603_105229_V06,20170603_055229
KHPX20170603_110235_V06,20170603_060235
KHPX20170603_111240_V06,20170603_061240
KHPX20170603_112244_V06,20170603_062244
KHPX20170603_113249_V06,20170603_063249
KHPX20170603_114253_V06,20170603_064253
KHPX20170603_115300_V06,20170603_065300
KHPX20170604_093550_V06,20170604_043550
KHPX20170604_094555_V06,20170604_044555
KHPX20170604_095600_V06,20170604_045600
KHPX20170604_100204_V06,20170604_050204
KHPX20170604_100806_V06,20170604_050806
KHPX20170604_101407_V06,20170604_051407
KHPX20170604_102008_V06,20170604_052008
KHPX20170604_102610_V06,20170604_052610
KHPX20170604_103212_V06,20170604_053212
KHPX20170604_103814_V06,20170604_053814
KHPX20170604_104415_V06,20170604_054415
KHPX20170604_105016_V06,20170604_055016
KHPX20170604_105618_V06,20170604_055618
KHPX20170604_110219_V06,20170604_060219
KHPX20170604_110820_V06,20170604_060820
KHPX20170604_111422_V06,20170604_061422
KHPX20170604_112023_V06,20170604_062023
KHPX20170604_112624_V06,20170604_062624
KHPX20170604_113225_V06,20170604_063225
KHPX20170604_113826_V06,20170604_063826
KHPX20170604_114428_V06,20170604_064428
KHPX20170604_115029_V06,20170604_065029
KHPX20170604_115630_V06,20170604_065630
KHPX20170605_093430_V06,20170605_043430
KHPX20170605_094031_V06,20170605_044031
KHPX20170605_094633_V06,20170605_044633
KHPX20170605_095234_V06,20170605_045234
KHPX20170605_095835_V06,20170605_045835
KHPX20170605_100437_V06,20170605_050437
KHPX20170605_101038_V06,20170605_051038
KHPX20170605_101640_V06,20170605_051640
KHPX20170605_102241_V06,20170605_052241
KHPX20170605_102842_V06,20170605_052842
KHPX20170605_103444_V06,20170605_053444
