filename,local_time
KICT20130601_101219_V06,20130601_051219
KICT20130601_101808_V06,20130601_051808
KICT20130601_102141_V06,20130601_052141
KICT20130601_102514_V06,20130601_052514
KICT20130601_102847_V06,20130601_052847
KICT20130601_103220_V06,20130601_053220
KICT20130601_103553_V06,20130601_053553
KICT20130601_103926_V06,20130601_053926
KICT20130601_104259_V06,20130601_054259
KICT20130601_104633_V06,20130601_054633
KICT20130601_105006_V06,20130601_055006
KICT20130601_105339_V06,20130601_055339
KICT20130601_105713_V06,20130601_055713
KICT20130601_110642_V06,20130601_060642
KICT20130601_111610_V06,20130601_061610
KICT20130601_112539_V06,20130601_062539
KICT20130601_113507_V06,20130601_063507
KICT20130601_114437_V06,20130601_064437
KICT20130601_115407_V06,20130601_065407
KICT20130601_120337_V06,20130601_070337
KICT20130601_121306_V06,20130601_071306
KICT20130601_122236_V06,20130601_072236
KICT20130601_123206_V06,20130601_073206
KICT20130602_101026_V06,20130602_051026
KICT20130602_101956_V06,20130602_051956
KICT20130602_102927_V06,20130602_052927
KICT20130602_104114_V06,20130602_054114
KICT20130602_105046_V06,20130602_055046
KICT20130602_110018_V06,20130602_060018
KICT20130602_110950_V06,20130602_060950
KICT20130602_111921_V06,20130602_061921
KICT20130602_112853_V06,20130602_062853
KICT20130602_113824_V06,20130602_063824
KICT20130602_114755_V06,20130602_064755
KICT20130602_115727_V06,20130602_065727
KICT20130602_120658_V06,20130602_070658
KICT20130602_121630_V06,20130602_071630
KICT20130602_122600_V06,20130602_072600
KICT20130602_123534_V06,20130602_073534
KICT20130603_101414_V06,20130603_051414
KICT20130603_102345_V06,20130603_052345
KICT20130603_103317_V06,20130603_053317
KICT20130603_104247_V06,20130603_054247
KICT20130603_105219_V06,20130603_055219
KICT20130603_110407_V06,20130603_060407
KICT20130603_111338_V06,20130603_061338
KICT20130603_112310_V06,20130603_062310
KICT20130603_113241_V06,20130603_063241
KICT20130603_114213_V06,20130603_064213
KICT20130603_115144_V06,20130603_065144
KICT20130603_120114_V06,20130603_070114
KICT20130603_121046_V06,20130603_071046
KICT20130603_122018_V06,20130603_072018
KICT20130603_122949_V06,20130603_072949
KICT20130604_101228_V06,20130604_051228
KICT20130604_101713_V06,20130604_051713
KICT20130604_102156_V06,20130604_052156
KICT20130604_102640_V06,20130604_052640
KICT20130604_103123_V06,20130604_053123
KICT20130604_103606_V06,20130604_053606
KICT20130604_104050_V06,20130604_054050
KICT20130604_104533_V06,20130604_054533
KICT20130604_105016_V06,20130604_055016
KICT20130604_105459_V06,20130604_055459
KICT20130604_105927_V06,20130604_055927
KICT20130604_110339_V06,20130604_060339
KICT20130604_110753_V06,20130604_060753
KICT20130604_111817_V06,20130604_061817
KICT20130604_112216_V06,20130604_062216
KICT20130604_112603_V06,20130604_062603
KICT20130604_112949_V06,20130604_062949
KICT20130604_113335_V06,20130604_063335
KICT20130604_113720_V06,20130604_063720
KICT20130604_114107_V06,20130604_064107
KICT20130604_114452_V06,20130604_064452
KICT20130604_114851_V06,20130604_064851
KICT20130604_115223_V06,20130604_065223
KICT20130604_115558_V06,20130604_065558
KICT20130604_115931_V06,20130604_065931
KICT20130604_120304_V06,20130604_070304
KICT20130604_120636_V06,20130604_070636
KICT20130604_121010_V06,20130604_071010
KICT20130604_121343_V06,20130604_071343
KICT20130604_121717_V06,20130604_071717
KICT20130604_122050_V06,20130604_072050
KICT20130604_122423_V06,20130604_072423
KICT20130604_122757_V06,20130604_072757
KICT20130604_123131_V06,20130604_073131
KICT20130604_123504_V06,20130604_073504
KICT20130604_123837_V06,20130604_073837
KICT20130605_101200_V06,20130605_051200
KICT20130605_101643_V06,20130605_051643
KICT20130605_102126_V06,20130605_052126
KICT20130605_102610_V06,20130605_052610
KICT20130605_103053_V06,20130605_053053
KICT20130605_103537_V06,20130605_053537
KICT20130605_104019_V06,20130605_054019
KICT20130605_104503_V06,20130605_054503
KICT20130605_104947_V06,20130605_054947
KICT20130605_105430_V06,20130605_055430
KICT20130605_105913_V06,20130605_055913
KICT20130605_110356_V06,20130605_060356
KICT20130605_110839_V06,20130605_060839
KICT20130605_111323_V06,20130605_061323
KICT20130605_111749_V06,20130605_061749
KICT20130605_112839_V06,20130605_062839
KICT20130605_113237_V06,20130605_063237
KICT20130605_113635_V06,20130605_063635
KICT20130605_114022_V06,20130605_064022
KICT20130605_114408_V06,20130605_064408
KICT20130605_114754_V06,20130605_064754
KICT20130605_115140_V06,20130605_065140
KICT20130605_115526_V06,20130605_065526
KICT20130605_115901_V06,20130605_065901
KICT20130605_120234_V06,20130605_070234
KICT20130605_120607_V06,20130605_070607
KICT20130605_120941_V06,20130605_070941
KICT20130605_121314_V06,20130605_071314
KICT20130605_121647_V06,20130605_071647
