filename,local_time
KILN20200601_091339_V06,20200601_051339
KILN20200601_092225_V06,20200601_052225
KILN20200601_093112_V06,20200601_053112
KILN20200601_093958_V06,20200601_053958
KILN20200601_094844_V06,20200601_054844
KILN20200601_100619_V06,20200601_060619
KILN20200601_101507_V06,20200601_061507
KILN20200601_102352_V06,20200601_062352
KILN20200601_103239_V06,20200601_063239
KILN20200601_104125_V06,20200601_064125
KILN20200601_105012_V06,20200601_065012
KILN20200601_110744_V06,20200601_070744
KILN20200601_111630_V06,20200601_071630
KILN20200601_112516_V06,20200601_072516
KILN20200601_113401_V06,20200601_073401
KILN20200602_091342_V06,20200602_051342
KILN20200602_091803_V06,20200602_051803
KILN20200602_092226_V06,20200602_052226
KILN20200602_092650_V06,20200602_052650
KILN20200602_093114_V06,20200602_053114
KILN20200602_093537_V06,20200602_053537
KILN20200602_094001_V06,20200602_054001
KILN20200602_094409_V06,20200602_054409
KILN20200602_100135_V06,20200602_060135
KILN20200602_101021_V06,20200602_061021
KILN20200602_101907_V06,20200602_061907
KILN20200602_102738_V06,20200602_062738
KILN20200602_103624_V06,20200602_063624
KILN20200602_104510_V06,20200602_064510
KILN20200602_110242_V06,20200602_070242
KILN20200602_111129_V06,20200602_071129
KILN20200602_112016_V06,20200602_072016
KILN20200602_112901_V06,20200602_072901
KILN20200602_113748_V06,20200602_073748
KILN20200603_091033_V06,20200603_051033
KILN20200603_091858_V06,20200603_051858
KILN20200603_092306_V06,20200603_052306
KILN20200603_092705_V06,20200603_052705
KILN20200603_093128_V06,20200603_053128
KILN20200603_093550_V06,20200603_053550
KILN20200603_094012_V06,20200603_054012
KILN20200603_094434_V06,20200603_054434
KILN20200603_094857_V06,20200603_054857
KILN20200603_095320_V06,20200603_055320
KILN20200603_100133_V06,20200603_060133
KILN20200603_100533_V06,20200603_060533
KILN20200603_100933_V06,20200603_060933
KILN20200603_101332_V06,20200603_061332
KILN20200603_101739_V06,20200603_061739
KILN20200603_102137_V06,20200603_062137
KILN20200603_102543_V06,20200603_062543
KILN20200603_102949_V06,20200603_062949
KILN20200603_103349_V06,20200603_063349
KILN20200603_103755_V06,20200603_063755
KILN20200603_104155_V06,20200603_064155
KILN20200603_104554_V06,20200603_064554
KILN20200603_105001_V06,20200603_065001
KILN20200603_105400_V06,20200603_065400
KILN20200603_110159_V06,20200603_070159
KILN20200603_110559_V06,20200603_070559
KILN20200603_110957_V06,20200603_070957
KILN20200603_111356_V06,20200603_071356
KILN20200603_111756_V06,20200603_071756
KILN20200603_112156_V06,20200603_072156
KILN20200603_112550_V06,20200603_072550
KILN20200603_112942_V06,20200603_072942
KILN20200603_113336_V06,20200603_073336
KILN20200603_113728_V06,20200603_073728
KILN20200604_091026_V06,20200604_051026
KILN20200604_091445_V06,20200604_051445
KILN20200604_091917_V06,20200604_051917
KILN20200604_092336_V06,20200604_052336
KILN20200604_092742_V06,20200604_052742
KILN20200604_093148_V06,20200604_053148
KILN20200604_093553_V06,20200604_053553
KILN20200604_093958_V06,20200604_053958
KILN20200604_094403_V06,20200604_054403
KILN20200604_094756_V06,20200604_054756
KILN20200604_095149_V06,20200604_055149
KILN20200604_095541_V06,20200604_055541
KILN20200604_100326_V06,20200604_060326
KILN20200604_100719_V06,20200604_060719
KILN20200604_101111_V06,20200604_061111
KILN20200604_101504_V06,20200604_061504
KILN20200604_101856_V06,20200604_061856
KILN20200604_102249_V06,20200604_062249
KILN20200604_102643_V06,20200604_062643
KILN20200604_103035_V06,20200604_063035
KILN20200604_103428_V06,20200604_063428
KILN20200604_103821_V06,20200604_063821
KILN20200604_104214_V06,20200604_064214
KILN20200604_104607_V06,20200604_064607
KILN20200604_104959_V06,20200604_064959
KILN20200604_105352_V06,20200604_065352
KILN20200604_110138_V06,20200604_070138
KILN20200604_110531_V06,20200604_070531
KILN20200604_110923_V06,20200604_070923
KILN20200604_111315_V06,20200604_071315
KILN20200604_111707_V06,20200604_071707
KILN20200604_112059_V06,20200604_072059
KILN20200604_112451_V06,20200604_072451
KILN20200604_112843_V06,20200604_072843
KILN20200604_113236_V06,20200604_073236
KILN20200604_113628_V06,20200604_073628
KILN20200605_091016_V06,20200605_051016
KILN20200605_091433_V06,20200605_051433
KILN20200605_091850_V06,20200605_051850
KILN20200605_092307_V06,20200605_052307
KILN20200605_092723_V06,20200605_052723
KILN20200605_093140_V06,20200605_053140
KILN20200605_093544_V06,20200605_053544
KILN20200605_093948_V06,20200605_053948
KILN20200605_094339_V06,20200605_054339
KILN20200605_094717_V06,20200605_054717
KILN20200605_095055_V06,20200605_055055
KILN20200605_095432_V06,20200605_055432
KILN20200605_100145_V06,20200605_060145
KILN20200605_100520_V06,20200605_060520
KILN20200605_100856_V06,20200605_060856
KILN20200605_101232_V06,20200605_061232
KILN20200605_101608_V06,20200605_061608
KILN20200605_101946_V06,20200605_061946
KILN20200605_102324_V06,20200605_062324
KILN20200605_102700_V06,20200605_062700
KILN20200605_103037_V06,20200605_063037
KILN20200605_103415_V06,20200605_063415
KILN20200605_103751_V06,20200605_063751
KILN20200605_104128_V06,20200605_064128
KILN20200605_104505_V06,20200605_064505
KILN20200605_104841_V06,20200605_064841
KILN20200605_105218_V06,20200605_065218
KILN20200605_105555_V06,20200605_065555
KILN20200605_110309_V06,20200605_070309
KILN20200605_110647_V06,20200605_070647
