filename,local_time
KILX20150601_094023_V06,20150601_044023
KILX20150601_095044_V06,20150601_045044
KILX20150601_100105_V06,20150601_050105
KILX20150601_101127_V06,20150601_051127
KILX20150601_102147_V06,20150601_052147
KILX20150601_103208_V06,20150601_053208
KILX20150601_104228_V06,20150601_054228
KILX20150601_105248_V06,20150601_055248
KILX20150601_110307_V06,20150601_060307
KILX20150601_111326_V06,20150601_061326
KILX20150601_112347_V06,20150601_062347
KILX20150601_113405_V06,20150601_063405
KILX20150601_114424_V06,20150601_064424
KILX20150601_115444_V06,20150601_065444
KILX20150602_093312_V06,20150602_043312
KILX20150602_094332_V06,20150602_044332
KILX20150602_095352_V06,20150602_045352
KILX20150602_100414_V06,20150602_050414
KILX20150602_101436_V06,20150602_051436
KILX20150602_102456_V06,20150602_052456
KILX20150602_103515_V06,20150602_053515
KILX20150602_104535_V06,20150602_054535
KILX20150602_105555_V06,20150602_055555
KILX20150602_110615_V06,20150602_060615
KILX20150602_111634_V06,20150602_061634
KILX20150602_112654_V06,20150602_062654
KILX20150602_113714_V06,20150602_063714
KILX20150602_114733_V06,20150602_064733
KILX20150602_115752_V06,20150602_065752
KILX20150603_093424_V06,20150603_043424
KILX20150603_094442_V06,20150603_044442
KILX20150603_095500_V06,20150603_045500
KILX20150603_100519_V06,20150603_050519
KILX20150603_101538_V06,20150603_051538
KILX20150603_102556_V06,20150603_052556
KILX20150603_103615_V06,20150603_053615
KILX20150603_104635_V06,20150603_054635
KILX20150603_105655_V06,20150603_055655
KILX20150603_110715_V06,20150603_060715
KILX20150603_111734_V06,20150603_061734
KILX20150603_112753_V06,20150603_062753
KILX20150603_113812_V06,20150603_063812
KILX20150603_114832_V06,20150603_064832
KILX20150603_115851_V06,20150603_065851
KILX20150604_093313_V06,20150604_043313
KILX20150604_093847_V06,20150604_043847
KILX20150604_094422_V06,20150604_044422
KILX20150604_094956_V06,20150604_044956
KILX20150604_095530_V06,20150604_045530
KILX20150604_100105_V06,20150604_050105
KILX20150604_100638_V06,20150604_050638
KILX20150604_101211_V06,20150604_051211
KILX20150604_101745_V06,20150604_051745
KILX20150604_102319_V06,20150604_052319
KILX20150604_102853_V06,20150604_052853
KILX20150604_103427_V06,20150604_053427
KILX20150604_104001_V06,20150604_054001
KILX20150604_104535_V06,20150604_054535
KILX20150604_105108_V06,20150604_055108
KILX20150604_105642_V06,20150604_055642
KILX20150604_110215_V06,20150604_060215
KILX20150604_110748_V06,20150604_060748
KILX20150604_111322_V06,20150604_061322
KILX20150604_111856_V06,20150604_061856
KILX20150604_112430_V06,20150604_062430
KILX20150604_113003_V06,20150604_063003
KILX20150604_113536_V06,20150604_063536
KILX20150604_114110_V06,20150604_064110
KILX20150604_114643_V06,20150604_064643
KILX20150604_115217_V06,20150604_065217
KILX20150604_115750_V06,20150604_065750
KILX20150605_093143_V06,20150605_043143
KILX20150605_093716_V06,20150605_043716
KILX20150605_094250_V06,20150605_044250
KILX20150605_094824_V06,20150605_044824
KILX20150605_095357_V06,20150605_045357
KILX20150605_095931_V06,20150605_045931
KILX20150605_100504_V06,20150605_050504
KILX20150605_101038_V06,20150605_051038
KILX20150605_101611_V06,20150605_051611
KILX20150605_102144_V06,20150605_052144
KILX20150605_102716_V06,20150605_052716
KILX20150605_103248_V06,20150605_053248
KILX20150605_103822_V06,20150605_053822
KILX20150605_104354_V06,20150605_054354
KILX20150605_104927_V06,20150605_054927
KILX20150605_105459_V06,20150605_055459
KILX20150605_110031_V06,20150605_060031
KILX20150605_110602_V06,20150605_060602
KILX20150605_111133_V06,20150605_061133
KILX20150605_111705_V06,20150605_061705
KILX20150605_112236_V06,20150605_062236
KILX20150605_112807_V06,20150605_062807
KILX20150605_113339_V06,20150605_063339
KILX20150605_113911_V06,20150605_063911
KILX20150605_114442_V06,20150605_064442
KILX20150605_115013_V06,20150605_065013
KILX20150605_115544_V06,20150605_065544
KILX20150606_093717_V06,20150606_043717
KILX20150606_094735_V06,20150606_044735
KILX20150606_095754_V06,20150606_045754
KILX20150606_100810_V06,20150606_050810
KILX20150606_101826_V06,20150606_051826
KILX20150606_102838_V06,20150606_052838
KILX20150606_103853_V06,20150606_053853
KILX20150606_104908_V06,20150606_054908
KILX20150606_105922_V06,20150606_055922
KILX20150606_110936_V06,20150606_060936
KILX20150606_111950_V06,20150606_061950
KILX20150606_113006_V06,20150606_063006
KILX20150606_114020_V06,20150606_064020
KILX20150606_115036_V06,20150606_065036
KILX20150607_093210_V06,20150607_043210
KILX20150607_093744_V06,20150607_043744
KILX20150607_094318_V06,20150607_044318
KILX20150607_094853_V06,20150607_044853
KILX20150607_095426_V06,20150607_045426
KILX20150607_100000_V06,20150607_050000
KILX20150607_100533_V06,20150607_050533
KILX20150607_101106_V06,20150607_051106
KILX20150607_101639_V06,20150607_051639
KILX20150607_102211_V06,20150607_052211
KILX20150607_102744_V06,20150607_052744
KILX20150607_103317_V06,20150607_053317
KILX20150607_103851_V06,20150607_053851
KILX20150607_104424_V06,20150607_054424
KILX20150607_104852_V06,20150607_054852
KILX20150607_105306_V06,20150607_055306
KILX20150607_105719_V06,20150607_055719
KILX20150607_110133_V06,20150607_060133
KILX20150607_110547_V06,20150607_060547
KILX20150607_111015_V06,20150607_061015
KILX20150607_111428_V06,20150607_061428
KILX20150607_111855_V06,20150607_061855
KILX20150607_112323_V06,20150607_062323
KILX20150607_112750_V06,20150607_062750
KILX20150607_113231_V06,20150607_063231
KILX20150607_113659_V06,20150607_063659
KILX20150607_114141_V06,20150607_064141
KILX20150607_114623_V06,20150607_064623
KILX20150607_115105_V06,20150607_065105
KILX20150607_115546_V06,20150607_065546
KILX20150608_093013_V06,20150608_043013
KILX20150608_093520_V06,20150608_043520
KILX20150608_094012_V06,20150608_044012
KILX20150608_094452_V06,20150608_044452
KILX20150608_095014_V06,20150608_045014
KILX20150608_095537_V06,20150608_045537
KILX20150608_100044_V06,20150608_050044
KILX20150608_100537_V06,20150608_050537
KILX20150608_101029_V06,20150608_051029
KILX20150608_101509_V06,20150608_051509
KILX20150608_101948_V06,20150608_051948
KILX20150608_102413_V06,20150608_052413
KILX20150608_102853_V06,20150608_052853
KILX20150608_103318_V06,20150608_053318
KILX20150608_103745_V06,20150608_053745
KILX20150608_104211_V06,20150608_054211
KILX20150608_104623_V06,20150608_054623
KILX20150608_105049_V06,20150608_055049
KILX20150608_105520_V06,20150608_055520
KILX20150608_105953_V06,20150608_055953
KILX20150608_110426_V06,20150608_060426
KILX20150608_110859_V06,20150608_060859
KILX20150608_111343_V06,20150608_061343
KILX20150608_111828_V06,20150608_061828
KILX20150608_112253_V06,20150608_062253
KILX20150608_112716_V06,20150608_062716
KILX20150608_113132_V06,20150608_063132
KILX20150608_113550_V06,20150608_063550
KILX20150608_114007_V06,20150608_064007
KILX20150608_114424_V06,20150608_064424
KILX20150608_114841_V06,20150608_064841
KILX20150608_115257_V06,20150608_065257
KILX20150608_115714_V06,20150608_065714
KILX20150609_093454_V06,20150609_043454
KILX20150609_094511_V06,20150609_044511
KILX20150609_095527_V06,20150609_045527
KILX20150609_100540_V06,20150609_050540
KILX20150609_101551_V06,20150609_051551
KILX20150609_102602_V06,20150609_052602
KILX20150609_103132_V06,20150609_053132
KILX20150609_103706_V06,20150609_053706
KILX20150609_104240_V06,20150609_054240
KILX20150609_104814_V06,20150609_054814
KILX20150609_105348_V06,20150609_055348
KILX20150609_105921_V06,20150609_055921
KILX20150609_110453_V06,20150609_060453
KILX20150609_111024_V06,20150609_061024
KILX20150609_111555_V06,20150609_061555
KILX20150609_112125_V06,20150609_062125
KILX20150609_112655_V06,20150609_062655
KILX20150609_113224_V06,20150609_063224
KILX20150609_113754_V06,20150609_063754
KILX20150609_114323_V06,20150609_064323
KILX20150609_114853_V06,20150609_064853
KILX20150609_115423_V06,20150609_065423
KILX20150610_093445_V06,20150610_043445
KILX20150610_094713_V06,20150610_044713
KILX20150610_095722_V06,20150610_045722
KILX20150610_100253_V06,20150610_050253
KILX20150610_100826_V06,20150610_050826
KILX20150610_101400_V06,20150610_051400
KILX20150610_101934_V06,20150610_051934
KILX20150610_102508_V06,20150610_052508
KILX20150610_103040_V06,20150610_053040
KILX20150610_103611_V06,20150610_053611
KILX20150610_104143_V06,20150610_054143
KILX20150610_104714_V06,20150610_054714
KILX20150610_105245_V06,20150610_055245
KILX20150610_105816_V06,20150610_055816
KILX20150610_110346_V06,20150610_060346
KILX20150610_110917_V06,20150610_060917
KILX20150610_111448_V06,20150610_061448
KILX20150610_112018_V06,20150610_062018
KILX20150610_112604_V06,20150610_062604
KILX20150610_113134_V06,20150610_063134
KILX20150610_113705_V06,20150610_063705
