filename,local_time
KINX20160601_100626_V06,20160601_050626
KINX20160601_101109_V06,20160601_051109
KINX20160601_101553_V06,20160601_051553
KINX20160601_102037_V06,20160601_052037
KINX20160601_102515_V06,20160601_052515
KINX20160601_102958_V06,20160601_052958
KINX20160601_103442_V06,20160601_053442
KINX20160601_103926_V06,20160601_053926
KINX20160601_104411_V06,20160601_054411
KINX20160601_104854_V06,20160601_054854
KINX20160601_105324_V06,20160601_055324
KINX20160601_105740_V06,20160601_055740
KINX20160601_110112_V06,20160601_060112
KINX20160601_110449_V06,20160601_060449
KINX20160601_110825_V06,20160601_060825
KINX20160601_111147_V06,20160601_061147
KINX20160601_111509_V06,20160601_061509
KINX20160601_111959_V06,20160601_061959
KINX20160601_112451_V06,20160601_062451
KINX20160601_112944_V06,20160601_062944
KINX20160601_113437_V06,20160601_063437
KINX20160601_113930_V06,20160601_063930
KINX20160601_114422_V06,20160601_064422
KINX20160601_114916_V06,20160601_064916
KINX20160601_115409_V06,20160601_065409
KINX20160601_115901_V06,20160601_065901
KINX20160601_120355_V06,20160601_070355
KINX20160601_120848_V06,20160601_070848
KINX20160601_121544_V06,20160601_071544
KINX20160601_122037_V06,20160601_072037
KINX20160601_122530_V06,20160601_072530
KINX20160601_123024_V06,20160601_073024
KINX20160601_123517_V06,20160601_073517
KINX20160602_100630_V06,20160602_050630
KINX20160602_101217_V06,20160602_051217
KINX20160602_101803_V06,20160602_051803
KINX20160602_102351_V06,20160602_052351
KINX20160602_102937_V06,20160602_052937
KINX20160602_103524_V06,20160602_053524
KINX20160602_104110_V06,20160602_054110
KINX20160602_104656_V06,20160602_054656
KINX20160602_105243_V06,20160602_055243
KINX20160602_105829_V06,20160602_055829
KINX20160602_110416_V06,20160602_060416
KINX20160602_111002_V06,20160602_061002
KINX20160602_111549_V06,20160602_061549
KINX20160602_112135_V06,20160602_062135
KINX20160602_112721_V06,20160602_062721
KINX20160602_113309_V06,20160602_063309
KINX20160602_113855_V06,20160602_063855
KINX20160602_114442_V06,20160602_064442
KINX20160602_115028_V06,20160602_065028
KINX20160602_115614_V06,20160602_065614
KINX20160602_120202_V06,20160602_070202
KINX20160602_120748_V06,20160602_070748
KINX20160602_121335_V06,20160602_071335
KINX20160602_121922_V06,20160602_071922
KINX20160602_122721_V06,20160602_072721
KINX20160602_123308_V06,20160602_073308
KINX20160603_100625_V06,20160603_050625
KINX20160603_101213_V06,20160603_051213
KINX20160603_101759_V06,20160603_051759
KINX20160603_102346_V06,20160603_052346
KINX20160603_102932_V06,20160603_052932
KINX20160603_103519_V06,20160603_053519
KINX20160603_104106_V06,20160603_054106
KINX20160603_104652_V06,20160603_054652
KINX20160603_105239_V06,20160603_055239
KINX20160603_105825_V06,20160603_055825
KINX20160603_110411_V06,20160603_060411
KINX20160603_110959_V06,20160603_060959
KINX20160603_111545_V06,20160603_061545
KINX20160603_112132_V06,20160603_062132
KINX20160603_112718_V06,20160603_062718
KINX20160603_113304_V06,20160603_063304
KINX20160603_113851_V06,20160603_063851
KINX20160603_114438_V06,20160603_064438
KINX20160603_115025_V06,20160603_065025
KINX20160603_115611_V06,20160603_065611
KINX20160603_120157_V06,20160603_070157
KINX20160603_120744_V06,20160603_070744
KINX20160603_121330_V06,20160603_071330
KINX20160603_121917_V06,20160603_071917
KINX20160603_122503_V06,20160603_072503
KINX20160603_123050_V06,20160603_073050
KINX20160604_100756_V06,20160604_050756
KINX20160604_101250_V06,20160604_051250
KINX20160604_101743_V06,20160604_051743
KINX20160604_102236_V06,20160604_052236
KINX20160604_102730_V06,20160604_052730
KINX20160604_103223_V06,20160604_053223
KINX20160604_103716_V06,20160604_053716
KINX20160604_104210_V06,20160604_054210
KINX20160604_104704_V06,20160604_054704
KINX20160604_105157_V06,20160604_055157
KINX20160604_105651_V06,20160604_055651
KINX20160604_110144_V06,20160604_060144
KINX20160604_110638_V06,20160604_060638
KINX20160604_111132_V06,20160604_061132
KINX20160604_111625_V06,20160604_061625
KINX20160604_112118_V06,20160604_062118
KINX20160604_112612_V06,20160604_062612
KINX20160604_113105_V06,20160604_063105
KINX20160604_113558_V06,20160604_063558
KINX20160604_114052_V06,20160604_064052
KINX20160604_114544_V06,20160604_064544
KINX20160604_115038_V06,20160604_065038
KINX20160604_115532_V06,20160604_065532
KINX20160604_120025_V06,20160604_070025
KINX20160604_120519_V06,20160604_070519
KINX20160604_121012_V06,20160604_071012
KINX20160604_121531_V06,20160604_071531
KINX20160604_122051_V06,20160604_072051
KINX20160604_122611_V06,20160604_072611
KINX20160604_123131_V06,20160604_073131
KINX20160605_101404_V06,20160605_051404
KINX20160605_102343_V06,20160605_052343
KINX20160605_103321_V06,20160605_053321
KINX20160605_104300_V06,20160605_054300
KINX20160605_105239_V06,20160605_055239
KINX20160605_110217_V06,20160605_060217
KINX20160605_111156_V06,20160605_061156
KINX20160605_112134_V06,20160605_062134
KINX20160605_113113_V06,20160605_063113
KINX20160605_114052_V06,20160605_064052
KINX20160605_115031_V06,20160605_065031
KINX20160605_120010_V06,20160605_070010
KINX20160605_120949_V06,20160605_070949
KINX20160605_121928_V06,20160605_071928
KINX20160605_122906_V06,20160605_072906
KINX20160606_101434_V06,20160606_051434
KINX20160606_102413_V06,20160606_052413
KINX20160606_103352_V06,20160606_053352
KINX20160606_104329_V06,20160606_054329
KINX20160606_105309_V06,20160606_055309
KINX20160606_110248_V06,20160606_060248
KINX20160606_111228_V06,20160606_061228
KINX20160606_112206_V06,20160606_062206
KINX20160606_113145_V06,20160606_063145
KINX20160606_114124_V06,20160606_064124
KINX20160606_115103_V06,20160606_065103
KINX20160606_120041_V06,20160606_070041
KINX20160606_121021_V06,20160606_071021
KINX20160606_121959_V06,20160606_071959
KINX20160606_122938_V06,20160606_072938
KINX20160607_100753_V06,20160607_050753
KINX20160607_101732_V06,20160607_051732
KINX20160607_102710_V06,20160607_052710
KINX20160607_103649_V06,20160607_053649
KINX20160607_104628_V06,20160607_054628
KINX20160607_105605_V06,20160607_055605
KINX20160607_110544_V06,20160607_060544
KINX20160607_111523_V06,20160607_061523
KINX20160607_112501_V06,20160607_062501
KINX20160607_113439_V06,20160607_063439
KINX20160607_114419_V06,20160607_064419
KINX20160607_115357_V06,20160607_065357
KINX20160607_120336_V06,20160607_070336
KINX20160607_121315_V06,20160607_071315
KINX20160607_122253_V06,20160607_072253
KINX20160607_123232_V06,20160607_073232
KINX20160608_101110_V06,20160608_051110
KINX20160608_102048_V06,20160608_052048
KINX20160608_103026_V06,20160608_053026
KINX20160608_104005_V06,20160608_054005
KINX20160608_104943_V06,20160608_054943
KINX20160608_105922_V06,20160608_055922
KINX20160608_110901_V06,20160608_060901
KINX20160608_111839_V06,20160608_061839
