filename,local_time
KIWA20140601_112455_V06,20140601_042455
KIWA20140601_113448_V06,20140601_043448
KIWA20140601_114440_V06,20140601_044440
KIWA20140601_115434_V06,20140601_045434
KIWA20140601_120426_V06,20140601_050426
KIWA20140601_121419_V06,20140601_051419
KIWA20140601_122413_V06,20140601_052413
KIWA20140601_123611_V06,20140601_053611
KIWA20140601_124604_V06,20140601_054604
KIWA20140601_125557_V06,20140601_055557
KIWA20140601_130553_V06,20140601_060553
KIWA20140601_131547_V06,20140601_061547
KIWA20140601_132541_V06,20140601_062541
KIWA20140601_133533_V06,20140601_063533
KIWA20140601_134528_V06,20140601_064528
KIWA20140602_112422_V06,20140602_042422
KIWA20140602_113415_V06,20140602_043415
KIWA20140602_114409_V06,20140602_044409
KIWA20140602_115402_V06,20140602_045402
KIWA20140602_120356_V06,20140602_050356
KIWA20140602_121350_V06,20140602_051350
KIWA20140602_122344_V06,20140602_052344
KIWA20140602_123339_V06,20140602_053339
KIWA20140602_124332_V06,20140602_054332
KIWA20140602_125534_V06,20140602_055534
KIWA20140602_130529_V06,20140602_060529
KIWA20140602_131522_V06,20140602_061522
KIWA20140602_132516_V06,20140602_062516
KIWA20140602_133509_V06,20140602_063509
KIWA20140602_134503_V06,20140602_064503
KIWA20140603_112343_V06,20140603_042343
KIWA20140603_113337_V06,20140603_043337
KIWA20140603_114331_V06,20140603_044331
KIWA20140603_115324_V06,20140603_045324
KIWA20140603_120316_V06,20140603_050316
KIWA20140603_121308_V06,20140603_051308
KIWA20140603_122300_V06,20140603_052300
KIWA20140603_123254_V06,20140603_053254
KIWA20140603_124246_V06,20140603_054246
KIWA20140603_125239_V06,20140603_055239
KIWA20140603_130232_V06,20140603_060232
KIWA20140603_131434_V06,20140603_061434
KIWA20140603_132428_V06,20140603_062428
KIWA20140603_133421_V06,20140603_063421
KIWA20140603_134415_V06,20140603_064415
KIWA20140604_112236_V06,20140604_042236
KIWA20140604_113230_V06,20140604_043230
KIWA20140604_114222_V06,20140604_044222
KIWA20140604_115215_V06,20140604_045215
KIWA20140604_120208_V06,20140604_050208
KIWA20140604_121201_V06,20140604_051201
KIWA20140604_122154_V06,20140604_052154
KIWA20140604_123147_V06,20140604_053147
KIWA20140604_124140_V06,20140604_054140
KIWA20140604_125132_V06,20140604_055132
KIWA20140604_130125_V06,20140604_060125
KIWA20140604_131118_V06,20140604_061118
KIWA20140604_132112_V06,20140604_062112
KIWA20140604_133308_V06,20140604_063308
KIWA20140604_134302_V06,20140604_064302
KIWA20140605_112147_V06,20140605_042147
KIWA20140605_113139_V06,20140605_043139
KIWA20140605_114133_V06,20140605_044133
KIWA20140605_115128_V06,20140605_045128
KIWA20140605_120121_V06,20140605_050121
KIWA20140605_121114_V06,20140605_051114
KIWA20140605_122108_V06,20140605_052108
KIWA20140605_123101_V06,20140605_053101
KIWA20140605_124054_V06,20140605_054054
KIWA20140605_125047_V06,20140605_055047
KIWA20140605_130041_V06,20140605_060041
KIWA20140605_131036_V06,20140605_061036
KIWA20140605_132029_V06,20140605_062029
KIWA20140605_133023_V06,20140605_063023
KIWA20140605_134017_V06,20140605_064017
KIWA20140606_111956_V06,20140606_041956
KIWA20140606_112949_V06,20140606_042949
KIWA20140606_113943_V06,20140606_043943
KIWA20140606_114936_V06,20140606_044936
KIWA20140606_115929_V06,20140606_045929
KIWA20140606_120923_V06,20140606_050923
KIWA20140606_121916_V06,20140606_051916
KIWA20140606_122910_V06,20140606_052910
KIWA20140606_123903_V06,20140606_053903
KIWA20140606_124857_V06,20140606_054857
KIWA20140606_130057_V06,20140606_060057
KIWA20140606_131050_V06,20140606_061050
KIWA20140606_132043_V06,20140606_062043
KIWA20140606_133036_V06,20140606_063036
KIWA20140606_134029_V06,20140606_064029
KIWA20140607_112338_V06,20140607_042338
KIWA20140607_113331_V06,20140607_043331
KIWA20140607_114326_V06,20140607_044326
KIWA20140607_115318_V06,20140607_045318
