filename,local_time
KLNX20140601_100937_V06,20140601_050937
KLNX20140601_101417_V06,20140601_051417
KLNX20140601_101858_V06,20140601_051858
KLNX20140601_102338_V06,20140601_052338
KLNX20140601_103036_V06,20140601_053036
KLNX20140601_103517_V06,20140601_053517
KLNX20140601_103957_V06,20140601_053957
KLNX20140601_104439_V06,20140601_054439
KLNX20140601_104920_V06,20140601_054920
KLNX20140601_105401_V06,20140601_055401
KLNX20140601_105841_V06,20140601_055841
KLNX20140601_110323_V06,20140601_060323
KLNX20140601_110804_V06,20140601_060804
KLNX20140601_111246_V06,20140601_061246
KLNX20140601_111726_V06,20140601_061726
KLNX20140601_112207_V06,20140601_062207
KLNX20140601_112647_V06,20140601_062647
KLNX20140601_113127_V06,20140601_063127
KLNX20140601_113608_V06,20140601_063608
KLNX20140601_114047_V06,20140601_064047
KLNX20140601_114527_V06,20140601_064527
KLNX20140601_115007_V06,20140601_065007
KLNX20140601_115448_V06,20140601_065448
KLNX20140601_115928_V06,20140601_065928
KLNX20140601_120408_V06,20140601_070408
KLNX20140601_120849_V06,20140601_070849
KLNX20140601_121330_V06,20140601_071330
KLNX20140601_121811_V06,20140601_071811
KLNX20140601_122252_V06,20140601_072252
KLNX20140601_122732_V06,20140601_072732
KLNX20140601_123212_V06,20140601_073212
KLNX20140601_123654_V06,20140601_073654
KLNX20140602_101221_V06,20140602_051221
KLNX20140602_101701_V06,20140602_051701
KLNX20140602_102142_V06,20140602_052142
KLNX20140602_102624_V06,20140602_052624
KLNX20140602_103105_V06,20140602_053105
KLNX20140602_103545_V06,20140602_053545
KLNX20140602_104231_V06,20140602_054231
KLNX20140602_104712_V06,20140602_054712
KLNX20140602_105152_V06,20140602_055152
KLNX20140602_105633_V06,20140602_055633
KLNX20140602_110113_V06,20140602_060113
KLNX20140602_110554_V06,20140602_060554
KLNX20140602_111034_V06,20140602_061034
KLNX20140602_111515_V06,20140602_061515
KLNX20140602_111955_V06,20140602_061955
KLNX20140602_112435_V06,20140602_062435
KLNX20140602_112916_V06,20140602_062916
KLNX20140602_113357_V06,20140602_063357
KLNX20140602_113838_V06,20140602_063838
KLNX20140602_114321_V06,20140602_064321
KLNX20140602_114802_V06,20140602_064802
KLNX20140602_115242_V06,20140602_065242
KLNX20140602_115724_V06,20140602_065724
KLNX20140602_120703_V06,20140602_070703
KLNX20140602_121643_V06,20140602_071643
KLNX20140602_122623_V06,20140602_072623
KLNX20140602_123603_V06,20140602_073603
KLNX20140603_101019_V06,20140603_051019
KLNX20140603_101459_V06,20140603_051459
KLNX20140603_101941_V06,20140603_051941
KLNX20140603_102421_V06,20140603_052421
KLNX20140603_102902_V06,20140603_052902
KLNX20140603_103342_V06,20140603_053342
KLNX20140603_103822_V06,20140603_053822
KLNX20140603_104302_V06,20140603_054302
KLNX20140603_104743_V06,20140603_054743
KLNX20140603_105224_V06,20140603_055224
KLNX20140603_105705_V06,20140603_055705
KLNX20140603_110145_V06,20140603_060145
KLNX20140603_110626_V06,20140603_060626
KLNX20140603_111106_V06,20140603_061106
KLNX20140603_111547_V06,20140603_061547
KLNX20140603_112027_V06,20140603_062027
KLNX20140603_112507_V06,20140603_062507
KLNX20140603_112947_V06,20140603_062947
KLNX20140603_113428_V06,20140603_063428
KLNX20140603_113907_V06,20140603_063907
KLNX20140603_114346_V06,20140603_064346
KLNX20140603_114827_V06,20140603_064827
KLNX20140603_115308_V06,20140603_065308
KLNX20140603_115748_V06,20140603_065748
KLNX20140603_120228_V06,20140603_070228
KLNX20140603_120708_V06,20140603_070708
KLNX20140603_121148_V06,20140603_071148
KLNX20140603_121630_V06,20140603_071630
KLNX20140603_122110_V06,20140603_072110
KLNX20140603_122550_V06,20140603_072550
KLNX20140603_123030_V06,20140603_073030
KLNX20140603_123511_V06,20140603_073511
KLNX20140604_101531_V06,20140604_051531
KLNX20140604_102513_V06,20140604_052513
KLNX20140604_103454_V06,20140604_053454
KLNX20140604_104436_V06,20140604_054436
KLNX20140604_105419_V06,20140604_055419
KLNX20140604_110402_V06,20140604_060402
KLNX20140604_111344_V06,20140604_061344
KLNX20140604_112327_V06,20140604_062327
KLNX20140604_113310_V06,20140604_063310
KLNX20140604_114252_V06,20140604_064252
KLNX20140604_115235_V06,20140604_065235
KLNX20140604_120217_V06,20140604_070217
KLNX20140604_121158_V06,20140604_071158
KLNX20140604_122142_V06,20140604_072142
KLNX20140604_123124_V06,20140604_073124
KLNX20140605_100956_V06,20140605_050956
KLNX20140605_101435_V06,20140605_051435
KLNX20140605_101916_V06,20140605_051916
KLNX20140605_102356_V06,20140605_052356
KLNX20140605_102836_V06,20140605_052836
KLNX20140605_103317_V06,20140605_053317
KLNX20140605_103758_V06,20140605_053758
KLNX20140605_104239_V06,20140605_054239
KLNX20140605_104720_V06,20140605_054720
KLNX20140605_105200_V06,20140605_055200
KLNX20140605_105640_V06,20140605_055640
KLNX20140605_110121_V06,20140605_060121
KLNX20140605_110601_V06,20140605_060601
KLNX20140605_111041_V06,20140605_061041
KLNX20140605_111521_V06,20140605_061521
KLNX20140605_112003_V06,20140605_062003
KLNX20140605_112442_V06,20140605_062442
KLNX20140605_112923_V06,20140605_062923
KLNX20140605_113404_V06,20140605_063404
KLNX20140605_113844_V06,20140605_063844
KLNX20140605_114324_V06,20140605_064324
KLNX20140605_114805_V06,20140605_064805
KLNX20140605_115245_V06,20140605_065245
KLNX20140605_115725_V06,20140605_065725
KLNX20140605_120206_V06,20140605_070206
KLNX20140605_120647_V06,20140605_070647
KLNX20140605_121127_V06,20140605_071127
KLNX20140605_121608_V06,20140605_071608
KLNX20140605_122048_V06,20140605_072048
KLNX20140605_122528_V06,20140605_072528
KLNX20140605_123010_V06,20140605_073010
KLNX20140605_123450_V06,20140605_073450
KLNX20140606_101253_V06,20140606_051253
KLNX20140606_102235_V06,20140606_052235
KLNX20140606_103218_V06,20140606_053218
KLNX20140606_104200_V06,20140606_054200
KLNX20140606_105142_V06,20140606_055142
KLNX20140606_105733_V06,20140606_055733
KLNX20140606_110323_V06,20140606_060323
KLNX20140606_110913_V06,20140606_060913
KLNX20140606_111503_V06,20140606_061503
KLNX20140606_112053_V06,20140606_062053
KLNX20140606_112643_V06,20140606_062643
KLNX20140606_113232_V06,20140606_063232
KLNX20140606_113821_V06,20140606_063821
KLNX20140606_114414_V06,20140606_064414
KLNX20140606_115005_V06,20140606_065005
KLNX20140606_115555_V06,20140606_065555
KLNX20140606_120145_V06,20140606_070145
KLNX20140606_120735_V06,20140606_070735
KLNX20140606_121324_V06,20140606_071324
KLNX20140606_121913_V06,20140606_071913
KLNX20140606_122505_V06,20140606_072505
KLNX20140606_123055_V06,20140606_073055
KLNX20140606_123644_V06,20140606_073644
KLNX20140607_100944_V06,20140607_050944
KLNX20140607_101535_V06,20140607_051535
KLNX20140607_102124_V06,20140607_052124
KLNX20140607_102713_V06,20140607_052713
KLNX20140607_103303_V06,20140607_053303
KLNX20140607_103852_V06,20140607_053852
KLNX20140607_104442_V06,20140607_054442
KLNX20140607_105031_V06,20140607_055031
KLNX20140607_105620_V06,20140607_055620
KLNX20140607_110210_V06,20140607_060210
KLNX20140607_110759_V06,20140607_060759
KLNX20140607_111349_V06,20140607_061349
KLNX20140607_111938_V06,20140607_061938
KLNX20140607_112528_V06,20140607_062528
KLNX20140607_113117_V06,20140607_063117
KLNX20140607_113707_V06,20140607_063707
KLNX20140607_114257_V06,20140607_064257
KLNX20140607_114846_V06,20140607_064846
KLNX20140607_115436_V06,20140607_065436
KLNX20140607_120025_V06,20140607_070025
KLNX20140607_120614_V06,20140607_070614
KLNX20140607_121204_V06,20140607_071204
KLNX20140607_121753_V06,20140607_071753
KLNX20140607_122343_V06,20140607_072343
KLNX20140607_122933_V06,20140607_072933
KLNX20140607_123522_V06,20140607_073522
KLNX20140608_101303_V06,20140608_051303
KLNX20140608_102247_V06,20140608_052247
KLNX20140608_103231_V06,20140608_053231
KLNX20140608_104215_V06,20140608_054215
KLNX20140608_105200_V06,20140608_055200
KLNX20140608_110143_V06,20140608_060143
KLNX20140608_111126_V06,20140608_061126
KLNX20140608_111718_V06,20140608_061718
KLNX20140608_112309_V06,20140608_062309
KLNX20140608_112901_V06,20140608_062901
KLNX20140608_113452_V06,20140608_063452
KLNX20140608_114043_V06,20140608_064043
KLNX20140608_114634_V06,20140608_064634
KLNX20140608_115226_V06,20140608_065226
KLNX20140608_115817_V06,20140608_065817
KLNX20140608_120409_V06,20140608_070409
KLNX20140608_121000_V06,20140608_071000
KLNX20140608_121552_V06,20140608_071552
