filename,local_time
KLZK20170601_100142_V06,20170601_050142
KLZK20170601_101210_V06,20170601_051210
KLZK20170601_102238_V06,20170601_052238
KLZK20170601_103306_V06,20170601_053306
KLZK20170601_104334_V06,20170601_054334
KLZK20170601_105402_V06,20170601_055402
KLZK20170601_110432_V06,20170601_060432
KLZK20170601_111459_V06,20170601_061459
KLZK20170601_112527_V06,20170601_062527
KLZK20170601_113556_V06,20170601_063556
KLZK20170601_114624_V06,20170601_064624
KLZK20170601_115651_V06,20170601_065651
KLZK20170601_120719_V06,20170601_070719
KLZK20170601_121748_V06,20170601_071748
KLZK20170602_095746_V06,20170602_045746
KLZK20170602_100114_V06,20170602_050114
KLZK20170602_100442_V06,20170602_050442
KLZK20170602_100810_V06,20170602_050810
KLZK20170602_101137_V06,20170602_051137
KLZK20170602_101504_V06,20170602_051504
KLZK20170602_101831_V06,20170602_051831
KLZK20170602_102200_V06,20170602_052200
KLZK20170602_102527_V06,20170602_052527
KLZK20170602_102855_V06,20170602_052855
KLZK20170602_103222_V06,20170602_053222
KLZK20170602_103551_V06,20170602_053551
KLZK20170602_103919_V06,20170602_053919
KLZK20170602_104246_V06,20170602_054246
KLZK20170602_104613_V06,20170602_054613
KLZK20170602_104941_V06,20170602_054941
KLZK20170602_105310_V06,20170602_055310
KLZK20170602_105639_V06,20170602_055639
KLZK20170602_110008_V06,20170602_060008
KLZK20170602_110334_V06,20170602_060334
KLZK20170602_110704_V06,20170602_060704
KLZK20170602_111031_V06,20170602_061031
KLZK20170602_111357_V06,20170602_061357
KLZK20170602_111723_V06,20170602_061723
KLZK20170602_112051_V06,20170602_062051
KLZK20170602_112419_V06,20170602_062419
KLZK20170602_112746_V06,20170602_062746
KLZK20170602_113114_V06,20170602_063114
KLZK20170602_113441_V06,20170602_063441
KLZK20170602_113809_V06,20170602_063809
KLZK20170602_114136_V06,20170602_064136
KLZK20170602_114504_V06,20170602_064504
KLZK20170602_114833_V06,20170602_064833
KLZK20170602_115200_V06,20170602_065200
KLZK20170602_115527_V06,20170602_065527
KLZK20170602_115855_V06,20170602_065855
KLZK20170602_120223_V06,20170602_070223
KLZK20170602_120550_V06,20170602_070550
KLZK20170602_120918_V06,20170602_070918
KLZK20170602_121245_V06,20170602_071245
KLZK20170602_121614_V06,20170602_071614
KLZK20170602_121941_V06,20170602_071941
KLZK20170602_122309_V06,20170602_072309
KLZK20170603_095823_V06,20170603_045823
KLZK20170603_100151_V06,20170603_050151
KLZK20170603_100518_V06,20170603_050518
KLZK20170603_100845_V06,20170603_050845
KLZK20170603_101212_V06,20170603_051212
KLZK20170603_101539_V06,20170603_051539
KLZK20170603_101908_V06,20170603_051908
KLZK20170603_102236_V06,20170603_052236
KLZK20170603_102603_V06,20170603_052603
KLZK20170603_102931_V06,20170603_052931
KLZK20170603_103258_V06,20170603_053258
KLZK20170603_103625_V06,20170603_053625
KLZK20170603_103952_V06,20170603_053952
KLZK20170603_104321_V06,20170603_054321
KLZK20170603_104647_V06,20170603_054647
KLZK20170603_105014_V06,20170603_055014
KLZK20170603_105341_V06,20170603_055341
KLZK20170603_105709_V06,20170603_055709
KLZK20170603_110036_V06,20170603_060036
KLZK20170603_110402_V06,20170603_060402
KLZK20170603_110730_V06,20170603_060730
KLZK20170603_111057_V06,20170603_061057
KLZK20170603_111425_V06,20170603_061425
KLZK20170603_111752_V06,20170603_061752
KLZK20170603_112120_V06,20170603_062120
KLZK20170603_112447_V06,20170603_062447
KLZK20170603_112815_V06,20170603_062815
KLZK20170603_113143_V06,20170603_063143
KLZK20170603_113510_V06,20170603_063510
KLZK20170603_113837_V06,20170603_063837
KLZK20170603_114205_V06,20170603_064205
KLZK20170603_114532_V06,20170603_064532
KLZK20170603_114858_V06,20170603_064858
