filename,local_time
KMOB20160601_095116_V06,20160601_045116
KMOB20160601_095441_V06,20160601_045441
KMOB20160601_095800_V06,20160601_045800
KMOB20160601_095814_V06,20160601_045814
KMOB20160601_100152_V06,20160601_050152
KMOB20160601_100522_V06,20160601_050522
KMOB20160601_100852_V06,20160601_050852
KMOB20160601_101224_V06,20160601_051224
KMOB20160601_101554_V06,20160601_051554
KMOB20160601_101929_V06,20160601_051929
KMOB20160601_102304_V06,20160601_052304
KMOB20160601_102640_V06,20160601_052640
KMOB20160601_103013_V06,20160601_053013
KMOB20160601_103348_V06,20160601_053348
KMOB20160601_103723_V06,20160601_053723
KMOB20160601_104057_V06,20160601_054057
KMOB20160601_104430_V06,20160601_054430
KMOB20160601_104804_V06,20160601_054804
KMOB20160601_105139_V06,20160601_055139
KMOB20160601_105513_V06,20160601_055513
KMOB20160601_105846_V06,20160601_055846
KMOB20160601_110221_V06,20160601_060221
KMOB20160601_110555_V06,20160601_060555
KMOB20160601_110930_V06,20160601_060930
KMOB20160601_111304_V06,20160601_061304
KMOB20160601_111639_V06,20160601_061639
KMOB20160601_112014_V06,20160601_062014
KMOB20160601_112351_V06,20160601_062351
KMOB20160601_112727_V06,20160601_062727
KMOB20160601_113103_V06,20160601_063103
KMOB20160601_113440_V06,20160601_063440
KMOB20160601_113816_V06,20160601_063816
KMOB20160601_114151_V06,20160601_064151
KMOB20160601_114528_V06,20160601_064528
KMOB20160601_114858_V06,20160601_064858
KMOB20160601_115232_V06,20160601_065232
KMOB20160601_115607_V06,20160601_065607
KMOB20160601_115944_V06,20160601_065944
KMOB20160601_120320_V06,20160601_070320
KMOB20160601_120656_V06,20160601_070656
KMOB20160601_121031_V06,20160601_071031
KMOB20160601_121407_V06,20160601_071407
KMOB20160601_121743_V06,20160601_071743
KMOB20160602_095111_V06,20160602_045111
KMOB20160602_095544_V06,20160602_045544
KMOB20160602_100043_V06,20160602_050043
KMOB20160602_101007_V06,20160602_051007
KMOB20160602_101930_V06,20160602_051930
KMOB20160602_102854_V06,20160602_052854
KMOB20160602_103820_V06,20160602_053820
KMOB20160602_104747_V06,20160602_054747
KMOB20160602_105713_V06,20160602_055713
KMOB20160602_110641_V06,20160602_060641
KMOB20160602_111608_V06,20160602_061608
KMOB20160602_112539_V06,20160602_062539
KMOB20160602_113510_V06,20160602_063510
KMOB20160602_114439_V06,20160602_064439
KMOB20160602_115412_V06,20160602_065412
KMOB20160602_120342_V06,20160602_070342
KMOB20160602_121312_V06,20160602_071312
KMOB20160603_095733_V06,20160603_045733
KMOB20160603_100706_V06,20160603_050706
KMOB20160603_101639_V06,20160603_051639
KMOB20160603_102612_V06,20160603_052612
KMOB20160603_103547_V06,20160603_053547
KMOB20160603_104519_V06,20160603_054519
KMOB20160603_105455_V06,20160603_055455
