filename,local_time
KMTX20150601_110003_V06,20150601_050003
KMTX20150601_110312_V06,20150601_050312
KMTX20150601_110622_V06,20150601_050622
KMTX20150601_110931_V06,20150601_050931
KMTX20150601_111240_V06,20150601_051240
KMTX20150601_111549_V06,20150601_051549
KMTX20150601_111859_V06,20150601_051859
KMTX20150601_112207_V06,20150601_052207
KMTX20150601_112516_V06,20150601_052516
KMTX20150601_112825_V06,20150601_052825
KMTX20150601_113134_V06,20150601_053134
KMTX20150601_113444_V06,20150601_053444
KMTX20150601_113753_V06,20150601_053753
KMTX20150601_114101_V06,20150601_054101
KMTX20150601_114410_V06,20150601_054410
KMTX20150601_114720_V06,20150601_054720
KMTX20150601_115028_V06,20150601_055028
KMTX20150601_115337_V06,20150601_055337
KMTX20150601_115645_V06,20150601_055645
KMTX20150601_115955_V06,20150601_055955
KMTX20150601_120304_V06,20150601_060304
KMTX20150601_120613_V06,20150601_060613
KMTX20150601_120922_V06,20150601_060922
KMTX20150601_121232_V06,20150601_061232
KMTX20150601_121541_V06,20150601_061541
KMTX20150601_121850_V06,20150601_061850
KMTX20150601_122157_V06,20150601_062157
KMTX20150601_122506_V06,20150601_062506
KMTX20150601_122816_V06,20150601_062816
KMTX20150601_123125_V06,20150601_063125
KMTX20150601_123434_V06,20150601_063434
KMTX20150601_123742_V06,20150601_063742
KMTX20150601_124051_V06,20150601_064051
KMTX20150601_124400_V06,20150601_064400
KMTX20150601_124709_V06,20150601_064709
KMTX20150601_125018_V06,20150601_065018
KMTX20150601_125328_V06,20150601_065328
KMTX20150601_125637_V06,20150601_065637
KMTX20150601_125946_V06,20150601_065946
KMTX20150601_130254_V06,20150601_070254
KMTX20150601_130604_V06,20150601_070604
KMTX20150601_130913_V06,20150601_070913
KMTX20150601_131222_V06,20150601_071222
KMTX20150601_131530_V06,20150601_071530
KMTX20150601_131840_V06,20150601_071840
KMTX20150601_132354_V06,20150601_072354
KMTX20150601_132703_V06,20150601_072703
KMTX20150602_110233_V06,20150602_050233
KMTX20150602_111207_V06,20150602_051207
KMTX20150602_112142_V06,20150602_052142
KMTX20150602_113118_V06,20150602_053118
KMTX20150602_114053_V06,20150602_054053
KMTX20150602_115028_V06,20150602_055028
KMTX20150602_120003_V06,20150602_060003
KMTX20150602_120939_V06,20150602_060939
KMTX20150602_121914_V06,20150602_061914
KMTX20150602_122850_V06,20150602_062850
KMTX20150602_123826_V06,20150602_063826
KMTX20150602_124803_V06,20150602_064803
KMTX20150602_125738_V06,20150602_065738
KMTX20150602_130715_V06,20150602_070715
KMTX20150602_131652_V06,20150602_071652
KMTX20150602_132628_V06,20150602_072628
KMTX20150603_105830_V06,20150603_045830
KMTX20150603_110806_V06,20150603_050806
KMTX20150603_111743_V06,20150603_051743
KMTX20150603_112720_V06,20150603_052720
KMTX20150603_113657_V06,20150603_053657
KMTX20150603_114633_V06,20150603_054633
KMTX20150603_115610_V06,20150603_055610
KMTX20150603_120547_V06,20150603_060547
KMTX20150603_121524_V06,20150603_061524
KMTX20150603_122502_V06,20150603_062502
KMTX20150603_123439_V06,20150603_063439
KMTX20150603_124416_V06,20150603_064416
KMTX20150603_131857_V06,20150603_071857
KMTX20150604_110016_V06,20150604_050016
KMTX20150604_110351_V06,20150604_050351
KMTX20150604_110726_V06,20150604_050726
KMTX20150604_111101_V06,20150604_051101
KMTX20150604_111437_V06,20150604_051437
KMTX20150604_111806_V06,20150604_051806
KMTX20150604_112141_V06,20150604_052141
KMTX20150604_112516_V06,20150604_052516
KMTX20150604_112852_V06,20150604_052852
KMTX20150604_113227_V06,20150604_053227
KMTX20150604_113601_V06,20150604_053601
KMTX20150604_113937_V06,20150604_053937
KMTX20150604_114313_V06,20150604_054313
KMTX20150604_114648_V06,20150604_054648
KMTX20150604_115024_V06,20150604_055024
KMTX20150604_115359_V06,20150604_055359
KMTX20150604_115735_V06,20150604_055735
KMTX20150604_120110_V06,20150604_060110
KMTX20150604_120445_V06,20150604_060445
KMTX20150604_120821_V06,20150604_060821
KMTX20150604_121155_V06,20150604_061155
KMTX20150604_121530_V06,20150604_061530
KMTX20150604_121906_V06,20150604_061906
KMTX20150604_122241_V06,20150604_062241
KMTX20150604_122616_V06,20150604_062616
KMTX20150604_122951_V06,20150604_062951
KMTX20150604_123326_V06,20150604_063326
KMTX20150604_123701_V06,20150604_063701
KMTX20150604_124036_V06,20150604_064036
KMTX20150604_124411_V06,20150604_064411
KMTX20150604_124747_V06,20150604_064747
KMTX20150604_125122_V06,20150604_065122
KMTX20150604_125456_V06,20150604_065456
KMTX20150604_125831_V06,20150604_065831
KMTX20150604_130206_V06,20150604_070206
KMTX20150604_130541_V06,20150604_070541
KMTX20150604_130916_V06,20150604_070916
KMTX20150604_131508_V06,20150604_071508
KMTX20150604_131833_V06,20150604_071833
KMTX20150604_132202_V06,20150604_072202
KMTX20150604_132532_V06,20150604_072532
KMTX20150605_105957_V06,20150605_045957
KMTX20150605_110306_V06,20150605_050306
KMTX20150605_110616_V06,20150605_050616
KMTX20150605_110925_V06,20150605_050925
KMTX20150605_111233_V06,20150605_051233
KMTX20150605_111542_V06,20150605_051542
KMTX20150605_111851_V06,20150605_051851
KMTX20150605_112200_V06,20150605_052200
KMTX20150605_112509_V06,20150605_052509
KMTX20150605_112818_V06,20150605_052818
KMTX20150605_113128_V06,20150605_053128
KMTX20150605_113437_V06,20150605_053437
KMTX20150605_113746_V06,20150605_053746
KMTX20150605_114055_V06,20150605_054055
KMTX20150605_114405_V06,20150605_054405
KMTX20150605_114714_V06,20150605_054714
KMTX20150605_115023_V06,20150605_055023
KMTX20150605_115332_V06,20150605_055332
KMTX20150605_115641_V06,20150605_055641
KMTX20150605_115951_V06,20150605_055951
KMTX20150605_120300_V06,20150605_060300
KMTX20150605_120608_V06,20150605_060608
KMTX20150605_120917_V06,20150605_060917
KMTX20150605_121227_V06,20150605_061227
KMTX20150605_121537_V06,20150605_061537
KMTX20150605_121845_V06,20150605_061845
KMTX20150605_122153_V06,20150605_062153
KMTX20150605_122502_V06,20150605_062502
KMTX20150605_122811_V06,20150605_062811
KMTX20150605_123134_V06,20150605_063134
KMTX20150605_123443_V06,20150605_063443
KMTX20150605_123805_V06,20150605_063805
KMTX20150605_124113_V06,20150605_064113
KMTX20150605_124423_V06,20150605_064423
KMTX20150605_124745_V06,20150605_064745
KMTX20150605_125107_V06,20150605_065107
KMTX20150605_125430_V06,20150605_065430
KMTX20150605_125818_V06,20150605_065818
KMTX20150605_130140_V06,20150605_070140
KMTX20150605_130515_V06,20150605_070515
KMTX20150605_130852_V06,20150605_070852
KMTX20150605_131241_V06,20150605_071241
KMTX20150605_131629_V06,20150605_071629
KMTX20150605_132017_V06,20150605_072017
KMTX20150605_132419_V06,20150605_072419
KMTX20150606_110017_V06,20150606_050017
KMTX20150606_110327_V06,20150606_050327
KMTX20150606_110636_V06,20150606_050636
KMTX20150606_110945_V06,20150606_050945
KMTX20150606_111254_V06,20150606_051254
KMTX20150606_111604_V06,20150606_051604
KMTX20150606_111913_V06,20150606_051913
KMTX20150606_112222_V06,20150606_052222
KMTX20150606_112531_V06,20150606_052531
KMTX20150606_112841_V06,20150606_052841
KMTX20150606_113151_V06,20150606_053151
KMTX20150606_113500_V06,20150606_053500
KMTX20150606_113809_V06,20150606_053809
KMTX20150606_114118_V06,20150606_054118
KMTX20150606_114429_V06,20150606_054429
KMTX20150606_114738_V06,20150606_054738
KMTX20150606_115048_V06,20150606_055048
KMTX20150606_115357_V06,20150606_055357
KMTX20150606_115707_V06,20150606_055707
KMTX20150606_120017_V06,20150606_060017
KMTX20150606_120326_V06,20150606_060326
KMTX20150606_120635_V06,20150606_060635
KMTX20150606_120944_V06,20150606_060944
KMTX20150606_121254_V06,20150606_061254
KMTX20150606_121603_V06,20150606_061603
KMTX20150606_121912_V06,20150606_061912
KMTX20150606_122221_V06,20150606_062221
KMTX20150606_122531_V06,20150606_062531
KMTX20150606_122840_V06,20150606_062840
KMTX20150606_123202_V06,20150606_063202
KMTX20150606_123510_V06,20150606_063510
KMTX20150606_123819_V06,20150606_063819
KMTX20150606_124129_V06,20150606_064129
KMTX20150606_124438_V06,20150606_064438
KMTX20150606_124747_V06,20150606_064747
KMTX20150606_125056_V06,20150606_065056
KMTX20150606_125407_V06,20150606_065407
KMTX20150606_125715_V06,20150606_065715
KMTX20150606_130050_V06,20150606_070050
KMTX20150606_130359_V06,20150606_070359
KMTX20150606_130709_V06,20150606_070709
KMTX20150606_131031_V06,20150606_071031
KMTX20150606_131353_V06,20150606_071353
KMTX20150606_131715_V06,20150606_071715
KMTX20150606_132037_V06,20150606_072037
KMTX20150606_132400_V06,20150606_072400
KMTX20150607_105711_V06,20150607_045711
KMTX20150607_110020_V06,20150607_050020
KMTX20150607_110329_V06,20150607_050329
KMTX20150607_110638_V06,20150607_050638
KMTX20150607_110947_V06,20150607_050947
KMTX20150607_111257_V06,20150607_051257
KMTX20150607_111605_V06,20150607_051605
KMTX20150607_111914_V06,20150607_051914
KMTX20150607_112223_V06,20150607_052223
KMTX20150607_112533_V06,20150607_052533
KMTX20150607_112843_V06,20150607_052843
KMTX20150607_113153_V06,20150607_053153
KMTX20150607_113502_V06,20150607_053502
KMTX20150607_113811_V06,20150607_053811
KMTX20150607_114122_V06,20150607_054122
KMTX20150607_114431_V06,20150607_054431
KMTX20150607_114741_V06,20150607_054741
KMTX20150607_115050_V06,20150607_055050
KMTX20150607_115400_V06,20150607_055400
KMTX20150607_115710_V06,20150607_055710
KMTX20150607_120019_V06,20150607_060019
KMTX20150607_120327_V06,20150607_060327
KMTX20150607_120636_V06,20150607_060636
KMTX20150607_120946_V06,20150607_060946
KMTX20150607_121255_V06,20150607_061255
KMTX20150607_121603_V06,20150607_061603
KMTX20150607_121912_V06,20150607_061912
KMTX20150607_122223_V06,20150607_062223
KMTX20150607_122532_V06,20150607_062532
KMTX20150607_122841_V06,20150607_062841
KMTX20150607_123202_V06,20150607_063202
KMTX20150607_123512_V06,20150607_063512
KMTX20150607_123822_V06,20150607_063822
KMTX20150607_124131_V06,20150607_064131
KMTX20150607_124441_V06,20150607_064441
KMTX20150607_124750_V06,20150607_064750
KMTX20150607_125100_V06,20150607_065100
KMTX20150607_125410_V06,20150607_065410
KMTX20150607_125720_V06,20150607_065720
KMTX20150607_130029_V06,20150607_070029
KMTX20150607_130339_V06,20150607_070339
KMTX20150607_130648_V06,20150607_070648
KMTX20150607_130957_V06,20150607_070957
KMTX20150607_131306_V06,20150607_071306
KMTX20150607_131616_V06,20150607_071616
KMTX20150607_131925_V06,20150607_071925
KMTX20150607_132234_V06,20150607_072234
KMTX20150607_132544_V06,20150607_072544
KMTX20150608_110539_V06,20150608_050539
KMTX20150608_111517_V06,20150608_051517
KMTX20150608_112455_V06,20150608_052455
KMTX20150608_113434_V06,20150608_053434
KMTX20150608_114411_V06,20150608_054411
KMTX20150608_115349_V06,20150608_055349
KMTX20150608_120327_V06,20150608_060327
KMTX20150608_121304_V06,20150608_061304
KMTX20150608_122242_V06,20150608_062242
KMTX20150608_123220_V06,20150608_063220
KMTX20150608_124158_V06,20150608_064158
KMTX20150608_125136_V06,20150608_065136
KMTX20150608_130114_V06,20150608_070114
KMTX20150608_131051_V06,20150608_071051
KMTX20150608_132029_V06,20150608_072029
KMTX20150609_105720_V06,20150609_045720
KMTX20150609_110029_V06,20150609_050029
KMTX20150609_110339_V06,20150609_050339
KMTX20150609_110648_V06,20150609_050648
KMTX20150609_110957_V06,20150609_050957
KMTX20150609_111306_V06,20150609_051306
KMTX20150609_111615_V06,20150609_051615
KMTX20150609_111925_V06,20150609_051925
KMTX20150609_112234_V06,20150609_052234
KMTX20150609_112543_V06,20150609_052543
KMTX20150609_112852_V06,20150609_052852
KMTX20150609_113202_V06,20150609_053202
KMTX20150609_113511_V06,20150609_053511
KMTX20150609_113820_V06,20150609_053820
KMTX20150609_114129_V06,20150609_054129
KMTX20150609_114439_V06,20150609_054439
KMTX20150609_114748_V06,20150609_054748
KMTX20150609_115057_V06,20150609_055057
KMTX20150609_115406_V06,20150609_055406
KMTX20150609_115716_V06,20150609_055716
KMTX20150609_120026_V06,20150609_060026
KMTX20150609_120335_V06,20150609_060335
KMTX20150609_120644_V06,20150609_060644
KMTX20150609_120953_V06,20150609_060953
KMTX20150609_121302_V06,20150609_061302
KMTX20150609_121612_V06,20150609_061612
KMTX20150609_121921_V06,20150609_061921
KMTX20150609_122230_V06,20150609_062230
KMTX20150609_122540_V06,20150609_062540
KMTX20150609_122849_V06,20150609_062849
KMTX20150609_123158_V06,20150609_063158
KMTX20150609_123507_V06,20150609_063507
KMTX20150609_123816_V06,20150609_063816
KMTX20150609_124125_V06,20150609_064125
KMTX20150609_124435_V06,20150609_064435
KMTX20150609_124744_V06,20150609_064744
KMTX20150609_125053_V06,20150609_065053
KMTX20150609_125403_V06,20150609_065403
KMTX20150609_125712_V06,20150609_065712
KMTX20150609_130021_V06,20150609_070021
KMTX20150609_130330_V06,20150609_070330
KMTX20150609_130639_V06,20150609_070639
KMTX20150609_130949_V06,20150609_070949
KMTX20150609_131258_V06,20150609_071258
KMTX20150609_131607_V06,20150609_071607
KMTX20150609_131916_V06,20150609_071916
KMTX20150609_132225_V06,20150609_072225
KMTX20150609_132535_V06,20150609_072535
KMTX20150610_105911_V06,20150610_045911
KMTX20150610_110220_V06,20150610_050220
KMTX20150610_110529_V06,20150610_050529
KMTX20150610_110838_V06,20150610_050838
KMTX20150610_111148_V06,20150610_051148
KMTX20150610_111457_V06,20150610_051457
KMTX20150610_111806_V06,20150610_051806
KMTX20150610_112115_V06,20150610_052115
KMTX20150610_112425_V06,20150610_052425
KMTX20150610_112733_V06,20150610_052733
KMTX20150610_113042_V06,20150610_053042
KMTX20150610_113351_V06,20150610_053351
KMTX20150610_113701_V06,20150610_053701
KMTX20150610_114010_V06,20150610_054010
KMTX20150610_114319_V06,20150610_054319
KMTX20150610_114627_V06,20150610_054627
KMTX20150610_114935_V06,20150610_054935
KMTX20150610_115245_V06,20150610_055245
KMTX20150610_115554_V06,20150610_055554
KMTX20150610_115903_V06,20150610_055903
KMTX20150610_120213_V06,20150610_060213
KMTX20150610_120522_V06,20150610_060522
KMTX20150610_120831_V06,20150610_060831
KMTX20150610_121140_V06,20150610_061140
KMTX20150610_121451_V06,20150610_061451
KMTX20150610_121800_V06,20150610_061800
KMTX20150610_122109_V06,20150610_062109
KMTX20150610_122418_V06,20150610_062418
KMTX20150610_122726_V06,20150610_062726
KMTX20150610_123035_V06,20150610_063035
KMTX20150610_123344_V06,20150610_063344
KMTX20150610_123653_V06,20150610_063653
KMTX20150610_124002_V06,20150610_064002
KMTX20150610_124312_V06,20150610_064312
KMTX20150610_124621_V06,20150610_064621
KMTX20150610_124930_V06,20150610_064930
KMTX20150610_125239_V06,20150610_065239
KMTX20150610_125549_V06,20150610_065549
KMTX20150610_125858_V06,20150610_065858
KMTX20150610_130207_V06,20150610_070207
KMTX20150610_130516_V06,20150610_070516
KMTX20150610_130824_V06,20150610_070824
KMTX20150610_131133_V06,20150610_071133
KMTX20150610_131441_V06,20150610_071441
KMTX20150610_131750_V06,20150610_071750
