filename,local_time
KMUX20200601_120622_V06,20200601_050622
KMUX20200601_121507_V06,20200601_051507
KMUX20200601_122351_V06,20200601_052351
KMUX20200601_123236_V06,20200601_053236
KMUX20200601_124121_V06,20200601_054121
KMUX20200601_125006_V06,20200601_055006
KMUX20200601_130735_V06,20200601_060735
KMUX20200601_131618_V06,20200601_061618
KMUX20200601_132503_V06,20200601_062503
KMUX20200601_133348_V06,20200601_063348
KMUX20200601_134233_V06,20200601_064233
KMUX20200601_135109_V06,20200601_065109
KMUX20200601_140831_V06,20200601_070831
KMUX20200601_141716_V06,20200601_071716
KMUX20200602_120035_V06,20200602_050035
KMUX20200602_120919_V06,20200602_050919
KMUX20200602_121803_V06,20200602_051803
KMUX20200602_122638_V06,20200602_052638
KMUX20200602_123514_V06,20200602_053514
KMUX20200602_124350_V06,20200602_054350
KMUX20200602_130112_V06,20200602_060112
KMUX20200602_130955_V06,20200602_060955
KMUX20200602_131839_V06,20200602_061839
KMUX20200602_132723_V06,20200602_062723
KMUX20200602_133600_V06,20200602_063600
KMUX20200602_134444_V06,20200602_064444
KMUX20200602_140143_V06,20200602_070143
KMUX20200602_141012_V06,20200602_071012
KMUX20200603_115109_V06,20200603_045109
KMUX20200603_120837_V06,20200603_050837
KMUX20200603_121720_V06,20200603_051720
KMUX20200603_122605_V06,20200603_052605
KMUX20200603_123449_V06,20200603_053449
KMUX20200603_124325_V06,20200603_054325
KMUX20200603_130045_V06,20200603_060045
KMUX20200603_130929_V06,20200603_060929
KMUX20200603_131814_V06,20200603_061814
KMUX20200603_132658_V06,20200603_062658
KMUX20200603_133542_V06,20200603_063542
KMUX20200603_134426_V06,20200603_064426
KMUX20200603_140154_V06,20200603_070154
KMUX20200603_141039_V06,20200603_071039
KMUX20200604_114845_V06,20200604_044845
KMUX20200604_121129_V06,20200604_051129
KMUX20200604_122151_V06,20200604_052151
KMUX20200604_123213_V06,20200604_053213
KMUX20200604_124235_V06,20200604_054235
KMUX20200604_130319_V06,20200604_060319
KMUX20200604_131341_V06,20200604_061341
KMUX20200604_132404_V06,20200604_062404
KMUX20200604_133426_V06,20200604_063426
KMUX20200604_134448_V06,20200604_064448
KMUX20200604_140533_V06,20200604_070533
KMUX20200604_141556_V06,20200604_071556
KMUX20200605_114825_V06,20200605_044825
KMUX20200605_120911_V06,20200605_050911
KMUX20200605_121934_V06,20200605_051934
KMUX20200605_123156_V06,20200605_053156
KMUX20200605_124219_V06,20200605_054219
KMUX20200605_130304_V06,20200605_060304
KMUX20200605_131327_V06,20200605_061327
KMUX20200605_132350_V06,20200605_062350
KMUX20200605_133413_V06,20200605_063413
KMUX20200605_134435_V06,20200605_064435
KMUX20200605_140522_V06,20200605_070522
KMUX20200605_141545_V06,20200605_071545
KMUX20200606_120122_V06,20200606_050122
KMUX20200606_121128_V06,20200606_051128
KMUX20200606_122120_V06,20200606_052120
KMUX20200606_123112_V06,20200606_053112
KMUX20200606_124125_V06,20200606_054125
KMUX20200606_130324_V06,20200606_060324
KMUX20200606_131347_V06,20200606_061347
KMUX20200606_132409_V06,20200606_062409
KMUX20200606_133432_V06,20200606_063432
KMUX20200606_134456_V06,20200606_064456
KMUX20200606_140523_V06,20200606_070523
KMUX20200606_141536_V06,20200606_071536
KMUX20200607_120405_V06,20200607_050405
KMUX20200607_121419_V06,20200607_051419
KMUX20200607_122433_V06,20200607_052433
KMUX20200607_123446_V06,20200607_053446
KMUX20200607_124501_V06,20200607_054501
KMUX20200607_130725_V06,20200607_060725
KMUX20200607_131732_V06,20200607_061732
KMUX20200607_132746_V06,20200607_062746
KMUX20200607_133800_V06,20200607_063800
KMUX20200607_134815_V06,20200607_064815
KMUX20200607_140843_V06,20200607_070843
KMUX20200608_120734_V06,20200608_050734
KMUX20200608_121749_V06,20200608_051749
KMUX20200608_122803_V06,20200608_052803
KMUX20200608_123818_V06,20200608_053818
KMUX20200608_124832_V06,20200608_054832
KMUX20200608_130902_V06,20200608_060902
KMUX20200608_132118_V06,20200608_062118
KMUX20200608_133133_V06,20200608_063133
KMUX20200608_134148_V06,20200608_064148
KMUX20200608_140217_V06,20200608_070217
KMUX20200608_141232_V06,20200608_071232
KMUX20200609_120028_V06,20200609_050028
KMUX20200609_121052_V06,20200609_051052
KMUX20200609_122115_V06,20200609_052115
KMUX20200609_123140_V06,20200609_053140
KMUX20200609_124204_V06,20200609_054204
KMUX20200609_130241_V06,20200609_060241
KMUX20200609_131306_V06,20200609_061306
KMUX20200609_132330_V06,20200609_062330
KMUX20200609_133556_V06,20200609_063556
KMUX20200609_134620_V06,20200609_064620
KMUX20200609_140707_V06,20200609_070707
KMUX20200610_120342_V06,20200610_050342
KMUX20200610_121405_V06,20200610_051405
KMUX20200610_122427_V06,20200610_052427
KMUX20200610_123450_V06,20200610_053450
KMUX20200610_124513_V06,20200610_054513
KMUX20200610_130559_V06,20200610_060559
KMUX20200610_131623_V06,20200610_061623
KMUX20200610_132647_V06,20200610_062647
KMUX20200610_133710_V06,20200610_063710
KMUX20200610_134733_V06,20200610_064733
KMUX20200610_141020_V06,20200610_071020
KMUX20200611_114704_V06,20200611_044704
KMUX20200611_120750_V06,20200611_050750
KMUX20200611_121813_V06,20200611_051813
KMUX20200611_122836_V06,20200611_052836
KMUX20200611_123859_V06,20200611_053859
KMUX20200611_124922_V06,20200611_054922
KMUX20200611_131007_V06,20200611_061007
KMUX20200611_132030_V06,20200611_062030
KMUX20200611_133054_V06,20200611_063054
KMUX20200611_134118_V06,20200611_064118
KMUX20200611_140203_V06,20200611_070203
KMUX20200611_141226_V06,20200611_071226
KMUX20200612_114813_V06,20200612_044813
KMUX20200612_115319_V06,20200612_045319
KMUX20200612_120317_V06,20200612_050317
KMUX20200612_120811_V06,20200612_050811
KMUX20200612_121317_V06,20200612_051317
KMUX20200612_121822_V06,20200612_051822
KMUX20200612_122315_V06,20200612_052315
KMUX20200612_122820_V06,20200612_052820
KMUX20200612_123326_V06,20200612_053326
KMUX20200612_123832_V06,20200612_053832
KMUX20200612_124338_V06,20200612_054338
KMUX20200612_124844_V06,20200612_054844
KMUX20200612_125350_V06,20200612_055350
KMUX20200612_130348_V06,20200612_060348
KMUX20200612_130842_V06,20200612_060842
KMUX20200612_131335_V06,20200612_061335
KMUX20200612_131829_V06,20200612_061829
KMUX20200612_132313_V06,20200612_062313
KMUX20200612_132807_V06,20200612_062807
KMUX20200612_133301_V06,20200612_063301
KMUX20200612_133754_V06,20200612_063754
KMUX20200612_134247_V06,20200612_064247
KMUX20200612_134740_V06,20200612_064740
KMUX20200612_135233_V06,20200612_065233
KMUX20200612_140221_V06,20200612_070221
KMUX20200612_140705_V06,20200612_070705
KMUX20200612_141158_V06,20200612_071158
KMUX20200612_141651_V06,20200612_071651
KMUX20200613_114843_V06,20200613_044843
KMUX20200613_120929_V06,20200613_050929
KMUX20200613_121943_V06,20200613_051943
KMUX20200613_122950_V06,20200613_052950
KMUX20200613_123950_V06,20200613_053950
KMUX20200613_124956_V06,20200613_054956
KMUX20200613_130433_V06,20200613_060433
KMUX20200613_130901_V06,20200613_060901
KMUX20200613_131329_V06,20200613_061329
KMUX20200613_131755_V06,20200613_061755
KMUX20200613_132223_V06,20200613_062223
KMUX20200613_132651_V06,20200613_062651
