filename,local_time
KMVX20190601_093714_V06,20190601_043714
KMVX20190601_094601_V06,20190601_044601
KMVX20190601_100333_V06,20190601_050333
KMVX20190601_101413_V06,20190601_051413
KMVX20190601_102259_V06,20190601_052259
KMVX20190601_103145_V06,20190601_053145
KMVX20190601_104030_V06,20190601_054030
KMVX20190601_104916_V06,20190601_054916
KMVX20190601_110647_V06,20190601_060647
KMVX20190601_111533_V06,20190601_061533
KMVX20190601_112419_V06,20190601_062419
KMVX20190601_113257_V06,20190601_063257
KMVX20190601_114142_V06,20190601_064142
KMVX20190601_115027_V06,20190601_065027
KMVX20190602_093617_V06,20190602_043617
KMVX20190602_094503_V06,20190602_044503
KMVX20190602_100236_V06,20190602_050236
KMVX20190602_101122_V06,20190602_051122
KMVX20190602_103047_V06,20190602_053047
KMVX20190602_103933_V06,20190602_053933
KMVX20190602_104819_V06,20190602_054819
KMVX20190602_110551_V06,20190602_060551
KMVX20190602_111437_V06,20190602_061437
KMVX20190602_112323_V06,20190602_062323
KMVX20190602_113209_V06,20190602_063209
KMVX20190602_114054_V06,20190602_064054
KMVX20190602_114940_V06,20190602_064940
KMVX20190603_093552_V06,20190603_043552
KMVX20190603_094437_V06,20190603_044437
KMVX20190603_100208_V06,20190603_050208
KMVX20190603_101054_V06,20190603_051054
KMVX20190603_101939_V06,20190603_051939
KMVX20190603_103020_V06,20190603_053020
KMVX20190603_103908_V06,20190603_053908
KMVX20190603_104754_V06,20190603_054754
KMVX20190603_110525_V06,20190603_060525
KMVX20190603_111410_V06,20190603_061410
KMVX20190603_112256_V06,20190603_062256
KMVX20190603_113142_V06,20190603_063142
KMVX20190603_114028_V06,20190603_064028
KMVX20190603_114913_V06,20190603_064913
KMVX20190604_093548_V06,20190604_043548
KMVX20190604_093942_V06,20190604_043942
KMVX20190604_094343_V06,20190604_044343
KMVX20190604_094738_V06,20190604_044738
KMVX20190604_095202_V06,20190604_045202
KMVX20190604_100051_V06,20190604_050051
KMVX20190604_100515_V06,20190604_050515
KMVX20190604_100940_V06,20190604_050940
KMVX20190604_101404_V06,20190604_051404
KMVX20190604_101830_V06,20190604_051830
KMVX20190604_102253_V06,20190604_052253
KMVX20190604_102719_V06,20190604_052719
KMVX20190604_103144_V06,20190604_053144
KMVX20190604_103600_V06,20190604_053600
