filename,local_time
KMXX20140601_094124_V06,20140601_044124
KMXX20140601_095100_V06,20140601_045100
KMXX20140601_100035_V06,20140601_050035
KMXX20140601_101011_V06,20140601_051011
KMXX20140601_101948_V06,20140601_051948
KMXX20140601_102923_V06,20140601_052923
KMXX20140601_103508_V06,20140601_053508
KMXX20140601_104052_V06,20140601_054052
KMXX20140601_104638_V06,20140601_054638
KMXX20140601_105222_V06,20140601_055222
KMXX20140601_105807_V06,20140601_055807
KMXX20140601_110351_V06,20140601_060351
KMXX20140601_110935_V06,20140601_060935
KMXX20140601_111520_V06,20140601_061520
KMXX20140601_112104_V06,20140601_062104
KMXX20140601_112649_V06,20140601_062649
KMXX20140601_113232_V06,20140601_063232
KMXX20140601_113817_V06,20140601_063817
KMXX20140601_114401_V06,20140601_064401
KMXX20140601_114949_V06,20140601_064949
KMXX20140601_115533_V06,20140601_065533
KMXX20140601_120117_V06,20140601_070117
KMXX20140602_094016_V06,20140602_044016
KMXX20140602_094952_V06,20140602_044952
KMXX20140602_095929_V06,20140602_045929
KMXX20140602_100906_V06,20140602_050906
KMXX20140602_101843_V06,20140602_051843
KMXX20140602_102819_V06,20140602_052819
KMXX20140602_103756_V06,20140602_053756
KMXX20140602_104733_V06,20140602_054733
KMXX20140602_105710_V06,20140602_055710
KMXX20140602_110647_V06,20140602_060647
KMXX20140602_111624_V06,20140602_061624
KMXX20140602_112600_V06,20140602_062600
KMXX20140602_113537_V06,20140602_063537
KMXX20140602_114122_V06,20140602_064122
KMXX20140602_114707_V06,20140602_064707
KMXX20140602_115251_V06,20140602_065251
KMXX20140602_120228_V06,20140602_070228
KMXX20140603_093640_V06,20140603_043640
KMXX20140603_094617_V06,20140603_044617
KMXX20140603_095554_V06,20140603_045554
KMXX20140603_100530_V06,20140603_050530
KMXX20140603_101507_V06,20140603_051507
KMXX20140603_102444_V06,20140603_052444
KMXX20140603_103422_V06,20140603_053422
KMXX20140603_104358_V06,20140603_054358
KMXX20140603_105335_V06,20140603_055335
KMXX20140603_110313_V06,20140603_060313
KMXX20140603_111250_V06,20140603_061250
KMXX20140603_112227_V06,20140603_062227
KMXX20140603_113204_V06,20140603_063204
KMXX20140603_114140_V06,20140603_064140
KMXX20140603_115117_V06,20140603_065117
KMXX20140603_120055_V06,20140603_070055
KMXX20140604_094357_V06,20140604_044357
KMXX20140604_095333_V06,20140604_045333
