filename,local_time
KPAH20150601_093921_V06,20150601_043921
KPAH20150601_094356_V06,20150601_044356
KPAH20150601_094830_V06,20150601_044830
KPAH20150601_095305_V06,20150601_045305
KPAH20150601_095739_V06,20150601_045739
KPAH20150601_100213_V06,20150601_050213
KPAH20150601_100648_V06,20150601_050648
KPAH20150601_101123_V06,20150601_051123
KPAH20150601_101557_V06,20150601_051557
KPAH20150601_102032_V06,20150601_052032
KPAH20150601_102508_V06,20150601_052508
KPAH20150601_102945_V06,20150601_052945
KPAH20150601_103419_V06,20150601_053419
KPAH20150601_103853_V06,20150601_053853
KPAH20150601_104327_V06,20150601_054327
KPAH20150601_104802_V06,20150601_054802
KPAH20150601_105236_V06,20150601_055236
KPAH20150601_105711_V06,20150601_055711
KPAH20150601_110148_V06,20150601_060148
KPAH20150601_110625_V06,20150601_060625
KPAH20150601_111109_V06,20150601_061109
KPAH20150601_111552_V06,20150601_061552
KPAH20150601_112028_V06,20150601_062028
KPAH20150601_112512_V06,20150601_062512
KPAH20150601_112955_V06,20150601_062955
KPAH20150601_113438_V06,20150601_063438
KPAH20150601_113919_V06,20150601_063919
KPAH20150601_114358_V06,20150601_064358
KPAH20150601_114839_V06,20150601_064839
KPAH20150601_115319_V06,20150601_065319
KPAH20150601_115756_V06,20150601_065756
KPAH20150601_120233_V06,20150601_070233
KPAH20150602_094120_V06,20150602_044120
KPAH20150602_095059_V06,20150602_045059
KPAH20150602_100037_V06,20150602_050037
KPAH20150602_101015_V06,20150602_051015
KPAH20150602_101953_V06,20150602_051953
KPAH20150602_102930_V06,20150602_052930
KPAH20150602_103909_V06,20150602_053909
KPAH20150602_104848_V06,20150602_054848
KPAH20150602_105827_V06,20150602_055827
KPAH20150602_110806_V06,20150602_060806
KPAH20150602_111744_V06,20150602_061744
KPAH20150602_112723_V06,20150602_062723
KPAH20150602_113702_V06,20150602_063702
KPAH20150602_114640_V06,20150602_064640
KPAH20150602_115620_V06,20150602_065620
KPAH20150602_120558_V06,20150602_070558
KPAH20150603_094429_V06,20150603_044429
KPAH20150603_095406_V06,20150603_045406
KPAH20150603_100344_V06,20150603_050344
KPAH20150603_101322_V06,20150603_051322
KPAH20150603_102259_V06,20150603_052259
KPAH20150603_103238_V06,20150603_053238
KPAH20150603_104216_V06,20150603_054216
KPAH20150603_105155_V06,20150603_055155
KPAH20150603_110132_V06,20150603_060132
KPAH20150603_111111_V06,20150603_061111
KPAH20150603_112051_V06,20150603_062051
KPAH20150603_113029_V06,20150603_063029
KPAH20150603_114008_V06,20150603_064008
KPAH20150603_114945_V06,20150603_064945
KPAH20150603_115923_V06,20150603_065923
KPAH20150604_094450_V06,20150604_044450
KPAH20150604_095427_V06,20150604_045427
KPAH20150604_100406_V06,20150604_050406
KPAH20150604_101345_V06,20150604_051345
KPAH20150604_102322_V06,20150604_052322
KPAH20150604_103300_V06,20150604_053300
KPAH20150604_104238_V06,20150604_054238
KPAH20150604_105216_V06,20150604_055216
KPAH20150604_110154_V06,20150604_060154
KPAH20150604_111132_V06,20150604_061132
KPAH20150604_112111_V06,20150604_062111
KPAH20150604_113049_V06,20150604_063049
KPAH20150604_114027_V06,20150604_064027
KPAH20150604_115004_V06,20150604_065004
KPAH20150604_115942_V06,20150604_065942
KPAH20150605_094003_V06,20150605_044003
KPAH20150605_094454_V06,20150605_044454
KPAH20150605_094946_V06,20150605_044946
KPAH20150605_095437_V06,20150605_045437
KPAH20150605_095928_V06,20150605_045928
KPAH20150605_100419_V06,20150605_050419
KPAH20150605_100911_V06,20150605_050911
KPAH20150605_101402_V06,20150605_051402
KPAH20150605_101854_V06,20150605_051854
KPAH20150605_102345_V06,20150605_052345
KPAH20150605_102836_V06,20150605_052836
KPAH20150605_103328_V06,20150605_053328
KPAH20150605_103819_V06,20150605_053819
KPAH20150605_104311_V06,20150605_054311
KPAH20150605_104802_V06,20150605_054802
KPAH20150605_105253_V06,20150605_055253
KPAH20150605_105744_V06,20150605_055744
KPAH20150605_110235_V06,20150605_060235
KPAH20150605_110726_V06,20150605_060726
KPAH20150605_111218_V06,20150605_061218
KPAH20150605_111709_V06,20150605_061709
KPAH20150605_112201_V06,20150605_062201
KPAH20150605_112652_V06,20150605_062652
KPAH20150605_113143_V06,20150605_063143
KPAH20150605_113635_V06,20150605_063635
KPAH20150605_114127_V06,20150605_064127
KPAH20150605_114617_V06,20150605_064617
KPAH20150605_115109_V06,20150605_065109
KPAH20150605_115600_V06,20150605_065600
KPAH20150605_120051_V06,20150605_070051
KPAH20150606_094415_V06,20150606_044415
KPAH20150606_095351_V06,20150606_045351
KPAH20150606_100328_V06,20150606_050328
KPAH20150606_101305_V06,20150606_051305
KPAH20150606_102242_V06,20150606_052242
KPAH20150606_103218_V06,20150606_053218
KPAH20150606_104155_V06,20150606_054155
KPAH20150606_105132_V06,20150606_055132
KPAH20150606_110109_V06,20150606_060109
KPAH20150606_111045_V06,20150606_061045
KPAH20150606_112022_V06,20150606_062022
KPAH20150606_113000_V06,20150606_063000
KPAH20150606_113937_V06,20150606_063937
KPAH20150606_114914_V06,20150606_064914
KPAH20150606_115850_V06,20150606_065850
KPAH20150607_094047_V06,20150607_044047
KPAH20150607_095022_V06,20150607_045022
KPAH20150607_095958_V06,20150607_045958
KPAH20150607_100934_V06,20150607_050934
KPAH20150607_101910_V06,20150607_051910
KPAH20150607_102845_V06,20150607_052845
KPAH20150607_103822_V06,20150607_053822
KPAH20150607_104759_V06,20150607_054759
KPAH20150607_105736_V06,20150607_055736
KPAH20150607_110712_V06,20150607_060712
KPAH20150607_111649_V06,20150607_061649
KPAH20150607_112625_V06,20150607_062625
KPAH20150607_113602_V06,20150607_063602
KPAH20150607_114538_V06,20150607_064538
KPAH20150607_115514_V06,20150607_065514
KPAH20150607_120450_V06,20150607_070450
KPAH20150608_093716_V06,20150608_043716
KPAH20150608_094144_V06,20150608_044144
KPAH20150608_094612_V06,20150608_044612
KPAH20150608_095041_V06,20150608_045041
KPAH20150608_095509_V06,20150608_045509
KPAH20150608_095917_V06,20150608_045917
KPAH20150608_100345_V06,20150608_050345
KPAH20150608_100814_V06,20150608_050814
KPAH20150608_101242_V06,20150608_051242
KPAH20150608_101724_V06,20150608_051724
KPAH20150608_102206_V06,20150608_052206
KPAH20150608_102649_V06,20150608_052649
KPAH20150608_103118_V06,20150608_053118
KPAH20150608_103600_V06,20150608_053600
KPAH20150608_104042_V06,20150608_054042
KPAH20150608_104517_V06,20150608_054517
KPAH20150608_104940_V06,20150608_054940
KPAH20150608_105403_V06,20150608_055403
KPAH20150608_105832_V06,20150608_055832
KPAH20150608_110300_V06,20150608_060300
KPAH20150608_110730_V06,20150608_060730
KPAH20150608_111225_V06,20150608_061225
KPAH20150608_111707_V06,20150608_061707
KPAH20150608_112149_V06,20150608_062149
KPAH20150608_112631_V06,20150608_062631
KPAH20150608_113113_V06,20150608_063113
KPAH20150608_113556_V06,20150608_063556
KPAH20150608_114037_V06,20150608_064037
KPAH20150608_114532_V06,20150608_064532
KPAH20150608_114956_V06,20150608_064956
KPAH20150608_115432_V06,20150608_065432
KPAH20150608_115936_V06,20150608_065936
KPAH20150608_120440_V06,20150608_070440
KPAH20150609_093622_V06,20150609_043622
KPAH20150609_094558_V06,20150609_044558
KPAH20150609_095535_V06,20150609_045535
KPAH20150609_100512_V06,20150609_050512
KPAH20150609_101449_V06,20150609_051449
KPAH20150609_102425_V06,20150609_052425
KPAH20150609_103402_V06,20150609_053402
KPAH20150609_104338_V06,20150609_054338
KPAH20150609_105315_V06,20150609_055315
KPAH20150609_110251_V06,20150609_060251
KPAH20150609_111228_V06,20150609_061228
KPAH20150609_112206_V06,20150609_062206
KPAH20150609_113142_V06,20150609_063142
KPAH20150609_114119_V06,20150609_064119
KPAH20150609_115056_V06,20150609_065056
KPAH20150609_120033_V06,20150609_070033
KPAH20150610_094351_V06,20150610_044351
KPAH20150610_095328_V06,20150610_045328
KPAH20150610_100304_V06,20150610_050304
KPAH20150610_101453_V06,20150610_051453
KPAH20150610_102429_V06,20150610_052429
KPAH20150610_103406_V06,20150610_053406
KPAH20150610_104345_V06,20150610_054345
KPAH20150610_105321_V06,20150610_055321
KPAH20150610_110258_V06,20150610_060258
KPAH20150610_111234_V06,20150610_061234
KPAH20150610_112211_V06,20150610_062211
KPAH20150610_113146_V06,20150610_063146
KPAH20150610_114122_V06,20150610_064122
KPAH20150610_115059_V06,20150610_065059
KPAH20150610_120037_V06,20150610_070037
KPAH20150611_094116_V06,20150611_044116
KPAH20150611_095053_V06,20150611_045053
KPAH20150611_100028_V06,20150611_050028
KPAH20150611_101004_V06,20150611_051004
KPAH20150611_101940_V06,20150611_051940
KPAH20150611_102916_V06,20150611_052916
KPAH20150611_103852_V06,20150611_053852
KPAH20150611_104829_V06,20150611_054829
KPAH20150611_105806_V06,20150611_055806
KPAH20150611_110742_V06,20150611_060742
KPAH20150611_111717_V06,20150611_061717
KPAH20150611_112653_V06,20150611_062653
KPAH20150611_113629_V06,20150611_063629
KPAH20150611_114605_V06,20150611_064605
KPAH20150611_115541_V06,20150611_065541
KPAH20150612_094135_V06,20150612_044135
KPAH20150612_095111_V06,20150612_045111
KPAH20150612_100048_V06,20150612_050048
KPAH20150612_101024_V06,20150612_051024
KPAH20150612_101959_V06,20150612_051959
KPAH20150612_102935_V06,20150612_052935
KPAH20150612_103911_V06,20150612_053911
KPAH20150612_104847_V06,20150612_054847
KPAH20150612_105822_V06,20150612_055822
KPAH20150612_110759_V06,20150612_060759
KPAH20150612_111736_V06,20150612_061736
KPAH20150612_112713_V06,20150612_062713
KPAH20150612_113649_V06,20150612_063649
KPAH20150612_114625_V06,20150612_064625
KPAH20150612_115601_V06,20150612_065601
KPAH20150613_093929_V06,20150613_043929
KPAH20150613_094905_V06,20150613_044905
KPAH20150613_095841_V06,20150613_045841
KPAH20150613_100817_V06,20150613_050817
KPAH20150613_101753_V06,20150613_051753
KPAH20150613_102729_V06,20150613_052729
KPAH20150613_103705_V06,20150613_053705
KPAH20150613_104642_V06,20150613_054642
KPAH20150613_105617_V06,20150613_055617
KPAH20150613_110553_V06,20150613_060553
KPAH20150613_111529_V06,20150613_061529
KPAH20150613_112505_V06,20150613_062505
KPAH20150613_113440_V06,20150613_063440
KPAH20150613_114417_V06,20150613_064417
KPAH20150613_115353_V06,20150613_065353
KPAH20150613_120329_V06,20150613_070329
KPAH20150614_093548_V06,20150614_043548
KPAH20150614_094039_V06,20150614_044039
KPAH20150614_094529_V06,20150614_044529
KPAH20150614_095020_V06,20150614_045020
KPAH20150614_095955_V06,20150614_045955
KPAH20150614_100930_V06,20150614_050930
KPAH20150614_101906_V06,20150614_051906
KPAH20150614_102842_V06,20150614_052842
KPAH20150614_103817_V06,20150614_053817
KPAH20150614_104753_V06,20150614_054753
KPAH20150614_105729_V06,20150614_055729
KPAH20150614_110704_V06,20150614_060704
KPAH20150614_111640_V06,20150614_061640
KPAH20150614_112616_V06,20150614_062616
KPAH20150614_113552_V06,20150614_063552
KPAH20150614_114527_V06,20150614_064527
KPAH20150614_115503_V06,20150614_065503
KPAH20150614_120439_V06,20150614_070439
KPAH20150615_093805_V06,20150615_043805
KPAH20150615_094740_V06,20150615_044740
KPAH20150615_095716_V06,20150615_045716
KPAH20150615_100652_V06,20150615_050652
KPAH20150615_101628_V06,20150615_051628
KPAH20150615_102604_V06,20150615_052604
KPAH20150615_103540_V06,20150615_053540
KPAH20150615_104517_V06,20150615_054517
KPAH20150615_105453_V06,20150615_055453
KPAH20150615_110428_V06,20150615_060428
KPAH20150615_111404_V06,20150615_061404
KPAH20150615_112340_V06,20150615_062340
KPAH20150615_113316_V06,20150615_063316
KPAH20150615_114251_V06,20150615_064251
KPAH20150615_115228_V06,20150615_065228
KPAH20150615_120205_V06,20150615_070205
KPAH20150616_093544_V06,20150616_043544
KPAH20150616_093953_V06,20150616_043953
KPAH20150616_094400_V06,20150616_044400
KPAH20150616_094807_V06,20150616_044807
KPAH20150616_095241_V06,20150616_045241
KPAH20150616_095650_V06,20150616_045650
KPAH20150616_100058_V06,20150616_050058
KPAH20150616_100506_V06,20150616_050506
KPAH20150616_100913_V06,20150616_050913
KPAH20150616_101321_V06,20150616_051321
KPAH20150616_101743_V06,20150616_051743
KPAH20150616_102205_V06,20150616_052205
KPAH20150616_102641_V06,20150616_052641
KPAH20150616_103117_V06,20150616_053117
KPAH20150616_103606_V06,20150616_053606
KPAH20150616_104041_V06,20150616_054041
KPAH20150616_104516_V06,20150616_054516
KPAH20150616_104938_V06,20150616_054938
KPAH20150616_105401_V06,20150616_055401
KPAH20150616_105823_V06,20150616_055823
KPAH20150616_110245_V06,20150616_060245
KPAH20150616_110707_V06,20150616_060707
KPAH20150616_111116_V06,20150616_061116
KPAH20150616_111543_V06,20150616_061543
KPAH20150616_112011_V06,20150616_062011
KPAH20150616_112440_V06,20150616_062440
KPAH20150616_112907_V06,20150616_062907
KPAH20150616_113335_V06,20150616_063335
KPAH20150616_113750_V06,20150616_063750
KPAH20150616_114205_V06,20150616_064205
KPAH20150616_114619_V06,20150616_064619
KPAH20150616_115035_V06,20150616_065035
KPAH20150616_115449_V06,20150616_065449
KPAH20150616_115903_V06,20150616_065903
KPAH20150616_120318_V06,20150616_070318
KPAH20150617_093811_V06,20150617_043811
KPAH20150617_094131_V06,20150617_044131
KPAH20150617_094450_V06,20150617_044450
KPAH20150617_094809_V06,20150617_044809
KPAH20150617_095133_V06,20150617_045133
KPAH20150617_095453_V06,20150617_045453
KPAH20150617_095817_V06,20150617_045817
KPAH20150617_100136_V06,20150617_050136
KPAH20150617_100508_V06,20150617_050508
KPAH20150617_100828_V06,20150617_050828
KPAH20150617_101201_V06,20150617_051201
KPAH20150617_101533_V06,20150617_051533
KPAH20150617_101905_V06,20150617_051905
KPAH20150617_102238_V06,20150617_052238
KPAH20150617_102610_V06,20150617_052610
KPAH20150617_102943_V06,20150617_052943
KPAH20150617_103316_V06,20150617_053316
KPAH20150617_103648_V06,20150617_053648
KPAH20150617_104020_V06,20150617_054020
KPAH20150617_104357_V06,20150617_054357
KPAH20150617_104735_V06,20150617_054735
KPAH20150617_105116_V06,20150617_055116
KPAH20150617_105457_V06,20150617_055457
KPAH20150617_105840_V06,20150617_055840
KPAH20150617_110221_V06,20150617_060221
KPAH20150617_110602_V06,20150617_060602
KPAH20150617_110944_V06,20150617_060944
KPAH20150617_111326_V06,20150617_061326
KPAH20150617_111707_V06,20150617_061707
KPAH20150617_112048_V06,20150617_062048
KPAH20150617_112431_V06,20150617_062431
KPAH20150617_112759_V06,20150617_062759
KPAH20150617_113145_V06,20150617_063145
KPAH20150617_113526_V06,20150617_063526
KPAH20150617_113859_V06,20150617_063859
KPAH20150617_114231_V06,20150617_064231
KPAH20150617_114603_V06,20150617_064603
KPAH20150617_114949_V06,20150617_064949
KPAH20150617_115321_V06,20150617_065321
KPAH20150617_115653_V06,20150617_065653
KPAH20150617_120025_V06,20150617_070025
KPAH20150617_120359_V06,20150617_070359
KPAH20150618_093921_V06,20150618_043921
