filename,local_time
KPOE20140601_100950_V06,20140601_050950
KPOE20140601_101321_V06,20140601_051321
KPOE20140601_101652_V06,20140601_051652
KPOE20140601_102022_V06,20140601_052022
KPOE20140601_102609_V06,20140601_052609
KPOE20140601_102941_V06,20140601_052941
KPOE20140601_103312_V06,20140601_053312
KPOE20140601_103643_V06,20140601_053643
KPOE20140601_104015_V06,20140601_054015
KPOE20140601_104346_V06,20140601_054346
KPOE20140601_104717_V06,20140601_054717
KPOE20140601_105048_V06,20140601_055048
KPOE20140601_105421_V06,20140601_055421
KPOE20140601_105753_V06,20140601_055753
KPOE20140601_110124_V06,20140601_060124
KPOE20140601_110455_V06,20140601_060455
KPOE20140601_110827_V06,20140601_060827
KPOE20140601_111158_V06,20140601_061158
KPOE20140601_111529_V06,20140601_061529
KPOE20140601_111900_V06,20140601_061900
KPOE20140601_112232_V06,20140601_062232
KPOE20140601_112603_V06,20140601_062603
KPOE20140601_112934_V06,20140601_062934
KPOE20140601_113305_V06,20140601_063305
KPOE20140601_113637_V06,20140601_063637
KPOE20140601_114021_V06,20140601_064021
KPOE20140601_114352_V06,20140601_064352
KPOE20140601_114723_V06,20140601_064723
KPOE20140601_115054_V06,20140601_065054
KPOE20140601_115426_V06,20140601_065426
KPOE20140601_115758_V06,20140601_065758
KPOE20140601_120129_V06,20140601_070129
KPOE20140601_120500_V06,20140601_070500
KPOE20140601_120832_V06,20140601_070832
KPOE20140601_121203_V06,20140601_071203
KPOE20140601_121534_V06,20140601_071534
KPOE20140601_121905_V06,20140601_071905
KPOE20140601_122237_V06,20140601_072237
KPOE20140601_122608_V06,20140601_072608
KPOE20140601_122939_V06,20140601_072939
KPOE20140601_123310_V06,20140601_073310
KPOE20140601_123641_V06,20140601_073641
KPOE20140602_101310_V06,20140602_051310
KPOE20140602_102253_V06,20140602_052253
KPOE20140602_103444_V06,20140602_053444
KPOE20140602_104426_V06,20140602_054426
KPOE20140602_105409_V06,20140602_055409
KPOE20140602_110353_V06,20140602_060353
KPOE20140602_111336_V06,20140602_061336
KPOE20140602_112319_V06,20140602_062319
KPOE20140602_113302_V06,20140602_063302
KPOE20140602_114245_V06,20140602_064245
KPOE20140602_115229_V06,20140602_065229
KPOE20140602_120213_V06,20140602_070213
KPOE20140602_121156_V06,20140602_071156
KPOE20140602_122140_V06,20140602_072140
KPOE20140602_123124_V06,20140602_073124
KPOE20140603_101036_V06,20140603_051036
KPOE20140603_102019_V06,20140603_052019
KPOE20140603_103003_V06,20140603_053003
KPOE20140603_104152_V06,20140603_054152
KPOE20140603_105136_V06,20140603_055136
KPOE20140603_110119_V06,20140603_060119
KPOE20140603_111102_V06,20140603_061102
KPOE20140603_112046_V06,20140603_062046
KPOE20140603_113029_V06,20140603_063029
KPOE20140603_114013_V06,20140603_064013
KPOE20140603_114956_V06,20140603_064956
KPOE20140603_115940_V06,20140603_065940
KPOE20140603_120923_V06,20140603_070923
KPOE20140603_121906_V06,20140603_071906
KPOE20140603_122850_V06,20140603_072850
KPOE20140604_101359_V06,20140604_051359
KPOE20140604_102341_V06,20140604_052341
KPOE20140604_103323_V06,20140604_053323
KPOE20140604_105459_V06,20140604_055459
KPOE20140604_110443_V06,20140604_060443
KPOE20140604_111426_V06,20140604_061426
KPOE20140604_112410_V06,20140604_062410
KPOE20140604_113353_V06,20140604_063353
KPOE20140604_114337_V06,20140604_064337
KPOE20140604_115320_V06,20140604_065320
KPOE20140604_120303_V06,20140604_070303
KPOE20140604_121247_V06,20140604_071247
KPOE20140604_122230_V06,20140604_072230
KPOE20140604_123213_V06,20140604_073213
KPOE20140605_101424_V06,20140605_051424
KPOE20140605_102407_V06,20140605_052407
KPOE20140605_103350_V06,20140605_053350
KPOE20140605_104335_V06,20140605_054335
KPOE20140605_105319_V06,20140605_055319
KPOE20140605_110508_V06,20140605_060508
KPOE20140605_111451_V06,20140605_061451
KPOE20140605_112436_V06,20140605_062436
KPOE20140605_113419_V06,20140605_063419
KPOE20140605_114403_V06,20140605_064403
KPOE20140605_115346_V06,20140605_065346
KPOE20140605_120329_V06,20140605_070329
KPOE20140605_121313_V06,20140605_071313
KPOE20140605_122256_V06,20140605_072256
KPOE20140605_123239_V06,20140605_073239
KPOE20140606_100836_V06,20140606_050836
KPOE20140606_101819_V06,20140606_051819
KPOE20140606_102802_V06,20140606_052802
KPOE20140606_103745_V06,20140606_053745
KPOE20140606_104728_V06,20140606_054728
KPOE20140606_105711_V06,20140606_055711
KPOE20140606_110653_V06,20140606_060653
KPOE20140606_111637_V06,20140606_061637
KPOE20140606_112830_V06,20140606_062830
KPOE20140606_113813_V06,20140606_063813
KPOE20140606_114756_V06,20140606_064756
KPOE20140606_115739_V06,20140606_065739
KPOE20140606_120721_V06,20140606_070721
KPOE20140606_121704_V06,20140606_071704
KPOE20140606_122648_V06,20140606_072648
KPOE20140606_123632_V06,20140606_073632
KPOE20140607_101020_V06,20140607_051020
KPOE20140607_102001_V06,20140607_052001
KPOE20140607_102943_V06,20140607_052943
KPOE20140607_103926_V06,20140607_053926
KPOE20140607_104906_V06,20140607_054906
KPOE20140607_105849_V06,20140607_055849
KPOE20140607_110831_V06,20140607_060831
KPOE20140607_111814_V06,20140607_061814
KPOE20140607_112757_V06,20140607_062757
KPOE20140607_113949_V06,20140607_063949
KPOE20140607_114429_V06,20140607_064429
KPOE20140607_114909_V06,20140607_064909
KPOE20140607_115348_V06,20140607_065348
KPOE20140607_115827_V06,20140607_065827
KPOE20140607_120307_V06,20140607_070307
KPOE20140607_120748_V06,20140607_070748
KPOE20140607_121730_V06,20140607_071730
KPOE20140607_122712_V06,20140607_072712
KPOE20140607_123655_V06,20140607_073655
KPOE20140608_101548_V06,20140608_051548
KPOE20140608_102532_V06,20140608_052532
KPOE20140608_103514_V06,20140608_053514
KPOE20140608_104457_V06,20140608_054457
KPOE20140608_105441_V06,20140608_055441
KPOE20140608_110424_V06,20140608_060424
KPOE20140608_111406_V06,20140608_061406
KPOE20140608_112348_V06,20140608_062348
KPOE20140608_113331_V06,20140608_063331
KPOE20140608_114315_V06,20140608_064315
KPOE20140608_120450_V06,20140608_070450
KPOE20140608_121433_V06,20140608_071433
KPOE20140608_122416_V06,20140608_072416
KPOE20140608_123359_V06,20140608_073359
KPOE20140609_101213_V06,20140609_051213
KPOE20140609_101653_V06,20140609_051653
KPOE20140609_102133_V06,20140609_052133
KPOE20140609_102613_V06,20140609_052613
KPOE20140609_103053_V06,20140609_053053
KPOE20140609_103533_V06,20140609_053533
KPOE20140609_104013_V06,20140609_054013
KPOE20140609_104453_V06,20140609_054453
KPOE20140609_104932_V06,20140609_054932
KPOE20140609_105411_V06,20140609_055411
KPOE20140609_105851_V06,20140609_055851
KPOE20140609_110330_V06,20140609_060330
KPOE20140609_110809_V06,20140609_060809
KPOE20140609_111249_V06,20140609_061249
KPOE20140609_111728_V06,20140609_061728
KPOE20140609_112207_V06,20140609_062207
KPOE20140609_112646_V06,20140609_062646
KPOE20140609_113126_V06,20140609_063126
KPOE20140609_113605_V06,20140609_063605
KPOE20140609_114045_V06,20140609_064045
KPOE20140609_114523_V06,20140609_064523
KPOE20140609_115002_V06,20140609_065002
KPOE20140609_115441_V06,20140609_065441
KPOE20140609_120125_V06,20140609_070125
KPOE20140609_120604_V06,20140609_070604
KPOE20140609_121042_V06,20140609_071042
KPOE20140609_121522_V06,20140609_071522
KPOE20140609_122000_V06,20140609_072000
KPOE20140609_122439_V06,20140609_072439
KPOE20140609_122919_V06,20140609_072919
KPOE20140609_123358_V06,20140609_073358
KPOE20140610_115800_V06,20140610_065800
KPOE20140610_120504_V06,20140610_070504
KPOE20140610_120945_V06,20140610_070945
KPOE20140610_121426_V06,20140610_071426
KPOE20140610_121907_V06,20140610_071907
KPOE20140610_122346_V06,20140610_072346
KPOE20140610_122827_V06,20140610_072827
KPOE20140610_123308_V06,20140610_073308
KPOE20140611_101221_V06,20140611_051221
KPOE20140611_102205_V06,20140611_052205
KPOE20140611_103148_V06,20140611_053148
KPOE20140611_104132_V06,20140611_054132
KPOE20140611_105116_V06,20140611_055116
KPOE20140611_110059_V06,20140611_060059
KPOE20140611_111043_V06,20140611_061043
KPOE20140611_112027_V06,20140611_062027
KPOE20140611_113010_V06,20140611_063010
KPOE20140611_113953_V06,20140611_063953
KPOE20140611_114937_V06,20140611_064937
KPOE20140611_115922_V06,20140611_065922
KPOE20140611_120905_V06,20140611_070905
KPOE20140611_121850_V06,20140611_071850
KPOE20140611_122834_V06,20140611_072834
KPOE20140612_101633_V06,20140612_051633
KPOE20140612_102616_V06,20140612_052616
KPOE20140612_103559_V06,20140612_053559
KPOE20140612_104542_V06,20140612_054542
KPOE20140612_105524_V06,20140612_055524
KPOE20140612_110506_V06,20140612_060506
KPOE20140612_111450_V06,20140612_061450
KPOE20140612_112432_V06,20140612_062432
KPOE20140612_113415_V06,20140612_063415
KPOE20140612_114358_V06,20140612_064358
KPOE20140612_115341_V06,20140612_065341
KPOE20140612_120323_V06,20140612_070323
KPOE20140612_121306_V06,20140612_071306
KPOE20140612_122249_V06,20140612_072249
KPOE20140612_123232_V06,20140612_073232
KPOE20140613_100924_V06,20140613_050924
KPOE20140613_101403_V06,20140613_051403
KPOE20140613_101843_V06,20140613_051843
KPOE20140613_102323_V06,20140613_052323
KPOE20140613_102802_V06,20140613_052802
