filename,local_time
KPUX20140601_103632_V06,20140601_043632
KPUX20140601_104006_V06,20140601_044006
KPUX20140601_104340_V06,20140601_044340
KPUX20140601_104714_V06,20140601_044714
KPUX20140601_105050_V06,20140601_045050
KPUX20140601_105424_V06,20140601_045424
KPUX20140601_105758_V06,20140601_045758
KPUX20140601_110132_V06,20140601_050132
KPUX20140601_110507_V06,20140601_050507
KPUX20140601_110836_V06,20140601_050836
KPUX20140601_111205_V06,20140601_051205
KPUX20140601_111534_V06,20140601_051534
KPUX20140601_111905_V06,20140601_051905
KPUX20140601_112235_V06,20140601_052235
KPUX20140601_112604_V06,20140601_052604
KPUX20140601_112934_V06,20140601_052934
KPUX20140601_113303_V06,20140601_053303
KPUX20140601_113634_V06,20140601_053634
KPUX20140601_114003_V06,20140601_054003
KPUX20140601_114331_V06,20140601_054331
KPUX20140601_114701_V06,20140601_054701
KPUX20140601_115025_V06,20140601_055025
KPUX20140601_115350_V06,20140601_055350
KPUX20140601_120318_V06,20140601_060318
KPUX20140601_121247_V06,20140601_061247
KPUX20140601_121616_V06,20140601_061616
KPUX20140601_121945_V06,20140601_061945
KPUX20140601_122320_V06,20140601_062320
KPUX20140601_122654_V06,20140601_062654
KPUX20140601_123029_V06,20140601_063029
KPUX20140601_123403_V06,20140601_063403
KPUX20140601_123732_V06,20140601_063732
KPUX20140601_124101_V06,20140601_064101
KPUX20140601_124431_V06,20140601_064431
KPUX20140601_124806_V06,20140601_064806
KPUX20140601_125141_V06,20140601_065141
KPUX20140601_125510_V06,20140601_065510
KPUX20140601_125844_V06,20140601_065844
KPUX20140601_130213_V06,20140601_070213
KPUX20140602_103521_V06,20140602_043521
KPUX20140602_103855_V06,20140602_043855
KPUX20140602_104230_V06,20140602_044230
KPUX20140602_104604_V06,20140602_044604
KPUX20140602_104938_V06,20140602_044938
KPUX20140602_105313_V06,20140602_045313
KPUX20140602_105648_V06,20140602_045648
KPUX20140602_110022_V06,20140602_050022
KPUX20140602_110357_V06,20140602_050357
KPUX20140602_110731_V06,20140602_050731
KPUX20140602_111106_V06,20140602_051106
KPUX20140602_111440_V06,20140602_051440
KPUX20140602_111815_V06,20140602_051815
KPUX20140602_112149_V06,20140602_052149
KPUX20140602_112524_V06,20140602_052524
KPUX20140602_112858_V06,20140602_052858
KPUX20140602_113234_V06,20140602_053234
KPUX20140602_113608_V06,20140602_053608
KPUX20140602_113942_V06,20140602_053942
KPUX20140602_114317_V06,20140602_054317
KPUX20140602_114651_V06,20140602_054651
KPUX20140602_115026_V06,20140602_055026
KPUX20140602_115401_V06,20140602_055401
KPUX20140602_115735_V06,20140602_055735
KPUX20140602_120109_V06,20140602_060109
KPUX20140602_120443_V06,20140602_060443
KPUX20140602_120818_V06,20140602_060818
KPUX20140602_121152_V06,20140602_061152
KPUX20140602_121527_V06,20140602_061527
KPUX20140602_121901_V06,20140602_061901
KPUX20140602_122237_V06,20140602_062237
KPUX20140602_122611_V06,20140602_062611
KPUX20140602_122945_V06,20140602_062945
KPUX20140602_123320_V06,20140602_063320
KPUX20140602_123655_V06,20140602_063655
KPUX20140602_124029_V06,20140602_064029
KPUX20140602_124403_V06,20140602_064403
KPUX20140602_124738_V06,20140602_064738
KPUX20140602_125113_V06,20140602_065113
