filename,local_time
KRIW20180601_104043_V06,20180601_044043
KRIW20180601_104428_V06,20180601_044428
KRIW20180601_104814_V06,20180601_044814
KRIW20180601_105200_V06,20180601_045200
KRIW20180601_105546_V06,20180601_045546
KRIW20180601_110317_V06,20180601_050317
KRIW20180601_110702_V06,20180601_050702
KRIW20180601_111048_V06,20180601_051048
KRIW20180601_111434_V06,20180601_051434
KRIW20180601_111820_V06,20180601_051820
KRIW20180601_112207_V06,20180601_052207
KRIW20180601_112553_V06,20180601_052553
KRIW20180601_112938_V06,20180601_052938
KRIW20180601_113324_V06,20180601_053324
KRIW20180601_113724_V06,20180601_053724
KRIW20180601_114109_V06,20180601_054109
KRIW20180601_114454_V06,20180601_054454
KRIW20180601_114840_V06,20180601_054840
KRIW20180601_115319_V06,20180601_055319
KRIW20180601_120103_V06,20180601_060103
KRIW20180601_120503_V06,20180601_060503
KRIW20180601_120915_V06,20180601_060915
KRIW20180601_121314_V06,20180601_061314
KRIW20180601_121714_V06,20180601_061714
KRIW20180601_122113_V06,20180601_062113
KRIW20180601_122512_V06,20180601_062512
KRIW20180601_122938_V06,20180601_062938
KRIW20180601_123351_V06,20180601_063351
KRIW20180601_123750_V06,20180601_063750
KRIW20180601_124149_V06,20180601_064149
KRIW20180601_124535_V06,20180601_064535
KRIW20180601_124921_V06,20180601_064921
KRIW20180601_125307_V06,20180601_065307
KRIW20180601_130040_V06,20180601_070040
KRIW20180601_130426_V06,20180601_070426
KRIW20180602_104237_V06,20180602_044237
KRIW20180602_110211_V06,20180602_050211
KRIW20180602_111157_V06,20180602_051157
KRIW20180602_112144_V06,20180602_052144
KRIW20180602_113131_V06,20180602_053131
KRIW20180602_114118_V06,20180602_054118
KRIW20180602_120051_V06,20180602_060051
KRIW20180602_121038_V06,20180602_061038
KRIW20180602_122025_V06,20180602_062025
KRIW20180602_123012_V06,20180602_063012
KRIW20180602_123958_V06,20180602_063958
KRIW20180602_124945_V06,20180602_064945
KRIW20180603_104602_V06,20180603_044602
KRIW20180603_110535_V06,20180603_050535
KRIW20180603_111522_V06,20180603_051522
KRIW20180603_112509_V06,20180603_052509
KRIW20180603_113456_V06,20180603_053456
KRIW20180603_114442_V06,20180603_054442
KRIW20180603_120417_V06,20180603_060417
KRIW20180603_121404_V06,20180603_061404
KRIW20180603_122350_V06,20180603_062350
KRIW20180603_123337_V06,20180603_063337
KRIW20180603_124324_V06,20180603_064324
KRIW20180603_130257_V06,20180603_070257
KRIW20180604_103941_V06,20180604_043941
KRIW20180604_104928_V06,20180604_044928
KRIW20180604_110901_V06,20180604_050901
KRIW20180604_111848_V06,20180604_051848
KRIW20180604_112835_V06,20180604_052835
KRIW20180604_113822_V06,20180604_053822
KRIW20180604_114808_V06,20180604_054808
KRIW20180604_120741_V06,20180604_060741
KRIW20180604_121728_V06,20180604_061728
KRIW20180604_122715_V06,20180604_062715
KRIW20180604_123702_V06,20180604_063702
KRIW20180604_124649_V06,20180604_064649
KRIW20180605_103714_V06,20180605_043714
KRIW20180605_104101_V06,20180605_044101
KRIW20180605_104447_V06,20180605_044447
KRIW20180605_104833_V06,20180605_044833
KRIW20180605_105219_V06,20180605_045219
KRIW20180605_105605_V06,20180605_045605
KRIW20180605_110337_V06,20180605_050337
KRIW20180605_110723_V06,20180605_050723
KRIW20180605_111110_V06,20180605_051110
KRIW20180605_111456_V06,20180605_051456
KRIW20180605_111841_V06,20180605_051841
KRIW20180605_112226_V06,20180605_052226
KRIW20180605_112613_V06,20180605_052613
KRIW20180605_112959_V06,20180605_052959
KRIW20180605_113345_V06,20180605_053345
KRIW20180605_113733_V06,20180605_053733
KRIW20180605_114119_V06,20180605_054119
KRIW20180605_114504_V06,20180605_054504
KRIW20180605_114850_V06,20180605_054850
KRIW20180605_115237_V06,20180605_055237
KRIW20180605_120009_V06,20180605_060009
KRIW20180605_120356_V06,20180605_060356
KRIW20180605_120742_V06,20180605_060742
KRIW20180605_121128_V06,20180605_061128
KRIW20180605_121515_V06,20180605_061515
KRIW20180605_122502_V06,20180605_062502
KRIW20180605_123449_V06,20180605_063449
KRIW20180605_124436_V06,20180605_064436
KRIW20180605_130409_V06,20180605_070409
KRIW20180606_104427_V06,20180606_044427
KRIW20180606_110401_V06,20180606_050401
KRIW20180606_111348_V06,20180606_051348
KRIW20180606_112334_V06,20180606_052334
KRIW20180606_113321_V06,20180606_053321
KRIW20180606_114308_V06,20180606_054308
KRIW20180606_120242_V06,20180606_060242
KRIW20180606_121229_V06,20180606_061229
KRIW20180606_122216_V06,20180606_062216
KRIW20180606_123203_V06,20180606_063203
KRIW20180606_124150_V06,20180606_064150
KRIW20180606_130123_V06,20180606_070123
KRIW20180607_104220_V06,20180607_044220
KRIW20180607_110154_V06,20180607_050154
KRIW20180607_111140_V06,20180607_051140
KRIW20180607_112127_V06,20180607_052127
KRIW20180607_113114_V06,20180607_053114
KRIW20180607_113501_V06,20180607_053501
KRIW20180607_114448_V06,20180607_054448
KRIW20180607_114834_V06,20180607_054834
KRIW20180607_115254_V06,20180607_055254
KRIW20180607_120131_V06,20180607_060131
KRIW20180607_120550_V06,20180607_060550
KRIW20180607_121010_V06,20180607_061010
KRIW20180607_121429_V06,20180607_061429
KRIW20180607_121847_V06,20180607_061847
KRIW20180607_122307_V06,20180607_062307
KRIW20180607_122726_V06,20180607_062726
KRIW20180607_123146_V06,20180607_063146
KRIW20180607_124133_V06,20180607_064133
