filename,local_time
KRLX20170601_090608_V06,20170601_050608
KRLX20170601_090941_V06,20170601_050941
KRLX20170601_091314_V06,20170601_051314
KRLX20170601_091648_V06,20170601_051648
KRLX20170601_092047_V06,20170601_052047
KRLX20170601_093030_V06,20170601_053030
KRLX20170601_094014_V06,20170601_054014
KRLX20170601_094958_V06,20170601_054958
KRLX20170601_095942_V06,20170601_055942
KRLX20170601_100926_V06,20170601_060926
KRLX20170601_101909_V06,20170601_061909
KRLX20170601_102854_V06,20170601_062854
KRLX20170601_103839_V06,20170601_063839
KRLX20170601_104825_V06,20170601_064825
KRLX20170601_105810_V06,20170601_065810
KRLX20170601_110756_V06,20170601_070756
KRLX20170601_111742_V06,20170601_071742
KRLX20170601_112728_V06,20170601_072728
KRLX20170602_090839_V06,20170602_050839
KRLX20170602_091825_V06,20170602_051825
KRLX20170602_092812_V06,20170602_052812
KRLX20170602_093758_V06,20170602_053758
KRLX20170602_094744_V06,20170602_054744
KRLX20170602_095730_V06,20170602_055730
KRLX20170602_100717_V06,20170602_060717
KRLX20170602_101704_V06,20170602_061704
KRLX20170602_102650_V06,20170602_062650
KRLX20170602_103657_V06,20170602_063657
KRLX20170602_104012_V06,20170602_064012
KRLX20170602_104326_V06,20170602_064326
KRLX20170602_104640_V06,20170602_064640
KRLX20170602_104955_V06,20170602_064955
KRLX20170602_105309_V06,20170602_065309
KRLX20170602_105623_V06,20170602_065623
KRLX20170602_105937_V06,20170602_065937
KRLX20170602_110252_V06,20170602_070252
KRLX20170602_110606_V06,20170602_070606
KRLX20170602_110920_V06,20170602_070920
KRLX20170602_111234_V06,20170602_071234
KRLX20170602_111549_V06,20170602_071549
KRLX20170602_111903_V06,20170602_071903
KRLX20170602_112217_V06,20170602_072217
KRLX20170602_112531_V06,20170602_072531
KRLX20170602_112845_V06,20170602_072845
KRLX20170602_113224_V06,20170602_073224
KRLX20170603_090635_V06,20170603_050635
KRLX20170603_091621_V06,20170603_051621
KRLX20170603_092608_V06,20170603_052608
KRLX20170603_093555_V06,20170603_053555
KRLX20170603_094542_V06,20170603_054542
KRLX20170603_095528_V06,20170603_055528
KRLX20170603_100514_V06,20170603_060514
KRLX20170603_101500_V06,20170603_061500
KRLX20170603_102446_V06,20170603_062446
KRLX20170603_103432_V06,20170603_063432
KRLX20170603_104418_V06,20170603_064418
KRLX20170603_105403_V06,20170603_065403
KRLX20170603_110349_V06,20170603_070349
KRLX20170603_111335_V06,20170603_071335
KRLX20170603_112322_V06,20170603_072322
KRLX20170603_113308_V06,20170603_073308
KRLX20170604_091005_V06,20170604_051005
KRLX20170604_091951_V06,20170604_051951
KRLX20170604_092938_V06,20170604_052938
KRLX20170604_093923_V06,20170604_053923
KRLX20170604_094910_V06,20170604_054910
KRLX20170604_095856_V06,20170604_055856
KRLX20170604_100843_V06,20170604_060843
KRLX20170604_101829_V06,20170604_061829
KRLX20170604_102815_V06,20170604_062815
KRLX20170604_103801_V06,20170604_063801
KRLX20170604_104746_V06,20170604_064746
KRLX20170604_105733_V06,20170604_065733
KRLX20170604_110720_V06,20170604_070720
KRLX20170604_111705_V06,20170604_071705
KRLX20170604_112652_V06,20170604_072652
KRLX20170605_090823_V06,20170605_050823
KRLX20170605_091330_V06,20170605_051330
KRLX20170605_091838_V06,20170605_051838
KRLX20170605_092346_V06,20170605_052346
KRLX20170605_092853_V06,20170605_052853
KRLX20170605_093400_V06,20170605_053400
KRLX20170605_093908_V06,20170605_053908
KRLX20170605_094415_V06,20170605_054415
KRLX20170605_094922_V06,20170605_054922
KRLX20170605_095429_V06,20170605_055429
KRLX20170605_095937_V06,20170605_055937
KRLX20170605_100444_V06,20170605_060444
KRLX20170605_100952_V06,20170605_060952
KRLX20170605_101458_V06,20170605_061458
KRLX20170605_102005_V06,20170605_062005
KRLX20170605_102514_V06,20170605_062514
KRLX20170605_103022_V06,20170605_063022
KRLX20170605_103529_V06,20170605_063529
KRLX20170605_104036_V06,20170605_064036
KRLX20170605_104530_V06,20170605_064530
KRLX20170605_105023_V06,20170605_065023
KRLX20170605_105517_V06,20170605_065517
KRLX20170605_110025_V06,20170605_070025
KRLX20170605_110533_V06,20170605_070533
KRLX20170605_111040_V06,20170605_071040
KRLX20170605_111547_V06,20170605_071547
KRLX20170605_112056_V06,20170605_072056
KRLX20170605_112603_V06,20170605_072603
KRLX20170605_113110_V06,20170605_073110
KRLX20170606_090438_V06,20170606_050438
KRLX20170606_091425_V06,20170606_051425
KRLX20170606_092412_V06,20170606_052412
KRLX20170606_093400_V06,20170606_053400
KRLX20170606_094348_V06,20170606_054348
KRLX20170606_095336_V06,20170606_055336
KRLX20170606_100323_V06,20170606_060323
KRLX20170606_101311_V06,20170606_061311
KRLX20170606_102259_V06,20170606_062259
KRLX20170606_103247_V06,20170606_063247
KRLX20170606_104233_V06,20170606_064233
KRLX20170606_105220_V06,20170606_065220
KRLX20170606_110207_V06,20170606_070207
KRLX20170606_111155_V06,20170606_071155
KRLX20170606_112142_V06,20170606_072142
KRLX20170606_113130_V06,20170606_073130
KRLX20170607_091052_V06,20170607_051052
KRLX20170607_092039_V06,20170607_052039
KRLX20170607_093027_V06,20170607_053027
KRLX20170607_094013_V06,20170607_054013
KRLX20170607_095000_V06,20170607_055000
KRLX20170607_095948_V06,20170607_055948
KRLX20170607_100935_V06,20170607_060935
KRLX20170607_101922_V06,20170607_061922
KRLX20170607_102909_V06,20170607_062909
KRLX20170607_103856_V06,20170607_063856
KRLX20170607_104843_V06,20170607_064843
KRLX20170607_105831_V06,20170607_065831
KRLX20170607_110818_V06,20170607_070818
KRLX20170607_111805_V06,20170607_071805
KRLX20170607_112752_V06,20170607_072752
KRLX20170608_090704_V06,20170608_050704
KRLX20170608_091651_V06,20170608_051651
KRLX20170608_092637_V06,20170608_052637
KRLX20170608_093624_V06,20170608_053624
KRLX20170608_094611_V06,20170608_054611
KRLX20170608_095558_V06,20170608_055558
KRLX20170608_100544_V06,20170608_060544
KRLX20170608_101531_V06,20170608_061531
KRLX20170608_102518_V06,20170608_062518
KRLX20170608_103505_V06,20170608_063505
KRLX20170608_104451_V06,20170608_064451
KRLX20170608_105438_V06,20170608_065438
KRLX20170608_110425_V06,20170608_070425
KRLX20170608_111411_V06,20170608_071411
KRLX20170608_112358_V06,20170608_072358
KRLX20170609_090924_V06,20170609_050924
KRLX20170609_091911_V06,20170609_051911
KRLX20170609_092857_V06,20170609_052857
KRLX20170609_093844_V06,20170609_053844
KRLX20170609_094831_V06,20170609_054831
KRLX20170609_095818_V06,20170609_055818
KRLX20170609_100804_V06,20170609_060804
KRLX20170609_101751_V06,20170609_061751
KRLX20170609_102738_V06,20170609_062738
KRLX20170609_103725_V06,20170609_063725
KRLX20170609_104711_V06,20170609_064711
KRLX20170609_105658_V06,20170609_065658
KRLX20170609_110645_V06,20170609_070645
KRLX20170609_111632_V06,20170609_071632
KRLX20170609_112619_V06,20170609_072619
KRLX20170610_090441_V06,20170610_050441
KRLX20170610_091446_V06,20170610_051446
KRLX20170610_091801_V06,20170610_051801
KRLX20170610_092115_V06,20170610_052115
KRLX20170610_092430_V06,20170610_052430
KRLX20170610_092744_V06,20170610_052744
KRLX20170610_093059_V06,20170610_053059
KRLX20170610_093413_V06,20170610_053413
KRLX20170610_093727_V06,20170610_053727
KRLX20170610_094041_V06,20170610_054041
KRLX20170610_094356_V06,20170610_054356
KRLX20170610_094710_V06,20170610_054710
KRLX20170610_095024_V06,20170610_055024
KRLX20170610_095338_V06,20170610_055338
KRLX20170610_095653_V06,20170610_055653
KRLX20170610_100007_V06,20170610_060007
