filename,local_time
KRTX20160601_113428_V06,20160601_043428
KRTX20160601_114412_V06,20160601_044412
KRTX20160601_115357_V06,20160601_045357
KRTX20160601_120342_V06,20160601_050342
KRTX20160601_121327_V06,20160601_051327
KRTX20160601_122311_V06,20160601_052311
KRTX20160601_123256_V06,20160601_053256
KRTX20160601_124241_V06,20160601_054241
KRTX20160601_125226_V06,20160601_055226
KRTX20160601_130212_V06,20160601_060212
KRTX20160601_131157_V06,20160601_061157
KRTX20160601_132142_V06,20160601_062142
KRTX20160601_133126_V06,20160601_063126
KRTX20160601_134109_V06,20160601_064109
KRTX20160601_135054_V06,20160601_065054
KRTX20160602_112808_V06,20160602_042808
KRTX20160602_113334_V06,20160602_043334
KRTX20160602_113903_V06,20160602_043903
KRTX20160602_114432_V06,20160602_044432
KRTX20160602_114945_V06,20160602_044945
KRTX20160602_115446_V06,20160602_045446
KRTX20160602_115947_V06,20160602_045947
KRTX20160602_120434_V06,20160602_050434
KRTX20160602_120906_V06,20160602_050906
KRTX20160602_121326_V06,20160602_051326
KRTX20160602_121746_V06,20160602_051746
KRTX20160602_122206_V06,20160602_052206
KRTX20160602_122627_V06,20160602_052627
KRTX20160602_123047_V06,20160602_053047
KRTX20160602_123507_V06,20160602_053507
KRTX20160602_123927_V06,20160602_053927
KRTX20160602_124347_V06,20160602_054347
KRTX20160602_124808_V06,20160602_054808
KRTX20160602_125228_V06,20160602_055228
KRTX20160602_125648_V06,20160602_055648
KRTX20160602_130108_V06,20160602_060108
KRTX20160602_130528_V06,20160602_060528
KRTX20160602_130949_V06,20160602_060949
KRTX20160602_131409_V06,20160602_061409
KRTX20160602_131829_V06,20160602_061829
KRTX20160602_132249_V06,20160602_062249
KRTX20160602_132709_V06,20160602_062709
KRTX20160602_133130_V06,20160602_063130
KRTX20160602_133549_V06,20160602_063549
KRTX20160602_134009_V06,20160602_064009
KRTX20160602_134430_V06,20160602_064430
KRTX20160602_134850_V06,20160602_064850
KRTX20160602_135310_V06,20160602_065310
KRTX20160603_113218_V06,20160603_043218
KRTX20160603_114204_V06,20160603_044204
KRTX20160603_115149_V06,20160603_045149
KRTX20160603_120134_V06,20160603_050134
KRTX20160603_121120_V06,20160603_051120
KRTX20160603_122106_V06,20160603_052106
KRTX20160603_123052_V06,20160603_053052
KRTX20160603_124036_V06,20160603_054036
KRTX20160603_125024_V06,20160603_055024
KRTX20160603_130008_V06,20160603_060008
KRTX20160603_130954_V06,20160603_060954
KRTX20160603_131940_V06,20160603_061940
KRTX20160603_132924_V06,20160603_062924
KRTX20160603_133910_V06,20160603_063910
KRTX20160603_134856_V06,20160603_064856
KRTX20160604_113121_V06,20160604_043121
KRTX20160604_114105_V06,20160604_044105
KRTX20160604_115050_V06,20160604_045050
KRTX20160604_120034_V06,20160604_050034
KRTX20160604_121019_V06,20160604_051019
KRTX20160604_122003_V06,20160604_052003
KRTX20160604_122948_V06,20160604_052948
KRTX20160604_123932_V06,20160604_053932
KRTX20160604_124917_V06,20160604_054917
KRTX20160604_125902_V06,20160604_055902
KRTX20160604_130847_V06,20160604_060847
KRTX20160604_131831_V06,20160604_061831
KRTX20160604_132816_V06,20160604_062816
KRTX20160604_133802_V06,20160604_063802
KRTX20160604_134746_V06,20160604_064746
KRTX20160605_112706_V06,20160605_042706
KRTX20160605_113650_V06,20160605_043650
KRTX20160605_114634_V06,20160605_044634
KRTX20160605_115618_V06,20160605_045618
KRTX20160605_120601_V06,20160605_050601
KRTX20160605_121545_V06,20160605_051545
KRTX20160605_122528_V06,20160605_052528
KRTX20160605_123512_V06,20160605_053512
KRTX20160605_124455_V06,20160605_054455
KRTX20160605_125439_V06,20160605_055439
KRTX20160605_130422_V06,20160605_060422
KRTX20160605_131405_V06,20160605_061405
KRTX20160605_132348_V06,20160605_062348
KRTX20160605_133332_V06,20160605_063332
KRTX20160605_134316_V06,20160605_064316
KRTX20160605_135300_V06,20160605_065300
KRTX20160606_112732_V06,20160606_042732
KRTX20160606_113717_V06,20160606_043717
KRTX20160606_114701_V06,20160606_044701
KRTX20160606_115645_V06,20160606_045645
KRTX20160606_120630_V06,20160606_050630
KRTX20160606_121615_V06,20160606_051615
KRTX20160606_122559_V06,20160606_052559
KRTX20160606_123543_V06,20160606_053543
KRTX20160606_124527_V06,20160606_054527
KRTX20160606_125510_V06,20160606_055510
KRTX20160606_130455_V06,20160606_060455
KRTX20160606_131440_V06,20160606_061440
KRTX20160606_132423_V06,20160606_062423
KRTX20160606_133408_V06,20160606_063408
KRTX20160606_134353_V06,20160606_064353
KRTX20160607_113021_V06,20160607_043021
KRTX20160607_114006_V06,20160607_044006
KRTX20160607_114950_V06,20160607_044950
KRTX20160607_115936_V06,20160607_045936
KRTX20160607_120920_V06,20160607_050920
KRTX20160607_121254_V06,20160607_051254
KRTX20160607_121839_V06,20160607_051839
KRTX20160607_122425_V06,20160607_052425
KRTX20160607_123010_V06,20160607_053010
KRTX20160607_123556_V06,20160607_053556
KRTX20160607_124141_V06,20160607_054141
KRTX20160607_124727_V06,20160607_054727
KRTX20160607_125312_V06,20160607_055312
KRTX20160607_125857_V06,20160607_055857
KRTX20160607_130442_V06,20160607_060442
KRTX20160607_131026_V06,20160607_061026
KRTX20160607_131612_V06,20160607_061612
KRTX20160607_132156_V06,20160607_062156
KRTX20160607_132741_V06,20160607_062741
KRTX20160607_133326_V06,20160607_063326
KRTX20160607_133911_V06,20160607_063911
KRTX20160607_134456_V06,20160607_064456
KRTX20160607_134918_V06,20160607_064918
KRTX20160608_112315_V06,20160608_042315
KRTX20160608_112715_V06,20160608_042715
KRTX20160608_113121_V06,20160608_043121
KRTX20160608_113528_V06,20160608_043528
KRTX20160608_113934_V06,20160608_043934
KRTX20160608_114340_V06,20160608_044340
KRTX20160608_114747_V06,20160608_044747
KRTX20160608_115154_V06,20160608_045154
KRTX20160608_115607_V06,20160608_045607
KRTX20160608_120020_V06,20160608_050020
