filename,local_time
KSFX20200601_110704_V06,20200601_050704
KSFX20200601_111407_V06,20200601_051407
KSFX20200601_112110_V06,20200601_052110
KSFX20200601_112814_V06,20200601_052814
KSFX20200601_113517_V06,20200601_053517
KSFX20200601_114220_V06,20200601_054220
KSFX20200601_114923_V06,20200601_054923
KSFX20200601_120255_V06,20200601_060255
KSFX20200601_120939_V06,20200601_060939
KSFX20200601_121628_V06,20200601_061628
KSFX20200601_122315_V06,20200601_062315
KSFX20200601_122959_V06,20200601_062959
KSFX20200601_123647_V06,20200601_063647
KSFX20200601_124529_V06,20200601_064529
KSFX20200601_125216_V06,20200601_065216
KSFX20200601_130543_V06,20200601_070543
KSFX20200601_131228_V06,20200601_071228
KSFX20200601_131916_V06,20200601_071916
KSFX20200602_105433_V06,20200602_045433
KSFX20200602_110353_V06,20200602_050353
KSFX20200602_110832_V06,20200602_050832
KSFX20200602_111311_V06,20200602_051311
KSFX20200602_111751_V06,20200602_051751
KSFX20200602_112246_V06,20200602_052246
KSFX20200602_112725_V06,20200602_052725
KSFX20200602_113248_V06,20200602_053248
KSFX20200602_113712_V06,20200602_053712
KSFX20200602_114136_V06,20200602_054136
KSFX20200602_114714_V06,20200602_054714
KSFX20200602_115252_V06,20200602_055252
KSFX20200602_120408_V06,20200602_060408
KSFX20200602_121016_V06,20200602_061016
KSFX20200602_121555_V06,20200602_061555
KSFX20200602_122148_V06,20200602_062148
KSFX20200602_122736_V06,20200602_062736
KSFX20200602_123230_V06,20200602_063230
KSFX20200602_123724_V06,20200602_063724
KSFX20200602_124331_V06,20200602_064331
KSFX20200602_125135_V06,20200602_065135
KSFX20200602_130314_V06,20200602_070314
KSFX20200602_130840_V06,20200602_070840
KSFX20200602_131334_V06,20200602_071334
KSFX20200602_131829_V06,20200602_071829
KSFX20200602_132309_V06,20200602_072309
KSFX20200603_110113_V06,20200603_050113
KSFX20200603_110551_V06,20200603_050551
KSFX20200603_111031_V06,20200603_051031
KSFX20200603_111510_V06,20200603_051510
KSFX20200603_111950_V06,20200603_051950
KSFX20200603_112431_V06,20200603_052431
KSFX20200603_112911_V06,20200603_052911
KSFX20200603_113350_V06,20200603_053350
KSFX20200603_113829_V06,20200603_053829
KSFX20200603_114309_V06,20200603_054309
KSFX20200603_114813_V06,20200603_054813
