filename,local_time
KTBW20210601_093832_V06,20210601_053832
KTBW20210601_094707_V06,20210601_054707
KTBW20210601_100356_V06,20210601_060356
KTBW20210601_101421_V06,20210601_061421
KTBW20210601_102250_V06,20210601_062250
KTBW20210601_103114_V06,20210601_063114
KTBW20210601_103949_V06,20210601_063949
KTBW20210601_104818_V06,20210601_064818
KTBW20210601_110544_V06,20210601_070544
KTBW20210601_111428_V06,20210601_071428
KTBW20210601_112312_V06,20210601_072312
KTBW20210601_113156_V06,20210601_073156
KTBW20210601_114039_V06,20210601_074039
KTBW20210601_114923_V06,20210601_074923
KTBW20210602_093454_V06,20210602_053454
KTBW20210602_094015_V06,20210602_054015
KTBW20210602_094536_V06,20210602_054536
KTBW20210602_095057_V06,20210602_055057
KTBW20210602_100138_V06,20210602_060138
KTBW20210602_100658_V06,20210602_060658
KTBW20210602_101219_V06,20210602_061219
KTBW20210602_101746_V06,20210602_061746
KTBW20210602_102509_V06,20210602_062509
KTBW20210602_103035_V06,20210602_063035
KTBW20210602_103602_V06,20210602_063602
KTBW20210602_104129_V06,20210602_064129
KTBW20210602_104657_V06,20210602_064657
KTBW20210602_105225_V06,20210602_065225
KTBW20210602_110319_V06,20210602_070319
KTBW20210602_110847_V06,20210602_070847
KTBW20210602_111402_V06,20210602_071402
KTBW20210602_111923_V06,20210602_071923
KTBW20210602_112443_V06,20210602_072443
KTBW20210602_113003_V06,20210602_073003
KTBW20210602_113524_V06,20210602_073524
KTBW20210602_114052_V06,20210602_074052
KTBW20210602_114620_V06,20210602_074620
KTBW20210602_115148_V06,20210602_075148
KTBW20210602_120243_V06,20210602_080243
KTBW20210603_093627_V06,20210603_053627
KTBW20210603_094154_V06,20210603_054154
KTBW20210603_094721_V06,20210603_054721
KTBW20210603_095249_V06,20210603_055249
KTBW20210603_100345_V06,20210603_060345
KTBW20210603_100912_V06,20210603_060912
KTBW20210603_101440_V06,20210603_061440
KTBW20210603_102007_V06,20210603_062007
KTBW20210603_102535_V06,20210603_062535
KTBW20210603_103305_V06,20210603_063305
KTBW20210603_103833_V06,20210603_063833
KTBW20210603_104400_V06,20210603_064400
KTBW20210603_104927_V06,20210603_064927
KTBW20210603_110023_V06,20210603_070023
KTBW20210603_110550_V06,20210603_070550
KTBW20210603_111126_V06,20210603_071126
KTBW20210603_111701_V06,20210603_071701
KTBW20210603_112229_V06,20210603_072229
KTBW20210603_112757_V06,20210603_072757
KTBW20210603_113325_V06,20210603_073325
KTBW20210603_113835_V06,20210603_073835
KTBW20210603_114403_V06,20210603_074403
KTBW20210603_114930_V06,20210603_074930
KTBW20210603_120025_V06,20210603_080025
KTBW20210604_093813_V06,20210604_053813
KTBW20210604_094341_V06,20210604_054341
KTBW20210604_094908_V06,20210604_054908
KTBW20210604_095444_V06,20210604_055444
KTBW20210604_100546_V06,20210604_060546
KTBW20210604_101112_V06,20210604_061112
KTBW20210604_101640_V06,20210604_061640
KTBW20210604_102216_V06,20210604_062216
KTBW20210604_102753_V06,20210604_062753
KTBW20210604_103329_V06,20210604_063329
KTBW20210604_104106_V06,20210604_064106
KTBW20210604_104643_V06,20210604_064643
KTBW20210604_105220_V06,20210604_065220
KTBW20210604_110332_V06,20210604_070332
KTBW20210604_110909_V06,20210604_070909
KTBW20210604_111446_V06,20210604_071446
KTBW20210604_112022_V06,20210604_072022
KTBW20210604_112558_V06,20210604_072558
KTBW20210604_113134_V06,20210604_073134
KTBW20210604_113711_V06,20210604_073711
KTBW20210604_114248_V06,20210604_074248
KTBW20210604_114824_V06,20210604_074824
KTBW20210604_115359_V06,20210604_075359
KTBW20210605_093443_V06,20210605_053443
KTBW20210605_094011_V06,20210605_054011
KTBW20210605_094537_V06,20210605_054537
KTBW20210605_095104_V06,20210605_055104
KTBW20210605_100159_V06,20210605_060159
KTBW20210605_100726_V06,20210605_060726
KTBW20210605_101254_V06,20210605_061254
KTBW20210605_101821_V06,20210605_061821
KTBW20210605_102348_V06,20210605_062348
KTBW20210605_102916_V06,20210605_062916
KTBW20210605_103437_V06,20210605_063437
KTBW20210605_103958_V06,20210605_063958
KTBW20210605_104719_V06,20210605_064719
KTBW20210605_105246_V06,20210605_065246
KTBW20210605_110336_V06,20210605_070336
KTBW20210605_110857_V06,20210605_070857
KTBW20210605_111417_V06,20210605_071417
KTBW20210605_111938_V06,20210605_071938
KTBW20210605_112505_V06,20210605_072505
KTBW20210605_113033_V06,20210605_073033
KTBW20210605_113601_V06,20210605_073601
KTBW20210605_114129_V06,20210605_074129
KTBW20210605_114655_V06,20210605_074655
KTBW20210605_115222_V06,20210605_075222
KTBW20210605_120318_V06,20210605_080318
KTBW20210606_093540_V06,20210606_053540
KTBW20210606_093951_V06,20210606_053951
KTBW20210606_094403_V06,20210606_054403
KTBW20210606_094814_V06,20210606_054814
KTBW20210606_095225_V06,20210606_055225
KTBW20210606_100047_V06,20210606_060047
KTBW20210606_100458_V06,20210606_060458
KTBW20210606_100909_V06,20210606_060909
KTBW20210606_101320_V06,20210606_061320
KTBW20210606_101732_V06,20210606_061732
KTBW20210606_102143_V06,20210606_062143
