filename,local_time
KTFX20140601_103553_V06,20140601_043553
KTFX20140601_104038_V06,20140601_044038
KTFX20140601_104522_V06,20140601_044522
KTFX20140601_105006_V06,20140601_045006
KTFX20140601_105703_V06,20140601_045703
KTFX20140601_110147_V06,20140601_050147
KTFX20140601_110631_V06,20140601_050631
KTFX20140601_111117_V06,20140601_051117
KTFX20140601_111602_V06,20140601_051602
KTFX20140601_112046_V06,20140601_052046
KTFX20140601_112531_V06,20140601_052531
KTFX20140601_113015_V06,20140601_053015
KTFX20140601_113502_V06,20140601_053502
KTFX20140601_113947_V06,20140601_053947
KTFX20140601_114431_V06,20140601_054431
KTFX20140601_114917_V06,20140601_054917
KTFX20140601_115401_V06,20140601_055401
KTFX20140601_115845_V06,20140601_055845
KTFX20140601_120332_V06,20140601_060332
KTFX20140601_120816_V06,20140601_060816
KTFX20140601_121300_V06,20140601_061300
KTFX20140601_121747_V06,20140601_061747
KTFX20140601_122734_V06,20140601_062734
KTFX20140601_123721_V06,20140601_063721
KTFX20140601_124709_V06,20140601_064709
KTFX20140601_125657_V06,20140601_065657
KTFX20140602_103317_V06,20140602_043317
KTFX20140602_104306_V06,20140602_044306
KTFX20140602_105255_V06,20140602_045255
KTFX20140602_110245_V06,20140602_050245
KTFX20140602_111235_V06,20140602_051235
KTFX20140602_112224_V06,20140602_052224
KTFX20140602_113214_V06,20140602_053214
KTFX20140602_114204_V06,20140602_054204
KTFX20140602_115154_V06,20140602_055154
KTFX20140602_120144_V06,20140602_060144
KTFX20140602_121134_V06,20140602_061134
KTFX20140602_122124_V06,20140602_062124
KTFX20140602_123114_V06,20140602_063114
KTFX20140602_124105_V06,20140602_064105
KTFX20140602_125056_V06,20140602_065056
KTFX20140602_130047_V06,20140602_070047
KTFX20140603_103603_V06,20140603_043603
KTFX20140603_104552_V06,20140603_044552
KTFX20140603_105542_V06,20140603_045542
KTFX20140603_110531_V06,20140603_050531
KTFX20140603_111521_V06,20140603_051521
KTFX20140603_112510_V06,20140603_052510
KTFX20140603_113459_V06,20140603_053459
KTFX20140603_114449_V06,20140603_054449
KTFX20140603_115439_V06,20140603_055439
KTFX20140603_120429_V06,20140603_060429
KTFX20140603_121418_V06,20140603_061418
KTFX20140603_122408_V06,20140603_062408
KTFX20140603_122854_V06,20140603_062854
KTFX20140603_123340_V06,20140603_063340
KTFX20140603_123825_V06,20140603_063825
KTFX20140603_124311_V06,20140603_064311
KTFX20140603_124756_V06,20140603_064756
KTFX20140603_125242_V06,20140603_065242
KTFX20140603_125728_V06,20140603_065728
KTFX20140604_103110_V06,20140604_043110
KTFX20140604_103556_V06,20140604_043556
KTFX20140604_104042_V06,20140604_044042
KTFX20140604_104527_V06,20140604_044527
KTFX20140604_105012_V06,20140604_045012
KTFX20140604_105457_V06,20140604_045457
KTFX20140604_105944_V06,20140604_045944
KTFX20140604_110429_V06,20140604_050429
KTFX20140604_110914_V06,20140604_050914
KTFX20140604_111401_V06,20140604_051401
KTFX20140604_111846_V06,20140604_051846
KTFX20140604_112332_V06,20140604_052332
KTFX20140604_112817_V06,20140604_052817
KTFX20140604_113301_V06,20140604_053301
KTFX20140604_113747_V06,20140604_053747
KTFX20140604_114232_V06,20140604_054232
KTFX20140604_114716_V06,20140604_054716
KTFX20140604_115201_V06,20140604_055201
KTFX20140604_115645_V06,20140604_055645
