filename,local_time
KTLX20140601_101628_V06,20140601_051628
KTLX20140601_102012_V06,20140601_052012
KTLX20140601_102356_V06,20140601_052356
KTLX20140601_102740_V06,20140601_052740
KTLX20140601_103123_V06,20140601_053123
KTLX20140601_103508_V06,20140601_053508
KTLX20140601_103852_V06,20140601_053852
KTLX20140601_104236_V06,20140601_054236
KTLX20140601_104619_V06,20140601_054619
KTLX20140601_105002_V06,20140601_055002
KTLX20140601_105345_V06,20140601_055345
KTLX20140601_105729_V06,20140601_055729
KTLX20140601_110113_V06,20140601_060113
KTLX20140601_110456_V06,20140601_060456
KTLX20140601_110840_V06,20140601_060840
KTLX20140601_111223_V06,20140601_061223
KTLX20140601_111606_V06,20140601_061606
KTLX20140601_111949_V06,20140601_061949
KTLX20140601_112333_V06,20140601_062333
KTLX20140601_112716_V06,20140601_062716
KTLX20140601_113100_V06,20140601_063100
KTLX20140601_113443_V06,20140601_063443
KTLX20140601_113826_V06,20140601_063826
KTLX20140601_114210_V06,20140601_064210
KTLX20140601_114552_V06,20140601_064552
KTLX20140601_114935_V06,20140601_064935
KTLX20140601_115318_V06,20140601_065318
KTLX20140601_115701_V06,20140601_065701
KTLX20140601_120044_V06,20140601_070044
KTLX20140601_120427_V06,20140601_070427
KTLX20140601_120812_V06,20140601_070812
KTLX20140601_121155_V06,20140601_071155
KTLX20140601_121538_V06,20140601_071538
KTLX20140601_121922_V06,20140601_071922
KTLX20140601_122305_V06,20140601_072305
KTLX20140601_122647_V06,20140601_072647
KTLX20140601_123031_V06,20140601_073031
KTLX20140601_123415_V06,20140601_073415
KTLX20140601_123758_V06,20140601_073758
KTLX20140601_124142_V06,20140601_074142
KTLX20140601_124525_V06,20140601_074525
KTLX20140602_101758_V06,20140602_051758
KTLX20140602_102325_V06,20140602_052325
KTLX20140602_102844_V06,20140602_052844
KTLX20140602_103404_V06,20140602_053404
KTLX20140602_103924_V06,20140602_053924
KTLX20140602_104451_V06,20140602_054451
KTLX20140602_105019_V06,20140602_055019
KTLX20140602_105545_V06,20140602_055545
KTLX20140602_110112_V06,20140602_060112
KTLX20140602_110618_V06,20140602_060618
KTLX20140602_111125_V06,20140602_061125
KTLX20140602_111652_V06,20140602_061652
KTLX20140602_112204_V06,20140602_062204
KTLX20140602_112711_V06,20140602_062711
KTLX20140602_113238_V06,20140602_063238
KTLX20140602_113805_V06,20140602_063805
KTLX20140602_114325_V06,20140602_064325
KTLX20140602_114844_V06,20140602_064844
KTLX20140602_115403_V06,20140602_065403
KTLX20140602_115923_V06,20140602_065923
KTLX20140602_120436_V06,20140602_070436
KTLX20140602_120948_V06,20140602_070948
KTLX20140602_121502_V06,20140602_071502
KTLX20140602_122014_V06,20140602_072014
KTLX20140602_122541_V06,20140602_072541
KTLX20140602_123054_V06,20140602_073054
KTLX20140602_123614_V06,20140602_073614
KTLX20140602_124128_V06,20140602_074128
KTLX20140603_102042_V06,20140603_052042
KTLX20140603_103027_V06,20140603_053027
KTLX20140603_104011_V06,20140603_054011
KTLX20140603_104955_V06,20140603_054955
KTLX20140603_105940_V06,20140603_055940
KTLX20140603_110924_V06,20140603_060924
KTLX20140603_111908_V06,20140603_061908
KTLX20140603_112853_V06,20140603_062853
KTLX20140603_113837_V06,20140603_063837
KTLX20140603_114822_V06,20140603_064822
KTLX20140603_115805_V06,20140603_065805
KTLX20140603_120751_V06,20140603_070751
KTLX20140603_121735_V06,20140603_071735
KTLX20140603_122720_V06,20140603_072720
KTLX20140603_123704_V06,20140603_073704
KTLX20140604_101450_V06,20140604_051450
KTLX20140604_102435_V06,20140604_052435
KTLX20140604_103420_V06,20140604_053420
KTLX20140604_104404_V06,20140604_054404
KTLX20140604_105349_V06,20140604_055349
KTLX20140604_110334_V06,20140604_060334
KTLX20140604_111319_V06,20140604_061319
KTLX20140604_112304_V06,20140604_062304
KTLX20140604_113250_V06,20140604_063250
KTLX20140604_113601_V06,20140604_063601
KTLX20140604_113946_V06,20140604_063946
KTLX20140604_114329_V06,20140604_064329
KTLX20140604_114713_V06,20140604_064713
KTLX20140604_115057_V06,20140604_065057
KTLX20140604_115441_V06,20140604_065441
KTLX20140604_115824_V06,20140604_065824
KTLX20140604_120208_V06,20140604_070208
KTLX20140604_120552_V06,20140604_070552
KTLX20140604_120936_V06,20140604_070936
KTLX20140604_121320_V06,20140604_071320
KTLX20140604_121704_V06,20140604_071704
KTLX20140604_122047_V06,20140604_072047
KTLX20140604_122431_V06,20140604_072431
KTLX20140604_122816_V06,20140604_072816
KTLX20140604_123158_V06,20140604_073158
KTLX20140604_123542_V06,20140604_073542
KTLX20140604_123926_V06,20140604_073926
