filename,local_time
KUDX20170601_102008_V06,20170601_042008
KUDX20170601_102951_V06,20170601_042951
KUDX20170601_103936_V06,20170601_043936
KUDX20170601_104921_V06,20170601_044921
KUDX20170601_110849_V06,20170601_050849
KUDX20170601_111834_V06,20170601_051834
KUDX20170601_112819_V06,20170601_052819
KUDX20170601_113802_V06,20170601_053802
KUDX20170601_114747_V06,20170601_054747
KUDX20170601_120716_V06,20170601_060716
KUDX20170601_121701_V06,20170601_061701
KUDX20170601_122646_V06,20170601_062646
KUDX20170601_123630_V06,20170601_063630
KUDX20170602_101059_V06,20170602_041059
KUDX20170602_101521_V06,20170602_041521
KUDX20170602_101945_V06,20170602_041945
KUDX20170602_102408_V06,20170602_042408
KUDX20170602_102831_V06,20170602_042831
KUDX20170602_103255_V06,20170602_043255
KUDX20170602_103719_V06,20170602_043719
KUDX20170602_104122_V06,20170602_044122
KUDX20170602_104545_V06,20170602_044545
KUDX20170602_104948_V06,20170602_044948
KUDX20170602_105351_V06,20170602_045351
KUDX20170602_110158_V06,20170602_050158
KUDX20170602_110600_V06,20170602_050600
KUDX20170602_111023_V06,20170602_051023
KUDX20170602_111446_V06,20170602_051446
KUDX20170602_111911_V06,20170602_051911
KUDX20170602_112334_V06,20170602_052334
KUDX20170602_112758_V06,20170602_052758
KUDX20170602_113223_V06,20170602_053223
KUDX20170602_113646_V06,20170602_053646
KUDX20170602_114109_V06,20170602_054109
KUDX20170602_114512_V06,20170602_054512
KUDX20170602_114915_V06,20170602_054915
KUDX20170602_115338_V06,20170602_055338
KUDX20170602_120226_V06,20170602_060226
KUDX20170602_120649_V06,20170602_060649
KUDX20170602_121112_V06,20170602_061112
KUDX20170602_121537_V06,20170602_061537
KUDX20170602_122000_V06,20170602_062000
KUDX20170602_122423_V06,20170602_062423
KUDX20170602_122846_V06,20170602_062846
KUDX20170602_123310_V06,20170602_063310
KUDX20170602_123733_V06,20170602_063733
KUDX20170603_101348_V06,20170603_041348
KUDX20170603_101750_V06,20170603_041750
KUDX20170603_102153_V06,20170603_042153
KUDX20170603_102556_V06,20170603_042556
KUDX20170603_103000_V06,20170603_043000
KUDX20170603_103402_V06,20170603_043402
KUDX20170603_103807_V06,20170603_043807
KUDX20170603_104210_V06,20170603_044210
KUDX20170603_104613_V06,20170603_044613
KUDX20170603_105017_V06,20170603_045017
KUDX20170603_105420_V06,20170603_045420
KUDX20170603_110232_V06,20170603_050232
KUDX20170603_110641_V06,20170603_050641
KUDX20170603_111045_V06,20170603_051045
KUDX20170603_111447_V06,20170603_051447
KUDX20170603_111850_V06,20170603_051850
KUDX20170603_112254_V06,20170603_052254
KUDX20170603_112657_V06,20170603_052657
KUDX20170603_113059_V06,20170603_053059
KUDX20170603_113509_V06,20170603_053509
KUDX20170603_113912_V06,20170603_053912
KUDX20170603_114315_V06,20170603_054315
KUDX20170603_114717_V06,20170603_054717
KUDX20170603_115120_V06,20170603_055120
KUDX20170603_115524_V06,20170603_055524
KUDX20170603_120345_V06,20170603_060345
KUDX20170603_120801_V06,20170603_060801
KUDX20170603_121225_V06,20170603_061225
KUDX20170603_121641_V06,20170603_061641
KUDX20170603_122056_V06,20170603_062056
KUDX20170603_122511_V06,20170603_062511
KUDX20170603_122935_V06,20170603_062935
KUDX20170603_123350_V06,20170603_063350
KUDX20170603_123806_V06,20170603_063806
KUDX20170604_101031_V06,20170604_041031
KUDX20170604_102016_V06,20170604_042016
KUDX20170604_103000_V06,20170604_043000
KUDX20170604_103945_V06,20170604_043945
KUDX20170604_104930_V06,20170604_044930
KUDX20170604_110917_V06,20170604_050917
KUDX20170604_111904_V06,20170604_051904
KUDX20170604_112850_V06,20170604_052850
KUDX20170604_113837_V06,20170604_053837
KUDX20170604_114824_V06,20170604_054824
KUDX20170604_120757_V06,20170604_060757
KUDX20170604_121744_V06,20170604_061744
KUDX20170604_122731_V06,20170604_062731
KUDX20170604_123717_V06,20170604_063717
KUDX20170605_100946_V06,20170605_040946
KUDX20170605_101930_V06,20170605_041930
KUDX20170605_102915_V06,20170605_042915
KUDX20170605_103900_V06,20170605_043900
KUDX20170605_104844_V06,20170605_044844
KUDX20170605_110814_V06,20170605_050814
KUDX20170605_111759_V06,20170605_051759
KUDX20170605_112742_V06,20170605_052742
KUDX20170605_113727_V06,20170605_053727
KUDX20170605_114712_V06,20170605_054712
KUDX20170605_120641_V06,20170605_060641
KUDX20170605_121626_V06,20170605_061626
KUDX20170605_122611_V06,20170605_062611
KUDX20170605_123555_V06,20170605_063555
KUDX20170606_101224_V06,20170606_041224
KUDX20170606_101700_V06,20170606_041700
KUDX20170606_102135_V06,20170606_042135
KUDX20170606_102611_V06,20170606_042611
KUDX20170606_103047_V06,20170606_043047
KUDX20170606_103523_V06,20170606_043523
KUDX20170606_103947_V06,20170606_043947
KUDX20170606_104450_V06,20170606_044450
KUDX20170606_104940_V06,20170606_044940
KUDX20170606_105416_V06,20170606_045416
KUDX20170606_110248_V06,20170606_050248
KUDX20170606_110705_V06,20170606_050705
KUDX20170606_111108_V06,20170606_051108
KUDX20170606_111512_V06,20170606_051512
KUDX20170606_111914_V06,20170606_051914
KUDX20170606_112318_V06,20170606_052318
KUDX20170606_112755_V06,20170606_052755
KUDX20170606_113218_V06,20170606_053218
KUDX20170606_113642_V06,20170606_053642
KUDX20170606_114105_V06,20170606_054105
KUDX20170606_114514_V06,20170606_054514
KUDX20170606_114938_V06,20170606_054938
KUDX20170606_115402_V06,20170606_055402
KUDX20170606_120249_V06,20170606_060249
KUDX20170606_120712_V06,20170606_060712
KUDX20170606_121136_V06,20170606_061136
KUDX20170606_121600_V06,20170606_061600
KUDX20170606_122009_V06,20170606_062009
KUDX20170606_122432_V06,20170606_062432
KUDX20170606_122855_V06,20170606_062855
KUDX20170606_123320_V06,20170606_063320
KUDX20170606_123743_V06,20170606_063743
KUDX20170607_101347_V06,20170607_041347
KUDX20170607_102333_V06,20170607_042333
KUDX20170607_103320_V06,20170607_043320
KUDX20170607_104307_V06,20170607_044307
KUDX20170607_110240_V06,20170607_050240
KUDX20170607_111227_V06,20170607_051227
KUDX20170607_112213_V06,20170607_052213
KUDX20170607_113200_V06,20170607_053200
KUDX20170607_114147_V06,20170607_054147
KUDX20170607_120121_V06,20170607_060121
KUDX20170607_121109_V06,20170607_061109
KUDX20170607_122057_V06,20170607_062057
KUDX20170607_123045_V06,20170607_063045
KUDX20170608_101133_V06,20170608_041133
KUDX20170608_101638_V06,20170608_041638
KUDX20170608_102136_V06,20170608_042136
KUDX20170608_102642_V06,20170608_042642
KUDX20170608_103150_V06,20170608_043150
KUDX20170608_103630_V06,20170608_043630
KUDX20170608_104109_V06,20170608_044109
KUDX20170608_104606_V06,20170608_044606
KUDX20170608_105055_V06,20170608_045055
KUDX20170608_110047_V06,20170608_050047
KUDX20170608_110552_V06,20170608_050552
KUDX20170608_111058_V06,20170608_051058
KUDX20170608_111604_V06,20170608_051604
KUDX20170608_112111_V06,20170608_052111
KUDX20170608_112618_V06,20170608_052618
KUDX20170608_113106_V06,20170608_053106
KUDX20170608_113553_V06,20170608_053553
KUDX20170608_114041_V06,20170608_054041
KUDX20170608_114528_V06,20170608_054528
KUDX20170608_115016_V06,20170608_055016
KUDX20170608_120019_V06,20170608_060019
KUDX20170608_120525_V06,20170608_060525
KUDX20170608_121012_V06,20170608_061012
KUDX20170608_121501_V06,20170608_061501
KUDX20170608_121949_V06,20170608_061949
KUDX20170608_122437_V06,20170608_062437
KUDX20170608_122925_V06,20170608_062925
KUDX20170608_123413_V06,20170608_063413
KUDX20170609_101546_V06,20170609_041546
KUDX20170609_102531_V06,20170609_042531
KUDX20170609_103515_V06,20170609_043515
KUDX20170609_104500_V06,20170609_044500
KUDX20170609_110430_V06,20170609_050430
KUDX20170609_111414_V06,20170609_051414
KUDX20170609_112359_V06,20170609_052359
KUDX20170609_113344_V06,20170609_053344
KUDX20170609_114328_V06,20170609_054328
KUDX20170609_120258_V06,20170609_060258
KUDX20170609_121243_V06,20170609_061243
KUDX20170609_122227_V06,20170609_062227
KUDX20170609_123212_V06,20170609_063212
KUDX20170610_101116_V06,20170610_041116
KUDX20170610_101540_V06,20170610_041540
KUDX20170610_102003_V06,20170610_042003
KUDX20170610_102426_V06,20170610_042426
KUDX20170610_102849_V06,20170610_042849
KUDX20170610_103305_V06,20170610_043305
KUDX20170610_103720_V06,20170610_043720
KUDX20170610_104135_V06,20170610_044135
KUDX20170610_104551_V06,20170610_044551
KUDX20170610_105015_V06,20170610_045015
KUDX20170610_105438_V06,20170610_045438
KUDX20170610_110325_V06,20170610_050325
KUDX20170610_110748_V06,20170610_050748
KUDX20170610_111212_V06,20170610_051212
KUDX20170610_111635_V06,20170610_051635
KUDX20170610_112058_V06,20170610_052058
KUDX20170610_112522_V06,20170610_052522
KUDX20170610_112945_V06,20170610_052945
KUDX20170610_113408_V06,20170610_053408
KUDX20170610_113816_V06,20170610_053816
KUDX20170610_114232_V06,20170610_054232
