filename,local_time
KVBX20190601_115001_V06,20190601_045001
KVBX20190601_120922_V06,20190601_050922
KVBX20190601_121903_V06,20190601_051903
KVBX20190601_122844_V06,20190601_052844
KVBX20190601_123824_V06,20190601_053824
KVBX20190601_124805_V06,20190601_054805
KVBX20190601_130726_V06,20190601_060726
KVBX20190601_131706_V06,20190601_061706
KVBX20190601_132648_V06,20190601_062648
KVBX20190601_133629_V06,20190601_063629
KVBX20190601_134610_V06,20190601_064610
KVBX20190601_140533_V06,20190601_070533
KVBX20190601_141513_V06,20190601_071513
KVBX20190602_120435_V06,20190602_050435
KVBX20190602_121414_V06,20190602_051414
KVBX20190602_122355_V06,20190602_052355
KVBX20190602_123336_V06,20190602_053336
KVBX20190602_124317_V06,20190602_054317
KVBX20190602_130237_V06,20190602_060237
KVBX20190602_131218_V06,20190602_061218
KVBX20190602_132159_V06,20190602_062159
KVBX20190602_133140_V06,20190602_063140
KVBX20190602_134121_V06,20190602_064121
KVBX20190602_140042_V06,20190602_070042
KVBX20190602_141023_V06,20190602_071023
KVBX20190603_115043_V06,20190603_045043
KVBX20190603_115347_V06,20190603_045347
KVBX20190603_115652_V06,20190603_045652
KVBX20190603_120302_V06,20190603_050302
KVBX20190603_120607_V06,20190603_050607
KVBX20190603_120912_V06,20190603_050912
KVBX20190603_121217_V06,20190603_051217
KVBX20190603_121522_V06,20190603_051522
KVBX20190603_121827_V06,20190603_051827
KVBX20190603_122133_V06,20190603_052133
KVBX20190603_122438_V06,20190603_052438
KVBX20190603_122744_V06,20190603_052744
KVBX20190603_123049_V06,20190603_053049
KVBX20190603_123354_V06,20190603_053354
KVBX20190603_123659_V06,20190603_053659
KVBX20190603_124003_V06,20190603_054003
KVBX20190603_124308_V06,20190603_054308
KVBX20190603_124613_V06,20190603_054613
KVBX20190603_124918_V06,20190603_054918
KVBX20190603_125223_V06,20190603_055223
KVBX20190603_125528_V06,20190603_055528
KVBX20190603_130138_V06,20190603_060138
KVBX20190603_130442_V06,20190603_060442
KVBX20190603_130747_V06,20190603_060747
KVBX20190603_131052_V06,20190603_061052
KVBX20190603_131357_V06,20190603_061357
KVBX20190603_131702_V06,20190603_061702
KVBX20190603_132007_V06,20190603_062007
KVBX20190603_132312_V06,20190603_062312
KVBX20190603_132617_V06,20190603_062617
KVBX20190603_132922_V06,20190603_062922
KVBX20190603_133226_V06,20190603_063226
KVBX20190603_133542_V06,20190603_063542
KVBX20190603_133847_V06,20190603_063847
KVBX20190603_134152_V06,20190603_064152
KVBX20190603_134456_V06,20190603_064456
KVBX20190603_134801_V06,20190603_064801
KVBX20190603_135108_V06,20190603_065108
KVBX20190603_135413_V06,20190603_065413
KVBX20190603_140023_V06,20190603_070023
KVBX20190603_140329_V06,20190603_070329
KVBX20190603_140634_V06,20190603_070634
KVBX20190603_140938_V06,20190603_070938
KVBX20190603_141243_V06,20190603_071243
KVBX20190603_141548_V06,20190603_071548
KVBX20190604_114914_V06,20190604_044914
KVBX20190604_115219_V06,20190604_045219
KVBX20190604_115523_V06,20190604_045523
KVBX20190604_120134_V06,20190604_050134
KVBX20190604_120439_V06,20190604_050439
KVBX20190604_120744_V06,20190604_050744
KVBX20190604_121049_V06,20190604_051049
KVBX20190604_121354_V06,20190604_051354
KVBX20190604_121700_V06,20190604_051700
KVBX20190604_122006_V06,20190604_052006
KVBX20190604_122312_V06,20190604_052312
KVBX20190604_122616_V06,20190604_052616
KVBX20190604_122921_V06,20190604_052921
KVBX20190604_123227_V06,20190604_053227
KVBX20190604_123533_V06,20190604_053533
KVBX20190604_123837_V06,20190604_053837
KVBX20190604_124141_V06,20190604_054141
KVBX20190604_124446_V06,20190604_054446
KVBX20190604_124752_V06,20190604_054752
KVBX20190604_125057_V06,20190604_055057
KVBX20190604_125402_V06,20190604_055402
KVBX20190604_130014_V06,20190604_060014
KVBX20190604_130318_V06,20190604_060318
KVBX20190604_130623_V06,20190604_060623
KVBX20190604_130928_V06,20190604_060928
KVBX20190604_131233_V06,20190604_061233
KVBX20190604_131538_V06,20190604_061538
KVBX20190604_131843_V06,20190604_061843
KVBX20190604_132149_V06,20190604_062149
KVBX20190604_132454_V06,20190604_062454
KVBX20190604_132759_V06,20190604_062759
KVBX20190604_133104_V06,20190604_063104
KVBX20190604_133409_V06,20190604_063409
KVBX20190604_133714_V06,20190604_063714
KVBX20190604_134020_V06,20190604_064020
KVBX20190604_134325_V06,20190604_064325
KVBX20190604_134631_V06,20190604_064631
KVBX20190604_134937_V06,20190604_064937
KVBX20190604_135243_V06,20190604_065243
KVBX20190604_135547_V06,20190604_065547
KVBX20190604_140157_V06,20190604_070157
KVBX20190604_140502_V06,20190604_070502
KVBX20190604_140806_V06,20190604_070806
