filename,local_time
KVTX20140601_114650_V06,20140601_044650
KVTX20140601_115627_V06,20140601_045627
KVTX20140601_120605_V06,20140601_050605
KVTX20140601_121542_V06,20140601_051542
KVTX20140601_122521_V06,20140601_052521
KVTX20140601_123459_V06,20140601_053459
KVTX20140601_124437_V06,20140601_054437
KVTX20140601_125415_V06,20140601_055415
KVTX20140601_130353_V06,20140601_060353
KVTX20140601_131332_V06,20140601_061332
KVTX20140601_132310_V06,20140601_062310
KVTX20140601_133248_V06,20140601_063248
KVTX20140601_134227_V06,20140601_064227
KVTX20140601_135206_V06,20140601_065206
KVTX20140601_140145_V06,20140601_070145
KVTX20140601_141125_V06,20140601_071125
KVTX20140602_115134_V06,20140602_045134
KVTX20140602_120114_V06,20140602_050114
KVTX20140602_121053_V06,20140602_051053
KVTX20140602_122031_V06,20140602_052031
KVTX20140602_123008_V06,20140602_053008
KVTX20140602_123947_V06,20140602_053947
KVTX20140602_124926_V06,20140602_054926
KVTX20140602_125904_V06,20140602_055904
KVTX20140602_130843_V06,20140602_060843
KVTX20140602_131822_V06,20140602_061822
KVTX20140602_132801_V06,20140602_062801
KVTX20140602_133741_V06,20140602_063741
KVTX20140602_134720_V06,20140602_064720
KVTX20140602_135659_V06,20140602_065659
KVTX20140602_140639_V06,20140602_070639
KVTX20140603_114647_V06,20140603_044647
KVTX20140603_115627_V06,20140603_045627
KVTX20140603_120606_V06,20140603_050606
KVTX20140603_121546_V06,20140603_051546
KVTX20140603_122526_V06,20140603_052526
KVTX20140603_123504_V06,20140603_053504
KVTX20140603_124444_V06,20140603_054444
KVTX20140603_125423_V06,20140603_055423
KVTX20140603_130401_V06,20140603_060401
KVTX20140603_131340_V06,20140603_061340
KVTX20140603_132318_V06,20140603_062318
KVTX20140603_133257_V06,20140603_063257
KVTX20140603_134235_V06,20140603_064235
KVTX20140603_135214_V06,20140603_065214
KVTX20140603_140154_V06,20140603_070154
KVTX20140603_141135_V06,20140603_071135
KVTX20140604_114444_V06,20140604_044444
KVTX20140604_115424_V06,20140604_045424
KVTX20140604_120402_V06,20140604_050402
KVTX20140604_121341_V06,20140604_051341
KVTX20140604_122320_V06,20140604_052320
KVTX20140604_123259_V06,20140604_053259
KVTX20140604_124238_V06,20140604_054238
KVTX20140604_125217_V06,20140604_055217
KVTX20140604_130156_V06,20140604_060156
KVTX20140604_131134_V06,20140604_061134
KVTX20140604_132112_V06,20140604_062112
KVTX20140604_133051_V06,20140604_063051
KVTX20140604_134030_V06,20140604_064030
KVTX20140604_135008_V06,20140604_065008
KVTX20140604_135948_V06,20140604_065948
KVTX20140604_140928_V06,20140604_070928
KVTX20140605_114825_V06,20140605_044825
KVTX20140605_115804_V06,20140605_045804
KVTX20140605_120741_V06,20140605_050741
KVTX20140605_121717_V06,20140605_051717
KVTX20140605_122656_V06,20140605_052656
KVTX20140605_123634_V06,20140605_053634
KVTX20140605_124611_V06,20140605_054611
KVTX20140605_125551_V06,20140605_055551
KVTX20140605_130530_V06,20140605_060530
KVTX20140605_131510_V06,20140605_061510
KVTX20140605_132449_V06,20140605_062449
KVTX20140605_133428_V06,20140605_063428
KVTX20140605_134407_V06,20140605_064407
KVTX20140605_135346_V06,20140605_065346
KVTX20140605_140325_V06,20140605_070325
KVTX20140605_141305_V06,20140605_071305
KVTX20140606_115314_V06,20140606_045314
KVTX20140606_120252_V06,20140606_050252
KVTX20140606_121231_V06,20140606_051231
KVTX20140606_122210_V06,20140606_052210
KVTX20140606_123149_V06,20140606_053149
KVTX20140606_124129_V06,20140606_054129
KVTX20140606_125109_V06,20140606_055109
KVTX20140606_130046_V06,20140606_060046
KVTX20140606_131026_V06,20140606_061026
KVTX20140606_132005_V06,20140606_062005
KVTX20140606_132943_V06,20140606_062943
KVTX20140606_133923_V06,20140606_063923
KVTX20140606_134902_V06,20140606_064902
KVTX20140606_135842_V06,20140606_065842
KVTX20140606_140822_V06,20140606_070822
KVTX20140607_115003_V06,20140607_045003
KVTX20140607_115941_V06,20140607_045941
KVTX20140607_120920_V06,20140607_050920
KVTX20140607_121859_V06,20140607_051859
KVTX20140607_122838_V06,20140607_052838
KVTX20140607_123817_V06,20140607_053817
KVTX20140607_124755_V06,20140607_054755
KVTX20140607_125735_V06,20140607_055735
KVTX20140607_130713_V06,20140607_060713
KVTX20140607_131652_V06,20140607_061652
KVTX20140607_132631_V06,20140607_062631
KVTX20140607_133610_V06,20140607_063610
KVTX20140607_134549_V06,20140607_064549
KVTX20140607_135527_V06,20140607_065527
KVTX20140607_140507_V06,20140607_070507
KVTX20140608_114559_V06,20140608_044559
KVTX20140608_115539_V06,20140608_045539
KVTX20140608_120518_V06,20140608_050518
KVTX20140608_121458_V06,20140608_051458
KVTX20140608_122436_V06,20140608_052436
KVTX20140608_123416_V06,20140608_053416
KVTX20140608_124354_V06,20140608_054354
KVTX20140608_125331_V06,20140608_055331
KVTX20140608_130311_V06,20140608_060311
KVTX20140608_131251_V06,20140608_061251
KVTX20140608_132229_V06,20140608_062229
KVTX20140608_133207_V06,20140608_063207
KVTX20140608_134145_V06,20140608_064145
KVTX20140608_135123_V06,20140608_065123
KVTX20140608_140102_V06,20140608_070102
KVTX20140608_141041_V06,20140608_071041
KVTX20140609_115012_V06,20140609_045012
KVTX20140609_115951_V06,20140609_045951
KVTX20140609_120929_V06,20140609_050929
KVTX20140609_121908_V06,20140609_051908
KVTX20140609_122844_V06,20140609_052844
KVTX20140609_123821_V06,20140609_053821
KVTX20140609_124800_V06,20140609_054800
KVTX20140609_125736_V06,20140609_055736
KVTX20140609_130715_V06,20140609_060715
KVTX20140609_131652_V06,20140609_061652
KVTX20140609_132630_V06,20140609_062630
KVTX20140609_133609_V06,20140609_063609
KVTX20140609_134545_V06,20140609_064545
KVTX20140609_135523_V06,20140609_065523
KVTX20140609_140501_V06,20140609_070501
KVTX20140610_114508_V06,20140610_044508
KVTX20140610_115447_V06,20140610_045447
KVTX20140610_120425_V06,20140610_050425
KVTX20140610_121405_V06,20140610_051405
KVTX20140610_122344_V06,20140610_052344
KVTX20140610_123323_V06,20140610_053323
KVTX20140610_124303_V06,20140610_054303
KVTX20140610_125243_V06,20140610_055243
KVTX20140610_130220_V06,20140610_060220
KVTX20140610_131159_V06,20140610_061159
