filename,local_time
KYUX20200601_113829_V06,20200601_043829
KYUX20200601_114713_V06,20200601_044713
KYUX20200601_120438_V06,20200601_050438
KYUX20200601_121320_V06,20200601_051320
KYUX20200601_122204_V06,20200601_052204
KYUX20200601_123047_V06,20200601_053047
KYUX20200601_123929_V06,20200601_053929
KYUX20200601_124812_V06,20200601_054812
KYUX20200601_130536_V06,20200601_060536
KYUX20200601_131419_V06,20200601_061419
KYUX20200601_132301_V06,20200601_062301
KYUX20200601_133144_V06,20200601_063144
KYUX20200601_134026_V06,20200601_064026
KYUX20200601_134909_V06,20200601_064909
KYUX20200602_113226_V06,20200602_043226
KYUX20200602_114108_V06,20200602_044108
KYUX20200602_114951_V06,20200602_044951
KYUX20200602_120716_V06,20200602_050716
KYUX20200602_121559_V06,20200602_051559
KYUX20200602_122441_V06,20200602_052441
KYUX20200602_123324_V06,20200602_053324
KYUX20200602_124207_V06,20200602_054207
KYUX20200602_125050_V06,20200602_055050
KYUX20200602_130815_V06,20200602_060815
KYUX20200602_131658_V06,20200602_061658
KYUX20200602_132541_V06,20200602_062541
KYUX20200602_133425_V06,20200602_063425
KYUX20200602_134308_V06,20200602_064308
KYUX20200602_140033_V06,20200602_070033
KYUX20200603_113438_V06,20200603_043438
KYUX20200603_114321_V06,20200603_044321
KYUX20200603_115203_V06,20200603_045203
KYUX20200603_120215_V06,20200603_050215
KYUX20200603_120730_V06,20200603_050730
KYUX20200603_121245_V06,20200603_051245
KYUX20200603_121746_V06,20200603_051746
KYUX20200603_122217_V06,20200603_052217
KYUX20200603_122648_V06,20200603_052648
KYUX20200603_123119_V06,20200603_053119
KYUX20200603_123620_V06,20200603_053620
KYUX20200603_124120_V06,20200603_054120
KYUX20200603_124607_V06,20200603_054607
KYUX20200603_125054_V06,20200603_055054
KYUX20200603_130028_V06,20200603_060028
KYUX20200603_130514_V06,20200603_060514
KYUX20200603_130931_V06,20200603_060931
KYUX20200603_131348_V06,20200603_061348
KYUX20200603_131805_V06,20200603_061805
KYUX20200603_132221_V06,20200603_062221
KYUX20200603_132637_V06,20200603_062637
KYUX20200603_133054_V06,20200603_063054
KYUX20200603_133451_V06,20200603_063451
KYUX20200603_133848_V06,20200603_063848
KYUX20200603_134250_V06,20200603_064250
KYUX20200603_134654_V06,20200603_064654
KYUX20200603_135110_V06,20200603_065110
KYUX20200603_140005_V06,20200603_070005
KYUX20200604_113123_V06,20200604_043123
KYUX20200604_114005_V06,20200604_044005
KYUX20200604_114848_V06,20200604_044848
