track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KABR20210601-6,KABR20210601_115410_V06,0,0.483,1.200,5041,0,135915.427,401,0,127240.365
KABR20210601-6,KABR20210601_115410_V06,2,0.879,1.200,5041,0,11260.769,462,0,8706.930
KABR20210601-6,KABR20210601_115410_V06,4,1.318,1.200,5043,0,5369.667,587,0,2586.901
KABR20210601-6,KABR20210601_115410_V06,6,1.802,1.200,2522,0,642.350,13,0,562.187
KABR20210601-6,KABR20210601_115410_V06,7,2.417,1.200,2525,0,132.221,1,0,127.199
KABR20210603-1,KABR20210603_120422_V06,0,0.483,1.200,8168,45,605902.904,310,12,521480.834
KABR20210603-1,KABR20210603_120422_V06,2,0.879,1.200,8160,6,104698.375,680,0,43573.385
KABR20210603-1,KABR20210603_120422_V06,4,1.318,1.200,8159,2,47444.739,1779,0,9072.147
KABR20210603-1,KABR20210603_120422_V06,6,1.802,1.200,4102,0,2147.785,618,0,1036.386
KABR20210603-1,KABR20210603_120422_V06,7,2.417,1.200,4104,0,567.774,312,0,289.850
KABR20210603-1,KABR20210603_120422_V06,8,3.120,1.200,4105,0,108.458,68,0,75.702
KABR20210603-1,KABR20210603_120422_V06,9,3.999,1.200,4112,0,78.240,25,0,61.058
KABR20210603-1,KABR20210603_120422_V06,10,5.098,1.200,4123,0,53.272,11,0,47.283
KABR20210603-1,KABR20210603_120422_V06,11,6.416,1.200,4130,0,72.354,19,0,63.086
KABR20210603-1,KABR20210603_120758_V06,0,0.483,1.200,12257,48,742520.285,600,13,592338.923
KABR20210603-1,KABR20210603_120758_V06,2,0.879,1.200,12254,4,127483.006,1032,0,57999.667
KABR20210603-1,KABR20210603_120758_V06,4,1.318,1.200,12259,0,13084.147,2751,0,8169.175
KABR20210603-1,KABR20210603_120758_V06,6,1.802,1.200,6138,0,2859.432,959,0,1243.444
KABR20210603-1,KABR20210603_120758_V06,7,2.417,1.200,6140,0,919.056,484,0,420.764
KABR20210603-1,KABR20210603_120758_V06,8,3.120,1.200,6142,0,298.508,209,0,136.659
KABR20210603-1,KABR20210603_120758_V06,9,3.999,1.200,6156,0,141.393,33,0,113.441
KABR20210603-1,KABR20210603_120758_V06,10,5.098,1.200,6164,0,93.184,22,0,79.138
KABR20210603-1,KABR20210603_120758_V06,11,6.416,1.200,6185,0,75.678,16,0,66.631
KABR20210604-1,KABR20210604_094819_V06,0,0.483,1.200,48,0,36207.560,0,0,36207.560
KABR20210604-1,KABR20210604_094819_V06,2,0.879,1.200,48,0,324.983,0,0,324.983
KABR20210604-1,KABR20210604_094819_V06,4,1.318,1.200,49,0,172.699,13,0,110.938
KABR20210604-1,KABR20210604_094819_V06,6,1.802,1.200,23,0,0.095,0,0,0.095
KABR20210604-1,KABR20210604_094819_V06,7,2.417,1.200,22,0,0.091,0,0,0.091
KABR20210607-3,KABR20210607_111016_V06,0,0.483,1.200,2486,0,206272.465,210,0,193484.553
KABR20210607-3,KABR20210607_111016_V06,2,0.879,1.200,2481,0,23780.125,256,0,21916.719
KABR20210607-3,KABR20210607_111016_V06,4,1.318,1.200,2479,0,6416.744,378,0,4693.145
KABR20210607-3,KABR20210607_111016_V06,6,1.802,1.200,1243,0,193.951,7,0,144.656
KABR20210607-3,KABR20210607_111016_V06,7,2.417,1.200,1245,0,213.066,5,0,181.352
KABR20210607-3,KABR20210607_111352_V06,0,0.483,1.200,4286,0,366723.557,371,0,353420.614
KABR20210607-3,KABR20210607_111352_V06,2,0.879,1.200,4288,0,48575.413,483,0,41813.604
KABR20210607-3,KABR20210607_111352_V06,4,1.318,1.200,4287,0,11198.232,651,0,8042.344
KABR20210607-3,KABR20210607_111352_V06,6,1.802,1.200,2152,0,537.914,12,0,451.039
KABR20210607-3,KABR20210607_111352_V06,7,2.417,1.200,2148,0,266.874,9,0,210.231
KABR20210607-3,KABR20210607_111727_V06,0,0.483,1.200,6579,7,822081.575,600,0,651030.526
KABR20210607-3,KABR20210607_111727_V06,2,0.879,1.200,6586,0,74785.291,672,0,61295.702
KABR20210607-3,KABR20210607_111727_V06,4,1.318,1.200,6579,0,15589.752,880,0,11415.850
KABR20210607-3,KABR20210607_111727_V06,6,1.802,1.200,3293,0,894.538,21,0,768.761
KABR20210607-3,KABR20210607_111727_V06,7,2.417,1.200,3300,0,354.620,3,0,339.917
KABR20210607-3,KABR20210607_112103_V06,0,0.483,1.200,9399,2,920954.937,806,1,894224.475
KABR20210607-3,KABR20210607_112103_V06,2,0.879,1.200,9396,0,102980.221,896,0,94048.856
KABR20210607-3,KABR20210607_112103_V06,4,1.318,1.200,9399,0,20438.711,1218,0,15157.205
KABR20210607-3,KABR20210607_112103_V06,6,1.802,1.200,4700,0,1134.981,45,0,887.390
KABR20210607-3,KABR20210607_112103_V06,7,2.417,1.200,4705,0,533.919,7,0,464.896
KABR20210607-3,KABR20210607_112439_V06,0,0.483,1.200,12727,15,1556916.792,1072,6,1434000.443
KABR20210607-3,KABR20210607_112439_V06,2,0.879,1.200,12722,0,187094.111,1220,0,128606.418
KABR20210607-3,KABR20210607_112439_V06,4,1.318,1.200,12733,0,28510.871,1571,0,19923.071
KABR20210607-3,KABR20210607_112439_V06,6,1.802,1.200,6364,0,2135.605,90,0,1695.683
KABR20210607-3,KABR20210607_112439_V06,7,2.417,1.200,6367,0,739.052,13,0,637.015
KABR20210607-3,KABR20210607_112814_V06,0,0.483,1.200,14331,10,1111365.604,1423,1,968059.773
KABR20210607-3,KABR20210607_112814_V06,2,0.879,1.200,14341,1,188934.835,1316,0,102588.811
KABR20210607-3,KABR20210607_112814_V06,4,1.318,1.200,14351,0,24948.117,1363,0,17824.271
KABR20210607-3,KABR20210607_112814_V06,6,1.802,1.200,7181,0,1335.508,64,0,996.010
KABR20210607-3,KABR20210607_112814_V06,7,2.417,1.200,7182,0,530.576,9,0,481.368
KABR20210607-1,KABR20210607_103114_V06,0,0.483,1.200,7748,0,36593.190,746,0,17784.725
KABR20210607-1,KABR20210607_103114_V06,2,0.879,1.200,7752,0,4124.545,149,0,1621.619
KABR20210607-1,KABR20210607_103114_V06,4,1.318,1.200,7754,0,66.529,4,0,35.129
KABR20210607-2,KABR20210607_104132_V06,0,0.483,1.200,2491,27,497914.800,160,27,474671.414
