track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KABX20130601-1,KABX20130601_110256_V06,0,0.483,1.200,302,30,210762.854,4,30,210757.610
KABX20130601-1,KABX20130601_110256_V06,2,1.494,1.200,302,0,144.299,3,0,141.582
KABX20130601-1,KABX20130601_110256_V06,4,2.505,1.200,150,0,3.563,2,0,2.484
KABX20130601-1,KABX20130601_110256_V06,5,3.516,1.200,152,0,0.183,0,0,0.183
KABX20130601-1,KABX20130601_110256_V06,6,4.482,1.200,153,0,0.184,0,0,0.184
KABX20130601-1,KABX20130601_111239_V06,0,0.483,1.200,2791,37,318090.977,272,37,317329.619
KABX20130601-1,KABX20130601_111239_V06,2,1.494,1.200,2793,0,718.829,97,0,402.639
KABX20130601-1,KABX20130601_111239_V06,4,2.505,1.200,1399,0,22.689,14,0,8.238
KABX20130601-1,KABX20130601_111239_V06,5,3.516,1.200,1404,0,4.750,3,0,2.444
KABX20130601-1,KABX20130601_111239_V06,6,4.482,1.200,1397,0,3.051,1,0,2.681
KABX20130603-1,KABX20130603_130731_V06,0,0.483,1.200,2679,19,328025.013,76,19,320321.841
KABX20130603-1,KABX20130603_130731_V06,2,1.494,1.200,2674,0,365.359,34,0,333.800
KABX20130603-1,KABX20130603_130731_V06,4,2.505,1.200,1330,0,146.005,53,0,41.040
KABX20130603-1,KABX20130603_130731_V06,5,3.516,1.200,1333,0,29.731,12,0,10.798
KABX20130603-1,KABX20130603_130731_V06,6,4.482,1.200,1333,0,45.596,14,0,20.004
KABX20130604-2,KABX20130604_105715_V06,0,0.483,1.200,3089,91,345808.209,251,58,291189.652
KABX20130604-2,KABX20130604_105715_V06,2,1.494,1.200,3098,0,2774.558,160,0,2230.161
KABX20130604-2,KABX20130604_105715_V06,4,2.505,1.200,1551,0,121.308,36,0,63.239
KABX20130604-2,KABX20130604_105715_V06,5,3.516,1.200,1556,0,14.169,5,0,5.215
KABX20130604-2,KABX20130604_105715_V06,6,4.482,1.200,1552,0,117.108,17,0,49.439
