track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KAPX20190601-4,KAPX20190601_102733_V06,0,0.483,1.200,1893,0,110620.734,780,0,9055.141
KAPX20190601-4,KAPX20190601_102733_V06,2,0.879,1.200,1883,0,407292.212,1392,0,7343.379
KAPX20190601-4,KAPX20190601_102733_V06,4,1.318,1.200,1886,0,480095.788,1471,0,10514.855
KAPX20190601-4,KAPX20190601_103134_V06,0,0.483,1.200,2627,0,440359.170,1321,0,10234.209
KAPX20190601-4,KAPX20190601_103134_V06,2,0.879,1.200,2633,0,872068.098,2052,0,7851.284
KAPX20190601-4,KAPX20190601_103134_V06,4,1.318,1.200,2633,0,757985.419,2095,0,14862.188
KAPX20190601-4,KAPX20190601_103528_V06,0,0.483,1.200,3032,0,590911.317,1366,0,44358.361
KAPX20190601-4,KAPX20190601_103528_V06,2,0.879,1.200,3034,0,1094176.984,2267,0,10963.205
KAPX20190601-4,KAPX20190601_103528_V06,4,1.318,1.200,3032,0,977431.578,2478,0,10909.654
KAPX20190601-4,KAPX20190601_103921_V06,0,0.483,1.200,3313,0,669898.609,1446,0,38800.819
KAPX20190601-4,KAPX20190601_103921_V06,2,0.879,1.200,3313,0,1093715.847,2458,0,8744.203
KAPX20190601-4,KAPX20190601_103921_V06,4,1.318,1.200,3321,0,1141142.911,2706,0,11453.853
KAPX20190601-5,KAPX20190601_103134_V06,0,0.483,1.200,2742,0,28308.187,275,0,1745.717
KAPX20190601-5,KAPX20190601_103134_V06,2,0.879,1.200,2743,0,28377.227,445,0,2895.415
KAPX20190601-5,KAPX20190601_103134_V06,4,1.318,1.200,2741,0,40758.415,660,0,3847.558
KAPX20190601-8,KAPX20190601_110708_V06,0,0.483,1.200,13603,0,1231306.500,2297,0,334516.770
KAPX20190601-8,KAPX20190601_110708_V06,2,0.879,1.200,13600,1,1827327.159,2004,0,730562.125
KAPX20190601-8,KAPX20190601_110708_V06,4,1.318,1.200,13612,0,1257694.990,2563,0,202571.846
KAPX20190601-8,KAPX20190601_110708_V06,8,1.802,1.200,6807,0,429325.366,1242,0,7371.616
KAPX20190601-8,KAPX20190601_110708_V06,9,2.417,1.200,6811,0,178974.777,925,0,5966.376
KAPX20190601-8,KAPX20190601_111101_V06,0,0.483,1.200,1860,0,43948.526,135,0,37483.029
KAPX20190601-8,KAPX20190601_111101_V06,2,0.879,1.200,1860,0,1495.613,68,0,1142.346
KAPX20190601-8,KAPX20190601_111101_V06,4,1.318,1.200,1859,0,957.401,102,0,733.242
KAPX20190601-8,KAPX20190601_111101_V06,8,1.802,1.200,932,0,50.084,2,0,45.643
KAPX20190601-8,KAPX20190601_111101_V06,9,2.417,1.200,931,0,61.816,2,0,56.540
KAPX20190601-8,KAPX20190601_111101_V06,10,3.120,1.200,933,0,70.108,1,0,69.084
KAPX20190601-12,KAPX20190601_111101_V06,0,0.483,1.200,4994,0,810356.220,1299,0,341825.503
KAPX20190601-12,KAPX20190601_111101_V06,2,0.879,1.200,4986,0,937352.857,1444,0,225802.116
KAPX20190601-12,KAPX20190601_111101_V06,4,1.318,1.200,4991,0,614449.224,2348,0,31069.152
KAPX20190601-12,KAPX20190601_111101_V06,8,1.802,1.200,2495,0,341252.629,667,0,135759.239
KAPX20190602-3,KAPX20190602_103843_V06,0,0.483,1.200,4911,0,34431.082,368,0,2340.575
KAPX20190602-3,KAPX20190602_103843_V06,2,0.879,1.200,4911,0,1563.911,40,0,433.082
KAPX20190602-3,KAPX20190602_103843_V06,4,1.318,1.200,4912,0,21.874,0,0,21.874
KAPX20190602-3,KAPX20190602_104537_V06,0,0.483,1.200,7171,0,20599.180,285,0,2447.163
KAPX20190602-3,KAPX20190602_104537_V06,2,0.879,1.200,7169,0,801.841,22,0,220.257
KAPX20190602-3,KAPX20190602_104537_V06,4,1.318,1.200,7171,0,31.722,0,0,31.722
KAPX20190602-1,KAPX20190602_091331_V06,0,0.483,1.200,327,0,1930.003,60,0,799.501
KAPX20190602-1,KAPX20190602_091331_V06,2,0.879,1.200,327,0,4759.810,108,0,1229.765
KAPX20190602-1,KAPX20190602_091331_V06,4,1.318,1.200,330,0,3882.877,91,0,1168.225
KAPX20190602-1,KAPX20190602_091331_V06,6,1.802,1.200,165,0,874.345,29,0,45.487
KAPX20190602-1,KAPX20190602_091331_V06,7,2.417,1.200,164,0,223.817,17,0,9.630
KAPX20190602-1,KAPX20190602_091331_V06,8,3.120,1.200,163,0,14.607,8,0,2.396
KAPX20190602-1,KAPX20190602_091331_V06,9,3.999,1.200,164,0,0.320,1,0,0.147
KAPX20190602-1,KAPX20190602_091331_V06,10,5.098,1.200,166,0,0.150,0,0,0.150
KAPX20190603-4,KAPX20190603_101541_V06,0,0.483,1.200,22426,0,387.757,5687,0,243.737
KAPX20190603-4,KAPX20190603_101541_V06,2,0.879,1.200,22428,0,30.048,6582,0,8.814
KAPX20190603-4,KAPX20190603_101541_V06,4,1.318,1.200,22435,0,37.943,4839,0,2.877
KAPX20190603-4,KAPX20190603_101541_V06,6,1.802,1.200,11217,0,1.094,1196,0,0.341
KAPX20190603-4,KAPX20190603_101541_V06,7,2.417,1.200,11219,0,1.905,932,0,0.871
KAPX20190603-4,KAPX20190603_101541_V06,8,3.120,1.200,11227,0,2.646,797,0,1.226
KAPX20190603-4,KAPX20190603_101541_V06,9,3.999,1.200,11238,0,0.451,622,0,0.358
KAPX20190603-4,KAPX20190603_101541_V06,10,5.098,1.200,11256,0,0.439,593,0,0.364
KAPX20190603-4,KAPX20190603_101541_V06,11,6.416,1.200,11292,0,0.501,572,0,0.387
KAPX20190603-4,KAPX20190603_102231_V06,0,0.483,1.200,35642,0,836.800,5958,0,676.236
KAPX20190603-4,KAPX20190603_102231_V06,2,0.879,1.200,35642,0,44.270,6275,0,35.124
KAPX20190603-4,KAPX20190603_102231_V06,4,1.318,1.200,35654,0,42.701,4986,0,36.935
KAPX20190603-4,KAPX20190603_102231_V06,6,1.802,1.200,17833,0,2.395,1328,0,0.930
KAPX20190603-4,KAPX20190603_102231_V06,7,2.417,1.200,17843,0,1.426,1006,0,0.980
KAPX20190603-4,KAPX20190603_102231_V06,8,3.120,1.200,17859,0,1.497,779,0,1.245
KAPX20190603-4,KAPX20190603_102231_V06,9,3.999,1.200,17881,0,1.200,684,0,0.992
KAPX20190603-4,KAPX20190603_102231_V06,10,5.098,1.200,17904,0,1.440,621,0,1.247
KAPX20190603-4,KAPX20190603_102231_V06,11,6.416,1.200,17945,0,1.472,628,0,1.193
