track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KARX20180604-1,KARX20180604_092907_V06,0,0.483,1.200,129,0,16336.001,14,0,11463.622
KARX20180604-1,KARX20180604_092907_V06,2,1.494,1.200,130,0,0.364,0,0,0.364
KARX20180604-1,KARX20180604_093849_V06,0,0.483,1.200,1229,0,51517.127,49,0,40739.885
KARX20180604-1,KARX20180604_093849_V06,2,1.494,1.200,1232,0,3.516,0,0,3.516
KARX20180604-2,KARX20180604_110842_V06,0,0.483,1.200,294,0,466934.897,1,0,466922.335
KARX20180605-1,KARX20180605_114035_V06,0,0.483,1.200,27,0,286.735,2,0,281.817
KARX20180605-1,KARX20180605_114035_V06,2,0.879,1.200,32,0,19.977,1,0,18.049
KARX20180605-1,KARX20180605_114035_V06,4,1.318,1.200,30,0,0.029,0,0,0.029
KARX20180605-1,KARX20180605_114035_V06,6,1.802,1.200,18,0,0.035,0,0,0.035
KARX20180605-1,KARX20180605_114035_V06,7,2.417,1.200,18,0,0.035,0,0,0.035
KARX20180605-1,KARX20180605_114035_V06,8,3.120,1.200,18,0,0.035,0,0,0.035
KARX20180607-2,KARX20180607_093743_V06,0,0.483,1.200,2913,0,8694.715,435,0,6870.306
KARX20180607-2,KARX20180607_093743_V06,2,0.879,1.200,2904,0,2589.629,265,0,1382.037
KARX20180607-2,KARX20180607_093743_V06,4,1.318,1.200,2907,0,615.107,114,0,441.005
KARX20180607-2,KARX20180607_093743_V06,6,1.802,1.200,1451,0,106.269,8,0,83.535
KARX20180607-2,KARX20180607_093743_V06,7,2.417,1.200,1453,0,61.979,1,0,58.376
KARX20180607-2,KARX20180607_093743_V06,8,3.120,1.200,1452,0,59.170,1,0,43.332
KARX20180607-2,KARX20180607_093743_V06,9,3.999,1.200,1455,0,131.103,8,0,103.084
KARX20180609-1,KARX20180609_092543_V06,0,0.483,1.200,2001,20,748907.492,704,0,57288.590
KARX20180609-1,KARX20180609_092543_V06,2,0.879,1.200,2002,8,580659.880,941,0,1152.856
KARX20180609-1,KARX20180609_092543_V06,4,1.318,1.200,1998,0,483639.613,930,0,186.290
KARX20180609-1,KARX20180609_092543_V06,6,1.802,1.200,1001,0,190172.710,381,0,164.280
KARX20180609-1,KARX20180609_092543_V06,7,2.417,1.200,1000,0,135588.260,348,0,113.185
KARX20180609-1,KARX20180609_092543_V06,8,3.120,1.200,1003,0,71402.299,246,0,48.966
KARX20180609-1,KARX20180609_092543_V06,9,3.999,1.200,1004,0,26915.398,171,0,32.317
KARX20180611-2,KARX20180611_114051_V06,0,0.483,1.200,36,0,211.312,4,0,190.063
KARX20180611-2,KARX20180611_114051_V06,2,0.879,1.200,36,0,9.220,3,0,6.014
KARX20180611-2,KARX20180611_114051_V06,4,1.318,1.200,36,0,0.034,0,0,0.034
KARX20180611-2,KARX20180611_114051_V06,6,1.802,1.200,18,0,0.034,0,0,0.034
KARX20180611-2,KARX20180611_114051_V06,7,2.417,1.200,18,0,0.034,0,0,0.034
KARX20180611-2,KARX20180611_114051_V06,8,3.120,1.200,19,0,0.036,0,0,0.036
KARX20180611-2,KARX20180611_114051_V06,9,3.999,1.200,18,0,0.034,0,0,0.034
KARX20180611-2,KARX20180611_114415_V06,0,0.483,1.200,410,0,254.084,11,0,201.610
KARX20180611-2,KARX20180611_114415_V06,2,0.879,1.200,415,0,4.456,1,0,2.324
KARX20180611-2,KARX20180611_114415_V06,4,1.318,1.200,408,0,0.383,0,0,0.383
KARX20180611-2,KARX20180611_114415_V06,6,1.802,1.200,217,0,0.409,0,0,0.409
KARX20180611-2,KARX20180611_114415_V06,7,2.417,1.200,216,0,0.407,0,0,0.407
KARX20180611-2,KARX20180611_114415_V06,8,3.120,1.200,217,0,0.410,0,0,0.410
KARX20180611-2,KARX20180611_114415_V06,9,3.999,1.200,217,0,0.411,0,0,0.411
KARX20180611-2,KARX20180611_114740_V06,0,0.483,1.200,36,0,160.433,0,0,160.433
KARX20180611-2,KARX20180611_114740_V06,2,0.879,1.200,36,0,5.425,1,0,4.372
KARX20180611-2,KARX20180611_114740_V06,4,1.318,1.200,35,0,0.033,0,0,0.033
KARX20180611-2,KARX20180611_114740_V06,6,1.802,1.200,15,0,0.028,0,0,0.028
