track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KBGM20220601-2,KBGM20220601_083438_V06,0,0.483,1.200,178,0,73498.927,7,0,73454.507
KBGM20220601-2,KBGM20220601_083438_V06,2,0.879,1.200,179,0,2990.853,8,0,2975.318
KBGM20220601-2,KBGM20220601_083438_V06,4,1.318,1.200,179,0,219.379,26,0,86.523
KBGM20220601-2,KBGM20220601_083438_V06,6,1.802,1.200,88,0,16.150,0,0,16.150
KBGM20220601-2,KBGM20220601_083438_V06,7,2.417,1.200,88,0,0.283,0,0,0.283
KBGM20220601-2,KBGM20220601_084143_V06,0,0.483,1.200,1064,6,286618.755,156,5,286062.546
KBGM20220601-2,KBGM20220601_084143_V06,2,0.879,1.200,1063,0,4666.779,73,0,4307.019
KBGM20220601-2,KBGM20220601_084143_V06,4,1.318,1.200,1061,0,2139.859,125,0,1125.380
KBGM20220601-2,KBGM20220601_084143_V06,6,1.802,1.200,529,0,1.700,0,0,1.700
KBGM20220601-2,KBGM20220601_084143_V06,7,2.417,1.200,530,0,1.705,0,0,1.705
KBGM20220601-3,KBGM20220601_083438_V06,0,0.483,1.200,80,0,6806.720,4,0,6794.479
KBGM20220601-3,KBGM20220601_083438_V06,2,0.879,1.200,80,0,445.097,11,0,418.420
KBGM20220601-3,KBGM20220601_083438_V06,4,1.318,1.200,80,0,111.294,18,0,54.849
KBGM20220601-3,KBGM20220601_083438_V06,6,1.802,1.200,39,0,0.150,0,0,0.150
KBGM20220601-3,KBGM20220601_083438_V06,7,2.417,1.200,39,0,0.150,0,0,0.150
KBGM20220601-3,KBGM20220601_084143_V06,0,0.483,1.200,726,4,139053.580,123,3,138271.555
KBGM20220601-3,KBGM20220601_084143_V06,2,0.879,1.200,727,0,2560.113,21,0,2451.681
KBGM20220601-3,KBGM20220601_084143_V06,4,1.318,1.200,728,0,1380.692,81,0,663.063
KBGM20220601-3,KBGM20220601_084143_V06,6,1.802,1.200,362,0,1.400,0,0,1.400
KBGM20220601-3,KBGM20220601_084143_V06,7,2.417,1.200,362,0,1.401,0,0,1.401
KBGM20220601-11,KBGM20220601_100538_V06,0,0.483,1.200,514,0,144659.950,23,0,137947.450
KBGM20220601-11,KBGM20220601_100538_V06,2,0.879,1.200,516,0,5219.156,17,0,5173.597
KBGM20220601-11,KBGM20220601_100538_V06,4,1.318,1.200,515,0,447.639,53,0,283.955
KBGM20220601-11,KBGM20220601_100538_V06,6,1.802,1.200,259,0,104.241,7,0,31.245
KBGM20220601-11,KBGM20220601_100538_V06,7,2.417,1.200,258,0,0.883,0,0,0.883
KBGM20220601-12,KBGM20220601_100538_V06,0,0.483,1.200,53,0,40131.556,1,0,40128.219
KBGM20220601-12,KBGM20220601_100538_V06,2,0.879,1.200,54,0,8228.323,2,0,4345.347
KBGM20220601-12,KBGM20220601_100538_V06,4,1.318,1.200,55,0,18.184,1,0,7.299
KBGM20220601-12,KBGM20220601_100538_V06,6,1.802,1.200,27,0,0.104,0,0,0.104
KBGM20220601-12,KBGM20220601_100538_V06,7,2.417,1.200,28,0,0.108,0,0,0.108
KBGM20220602-11,KBGM20220602_100639_V06,0,0.483,1.200,2764,0,63701.804,369,0,3363.506
KBGM20220602-11,KBGM20220602_100639_V06,2,0.879,1.200,2768,0,45024.287,347,0,1675.986
KBGM20220602-11,KBGM20220602_100639_V06,4,1.318,1.200,2772,0,3250.505,100,0,600.395
