track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KBIS20150602-10,KBIS20150602_115840_V06,0,0.483,1.200,14771,0,7979159.610,5524,0,1266526.321
KBIS20150602-10,KBIS20150602_115840_V06,2,0.879,1.200,14774,0,4973844.714,6928,0,711154.700
KBIS20150602-10,KBIS20150602_115840_V06,4,1.318,1.200,14772,0,1849551.818,6890,0,144202.390
KBIS20150602-14,KBIS20150602_120312_V06,0,0.483,1.200,10791,0,941381.863,4115,0,127329.027
KBIS20150602-14,KBIS20150602_120312_V06,2,0.879,1.200,10795,0,2830194.883,4750,0,413971.274
KBIS20150602-14,KBIS20150602_120312_V06,4,1.318,1.200,10788,0,2888032.311,5133,0,261231.856
KBIS20150602-14,KBIS20150602_120312_V06,8,1.802,1.200,5394,0,1033782.616,2500,0,32688.033
KBIS20150603-7,KBIS20150603_102345_V06,0,0.483,1.200,1806,0,31262.209,378,0,3575.276
KBIS20150603-7,KBIS20150603_102345_V06,2,0.879,1.200,1807,0,18528.926,316,0,9125.216
KBIS20150603-7,KBIS20150603_102345_V06,4,1.318,1.200,1809,0,657.409,30,0,273.852
KBIS20150603-7,KBIS20150603_102345_V06,8,1.802,1.200,906,0,4.219,0,0,4.219
KBIS20150603-7,KBIS20150603_102805_V06,0,0.483,1.200,3124,0,29177.765,373,0,3887.455
KBIS20150603-7,KBIS20150603_102805_V06,2,0.879,1.200,3126,0,19738.631,395,0,9860.869
KBIS20150603-7,KBIS20150603_102805_V06,4,1.318,1.200,3127,0,1321.585,68,0,462.746
KBIS20150603-7,KBIS20150603_102805_V06,8,1.802,1.200,1572,0,7.333,0,0,7.333
KBIS20150603-7,KBIS20150603_103224_V06,0,0.483,1.200,1805,0,21340.294,348,0,2974.976
KBIS20150603-7,KBIS20150603_103224_V06,2,0.879,1.200,1801,0,17600.917,288,0,9375.135
KBIS20150603-7,KBIS20150603_103224_V06,4,1.318,1.200,1805,0,510.194,24,0,222.604
KBIS20150603-7,KBIS20150603_103224_V06,8,1.802,1.200,903,0,4.133,0,0,4.133
KBIS20150603-1,KBIS20150603_100209_V06,0,0.483,1.200,23712,0,78144.003,9387,0,25946.349
KBIS20150603-1,KBIS20150603_100209_V06,2,0.879,1.200,23712,0,53955.727,10858,0,15309.015
KBIS20150603-1,KBIS20150603_100209_V06,4,1.318,1.200,23721,0,25353.355,9744,0,7902.239
KBIS20150603-1,KBIS20150603_100209_V06,8,1.802,1.200,11883,0,11529.742,2872,0,3969.792
KBIS20150603-1,KBIS20150603_100209_V06,9,2.417,1.200,11881,0,2829.720,1744,0,791.928
KBIS20150603-1,KBIS20150603_100209_V06,10,3.120,1.200,11893,0,618.535,980,0,184.511
KBIS20150603-1,KBIS20150603_100209_V06,11,3.999,1.200,11905,0,245.322,492,0,57.108
KBIS20150603-1,KBIS20150603_100209_V06,12,5.098,1.200,11916,0,44.862,143,0,26.227
KBIS20150603-14,KBIS20150603_105400_V06,0,0.483,1.200,11214,0,57328.132,3995,0,12877.134
KBIS20150603-14,KBIS20150603_105400_V06,2,0.879,1.200,11220,0,37031.540,3474,0,7555.472
KBIS20150603-14,KBIS20150603_105400_V06,4,1.318,1.200,11222,0,5872.654,988,0,2318.955
KBIS20150603-14,KBIS20150603_105400_V06,8,1.802,1.200,5617,0,2021.743,71,0,1069.469
KBIS20150603-14,KBIS20150603_105400_V06,9,2.417,1.200,5615,0,96.397,11,0,63.985
KBIS20150603-14,KBIS20150603_105400_V06,10,3.120,1.200,5616,0,7.104,0,0,7.104
KBIS20150603-14,KBIS20150603_105400_V06,11,3.999,1.200,5627,0,7.130,0,0,7.130
KBIS20150603-18,KBIS20150603_111118_V06,0,0.483,1.200,1487,0,3258.448,582,0,447.379
KBIS20150603-18,KBIS20150603_111118_V06,2,0.879,1.200,1493,0,876.161,280,0,168.774
KBIS20150603-18,KBIS20150603_111118_V06,4,1.318,1.200,1490,0,346.307,57,0,113.360
KBIS20150603-18,KBIS20150603_111118_V06,8,1.802,1.200,747,0,58.719,1,0,44.086
KBIS20150603-18,KBIS20150603_111118_V06,9,2.417,1.200,748,0,65.545,0,0,65.545
KBIS20150603-18,KBIS20150603_111118_V06,10,3.120,1.200,743,0,1.099,0,0,1.099
KBIS20150603-18,KBIS20150603_111118_V06,11,3.999,1.200,745,0,1.106,0,0,1.106
KBIS20150604-1,KBIS20150604_101924_V06,0,0.483,1.200,4402,0,2072971.873,2335,0,449419.194
KBIS20150604-2,KBIS20150604_114634_V06,0,0.483,1.200,4095,0,450856.052,1114,0,118878.455
KBIS20150604-2,KBIS20150604_114634_V06,2,1.494,1.200,4099,0,916.100,25,0,59.230
KBIS20150606-1,KBIS20150606_103812_V06,0,0.483,1.200,6953,164,34508848.774,4292,12,2913867.322
KBIS20150606-1,KBIS20150606_103812_V06,2,0.879,1.200,6945,125,37407114.990,5858,28,7006108.883
KBIS20150606-1,KBIS20150606_103812_V06,4,1.318,1.200,6927,52,17023842.135,6683,1,596067.239
KBIS20150606-3,KBIS20150606_110416_V06,0,0.483,1.200,24766,1447,161406800.476,16728,56,16402640.020
KBIS20150606-3,KBIS20150606_110416_V06,2,0.879,1.200,24783,2053,177965829.873,17293,198,45772123.434
KBIS20150606-3,KBIS20150606_110416_V06,4,1.318,1.200,24795,1408,130862924.013,20238,321,28275261.172
KBIS20150606-3,KBIS20150606_110416_V06,6,1.802,1.200,12407,307,60734657.029,6153,69,20033177.520
KBIS20150606-14,KBIS20150606_114454_V06,0,0.483,1.200,1677,107,20262724.687,1211,22,6045569.002
KBIS20150606-14,KBIS20150606_114454_V06,2,0.879,1.200,1673,78,16515579.913,1184,5,4479269.050
KBIS20150606-14,KBIS20150606_114454_V06,4,1.318,1.200,1681,0,2609152.620,1426,0,41357.125
KBIS20150610-3,KBIS20150610_113836_V06,0,0.483,1.200,5211,0,8251501.604,4541,0,58214.202
KBIS20150610-3,KBIS20150610_113836_V06,2,1.494,1.200,5218,0,921848.831,4790,0,18838.501
KBIS20150610-3,KBIS20150610_114817_V06,0,0.483,1.200,7490,0,19817943.894,6118,0,174787.832
KBIS20150610-3,KBIS20150610_114817_V06,2,1.494,1.200,7499,0,2168508.405,6606,0,14979.548
KBIS20150610-1,KBIS20150610_110934_V06,0,0.483,1.200,9599,0,19555561.823,5480,0,6636077.584
KBIS20150610-1,KBIS20150610_110934_V06,2,1.494,1.200,9609,0,1562035.845,7983,0,31207.709
KBIS20150610-2,KBIS20150610_110934_V06,0,0.483,1.200,736,0,10188.718,41,0,9950.892
KBIS20150610-2,KBIS20150610_110934_V06,2,1.494,1.200,737,0,0.753,0,0,0.753
KBIS20150610-2,KBIS20150610_110934_V06,4,2.505,1.200,367,0,0.752,0,0,0.752
KBIS20150610-2,KBIS20150610_110934_V06,5,3.516,1.200,373,0,0.766,0,0,0.766
KBIS20150611-4,KBIS20150611_120402_V06,0,0.483,1.200,70,0,1202.894,3,0,1198.715
KBIS20150611-4,KBIS20150611_120402_V06,2,0.879,1.200,72,0,240.559,1,0,240.118
KBIS20150611-4,KBIS20150611_120402_V06,4,1.318,1.200,71,0,0.029,0,0,0.029
KBIS20150611-4,KBIS20150611_120402_V06,8,1.802,1.200,34,0,0.028,0,0,0.028
KBIS20150611-4,KBIS20150611_120402_V06,9,2.417,1.200,35,0,0.029,0,0,0.029
KBIS20150611-4,KBIS20150611_120402_V06,10,3.120,1.200,33,0,0.028,0,0,0.028
KBIS20150611-4,KBIS20150611_120402_V06,11,3.999,1.200,34,0,0.028,0,0,0.028
KBIS20150611-4,KBIS20150611_120402_V06,12,5.098,1.200,35,0,0.029,0,0,0.029
KBIS20150611-4,KBIS20150611_120802_V06,0,0.483,1.200,787,0,2859.221,24,0,2778.463
KBIS20150611-4,KBIS20150611_120802_V06,2,0.879,1.200,785,0,111.815,22,0,100.422
KBIS20150611-4,KBIS20150611_120802_V06,4,1.318,1.200,790,0,0.328,0,0,0.328
KBIS20150611-4,KBIS20150611_120802_V06,8,1.802,1.200,391,0,0.324,0,0,0.324
KBIS20150611-4,KBIS20150611_120802_V06,9,2.417,1.200,392,0,0.326,0,0,0.326
KBIS20150611-4,KBIS20150611_120802_V06,10,3.120,1.200,394,0,0.328,0,0,0.328
KBIS20150611-4,KBIS20150611_120802_V06,11,3.999,1.200,396,0,0.330,0,0,0.330
KBIS20150611-4,KBIS20150611_120802_V06,12,5.098,1.200,396,0,0.331,0,0,0.331
KBIS20150613-4,KBIS20150613_105748_V06,0,0.483,1.200,7714,3,16796650.447,2495,0,2537313.262
KBIS20150613-4,KBIS20150613_105748_V06,2,0.879,1.200,7719,0,14090167.801,5028,0,1077590.921
KBIS20150613-5,KBIS20150613_110545_V06,0,0.483,1.200,12279,0,14727.854,848,0,9360.226
KBIS20150613-5,KBIS20150613_110545_V06,2,0.879,1.200,12282,0,10200.028,760,0,7110.134
KBIS20150613-5,KBIS20150613_110545_V06,4,1.318,1.200,12286,0,266.417,45,0,189.901
KBIS20150613-5,KBIS20150613_110545_V06,8,1.802,1.200,6158,0,19.292,0,0,19.292
KBIS20150613-5,KBIS20150613_110545_V06,9,2.417,1.200,6152,0,19.291,0,0,19.291
KBIS20150614-1,KBIS20150614_101309_V06,0,0.483,1.200,12660,17,332061.142,5378,5,34423.032
KBIS20150614-1,KBIS20150614_101309_V06,2,0.879,1.200,12656,38,284355.764,5513,1,24300.506
KBIS20150614-1,KBIS20150614_101309_V06,4,1.318,1.200,12660,28,155023.697,6190,0,7312.525
KBIS20150614-1,KBIS20150614_101309_V06,6,1.802,1.200,6327,0,85778.972,3471,0,2678.668
KBIS20150614-1,KBIS20150614_101309_V06,7,2.417,1.200,6328,0,51305.859,3670,0,897.261
KBIS20150614-1,KBIS20150614_101309_V06,8,3.120,1.200,6330,0,44482.010,4134,0,189.942
KBIS20150614-1,KBIS20150614_101309_V06,11,3.999,1.200,6337,0,47098.494,4104,0,92.117
KBIS20150614-1,KBIS20150614_101309_V06,12,5.098,1.200,6344,0,68928.193,3716,0,10646.057
KBIS20150614-1,KBIS20150614_101309_V06,13,6.416,1.200,6375,0,144608.136,3426,0,13158.422
KBIS20150614-1,KBIS20150614_101309_V06,14,7.998,1.200,6400,0,97348.565,3361,0,3329.766
KBIS20150614-1,KBIS20150614_101309_V06,15,10.020,1.200,6434,0,97483.677,3220,0,211.269
KBIS20150614-1,KBIS20150614_101309_V06,16,12.480,1.200,6481,0,19460.958,3192,0,78.453
KBIS20150614-1,KBIS20150614_101309_V06,17,15.601,1.200,6584,0,3814.697,2564,0,149.773
KBIS20150614-3,KBIS20150614_101830_V06,0,0.483,1.200,24665,135,52801896.855,7153,8,12097838.349
KBIS20150614-3,KBIS20150614_101830_V06,2,0.879,1.200,24662,786,57820428.406,10004,142,24273539.733
KBIS20150614-3,KBIS20150614_101830_V06,4,1.318,1.200,24685,160,29173093.101,13795,9,5301908.850
KBIS20150614-5,KBIS20150614_102352_V06,0,0.483,1.200,24609,702,82002825.784,9443,251,29085487.197
KBIS20150614-5,KBIS20150614_102352_V06,2,0.879,1.200,24616,1430,84213005.370,14792,910,28281634.805
KBIS20150614-5,KBIS20150614_102352_V06,4,1.318,1.200,24626,1312,74277568.714,20742,629,13514239.533
KBIS20150616-8,KBIS20150616_115522_V06,0,0.483,1.200,5003,0,150846.325,2006,0,44685.380
KBIS20150616-8,KBIS20150616_115522_V06,2,1.450,1.200,5008,0,225758.801,2103,0,30638.249
KBIS20150616-8,KBIS20150616_115522_V06,4,2.417,1.200,2500,0,254664.891,576,0,19218.550
KBIS20150616-8,KBIS20150616_115522_V06,5,3.384,1.200,2504,0,12147.333,253,0,232.590
KBIS20150619-3,KBIS20150619_120935_V06,0,0.483,1.200,87,0,1176.083,9,0,1170.892
KBIS20150619-3,KBIS20150619_120935_V06,2,0.879,1.200,87,0,364.055,7,0,361.010
KBIS20150619-3,KBIS20150619_120935_V06,4,1.318,1.200,88,0,7.905,5,0,6.223
KBIS20150619-3,KBIS20150619_120935_V06,8,1.802,1.200,42,0,3.459,0,0,3.459
KBIS20150619-3,KBIS20150619_120935_V06,9,2.417,1.200,43,0,0.033,0,0,0.033
KBIS20150619-3,KBIS20150619_120935_V06,10,3.120,1.200,43,0,0.033,0,0,0.033
KBIS20150619-3,KBIS20150619_120935_V06,11,3.999,1.200,45,0,0.035,0,0,0.035
KBIS20150619-3,KBIS20150619_120935_V06,12,5.098,1.200,43,0,0.033,0,0,0.033
KBIS20150619-3,KBIS20150619_120935_V06,13,6.416,1.200,43,0,0.033,0,0,0.033
KBIS20150620-1,KBIS20150620_100505_V06,0,0.483,1.200,11427,0,120845.402,1438,0,89557.847
KBIS20150620-1,KBIS20150620_100505_V06,2,0.879,1.200,11439,0,48694.364,1329,0,35734.456
KBIS20150620-1,KBIS20150620_100505_V06,4,1.318,1.200,11447,0,70.416,11,0,54.564
KBIS20150620-1,KBIS20150620_100505_V06,8,1.802,1.200,5713,0,14.116,0,0,14.116
KBIS20150620-1,KBIS20150620_100505_V06,9,2.417,1.200,5723,0,14.159,0,0,14.159
KBIS20150620-1,KBIS20150620_100505_V06,10,3.120,1.200,5720,0,14.162,0,0,14.162
KBIS20150622-3,KBIS20150622_103025_V06,0,0.483,1.200,20848,0,427596.771,1755,0,388945.557
KBIS20150622-3,KBIS20150622_103025_V06,2,0.879,1.200,20860,0,103433.133,2146,0,88081.014
KBIS20150622-3,KBIS20150622_103025_V06,4,1.318,1.200,20852,0,1429.178,464,0,879.623
KBIS20150622-3,KBIS20150622_103025_V06,8,1.802,1.200,10433,0,35.484,0,0,35.484
KBIS20150622-3,KBIS20150622_103025_V06,9,2.417,1.200,10452,0,22.930,0,0,22.930
KBIS20150622-3,KBIS20150622_103025_V06,10,3.120,1.200,10458,0,22.971,0,0,22.971
KBIS20150622-3,KBIS20150622_103438_V06,0,0.483,1.200,26429,0,526206.801,2364,0,477563.523
KBIS20150622-3,KBIS20150622_103438_V06,2,0.879,1.200,26426,0,122112.543,2720,0,104672.432
KBIS20150622-3,KBIS20150622_103438_V06,4,1.318,1.200,26440,0,4059.616,984,0,2815.243
KBIS20150622-3,KBIS20150622_103438_V06,8,1.802,1.200,13182,0,37.662,2,0,36.512
KBIS20150622-3,KBIS20150622_103438_V06,9,2.417,1.200,13190,0,28.419,0,0,28.419
KBIS20150622-3,KBIS20150622_103438_V06,10,3.120,1.200,13217,0,28.505,0,0,28.505
KBIS20150622-3,KBIS20150622_103857_V06,0,0.483,1.200,29723,0,665938.375,2809,0,600946.000
KBIS20150622-3,KBIS20150622_103857_V06,2,0.879,1.200,29679,0,221413.893,2916,0,189908.735
KBIS20150622-3,KBIS20150622_103857_V06,4,1.318,1.200,29715,0,14108.206,1959,0,10752.697
KBIS20150622-3,KBIS20150622_103857_V06,8,1.802,1.200,14823,0,274.295,86,0,204.874
KBIS20150622-3,KBIS20150622_103857_V06,9,2.417,1.200,14832,0,37.157,0,0,37.157
KBIS20150622-3,KBIS20150622_103857_V06,10,3.120,1.200,14846,0,33.810,0,0,33.810
KBIS20150622-3,KBIS20150622_104309_V06,0,0.483,1.200,29823,0,797929.783,3024,0,713287.095
KBIS20150622-3,KBIS20150622_104309_V06,2,0.879,1.200,29841,0,341117.129,2949,0,294222.360
