track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KBLX20190601-1,KBLX20190601_110539_V06,0,0.483,1.200,2226,0,3695.065,81,0,2230.987
KBLX20190601-1,KBLX20190601_110539_V06,2,0.879,1.200,2228,0,3276.722,62,0,2504.575
KBLX20190601-1,KBLX20190601_110539_V06,6,1.318,1.200,2235,0,1924.817,64,0,1378.209
KBLX20190601-1,KBLX20190601_110539_V06,8,1.802,1.200,1117,0,5.285,0,0,5.285
KBLX20190602-1,KBLX20190602_110832_V06,0,0.483,1.200,16943,0,21579.048,1431,0,19224.873
KBLX20190602-1,KBLX20190602_110832_V06,2,0.879,1.200,16944,0,18912.688,1528,0,16835.634
KBLX20190602-1,KBLX20190602_110832_V06,6,1.318,1.200,16949,0,9193.322,1301,0,7992.717
KBLX20190602-1,KBLX20190602_110832_V06,8,1.802,1.200,8474,0,1596.409,522,0,761.434
KBLX20190602-1,KBLX20190602_110832_V06,9,2.417,1.200,8473,0,106.881,116,0,30.937
KBLX20190602-1,KBLX20190602_110832_V06,10,3.120,1.200,8483,0,45.774,57,0,20.746
KBLX20190602-1,KBLX20190602_110832_V06,11,3.999,1.200,8495,0,22.114,31,0,15.229
KBLX20190602-1,KBLX20190602_110832_V06,12,5.098,1.200,8514,0,13.617,24,0,11.313
KBLX20190602-1,KBLX20190602_110832_V06,13,6.416,1.200,8534,0,16.233,15,0,12.223
KBLX20190602-2,KBLX20190602_120922_V06,0,0.483,1.200,2391,0,7454.001,74,0,2237.478
KBLX20190602-2,KBLX20190602_120922_V06,2,0.879,1.200,2391,0,7443.969,107,0,3270.880
KBLX20190602-2,KBLX20190602_120922_V06,6,1.318,1.200,2391,0,1214.565,31,0,538.242
KBLX20190602-3,KBLX20190602_120922_V06,0,0.483,1.200,2557,0,5300.226,115,0,3295.425
KBLX20190602-3,KBLX20190602_120922_V06,2,0.879,1.200,2560,0,7527.822,106,0,6081.947
KBLX20190602-3,KBLX20190602_120922_V06,6,1.318,1.200,2557,0,5018.547,55,0,4335.874
KBLX20190602-3,KBLX20190602_120922_V06,8,1.802,1.200,1280,0,5.882,0,0,5.882
KBLX20190604-3,KBLX20190604_121740_V06,0,0.483,1.200,1365,0,3619.368,61,0,2741.197
KBLX20190604-3,KBLX20190604_121740_V06,2,0.879,1.200,1366,0,1605.110,63,0,967.906
KBLX20190604-3,KBLX20190604_121740_V06,6,1.318,1.200,1364,0,1524.509,45,0,980.800
KBLX20190604-3,KBLX20190604_121740_V06,8,1.802,1.200,683,0,3.156,0,0,3.156
KBLX20190605-9,KBLX20190605_112720_V06,0,0.483,1.200,1257,0,72102.462,389,0,35538.966
KBLX20190605-9,KBLX20190605_112720_V06,2,0.879,1.200,1256,0,118224.662,440,0,43747.890
KBLX20190605-9,KBLX20190605_112720_V06,4,1.318,1.200,1252,0,171250.759,758,0,38197.399
KBLX20190605-9,KBLX20190605_112720_V06,8,1.802,1.200,628,0,449193.753,548,0,46393.550
KBLX20190605-9,KBLX20190605_112720_V06,9,2.417,1.200,627,0,671669.539,588,0,26442.353
KBLX20190605-11,KBLX20190605_115321_V06,0,0.483,1.200,6283,1,1383056.208,1949,1,503775.041
KBLX20190605-11,KBLX20190605_115321_V06,2,0.879,1.200,6287,2,3262699.770,2346,0,845104.441
KBLX20190605-11,KBLX20190605_115321_V06,4,1.318,1.200,6288,0,3151434.906,2940,0,334233.918
KBLX20190605-11,KBLX20190605_115321_V06,8,1.802,1.200,3146,0,1781626.593,1600,0,96871.228
KBLX20190605-11,KBLX20190605_115321_V06,9,2.417,1.200,3151,0,1828668.666,1680,0,156437.493
