track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KBMX20130602-3,KBMX20130602_094528_V06,0,0.483,1.200,1301,0,239015.932,205,0,387.439
KBMX20130602-3,KBMX20130602_094528_V06,2,0.879,1.200,1300,0,588603.955,234,0,889.615
KBMX20130602-3,KBMX20130602_094528_V06,4,1.318,1.200,1300,0,108124.148,152,0,893.938
KBMX20130602-6,KBMX20130602_095446_V06,0,0.483,1.200,13294,0,35619460.030,9548,0,462647.032
KBMX20130602-6,KBMX20130602_095446_V06,2,0.879,1.200,13301,34,44368522.752,9347,1,6226660.571
KBMX20130602-6,KBMX20130602_095446_V06,4,1.318,1.200,13309,62,44131734.724,8901,3,9504291.847
KBMX20130612-1,KBMX20130612_100807_V06,0,0.483,1.200,2663,0,10860.132,183,0,2921.720
KBMX20130612-1,KBMX20130612_100807_V06,2,1.494,1.200,2665,0,10.979,0,0,10.979
KBMX20130614-2,KBMX20130614_101029_V06,0,0.483,1.200,858,0,2401.222,43,0,2125.233
KBMX20130614-2,KBMX20130614_101029_V06,2,1.494,1.200,860,0,2099.385,470,0,457.365
KBMX20130614-2,KBMX20130614_101029_V06,4,2.505,1.200,429,0,1.386,0,0,1.386
KBMX20130614-2,KBMX20130614_101942_V06,0,0.483,1.200,2810,0,5388.738,189,0,4389.735
KBMX20130614-2,KBMX20130614_101942_V06,2,1.494,1.200,2818,0,6039.359,1302,0,1640.104
KBMX20130614-2,KBMX20130614_101942_V06,4,2.505,1.200,1408,0,4.569,0,0,4.569
KBMX20130614-1,KBMX20130614_100114_V06,0,0.483,1.200,302,0,3545.299,21,0,3430.012
KBMX20130614-1,KBMX20130614_100114_V06,2,1.494,1.200,302,0,69.487,182,0,22.474
KBMX20130614-1,KBMX20130614_100114_V06,4,2.505,1.200,154,0,127.244,115,0,23.582
KBMX20130614-1,KBMX20130614_100114_V06,5,3.516,1.200,151,0,24.351,29,0,12.405
KBMX20130614-1,KBMX20130614_100114_V06,6,4.482,1.200,152,0,0.134,0,0,0.134
KBMX20130614-4,KBMX20130614_114333_V06,0,0.483,1.200,9722,0,38758.648,308,0,14140.206
KBMX20130615-2,KBMX20130615_100143_V06,0,0.483,1.200,336,0,3053.303,69,0,3018.855
KBMX20130615-2,KBMX20130615_100143_V06,2,1.494,1.200,337,0,192.350,105,0,146.961
KBMX20130615-2,KBMX20130615_100143_V06,4,2.505,1.200,170,0,202.760,97,0,78.506
KBMX20130615-2,KBMX20130615_100143_V06,5,3.516,1.200,170,0,341.843,133,0,57.415
KBMX20130615-2,KBMX20130615_100143_V06,6,4.482,1.200,169,0,23.110,50,0,8.792
KBMX20130615-3,KBMX20130615_102058_V06,0,0.483,1.200,467,0,4685.455,35,0,3447.067
KBMX20130615-3,KBMX20130615_102058_V06,2,1.494,1.200,469,0,1355.773,156,0,399.393
KBMX20130619-3,KBMX20130619_101102_V06,0,0.483,1.200,272,0,6193.924,39,0,5661.872
KBMX20130619-3,KBMX20130619_101102_V06,2,1.450,1.200,271,0,0.121,0,0,0.121
KBMX20130619-3,KBMX20130619_101102_V06,4,2.417,1.200,136,0,0.121,0,0,0.121
KBMX20130619-3,KBMX20130619_101102_V06,5,3.384,1.200,138,0,0.123,0,0,0.123
KBMX20130619-3,KBMX20130619_101102_V06,6,4.307,1.200,136,0,0.122,0,0,0.122
KBMX20130619-3,KBMX20130619_101549_V06,0,0.483,1.200,1450,0,3274.934,147,0,2681.202
KBMX20130619-3,KBMX20130619_101549_V06,2,1.450,1.200,1446,0,0.649,0,0,0.649
KBMX20130619-3,KBMX20130619_101549_V06,4,2.417,1.200,726,0,0.651,0,0,0.651
KBMX20130619-3,KBMX20130619_101549_V06,5,3.384,1.200,724,0,0.652,0,0,0.652
KBMX20130619-3,KBMX20130619_101549_V06,6,4.307,1.200,727,0,0.656,0,0,0.656
KBMX20130619-3,KBMX20130619_102035_V06,0,0.483,1.200,3037,0,3647.211,347,0,2773.169
KBMX20130619-3,KBMX20130619_102035_V06,2,1.450,1.200,3038,0,6.232,8,0,3.707
KBMX20130619-3,KBMX20130619_102035_V06,4,2.417,1.200,1519,0,1.320,0,0,1.320
KBMX20130619-3,KBMX20130619_102035_V06,5,3.384,1.200,1524,0,1.326,0,0,1.326
KBMX20130619-3,KBMX20130619_102035_V06,6,4.307,1.200,1527,0,1.332,0,0,1.332
KBMX20130619-3,KBMX20130619_102035_V06,7,6.021,1.200,1529,0,1135.750,433,0,45.783
KBMX20130619-2,KBMX20130619_100129_V06,0,0.483,1.200,16307,0,5683.140,5001,0,3654.291
KBMX20130619-2,KBMX20130619_100129_V06,2,1.450,1.200,16316,0,241.632,1135,0,162.055
KBMX20130619-2,KBMX20130619_100129_V06,4,2.417,1.200,8170,0,29.387,67,0,23.339
KBMX20130619-2,KBMX20130619_100129_V06,5,3.384,1.200,8177,0,25.203,38,0,10.068
KBMX20130619-2,KBMX20130619_100129_V06,6,4.307,1.200,8181,0,3654.023,398,0,49.097
KBMX20130619-2,KBMX20130619_100129_V06,7,6.021,1.200,8208,0,17117.883,2004,0,126.182
KBMX20130619-2,KBMX20130619_100615_V06,0,0.483,1.200,23409,0,5678.903,6821,0,3589.557
KBMX20130619-2,KBMX20130619_100615_V06,2,1.450,1.200,23419,0,533.312,2272,0,358.051
KBMX20130619-2,KBMX20130619_100615_V06,4,2.417,1.200,11717,0,75.643,322,0,44.498
KBMX20130619-2,KBMX20130619_100615_V06,5,3.384,1.200,11733,0,966.445,284,0,50.314
KBMX20130619-2,KBMX20130619_100615_V06,6,4.307,1.200,11744,0,19827.477,1217,0,76.177
KBMX20130619-2,KBMX20130619_100615_V06,7,6.021,1.200,11776,0,21413.935,2823,0,302.865
KBMX20130620-1,KBMX20130620_102205_V06,0,0.483,1.200,747,0,10422.784,32,0,10275.933
KBMX20130620-1,KBMX20130620_102205_V06,2,1.494,1.200,749,0,93.089,88,0,38.874
KBMX20130620-1,KBMX20130620_102205_V06,4,2.505,1.200,370,0,7.071,19,0,4.099
KBMX20130620-1,KBMX20130620_102205_V06,5,3.516,1.200,375,0,16.988,52,0,9.926
KBMX20130620-1,KBMX20130620_102205_V06,6,4.482,1.200,382,0,28.701,105,0,12.857
KBMX20130621-1,KBMX20130621_100625_V06,0,0.483,1.200,761,0,4083.600,17,0,4002.634
KBMX20130621-1,KBMX20130621_100625_V06,2,1.494,1.200,765,0,1.092,0,0,1.092
KBMX20130621-1,KBMX20130621_100625_V06,4,2.505,1.200,387,0,1.106,0,0,1.106
KBMX20130621-1,KBMX20130621_101545_V06,0,0.483,1.200,2520,0,7183.108,82,0,6608.074
KBMX20130621-1,KBMX20130621_101545_V06,2,1.494,1.200,2517,0,168.839,97,0,49.748
KBMX20130621-1,KBMX20130621_101545_V06,4,2.505,1.200,1262,0,3.523,0,0,3.523
KBMX20130621-1,KBMX20130621_102724_V06,0,0.483,1.200,5050,0,2369.061,100,0,1793.507
KBMX20130621-1,KBMX20130621_102724_V06,2,1.494,1.200,5057,0,479.757,225,0,181.250
KBMX20130621-1,KBMX20130621_102724_V06,4,2.505,1.200,2518,0,7.169,0,0,7.169
KBMX20130621-2,KBMX20130621_100625_V06,0,0.483,1.200,880,0,4807.065,107,0,4555.204
KBMX20130621-2,KBMX20130621_100625_V06,2,1.494,1.200,879,0,104.848,74,0,83.913
KBMX20130621-2,KBMX20130621_100625_V06,4,2.505,1.200,438,0,238.781,297,0,50.984
KBMX20130621-2,KBMX20130621_100625_V06,5,3.516,1.200,445,0,22.380,54,0,7.644
KBMX20130621-2,KBMX20130621_100625_V06,6,4.482,1.200,441,0,0.346,0,0,0.346
KBMX20130621-2,KBMX20130621_101545_V06,0,0.483,1.200,3464,0,7481.150,489,0,6897.898
KBMX20130621-2,KBMX20130621_101545_V06,2,1.494,1.200,3467,0,990.433,221,0,879.762
KBMX20130621-2,KBMX20130621_101545_V06,4,2.505,1.200,1737,0,804.393,899,0,288.757
KBMX20130621-2,KBMX20130621_101545_V06,5,3.516,1.200,1738,0,236.074,523,0,86.325
KBMX20130621-2,KBMX20130621_101545_V06,6,4.482,1.200,1746,0,19.529,76,0,6.529
KBMX20130621-3,KBMX20130621_100625_V06,0,0.483,1.200,683,0,993.425,24,0,910.674
KBMX20130621-3,KBMX20130621_100625_V06,2,1.494,1.200,683,0,98.471,67,0,38.434
KBMX20130621-3,KBMX20130621_100625_V06,4,2.505,1.200,349,0,21.421,12,0,6.098
KBMX20130621-3,KBMX20130621_100625_V06,5,3.516,1.200,360,0,0.665,0,0,0.665
KBMX20130621-3,KBMX20130621_101545_V06,0,0.483,1.200,2670,0,2694.984,68,0,2397.948
