track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KBUF20200601-7,KBUF20200601_102310_V06,0,0.308,1.200,604,20,514152.434,17,20,514125.374
KBUF20200601-7,KBUF20200601_102310_V06,4,0.879,1.200,606,0,1003.193,8,0,878.550
KBUF20200601-7,KBUF20200601_102310_V06,6,1.318,1.200,607,0,280.346,14,0,215.898
KBUF20200601-7,KBUF20200601_102310_V06,8,1.802,1.200,302,0,5.485,0,0,5.485
KBUF20200601-7,KBUF20200601_102310_V06,9,2.417,1.200,302,0,7.873,0,0,7.873
KBUF20200601-7,KBUF20200601_102310_V06,10,3.120,1.200,305,0,0.696,0,0,0.696
KBUF20200601-7,KBUF20200601_103153_V06,0,0.308,1.200,2149,16,389229.415,103,15,385350.018
KBUF20200601-7,KBUF20200601_103153_V06,4,0.879,1.200,2152,0,1368.945,79,0,1249.206
KBUF20200601-7,KBUF20200601_103153_V06,6,1.318,1.200,2150,0,787.366,90,0,571.791
KBUF20200601-7,KBUF20200601_103153_V06,8,1.802,1.200,1077,0,26.846,3,0,15.932
KBUF20200601-7,KBUF20200601_103153_V06,9,2.417,1.200,1075,0,55.067,6,0,32.878
KBUF20200601-7,KBUF20200601_103153_V06,10,3.120,1.200,1079,0,55.920,10,0,32.375
KBUF20200602-10,KBUF20200602_100557_V06,0,0.308,1.200,8451,0,133485.752,1233,0,16150.900
KBUF20200602-10,KBUF20200602_100557_V06,4,0.879,1.200,8460,0,3549.081,28,0,1224.470
KBUF20200602-10,KBUF20200602_101143_V06,0,0.308,1.200,7074,0,70674.199,1244,0,10297.125
KBUF20200602-10,KBUF20200602_101143_V06,4,0.879,1.200,7075,0,1522.199,16,0,585.693
KBUF20200602-10,KBUF20200602_101143_V06,6,1.318,1.200,7081,0,32.540,0,0,32.540
KBUF20200602-17,KBUF20200602_103254_V06,0,0.308,1.200,2320,0,908828.374,1750,0,11894.131
KBUF20200602-17,KBUF20200602_103254_V06,4,0.879,1.200,2320,0,631128.687,1235,0,52652.079
KBUF20200602-17,KBUF20200602_103254_V06,6,1.318,1.200,2329,0,54929.631,713,0,7000.357
KBUF20200603-1,KBUF20200603_084439_V06,0,0.308,1.200,592,5,416008.829,66,5,347648.629
KBUF20200603-1,KBUF20200603_084439_V06,4,0.879,1.200,596,0,1540.098,52,0,1393.663
KBUF20200603-1,KBUF20200603_084439_V06,6,1.318,1.200,596,0,511.646,138,0,232.573
KBUF20200603-1,KBUF20200603_084439_V06,10,1.802,1.200,297,0,234.240,24,0,131.980
KBUF20200603-1,KBUF20200603_084439_V06,11,2.417,1.200,299,0,198.636,18,0,92.424
KBUF20200603-1,KBUF20200603_084439_V06,12,3.120,1.200,297,0,50.387,4,0,25.986
KBUF20200603-2,KBUF20200603_085342_V06,0,0.308,1.200,2863,0,7530.026,138,0,2202.610
