track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KBYX20230604-11,KBYX20230604_100848_V06,0,0.483,1.200,5221,0,923061.140,2302,0,2461.082
KBYX20230604-11,KBYX20230604_100848_V06,2,0.879,1.200,5227,0,177933.151,1528,0,1182.199
KBYX20230604-11,KBYX20230604_100848_V06,4,1.318,1.200,5220,0,19309.574,736,0,544.709
KBYX20230604-11,KBYX20230604_100848_V06,6,1.802,1.200,2618,0,1780.529,47,0,108.667
KBYX20230604-23,KBYX20230604_113014_V06,0,0.483,1.200,699,1,196994.198,264,0,31.513
KBYX20230604-23,KBYX20230604_113014_V06,2,0.879,1.200,702,7,195122.542,247,0,12.998
KBYX20230604-23,KBYX20230604_113014_V06,4,1.318,1.200,698,6,340936.061,238,0,1521.591
KBYX20230604-23,KBYX20230604_113014_V06,6,1.802,1.200,350,6,279035.111,103,0,2.896
KBYX20230604-23,KBYX20230604_113014_V06,9,2.417,1.200,348,0,192169.197,81,0,5.310
KBYX20230604-23,KBYX20230604_113014_V06,10,3.120,1.200,350,0,6206.299,33,0,389.168
KBYX20230604-23,KBYX20230604_113014_V06,11,3.999,1.200,348,0,4.500,0,0,4.500
KBYX20230604-25,KBYX20230604_113451_V06,0,0.483,1.200,1846,5,640121.843,767,0,46.445
KBYX20230604-25,KBYX20230604_113451_V06,2,0.879,1.200,1846,3,446883.915,745,0,34.376
KBYX20230604-25,KBYX20230604_113451_V06,4,1.318,1.200,1848,0,382680.178,744,0,16.703
KBYX20230604-25,KBYX20230604_113451_V06,6,1.802,1.200,926,0,211080.836,348,0,24.153
KBYX20230604-25,KBYX20230604_113451_V06,9,2.417,1.200,922,0,74904.826,307,0,16.099
KBYX20230604-25,KBYX20230604_113451_V06,10,3.120,1.200,924,0,14883.743,220,0,36.423
KBYX20230604-25,KBYX20230604_113451_V06,11,3.999,1.200,927,0,2756.718,88,0,24.332
KBYX20230607-5,KBYX20230607_094222_V06,0,0.483,1.200,389,0,40204.044,88,0,194.283
KBYX20230607-5,KBYX20230607_094222_V06,2,0.879,1.200,391,0,85457.185,70,0,94.027
KBYX20230607-5,KBYX20230607_094222_V06,4,1.318,1.200,390,0,17210.620,60,0,40.050
KBYX20230607-5,KBYX20230607_094222_V06,6,1.802,1.200,195,0,922.975,1,0,193.449
KBYX20230608-18,KBYX20230608_104548_V06,0,0.483,1.200,2943,1,60839.318,1338,0,606.864
KBYX20230608-18,KBYX20230608_104548_V06,2,0.879,1.200,2943,2,47529.885,1197,0,704.716
KBYX20230608-18,KBYX20230608_104548_V06,4,1.318,1.200,2943,0,42652.749,1126,0,129.059
KBYX20230608-18,KBYX20230608_104548_V06,6,1.802,1.200,1472,0,27473.163,280,0,28.106
KBYX20230608-18,KBYX20230608_104548_V06,7,2.417,1.200,1470,0,17691.933,205,0,8.540
KBYX20230608-18,KBYX20230608_104548_V06,8,3.120,1.200,1471,0,17890.392,178,0,4.576
KBYX20230608-18,KBYX20230608_104548_V06,9,3.999,1.200,1475,0,15344.403,153,0,2.805
KBYX20230608-18,KBYX20230608_104548_V06,10,5.098,1.200,1477,0,12673.520,168,0,1.650
KBYX20230608-18,KBYX20230608_104548_V06,11,6.416,1.200,1482,0,1918.906,86,0,2.246
KBYX20230608-18,KBYX20230608_105016_V06,0,0.483,1.200,6453,0,47337.875,2636,0,1227.967
KBYX20230608-18,KBYX20230608_105016_V06,2,0.879,1.200,6452,0,28746.546,2483,0,525.246
KBYX20230608-18,KBYX20230608_105016_V06,4,1.318,1.200,6451,0,26789.861,2275,0,305.621
KBYX20230608-18,KBYX20230608_105016_V06,6,1.802,1.200,3227,0,30627.739,627,0,137.977
KBYX20230608-18,KBYX20230608_105016_V06,7,2.417,1.200,3225,0,22822.654,515,0,32.916
KBYX20230608-18,KBYX20230608_105016_V06,8,3.120,1.200,3228,0,19181.807,449,0,19.734
KBYX20230608-18,KBYX20230608_105016_V06,9,3.999,1.200,3235,0,6343.374,387,0,6.975
KBYX20230608-18,KBYX20230608_105016_V06,10,5.098,1.200,3244,0,3967.359,421,0,14.704
KBYX20230608-18,KBYX20230608_105016_V06,11,6.416,1.200,3252,0,815.036,303,0,7.091
KBYX20230608-3,KBYX20230608_093922_V06,0,0.483,1.200,928,0,14612.546,277,0,64.645
KBYX20230608-3,KBYX20230608_093922_V06,2,0.879,1.200,929,0,11086.994,257,0,72.963
KBYX20230608-3,KBYX20230608_093922_V06,4,1.318,1.200,930,0,15575.982,230,0,68.342
KBYX20230608-3,KBYX20230608_093922_V06,6,1.802,1.200,463,0,54444.933,74,0,33.721
KBYX20230608-3,KBYX20230608_093922_V06,7,2.417,1.200,465,0,41361.460,45,0,33.993
KBYX20230608-5,KBYX20230608_094359_V06,0,0.483,1.200,4047,0,69.242,945,0,63.950
KBYX20230608-5,KBYX20230608_094359_V06,2,0.879,1.200,4045,0,8.113,1299,0,5.008
KBYX20230608-5,KBYX20230608_094359_V06,4,1.318,1.200,4045,0,4.465,1487,0,1.881
KBYX20230608-5,KBYX20230608_094359_V06,6,1.802,1.200,2018,0,2.207,549,0,0.907
KBYX20230608-5,KBYX20230608_094359_V06,7,2.417,1.200,2019,0,1.330,369,0,0.760
KBYX20230608-5,KBYX20230608_094359_V06,8,3.120,1.200,2021,0,0.517,237,0,0.338
KBYX20230608-5,KBYX20230608_094359_V06,9,3.999,1.200,2024,0,0.284,194,0,0.172
KBYX20230608-5,KBYX20230608_094359_V06,10,5.098,1.200,2029,0,0.253,171,0,0.161
KBYX20230608-5,KBYX20230608_094359_V06,11,6.416,1.200,2033,0,0.546,214,0,0.257
KBYX20230608-5,KBYX20230608_094359_V06,12,7.998,1.200,2043,0,0.962,560,0,0.401
KBYX20230617-5,KBYX20230617_100246_V06,0,0.483,1.200,8815,0,25350.182,689,0,7544.938
KBYX20230617-5,KBYX20230617_100246_V06,2,0.879,1.200,8822,0,29297.624,1011,0,10317.618
