track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KCAE20200602-1,KCAE20200602_100021_V06,0,0.483,1.200,9077,0,5677.950,1072,0,2983.608
KCAE20200602-1,KCAE20200602_100021_V06,2,0.879,1.200,9080,0,2650.506,1174,0,1624.744
KCAE20200602-1,KCAE20200602_100021_V06,4,1.318,1.200,9083,0,87.177,64,0,55.755
KCAE20200602-1,KCAE20200602_100021_V06,6,1.802,1.200,4549,0,36.632,17,0,21.918
KCAE20200602-1,KCAE20200602_100021_V06,7,2.417,1.200,4551,0,39.817,24,0,25.210
KCAE20200602-1,KCAE20200602_100021_V06,8,3.120,1.200,4555,0,10.323,0,0,10.323
KCAE20200602-1,KCAE20200602_100021_V06,9,3.999,1.200,4558,0,6.518,0,0,6.518
KCAE20200603-1,KCAE20200603_091712_V06,0,0.483,1.200,83,0,1452.853,1,0,1397.639
KCAE20200603-1,KCAE20200603_091712_V06,2,0.879,1.200,83,0,409.492,3,0,404.756
KCAE20200603-1,KCAE20200603_091712_V06,4,1.318,1.200,83,0,3.045,2,0,2.497
KCAE20200603-1,KCAE20200603_091712_V06,6,1.802,1.200,43,0,0.050,0,0,0.050
KCAE20200603-1,KCAE20200603_091712_V06,7,2.417,1.200,43,0,0.051,0,0,0.051
KCAE20200603-1,KCAE20200603_091712_V06,8,3.120,1.200,43,0,0.051,0,0,0.051
KCAE20200603-1,KCAE20200603_091712_V06,9,3.999,1.200,42,0,0.050,0,0,0.050
KCAE20200603-1,KCAE20200603_091712_V06,10,5.098,1.200,43,0,0.051,0,0,0.051
KCAE20200619-3,KCAE20200619_101811_V06,0,0.483,1.200,2796,0,29749.765,182,0,21156.694
KCAE20200619-3,KCAE20200619_101811_V06,2,0.879,1.200,2804,0,6210.273,74,0,3614.052
KCAE20200619-3,KCAE20200619_101811_V06,4,1.318,1.200,2800,0,42.187,1,0,18.474
KCAE20200619-3,KCAE20200619_101811_V06,6,1.802,1.200,1410,0,8.004,0,0,8.004
KCAE20200619-3,KCAE20200619_102142_V06,0,0.483,1.200,4268,0,42407.303,263,0,31325.542
KCAE20200619-3,KCAE20200619_102142_V06,2,0.879,1.200,4268,0,13751.076,176,0,8818.812
KCAE20200619-3,KCAE20200619_102142_V06,4,1.318,1.200,4270,0,33.197,2,0,12.053
KCAE20200619-3,KCAE20200619_102142_V06,6,1.802,1.200,2127,0,12.013,0,0,12.013
KCAE20200619-3,KCAE20200619_102514_V06,0,0.483,1.200,5484,0,29794.890,297,0,18928.505
KCAE20200619-3,KCAE20200619_102514_V06,2,0.879,1.200,5490,0,15837.968,222,0,10452.514
KCAE20200619-3,KCAE20200619_102514_V06,4,1.318,1.200,5492,0,138.892,8,0,69.675
KCAE20200619-3,KCAE20200619_102514_V06,6,1.802,1.200,2749,0,15.261,0,0,15.261
KCAE20200619-3,KCAE20200619_102845_V06,0,0.483,1.200,6628,0,21937.143,281,0,14115.135
KCAE20200619-3,KCAE20200619_102845_V06,2,0.879,1.200,6641,0,16721.169,295,0,10449.082
KCAE20200619-3,KCAE20200619_102845_V06,4,1.318,1.200,6638,0,251.424,9,0,144.683
KCAE20200619-3,KCAE20200619_102845_V06,6,1.802,1.200,3324,0,17.984,0,0,17.984
KCAE20200619-3,KCAE20200619_103215_V06,0,0.483,1.200,8375,0,13555.558,227,0,8137.962
KCAE20200619-3,KCAE20200619_103215_V06,2,0.879,1.200,8370,0,16424.258,287,0,9762.230
KCAE20200619-3,KCAE20200619_103215_V06,4,1.318,1.200,8386,0,549.640,24,0,321.300
KCAE20200619-3,KCAE20200619_103215_V06,6,1.802,1.200,4185,0,22.526,0,0,22.526
