track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KCBW20190601-1,KCBW20190601_075030_V06,0,0.483,1.200,39,4,34710.502,0,4,34710.502
KCBW20190601-1,KCBW20190601_075030_V06,2,0.879,1.200,39,0,8792.158,2,0,8785.365
KCBW20190601-1,KCBW20190601_075030_V06,4,1.318,1.200,40,0,42.197,6,0,35.017
KCBW20190601-1,KCBW20190601_075030_V06,6,1.802,1.200,27,0,1.054,0,0,1.054
KCBW20190601-1,KCBW20190601_075030_V06,7,2.417,1.200,27,0,0.032,0,0,0.032
KCBW20190601-1,KCBW20190601_075030_V06,8,3.120,1.200,27,0,0.032,0,0,0.032
KCBW20190601-1,KCBW20190601_075030_V06,9,3.999,1.200,27,0,10.189,1,0,6.079
KCBW20190601-1,KCBW20190601_075030_V06,10,5.098,1.200,28,0,2.092,1,0,0.032
KCBW20190602-5,KCBW20190602_082147_V06,0,0.483,1.200,4559,0,11071.801,279,0,7830.158
KCBW20190602-5,KCBW20190602_082147_V06,2,0.879,1.200,4556,0,7301.754,340,0,2050.300
KCBW20190602-5,KCBW20190602_082147_V06,4,1.318,1.200,4561,0,6777.183,402,0,1027.150
KCBW20190602-5,KCBW20190602_082147_V06,6,1.802,1.200,2280,0,331.110,9,0,209.935
KCBW20190602-5,KCBW20190602_082147_V06,7,2.417,1.200,2282,0,226.870,7,0,141.629
KCBW20190602-6,KCBW20190602_082622_V06,0,0.483,1.200,3265,0,477522.773,571,0,83032.287
KCBW20190602-6,KCBW20190602_082622_V06,2,0.879,1.200,3265,0,385470.704,905,0,24814.252
KCBW20190602-6,KCBW20190602_082622_V06,4,1.318,1.200,3263,0,281062.369,1094,0,4371.878
KCBW20190602-6,KCBW20190602_082622_V06,6,1.802,1.200,1632,0,135447.037,433,0,1510.092
KCBW20190602-6,KCBW20190602_082622_V06,7,2.417,1.200,1632,0,19648.458,323,0,279.125
KCBW20190602-6,KCBW20190602_082622_V06,8,3.120,1.200,1629,0,591.540,33,0,28.890
KCBW20190602-7,KCBW20190602_082622_V06,0,0.483,1.200,1741,2,99554.119,143,2,88274.106
KCBW20190602-7,KCBW20190602_082622_V06,2,0.879,1.200,1742,0,5856.637,59,0,5667.241
KCBW20190602-7,KCBW20190602_082622_V06,4,1.318,1.200,1741,0,88.543,19,0,59.366
KCBW20190602-7,KCBW20190602_082622_V06,6,1.802,1.200,871,0,1.274,0,0,1.274
KCBW20190602-7,KCBW20190602_082622_V06,7,2.417,1.200,874,0,1.280,0,0,1.280
KCBW20190602-7,KCBW20190602_082622_V06,8,3.120,1.200,875,0,1.284,0,0,1.284
KCBW20190602-7,KCBW20190602_082622_V06,9,3.999,1.200,874,0,1.285,0,0,1.285
KCBW20190603-2,KCBW20190603_080905_V06,0,0.483,1.200,26678,0,627321.481,3156,0,195005.771
KCBW20190603-2,KCBW20190603_080905_V06,2,0.879,1.200,26676,0,768966.272,5047,0,111983.562
KCBW20190603-2,KCBW20190603_080905_V06,4,1.318,1.200,26702,0,875347.111,6102,0,63390.132
KCBW20190603-2,KCBW20190603_081344_V06,0,0.483,1.200,30675,0,726581.952,2781,0,340901.311
KCBW20190603-2,KCBW20190603_081344_V06,2,0.879,1.200,30682,0,815439.337,5514,0,153325.955
