track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KCBX20190607-1,KCBX20190607_110502_V06,0,0.483,1.200,791,0,82710.424,73,0,63390.486
KCBX20190607-1,KCBX20190607_110502_V06,2,0.879,1.200,793,0,61736.340,72,0,23970.061
KCBX20190607-1,KCBX20190607_110502_V06,4,1.318,1.200,793,0,3859.369,48,0,3069.463
KCBX20190607-1,KCBX20190607_110502_V06,6,1.802,1.200,393,0,16.325,2,0,12.932
KCBX20190607-1,KCBX20190607_110502_V06,7,2.417,1.200,393,0,9.690,1,0,8.026
KCBX20190607-1,KCBX20190607_110502_V06,8,3.120,1.200,397,0,5.875,1,0,4.160
KCBX20190607-1,KCBX20190607_110502_V06,9,3.999,1.200,394,0,4.770,2,0,0.589
KCBX20190607-1,KCBX20190607_111140_V06,0,0.483,1.200,2536,0,61677.545,123,0,42787.814
KCBX20190607-1,KCBX20190607_111140_V06,2,0.879,1.200,2535,0,44369.009,101,0,28566.435
KCBX20190607-1,KCBX20190607_111140_V06,4,1.318,1.200,2536,0,5891.637,64,0,4215.357
KCBX20190607-1,KCBX20190607_111140_V06,6,1.802,1.200,1267,0,8.179,1,0,4.786
KCBX20190607-1,KCBX20190607_111140_V06,7,2.417,1.200,1267,0,28.805,5,0,15.290
KCBX20190607-1,KCBX20190607_111140_V06,8,3.120,1.200,1271,0,32.886,4,0,25.275
KCBX20190607-1,KCBX20190607_111140_V06,9,3.999,1.200,1270,0,7.937,0,0,7.937
KCBX20190607-5,KCBX20190607_111819_V06,0,0.483,1.200,21468,0,294129.968,1670,0,31655.967
KCBX20190607-5,KCBX20190607_111819_V06,2,0.879,1.200,21477,0,368767.274,2006,0,36706.564
KCBX20190607-5,KCBX20190607_111819_V06,4,1.318,1.200,21494,0,276777.208,2249,0,28775.689
KCBX20190607-5,KCBX20190607_112456_V06,0,0.483,1.200,26779,0,535130.477,2757,0,54874.675
KCBX20190607-5,KCBX20190607_112456_V06,2,0.879,1.200,26783,0,706799.165,3219,0,55520.048
KCBX20190607-5,KCBX20190607_112456_V06,4,1.318,1.200,26786,0,560120.442,3664,0,33383.939
KCBX20190607-4,KCBX20190607_110502_V06,0,0.483,1.200,2923,0,22088.524,272,0,5091.609
KCBX20190607-4,KCBX20190607_110502_V06,2,0.879,1.200,2924,0,32652.013,262,0,4187.368
KCBX20190607-4,KCBX20190607_110502_V06,4,1.318,1.200,2926,0,29352.438,269,0,4188.117
KCBX20190607-4,KCBX20190607_111140_V06,0,0.483,1.200,5968,0,126310.672,696,0,13618.257
KCBX20190607-4,KCBX20190607_111140_V06,2,0.879,1.200,5964,0,138589.346,799,0,7341.984
KCBX20190607-4,KCBX20190607_111140_V06,4,1.318,1.200,5975,0,94136.796,702,0,6684.960
KCBX20190607-4,KCBX20190607_111819_V06,0,0.483,1.200,10117,0,256450.765,1558,0,11986.921
KCBX20190607-4,KCBX20190607_111819_V06,2,0.879,1.200,10121,0,341107.611,1852,0,13237.115
KCBX20190607-4,KCBX20190607_111819_V06,4,1.318,1.200,10127,0,250743.742,1885,0,15499.288
KCBX20190607-4,KCBX20190607_112456_V06,0,0.483,1.200,15452,0,589593.247,2981,0,25465.776
KCBX20190607-4,KCBX20190607_112456_V06,2,0.879,1.200,15456,0,762937.751,3411,0,26264.612
KCBX20190607-4,KCBX20190607_112456_V06,4,1.318,1.200,15463,0,509842.970,3557,0,20290.943
KCBX20190607-4,KCBX20190607_113132_V06,0,0.483,1.200,14400,0,426149.263,1977,0,29085.797
KCBX20190607-4,KCBX20190607_113132_V06,2,0.879,1.200,14402,0,566045.127,2482,0,33098.364
