track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KCLE20160605-1,KCLE20160605_090922_V06,0,0.483,1.200,3261,0,11871.828,493,0,247.038
KCLE20160605-1,KCLE20160605_090922_V06,2,0.879,1.200,3254,0,10892.453,495,0,569.620
KCLE20160605-1,KCLE20160605_090922_V06,6,1.318,1.200,3262,0,1044.138,147,0,224.145
KCLE20160605-1,KCLE20160605_090922_V06,10,1.802,1.200,1629,0,5.215,0,0,5.215
KCLE20160605-1,KCLE20160605_090922_V06,11,2.417,1.200,1630,0,5.225,0,0,5.225
KCLE20160605-4,KCLE20160605_091922_V06,0,0.483,1.200,1226,0,4039.561,191,0,296.847
KCLE20160605-4,KCLE20160605_091922_V06,2,0.879,1.200,1225,0,321.355,26,0,81.257
KCLE20160605-4,KCLE20160605_091922_V06,6,1.318,1.200,1228,0,2.621,0,0,2.621
KCLE20160605-4,KCLE20160605_091922_V06,10,1.802,1.200,615,0,2.628,0,0,2.628
KCLE20160605-4,KCLE20160605_091922_V06,11,2.417,1.200,621,0,2.655,0,0,2.655
KCLE20160606-1,KCLE20160606_094357_V06,0,0.483,1.200,7274,0,300658.520,1325,0,5354.633
KCLE20160606-1,KCLE20160606_095310_V06,0,0.483,1.200,14468,0,278559.963,1208,0,2064.432
KCLE20160606-1,KCLE20160606_095310_V06,2,1.494,1.200,14471,0,57060.805,754,0,13324.219
KCLE20160606-3,KCLE20160606_101137_V06,0,0.483,1.200,6513,0,129151.903,859,0,475.631
KCLE20160606-3,KCLE20160606_101137_V06,2,1.494,1.200,6525,0,76841.977,666,0,5190.997
KCLE20160606-4,KCLE20160606_104832_V06,0,0.483,1.200,12316,0,16212.567,285,0,502.630
KCLE20160606-4,KCLE20160606_104832_V06,2,1.494,1.200,12327,0,2649.904,105,0,596.762
KCLE20160607-1,KCLE20160607_093945_V06,0,0.483,1.200,2479,0,17873.897,59,0,16573.167
KCLE20160607-1,KCLE20160607_093945_V06,2,1.494,1.200,2480,0,84.133,1189,0,39.539
KCLE20160607-1,KCLE20160607_093945_V06,4,2.505,1.200,1241,0,9.252,71,0,6.303
KCLE20160607-1,KCLE20160607_093945_V06,5,3.516,1.200,1237,0,3.848,11,0,3.259
KCLE20160607-1,KCLE20160607_093945_V06,6,4.482,1.200,1239,0,4.175,11,0,3.467
KCLE20160607-2,KCLE20160607_100727_V06,0,0.483,1.200,33,0,631.939,1,0,527.413
KCLE20160607-2,KCLE20160607_100727_V06,2,1.494,1.200,32,0,0.034,0,0,0.034
KCLE20160607-2,KCLE20160607_100727_V06,4,2.505,1.200,17,0,0.036,0,0,0.036
KCLE20160607-2,KCLE20160607_100727_V06,5,3.516,1.200,17,0,0.036,0,0,0.036
