track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KCXX20180601-2,KCXX20180601_081307_V06,0,0.483,1.200,573,0,138115.213,55,0,107529.518
KCXX20180601-2,KCXX20180601_081307_V06,2,0.879,1.200,572,0,83428.140,33,0,71219.931
KCXX20180601-2,KCXX20180601_081307_V06,4,1.318,1.200,572,0,9595.494,60,0,8725.921
KCXX20180601-2,KCXX20180601_081307_V06,6,1.802,1.200,286,0,791.161,36,0,519.125
KCXX20180601-2,KCXX20180601_081307_V06,7,2.417,1.200,287,0,32.353,8,0,23.371
KCXX20180601-2,KCXX20180601_081307_V06,8,3.120,1.200,286,0,14.938,3,0,7.379
KCXX20180601-2,KCXX20180601_081307_V06,9,3.999,1.200,286,0,475.916,18,0,82.532
KCXX20180601-5,KCXX20180601_085137_V06,0,0.483,1.200,10633,1,585428.333,2756,0,394876.139
KCXX20180601-5,KCXX20180601_085137_V06,2,0.879,1.200,10631,0,719950.715,4323,0,139209.673
KCXX20180601-5,KCXX20180601_085137_V06,4,1.318,1.200,10636,0,756865.296,4725,0,140554.999
KCXX20180601-5,KCXX20180601_085137_V06,6,1.802,1.200,5327,0,748653.952,2740,0,61330.559
KCXX20180601-5,KCXX20180601_085137_V06,7,2.417,1.200,5328,0,761654.145,2918,0,46199.298
KCXX20180601-5,KCXX20180601_085137_V06,8,3.120,1.200,5324,0,698897.220,3173,0,82458.448
KCXX20180601-5,KCXX20180601_085137_V06,9,3.999,1.200,5330,0,512601.985,3114,0,25801.198
KCXX20180601-5,KCXX20180601_085137_V06,10,5.098,1.200,5344,0,551405.372,2006,0,67706.490
KCXX20180601-8,KCXX20180601_095421_V06,0,0.483,1.200,2249,0,11920.440,95,0,8837.913
KCXX20180601-8,KCXX20180601_095421_V06,2,0.879,1.200,2253,0,1094.252,71,0,927.367
KCXX20180601-8,KCXX20180601_095421_V06,4,1.318,1.200,2256,0,244.511,84,0,190.934
KCXX20180601-8,KCXX20180601_095421_V06,6,1.802,1.200,1143,0,8.524,2,0,7.604
KCXX20180601-8,KCXX20180601_095421_V06,7,2.417,1.200,1140,0,30.985,19,0,13.537
KCXX20180601-8,KCXX20180601_095421_V06,8,3.120,1.200,1142,0,11.611,8,0,5.169
KCXX20180601-8,KCXX20180601_095421_V06,9,3.999,1.200,1139,0,6.174,5,0,3.031
KCXX20180601-8,KCXX20180601_095421_V06,10,5.098,1.200,1143,0,22.734,8,0,9.534
KCXX20180602-1,KCXX20180602_081156_V06,0,0.483,1.200,879,0,115450.666,118,0,106632.136
KCXX20180602-1,KCXX20180602_081156_V06,2,0.879,1.200,878,0,43352.408,78,0,42565.521
KCXX20180602-1,KCXX20180602_081156_V06,4,1.318,1.200,877,0,5159.164,50,0,5097.326
KCXX20180602-1,KCXX20180602_081156_V06,6,1.802,1.200,441,0,277.942,29,0,182.756
KCXX20180602-1,KCXX20180602_081156_V06,7,2.417,1.200,439,0,119.671,28,0,58.316
KCXX20180602-1,KCXX20180602_081156_V06,8,3.120,1.200,439,0,20.584,9,0,9.321
KCXX20180602-1,KCXX20180602_081156_V06,9,3.999,1.200,441,0,4.407,2,0,2.999
KCXX20180602-4,KCXX20180602_090811_V06,0,0.483,1.200,1914,0,9408.879,739,0,913.676
KCXX20180602-4,KCXX20180602_090811_V06,2,0.879,1.200,1914,0,9977.749,1181,0,116.534
KCXX20180602-4,KCXX20180602_090811_V06,4,1.318,1.200,1914,0,8181.273,1211,0,25.172
KCXX20180602-4,KCXX20180602_090811_V06,6,1.802,1.200,952,0,3571.710,409,0,18.483
KCXX20180602-4,KCXX20180602_090811_V06,7,2.417,1.200,952,0,1272.973,306,0,35.077
KCXX20180602-4,KCXX20180602_090811_V06,8,3.120,1.200,953,0,269.363,152,0,11.692
KCXX20180602-4,KCXX20180602_090811_V06,9,3.999,1.200,959,0,5.674,11,0,1.268
KCXX20180602-4,KCXX20180602_090811_V06,10,5.098,1.200,956,0,0.660,0,0,0.660
KCXX20180602-4,KCXX20180602_090811_V06,11,6.416,1.200,959,0,0.940,0,0,0.940
KCXX20180602-5,KCXX20180602_092820_V06,0,0.483,1.200,1499,0,8715.240,34,0,8676.007
KCXX20180602-5,KCXX20180602_092820_V06,2,0.879,1.200,1502,0,999.792,43,0,931.871
KCXX20180602-5,KCXX20180602_092820_V06,4,1.318,1.200,1499,0,278.991,39,0,242.501
KCXX20180602-5,KCXX20180602_092820_V06,6,1.802,1.200,747,0,12.883,5,0,8.638
KCXX20180602-5,KCXX20180602_092820_V06,7,2.417,1.200,748,0,29.972,20,0,10.616
KCXX20180602-5,KCXX20180602_092820_V06,8,3.120,1.200,747,0,19.903,12,0,11.615
KCXX20180602-5,KCXX20180602_092820_V06,9,3.999,1.200,745,0,6.265,3,0,4.935
KCXX20180602-5,KCXX20180602_092820_V06,10,5.098,1.200,751,0,3.550,1,0,3.345
KCXX20180602-7,KCXX20180602_094832_V06,0,0.483,1.200,923,0,38999.548,34,0,35632.625
KCXX20180602-7,KCXX20180602_094832_V06,2,0.879,1.200,923,0,11149.053,34,0,8431.135
KCXX20180602-7,KCXX20180602_094832_V06,4,1.318,1.200,924,0,889.463,10,0,857.067
KCXX20180602-7,KCXX20180602_094832_V06,6,1.802,1.200,464,0,25.892,4,0,14.980
KCXX20180602-7,KCXX20180602_094832_V06,7,2.417,1.200,465,0,29.029,5,0,18.987
KCXX20180602-7,KCXX20180602_094832_V06,8,3.120,1.200,465,0,47.712,6,0,21.130
KCXX20180602-8,KCXX20180602_094832_V06,0,0.483,1.200,2427,0,1155.528,204,0,77.716
KCXX20180602-8,KCXX20180602_094832_V06,2,0.879,1.200,2425,0,7690.612,350,0,165.658
KCXX20180602-8,KCXX20180602_094832_V06,4,1.318,1.200,2428,0,18326.767,447,0,90.226
KCXX20180602-8,KCXX20180602_094832_V06,6,1.802,1.200,1215,0,6400.205,158,0,11.470
KCXX20180602-8,KCXX20180602_094832_V06,7,2.417,1.200,1216,0,854.537,59,0,5.817
KCXX20180602-8,KCXX20180602_094832_V06,8,3.120,1.200,1218,0,2.001,0,0,2.001
KCXX20180602-8,KCXX20180602_094832_V06,9,3.999,1.200,1220,0,2.009,0,0,2.009
KCXX20180603-1,KCXX20180603_081254_V06,0,0.483,1.200,73,0,6103.352,2,0,6086.877
KCXX20180603-1,KCXX20180603_081254_V06,2,0.879,1.200,73,0,29177.674,4,0,27043.268
KCXX20180603-1,KCXX20180603_081254_V06,4,1.318,1.200,73,0,3878.821,0,0,3878.821
KCXX20180603-1,KCXX20180603_081254_V06,6,1.802,1.200,35,0,110.105,6,0,75.195
KCXX20180603-1,KCXX20180603_081254_V06,7,2.417,1.200,35,0,0.049,0,0,0.049
KCXX20180603-1,KCXX20180603_081254_V06,8,3.120,1.200,35,0,0.049,0,0,0.049
KCXX20180603-1,KCXX20180603_081254_V06,9,3.999,1.200,37,0,1.390,0,0,1.390
KCXX20180603-2,KCXX20180603_093610_V06,0,0.483,1.200,174,1,390139.893,11,1,345625.787
KCXX20180603-2,KCXX20180603_093610_V06,2,0.879,1.200,174,0,18022.023,2,0,17425.076
KCXX20180603-2,KCXX20180603_093610_V06,4,1.318,1.200,175,0,606.409,4,0,537.472
KCXX20180603-2,KCXX20180603_093610_V06,6,1.802,1.200,90,0,258.079,5,0,0.452
