track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KCYS20190603-1,KCYS20190603_114216_V06,0,0.483,1.200,8497,0,350325.433,1605,0,1866.398
KCYS20190603-1,KCYS20190603_114216_V06,2,1.494,1.200,8508,0,1379088.921,2693,0,1818.814
KCYS20190606-1,KCYS20190606_112833_V06,0,0.483,1.200,3922,0,5239.418,253,0,4913.911
KCYS20190606-1,KCYS20190606_112833_V06,2,1.494,1.200,3923,0,144.943,124,0,97.412
KCYS20190606-1,KCYS20190606_112833_V06,4,2.505,1.200,1960,0,3.027,0,0,3.027
KCYS20190606-1,KCYS20190606_112833_V06,5,3.516,1.200,1963,0,2.205,0,0,2.205
KCYS20190606-1,KCYS20190606_112833_V06,6,4.482,1.200,1970,0,2.220,0,0,2.220
KCYS20190606-1,KCYS20190606_113810_V06,0,0.483,1.200,10058,0,11781.928,605,0,10846.635
KCYS20190606-1,KCYS20190606_113810_V06,2,1.494,1.200,10060,0,154.416,182,0,90.848
KCYS20190606-1,KCYS20190606_113810_V06,4,2.505,1.200,5029,0,6.024,0,0,6.024
KCYS20190606-1,KCYS20190606_113810_V06,5,3.516,1.200,5037,0,5.337,0,0,5.337
KCYS20190606-1,KCYS20190606_113810_V06,6,4.482,1.200,5039,0,5.353,0,0,5.353
KCYS20190607-1,KCYS20190607_110638_V06,0,0.483,1.200,2098,0,5382.600,149,0,4383.881
KCYS20190607-1,KCYS20190607_110638_V06,2,1.494,1.200,2100,0,3.276,4,0,2.811
KCYS20190607-1,KCYS20190607_110638_V06,4,2.505,1.200,1047,0,1.046,0,0,1.046
KCYS20190607-1,KCYS20190607_110638_V06,5,3.516,1.200,1048,0,1.049,0,0,1.049
KCYS20190607-1,KCYS20190607_110638_V06,6,4.482,1.200,1046,0,1.050,0,0,1.050
KCYS20190607-1,KCYS20190607_111615_V06,0,0.483,1.200,5827,0,13823.081,329,0,13195.896
KCYS20190607-1,KCYS20190607_111615_V06,2,1.494,1.200,5832,0,540.360,245,0,406.216
KCYS20190607-1,KCYS20190607_111615_V06,4,2.505,1.200,2931,0,3.817,0,0,3.817
KCYS20190607-1,KCYS20190607_111615_V06,5,3.516,1.200,2933,0,2.901,0,0,2.901
KCYS20190607-1,KCYS20190607_111615_V06,6,4.482,1.200,2938,0,2.913,0,0,2.913
KCYS20190607-2,KCYS20190607_113528_V06,0,0.483,1.200,4978,0,30011.906,144,0,573.178
KCYS20190608-1,KCYS20190608_104300_V06,0,0.483,1.200,5923,0,5713.824,191,0,3323.556
KCYS20190608-1,KCYS20190608_104300_V06,2,0.879,1.200,5924,0,24095.860,530,0,4345.060
KCYS20190608-1,KCYS20190608_104300_V06,4,1.318,1.200,5931,0,103853.909,1032,0,5015.949
KCYS20190608-1,KCYS20190608_104300_V06,6,1.802,1.200,2963,0,98079.713,621,0,2617.912
KCYS20190608-1,KCYS20190608_104300_V06,7,2.417,1.200,2965,0,5612.999,149,0,1023.213
KCYS20190611-1,KCYS20190611_110743_V06,0,0.483,1.200,2428,0,1414.746,167,0,1020.475
KCYS20190611-1,KCYS20190611_110743_V06,2,1.494,1.200,2429,0,2.177,0,0,2.177
KCYS20190611-1,KCYS20190611_110743_V06,4,2.505,1.200,1212,0,2.177,0,0,2.177
KCYS20190611-1,KCYS20190611_110743_V06,5,3.516,1.200,1216,0,2.189,0,0,2.189
KCYS20190611-1,KCYS20190611_111720_V06,0,0.483,1.200,1598,0,2671.104,83,0,2384.392
KCYS20190611-1,KCYS20190611_111720_V06,2,1.494,1.200,1597,0,1.401,0,0,1.401
KCYS20190611-1,KCYS20190611_111720_V06,4,2.505,1.200,801,0,1.407,0,0,1.407
KCYS20190611-1,KCYS20190611_111720_V06,5,3.516,1.200,802,0,1.413,0,0,1.413
KCYS20190611-4,KCYS20190611_111720_V06,0,0.483,1.200,674,0,41028.237,15,0,40983.861
KCYS20190611-4,KCYS20190611_111720_V06,2,1.494,1.200,675,0,15.749,2,0,13.274
KCYS20190611-4,KCYS20190611_111720_V06,4,2.505,1.200,337,0,87.172,5,0,36.810
KCYS20190611-4,KCYS20190611_111720_V06,5,3.516,1.200,338,0,40.205,3,0,34.259
KCYS20190614-1,KCYS20190614_110644_V06,0,0.483,1.200,8061,0,8196.542,711,0,6945.424
KCYS20190614-1,KCYS20190614_110644_V06,2,1.494,1.200,8064,0,727.908,156,0,19.174
KCYS20190614-1,KCYS20190614_110644_V06,4,2.505,1.200,4029,0,1427.479,109,0,35.001
KCYS20190614-1,KCYS20190614_110644_V06,5,3.516,1.200,4041,0,47.838,7,0,31.950
KCYS20190614-1,KCYS20190614_110644_V06,6,4.482,1.200,4041,0,12.731,0,0,12.731
KCYS20190614-2,KCYS20190614_112559_V06,0,0.483,1.200,13232,0,3016.707,139,0,896.316
KCYS20190614-2,KCYS20190614_112559_V06,2,1.494,1.200,13251,0,80774.772,2559,0,6050.365
KCYS20190616-19,KCYS20190616_122901_V06,0,0.483,1.200,2827,0,1660230.748,1616,0,6233.839
KCYS20190616-19,KCYS20190616_122901_V06,2,0.879,1.200,2824,0,1783984.576,1712,0,9094.401
KCYS20190616-19,KCYS20190616_122901_V06,4,1.318,1.200,2830,0,823565.914,1225,0,5358.346
KCYS20190616-19,KCYS20190616_124250_V06,0,0.483,1.200,5452,0,1187207.496,1691,0,8171.500
KCYS20190616-19,KCYS20190616_124250_V06,2,0.879,1.200,5450,0,2252316.935,2069,0,9225.124
KCYS20190616-19,KCYS20190616_124250_V06,4,1.318,1.200,5458,0,2057577.207,1705,0,7971.161
