track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KDFX20230602-1,KDFX20230602_104414_V06,0,0.483,1.200,909,0,28590.478,1,0,28556.836
KDFX20230602-1,KDFX20230602_104414_V06,2,0.879,1.200,912,0,6910.071,10,0,6831.714
KDFX20230602-1,KDFX20230602_104414_V06,4,1.318,1.200,913,0,790.173,245,0,617.332
KDFX20230602-1,KDFX20230602_104414_V06,8,1.802,1.200,459,0,691.801,201,0,318.056
KDFX20230602-1,KDFX20230602_104414_V06,9,2.417,1.200,459,0,1651.285,269,0,654.451
KDFX20230602-1,KDFX20230602_104414_V06,10,3.120,1.200,459,0,891.595,329,0,197.386
KDFX20230602-1,KDFX20230602_104414_V06,11,3.999,1.200,457,0,13.173,7,0,9.107
KDFX20230602-1,KDFX20230602_104414_V06,12,5.098,1.200,461,0,1.374,0,0,1.374
KDFX20230602-2,KDFX20230602_112759_V06,0,0.483,1.200,1266,0,2317.639,108,0,2305.191
KDFX20230602-2,KDFX20230602_112759_V06,2,0.879,1.200,1267,0,459.860,135,0,448.446
KDFX20230602-2,KDFX20230602_112759_V06,4,1.318,1.200,1267,0,13.144,77,0,9.682
KDFX20230602-2,KDFX20230602_112759_V06,8,1.802,1.200,630,0,1.667,3,0,0.632
KDFX20230602-2,KDFX20230602_112759_V06,9,2.417,1.200,632,0,1.209,0,0,1.209
KDFX20230602-2,KDFX20230602_112759_V06,10,3.120,1.200,635,0,5.947,6,0,4.905
KDFX20230602-2,KDFX20230602_112759_V06,11,3.999,1.200,633,0,22.996,82,0,5.917
KDFX20230602-2,KDFX20230602_112759_V06,12,5.098,1.200,634,0,37.547,181,0,9.826
KDFX20230602-2,KDFX20230602_112759_V06,13,6.416,1.200,633,0,0.628,2,0,0.516
KDFX20230607-2,KDFX20230607_112154_V06,0,0.483,1.200,2279,0,87022.839,675,0,82209.061
KDFX20230607-2,KDFX20230607_112154_V06,2,0.879,1.200,2281,0,12185.374,765,0,11624.469
KDFX20230607-2,KDFX20230607_112154_V06,4,1.318,1.200,2279,0,1106.225,1210,0,541.598
KDFX20230607-2,KDFX20230607_112154_V06,6,1.802,1.200,1141,0,440.835,166,0,172.915
KDFX20230607-2,KDFX20230607_112154_V06,7,2.417,1.200,1142,0,481.539,219,0,158.226
KDFX20230607-2,KDFX20230607_112154_V06,8,3.120,1.200,1142,0,115.706,69,0,49.031
KDFX20230607-2,KDFX20230607_112154_V06,9,3.999,1.200,1144,0,1.673,0,0,1.673
KDFX20230608-2,KDFX20230608_111026_V06,0,0.483,1.200,378,0,46219.328,73,0,30881.193
KDFX20230608-2,KDFX20230608_111026_V06,2,0.879,1.200,376,0,36737.917,118,0,9485.529
KDFX20230608-2,KDFX20230608_111026_V06,6,1.318,1.200,373,0,2567.951,222,0,1114.546
KDFX20230608-2,KDFX20230608_111026_V06,8,1.802,1.200,189,0,2775.624,139,0,633.437
KDFX20230608-2,KDFX20230608_111026_V06,11,2.417,1.200,191,0,1100.968,118,0,186.086
KDFX20230608-2,KDFX20230608_111026_V06,12,3.120,1.200,190,0,6.514,0,0,6.514
KDFX20230609-1,KDFX20230609_111507_V06,0,0.483,1.200,952,0,21920.814,225,0,21823.647
KDFX20230609-1,KDFX20230609_111507_V06,2,0.879,1.200,950,0,2019.266,349,0,1852.888
KDFX20230609-1,KDFX20230609_111507_V06,4,1.318,1.200,951,0,501.901,533,0,238.589
KDFX20230609-1,KDFX20230609_111507_V06,8,1.802,1.200,473,0,579.141,156,0,206.934
KDFX20230609-1,KDFX20230609_111507_V06,9,2.417,1.200,473,0,1931.785,281,0,663.073
KDFX20230609-1,KDFX20230609_111507_V06,10,3.120,1.200,471,0,272.306,106,0,106.120
KDFX20230609-1,KDFX20230609_111507_V06,11,3.999,1.200,473,0,0.686,0,0,0.686
KDFX20230610-6,KDFX20230610_130425_V06,0,0.483,1.200,4266,55,2248382.758,857,0,9995.793
KDFX20230610-6,KDFX20230610_130425_V06,2,0.879,1.200,4261,30,3424073.419,1042,0,5658.780
KDFX20230610-6,KDFX20230610_130425_V06,4,1.318,1.200,4267,26,4107013.931,1152,0,1148.773
KDFX20230613-2,KDFX20230613_112717_V06,0,0.483,1.200,4898,0,57375.265,1259,0,20492.337
KDFX20230613-2,KDFX20230613_112717_V06,2,0.879,1.200,4900,0,9297.024,458,0,3115.250
KDFX20230613-2,KDFX20230613_112717_V06,4,1.318,1.200,4901,0,37.278,0,0,37.278
