track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KDIX20130603-3,KDIX20130603_085045_V06,0,0.483,1.200,3047,0,8627197.365,2948,0,22890.433
KDIX20130603-3,KDIX20130603_085045_V06,2,1.450,1.200,3048,4,11441783.538,2270,0,836148.856
KDIX20130605-3,KDIX20130605_102712_V06,0,0.483,1.200,2808,0,21759.136,139,0,20654.810
KDIX20130605-3,KDIX20130605_102712_V06,2,1.494,1.200,2819,0,357.360,85,0,25.100
KDIX20130605-3,KDIX20130605_102712_V06,4,2.505,1.200,1406,0,17.154,10,0,10.186
KDIX20130605-3,KDIX20130605_102712_V06,5,3.516,1.200,1407,0,19.840,8,0,3.428
KDIX20130605-3,KDIX20130605_102712_V06,6,4.482,1.200,1409,0,11.223,8,0,4.570
KDIX20130607-1,KDIX20130607_095657_V06,0,0.483,1.200,2756,0,1817658.499,2263,0,24730.051
KDIX20130610-1,KDIX20130610_083237_V06,0,0.483,1.200,59,0,28543.076,0,0,28543.076
KDIX20130610-1,KDIX20130610_083237_V06,2,1.450,1.200,60,0,2.102,0,0,2.102
KDIX20130610-1,KDIX20130610_083237_V06,4,2.417,1.200,36,0,0.061,0,0,0.061
KDIX20130610-1,KDIX20130610_083237_V06,5,3.384,1.200,34,0,3.404,1,0,1.436
KDIX20130610-1,KDIX20130610_083729_V06,0,0.483,1.200,694,0,60170.055,46,0,59761.545
KDIX20130610-1,KDIX20130610_083729_V06,2,1.450,1.200,692,0,55.636,14,0,34.464
KDIX20130610-1,KDIX20130610_083729_V06,4,2.417,1.200,355,0,51.479,5,0,12.832
KDIX20130610-1,KDIX20130610_083729_V06,5,3.384,1.200,357,0,15.659,3,0,7.844
KDIX20130610-3,KDIX20130610_092610_V06,0,0.483,1.200,6233,3,16268.412,943,3,14471.888
KDIX20130610-3,KDIX20130610_092610_V06,2,1.450,1.200,6234,0,459.955,2500,0,176.949
KDIX20130610-3,KDIX20130610_092610_V06,4,2.417,1.200,3123,0,86.789,389,0,57.801
KDIX20130610-3,KDIX20130610_092610_V06,5,3.384,1.200,3125,0,20.524,640,0,6.983
KDIX20130610-3,KDIX20130610_092610_V06,6,4.307,1.200,3129,0,7.434,454,0,3.359
KDIX20130610-3,KDIX20130610_092610_V06,7,6.021,1.200,3135,0,2.009,268,0,1.071
KDIX20130610-3,KDIX20130610_092610_V06,8,9.888,1.200,3165,0,1.923,43,0,0.958
KDIX20130610-3,KDIX20130610_093102_V06,0,0.483,1.200,17832,3,59195.811,3745,3,55233.832
KDIX20130610-3,KDIX20130610_093102_V06,2,1.450,1.200,17841,0,811.498,6940,0,380.728
KDIX20130610-3,KDIX20130610_093102_V06,4,2.417,1.200,8927,0,157.014,1548,0,112.175
KDIX20130610-3,KDIX20130610_093102_V06,5,3.384,1.200,8929,0,59.583,2022,0,21.251
KDIX20130610-3,KDIX20130610_093102_V06,6,4.307,1.200,8938,0,16.110,1765,0,8.661
KDIX20130610-3,KDIX20130610_093102_V06,7,6.021,1.200,8957,0,4.822,1274,0,2.615
KDIX20130610-3,KDIX20130610_093102_V06,8,9.888,1.200,9053,0,7.314,867,0,1.856
KDIX20130613-20,KDIX20130613_102115_V06,0,0.483,1.200,2900,0,19470.946,1096,0,5465.086
KDIX20130613-20,KDIX20130613_102115_V06,2,0.879,1.200,2900,0,13592.157,1107,0,477.911
KDIX20130613-20,KDIX20130613_102115_V06,4,1.318,1.200,2906,0,10943.529,1025,0,143.264
KDIX20130613-20,KDIX20130613_102115_V06,6,1.802,1.200,1453,0,8439.659,352,0,164.658
KDIX20130613-20,KDIX20130613_102115_V06,7,2.417,1.200,1456,0,13197.183,413,0,385.220
KDIX20130613-20,KDIX20130613_102115_V06,8,3.120,1.200,1459,0,14268.401,445,0,532.489
KDIX20130613-20,KDIX20130613_102438_V06,0,0.483,1.200,4749,0,26212.078,1687,0,5466.074
KDIX20130613-20,KDIX20130613_102438_V06,2,0.879,1.200,4744,0,12146.372,1179,0,665.753
KDIX20130613-20,KDIX20130613_102438_V06,4,1.318,1.200,4754,0,8766.984,1044,0,155.863
KDIX20130613-20,KDIX20130613_102438_V06,6,1.802,1.200,2381,0,5732.497,349,0,175.623
KDIX20130613-20,KDIX20130613_102438_V06,7,2.417,1.200,2379,0,9011.578,415,0,551.519
KDIX20130613-20,KDIX20130613_102438_V06,8,3.120,1.200,2379,0,15025.959,408,0,506.131
KDIX20130613-25,KDIX20130613_104233_V06,0,0.483,1.200,4958,0,42132.389,289,0,35033.721
KDIX20130613-25,KDIX20130613_104233_V06,2,0.879,1.200,4965,0,110.110,7,0,40.389
KDIX20130613-25,KDIX20130613_104233_V06,4,1.318,1.200,4958,0,11.394,0,0,11.394
KDIX20130613-25,KDIX20130613_104233_V06,6,1.802,1.200,2487,0,2192.969,34,0,298.842
KDIX20130613-25,KDIX20130613_104608_V06,0,0.483,1.200,7150,0,39619.927,338,0,31417.253
KDIX20130613-25,KDIX20130613_104608_V06,2,0.879,1.200,7148,0,1318.214,68,0,244.956
KDIX20130613-25,KDIX20130613_104608_V06,4,1.318,1.200,7157,0,8514.195,135,0,124.591
KDIX20130613-25,KDIX20130613_104608_V06,6,1.802,1.200,3579,0,50918.069,229,0,3134.865
KDIX20130613-3,KDIX20130613_091153_V06,0,0.483,1.200,19405,0,884852.831,5050,0,18813.560
KDIX20130613-3,KDIX20130613_091153_V06,2,0.879,1.200,19394,0,1893471.139,6999,0,82156.621
KDIX20130613-3,KDIX20130613_091153_V06,4,1.318,1.200,19421,0,2314759.603,9138,0,143707.032
KDIX20130613-11,KDIX20130613_100424_V06,0,0.483,1.200,16910,746,90710566.494,8362,3,2986248.955
KDIX20130613-11,KDIX20130613_100424_V06,2,0.879,1.200,16906,736,87552184.202,7856,32,18975253.758
KDIX20130613-16,KDIX20130613_101431_V06,0,0.483,1.200,17204,0,4698.284,8016,0,1741.681
KDIX20130613-16,KDIX20130613_101431_V06,2,0.879,1.200,17208,0,4039.006,6975,0,544.008
KDIX20130613-16,KDIX20130613_101431_V06,4,1.318,1.200,17204,0,4732.659,4413,0,238.088
KDIX20130613-16,KDIX20130613_101431_V06,6,1.802,1.200,8600,0,4730.150,1622,0,148.053
KDIX20130613-16,KDIX20130613_101431_V06,7,2.417,1.200,8604,0,4549.463,1411,0,45.176
KDIX20130613-16,KDIX20130613_101431_V06,8,3.120,1.200,8611,0,3588.654,1301,0,32.965
KDIX20130613-16,KDIX20130613_101431_V06,9,3.999,1.200,8614,0,1966.818,970,0,13.282
KDIX20130613-16,KDIX20130613_101431_V06,10,5.098,1.200,8633,0,2216.744,775,0,137.126
KDIX20130613-16,KDIX20130613_101431_V06,11,6.416,1.200,8647,0,1231.678,896,0,28.830
KDIX20130613-16,KDIX20130613_101431_V06,12,7.998,1.200,8684,0,222.474,615,0,11.074
KDIX20130613-17,KDIX20130613_101431_V06,0,0.483,1.200,17762,645,80615459.531,8167,6,3190684.597
KDIX20130613-17,KDIX20130613_101431_V06,2,0.879,1.200,17772,602,81374491.665,7762,14,16019451.929
KDIX20130613-21,KDIX20130613_102438_V06,0,0.483,1.200,2847,0,6721.867,96,0,4802.994
KDIX20130613-21,KDIX20130613_102438_V06,2,0.879,1.200,2847,0,6.880,0,0,6.880
KDIX20130613-21,KDIX20130613_102438_V06,4,1.318,1.200,2834,0,6.854,0,0,6.854
KDIX20130613-21,KDIX20130613_102438_V06,6,1.802,1.200,1444,0,150.928,6,0,68.096
KDIX20130614-24,KDIX20130614_101056_V06,0,0.483,1.200,14728,0,788237.549,2071,0,21948.035
KDIX20130614-24,KDIX20130614_101056_V06,2,1.450,1.200,14739,0,121879.346,969,0,5312.510
KDIX20130614-24,KDIX20130614_101644_V06,0,0.483,1.200,17977,0,966615.442,2908,0,47313.581
KDIX20130614-24,KDIX20130614_101644_V06,2,1.450,1.200,18005,0,171469.081,1305,0,14269.408
KDIX20130614-24,KDIX20130614_102230_V06,0,0.483,1.200,16483,0,886882.893,2811,0,62009.645
KDIX20130614-24,KDIX20130614_102230_V06,2,1.450,1.200,16494,0,206871.968,1395,0,17469.498
KDIX20130614-24,KDIX20130614_102816_V06,0,0.483,1.200,17271,0,1044603.347,2626,0,60675.045
KDIX20130614-24,KDIX20130614_102816_V06,2,1.450,1.200,17268,0,184377.923,1422,0,9801.581
KDIX20130614-24,KDIX20130614_103403_V06,0,0.483,1.200,17075,0,849194.123,3079,0,51223.908
KDIX20130614-24,KDIX20130614_103403_V06,2,1.450,1.200,17069,0,180111.317,1525,0,18224.297
KDIX20130614-24,KDIX20130614_103949_V06,0,0.483,1.200,17025,0,985273.166,3374,0,38851.677
KDIX20130614-24,KDIX20130614_103949_V06,2,1.450,1.200,17030,0,122724.424,1532,0,19909.826
KDIX20130614-24,KDIX20130614_104536_V06,0,0.483,1.200,16996,0,1194165.896,3572,0,53841.585
KDIX20130614-24,KDIX20130614_104536_V06,2,1.450,1.200,17050,0,98760.969,1542,0,14385.217
KDIX20130614-24,KDIX20130614_105121_V06,0,0.483,1.200,6778,0,130287.903,1687,0,1410.683
KDIX20130614-24,KDIX20130614_105121_V06,2,1.450,1.200,6779,0,26351.233,702,0,927.359
KDIX20130614-19,KDIX20130614_095951_V06,0,0.483,1.200,1069,0,138734.049,384,0,12459.634
KDIX20130614-19,KDIX20130614_095951_V06,2,1.450,1.200,1068,0,4.654,0,0,4.654
KDIX20130614-19,KDIX20130614_100510_V06,0,0.483,1.200,2578,0,148723.751,565,0,13671.580
KDIX20130614-19,KDIX20130614_100510_V06,2,1.450,1.200,2578,0,58.282,2,0,22.453
KDIX20130614-19,KDIX20130614_101056_V06,0,0.483,1.200,3765,0,148092.134,838,0,17700.921
KDIX20130614-19,KDIX20130614_101056_V06,2,1.450,1.200,3763,0,513.569,19,0,30.980
KDIX20130614-19,KDIX20130614_101644_V06,0,0.483,1.200,5560,0,152521.293,1152,0,15492.217
KDIX20130614-19,KDIX20130614_101644_V06,2,1.450,1.200,5558,0,471.323,20,0,102.991
KDIX20130614-19,KDIX20130614_102230_V06,0,0.483,1.200,8388,0,102018.554,1323,0,11608.684
KDIX20130614-19,KDIX20130614_102230_V06,2,1.450,1.200,8393,0,28.654,0,0,28.654
KDIX20130614-10,KDIX20130614_092822_V06,0,0.483,1.200,2973,0,31318.842,147,0,1636.604
KDIX20130614-10,KDIX20130614_093314_V06,0,0.483,1.200,4536,0,44378.186,169,0,3561.662
KDIX20130614-10,KDIX20130614_093834_V06,0,0.483,1.200,6733,0,64432.707,284,0,6894.175
KDIX20130614-10,KDIX20130614_094353_V06,0,0.483,1.200,3807,0,36583.063,260,0,6892.288
