track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KDLH20160605-1,KDLH20160605_104743_V06,0,0.483,1.200,4908,0,14372.996,263,0,332.872
KDLH20160606-8,KDLH20160606_101222_V06,0,0.483,1.200,4781,0,1090760.031,3076,0,35729.224
KDLH20160606-8,KDLH20160606_101222_V06,2,0.879,1.200,4778,0,313930.050,2162,0,17145.115
KDLH20160609-1,KDLH20160609_101033_V06,0,0.483,1.200,14550,0,89590.934,2937,0,75390.622
KDLH20160609-1,KDLH20160609_101033_V06,2,0.879,1.200,14555,0,15545.736,1147,0,13924.075
KDLH20160609-1,KDLH20160609_101033_V06,4,1.318,1.200,14559,0,2450.307,1304,0,1674.030
KDLH20160609-1,KDLH20160609_101033_V06,8,1.802,1.200,7292,0,428.534,69,0,239.518
KDLH20160609-1,KDLH20160609_101033_V06,9,2.417,1.200,7296,0,138.298,36,0,99.913
KDLH20160609-1,KDLH20160609_101033_V06,10,3.120,1.200,7301,0,64.020,62,0,44.384
KDLH20160609-1,KDLH20160609_101033_V06,11,3.999,1.200,7307,0,14.399,8,0,12.509
KDLH20160609-1,KDLH20160609_101033_V06,12,5.098,1.200,7318,0,10.780,0,0,10.780
KDLH20160609-1,KDLH20160609_101432_V06,0,0.483,1.200,18384,0,106026.963,4037,0,87724.014
KDLH20160609-1,KDLH20160609_101432_V06,2,0.879,1.200,18383,0,20209.427,1489,0,17976.834
KDLH20160609-1,KDLH20160609_101432_V06,4,1.318,1.200,18394,0,3108.473,1837,0,2124.153
KDLH20160609-1,KDLH20160609_101432_V06,8,1.802,1.200,9199,0,285.597,86,0,191.112
KDLH20160609-1,KDLH20160609_101432_V06,9,2.417,1.200,9194,0,175.708,35,0,142.781
KDLH20160609-1,KDLH20160609_101432_V06,10,3.120,1.200,9212,0,96.595,67,0,53.695
KDLH20160609-1,KDLH20160609_101432_V06,11,3.999,1.200,9210,0,30.820,28,0,22.802
KDLH20160609-1,KDLH20160609_101432_V06,12,5.098,1.200,9238,0,14.165,2,0,13.589
KDLH20160609-1,KDLH20160609_101838_V06,0,0.483,1.200,18886,0,105744.074,4212,0,87007.796
KDLH20160609-1,KDLH20160609_101838_V06,2,0.879,1.200,18884,0,22236.381,1649,0,19848.917
