track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KDTX20130601-8,KDTX20130601_100941_V06,0,0.483,1.200,6444,0,6219981.226,5201,0,305683.666
KDTX20130601-8,KDTX20130601_101529_V06,0,0.483,1.200,8919,0,12068704.662,7322,0,532711.213
KDTX20130601-8,KDTX20130601_102116_V06,0,0.483,1.200,9899,0,17818361.072,8112,0,857074.892
KDTX20130601-2,KDTX20130601_090934_V06,0,0.483,1.200,20322,0,2229177.150,4856,0,91159.741
KDTX20130601-2,KDTX20130601_091521_V06,0,0.483,1.200,25252,0,1556902.880,4649,0,83586.203
KDTX20130601-10,KDTX20130601_103256_V06,0,0.483,1.200,2104,47,3023003.782,74,45,2953551.439
KDTX20130601-10,KDTX20130601_103256_V06,2,1.450,1.200,2103,0,137977.939,200,0,58765.216
KDTX20130602-12,KDTX20130602_100307_V06,0,0.483,1.200,7791,0,54037.951,2882,0,238.847
KDTX20130602-12,KDTX20130602_100307_V06,2,1.450,1.200,7798,0,31403.457,2475,0,9.354
KDTX20130602-12,KDTX20130602_100307_V06,4,2.417,1.200,3904,0,24825.632,1044,0,15.316
KDTX20130602-12,KDTX20130602_100307_V06,5,3.384,1.200,3910,0,18039.114,1053,0,7.334
KDTX20130602-12,KDTX20130602_100307_V06,6,4.307,1.200,3912,0,14293.571,1054,0,9.013
KDTX20130602-12,KDTX20130602_100307_V06,7,6.021,1.200,3925,0,4289.006,997,0,4.691
KDTX20130602-12,KDTX20130602_100855_V06,0,0.483,1.200,14709,0,33500.020,5291,0,691.228
KDTX20130602-12,KDTX20130602_100855_V06,2,1.450,1.200,14712,0,19562.636,4358,0,87.208
KDTX20130602-12,KDTX20130602_100855_V06,4,2.417,1.200,7364,0,11624.497,1906,0,58.688
KDTX20130602-12,KDTX20130602_100855_V06,5,3.384,1.200,7367,0,8692.089,1790,0,39.979
KDTX20130602-12,KDTX20130602_100855_V06,6,4.307,1.200,7380,0,6860.752,1525,0,18.512
