track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KDYX20140602-4,KDYX20140602_104615_V06,0,0.483,1.200,1198,0,53847.588,402,0,9215.887
KDYX20140602-4,KDYX20140602_105554_V06,0,0.483,1.200,2485,0,92991.133,805,0,11014.048
KDYX20140602-4,KDYX20140602_110533_V06,0,0.483,1.200,1775,0,61551.203,700,0,6782.704
KDYX20140602-11,KDYX20140602_110533_V06,0,0.483,1.200,866,0,74022.930,263,0,31.292
KDYX20140602-11,KDYX20140602_110533_V06,2,1.494,1.200,867,0,265180.781,203,0,26.805
KDYX20140602-11,KDYX20140602_110533_V06,4,2.505,1.200,438,0,199444.421,168,0,45.730
KDYX20140602-13,KDYX20140602_110533_V06,0,0.483,1.200,3376,21,475262.678,1713,0,8617.837
KDYX20140602-13,KDYX20140602_110533_V06,2,1.494,1.200,3373,7,93783.467,999,0,101.974
KDYX20140602-13,KDYX20140602_110533_V06,4,2.505,1.200,1687,0,76694.202,384,0,70.500
KDYX20140602-13,KDYX20140602_110533_V06,5,3.516,1.200,1692,2,177670.289,446,0,76.940
KDYX20140602-13,KDYX20140602_110533_V06,6,4.482,1.200,1690,8,326446.799,516,0,90.820
KDYX20140606-1,KDYX20140606_121726_V06,0,0.483,1.200,2017,0,6609.570,106,0,6467.908
KDYX20140606-1,KDYX20140606_121726_V06,2,1.450,1.200,2022,0,399.570,591,0,222.764
KDYX20140606-1,KDYX20140606_121726_V06,4,2.417,1.200,1012,0,13.744,14,0,7.446
KDYX20140606-1,KDYX20140606_121726_V06,5,3.384,1.200,1013,0,3.387,6,0,2.035
KDYX20140606-1,KDYX20140606_121726_V06,6,4.307,1.200,1014,0,4.353,6,0,2.927
KDYX20140606-1,KDYX20140606_121726_V06,7,6.021,1.200,1017,0,7.204,1,0,6.998
KDYX20140607-1,KDYX20140607_103234_V06,0,0.483,1.200,3507,211,142830.858,177,205,141898.373
KDYX20140607-1,KDYX20140607_103234_V06,2,1.494,1.200,3508,0,1060.297,444,0,983.945
KDYX20140607-1,KDYX20140607_103234_V06,4,2.505,1.200,1750,0,81.883,41,0,75.494
KDYX20140607-1,KDYX20140607_103234_V06,5,3.516,1.200,1753,0,122.190,181,0,109.439
KDYX20140607-1,KDYX20140607_103234_V06,6,4.482,1.200,1759,0,62.747,186,0,42.262
KDYX20140607-1,KDYX20140607_104228_V06,0,0.483,1.200,9464,245,196936.579,937,232,188971.774
KDYX20140607-1,KDYX20140607_104228_V06,2,1.494,1.200,9469,0,1810.621,1163,0,1683.275
KDYX20140607-1,KDYX20140607_104228_V06,4,2.505,1.200,4741,0,160.545,386,0,126.735
KDYX20140607-1,KDYX20140607_104228_V06,5,3.516,1.200,4746,0,200.073,688,0,121.840
