track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KEAX20190601-1,KEAX20190601_110310_V06,0,0.483,1.200,3820,0,112635.350,76,0,106739.502
KEAX20190601-1,KEAX20190601_110310_V06,2,1.494,1.200,3822,0,103.913,36,0,75.743
KEAX20190601-1,KEAX20190601_110310_V06,4,2.505,1.200,1921,0,149.325,21,0,106.674
KEAX20190601-1,KEAX20190601_110310_V06,5,3.516,1.200,1921,0,93.282,19,0,69.628
KEAX20190601-1,KEAX20190601_110310_V06,6,4.482,1.200,1919,0,97.123,23,0,73.198
KEAX20190602-1,KEAX20190602_100214_V06,0,0.483,1.200,785,0,8112.738,20,0,8030.204
KEAX20190602-1,KEAX20190602_100214_V06,2,1.494,1.200,784,0,1.336,0,0,1.336
KEAX20190602-1,KEAX20190602_100214_V06,4,2.505,1.200,391,0,1.335,0,0,1.335
KEAX20190602-1,KEAX20190602_101151_V06,0,0.483,1.200,4806,0,17167.510,139,0,16573.485
KEAX20190602-1,KEAX20190602_101151_V06,2,1.494,1.200,4814,0,8.204,0,0,8.204
KEAX20190602-1,KEAX20190602_101151_V06,4,2.505,1.200,2408,0,8.217,0,0,8.217
KEAX20190602-1,KEAX20190602_102130_V06,0,0.483,1.200,7313,0,28550.082,183,0,27727.111
KEAX20190602-1,KEAX20190602_102130_V06,2,1.494,1.200,7320,0,45.263,4,0,15.660
KEAX20190602-1,KEAX20190602_102130_V06,4,2.505,1.200,3664,0,26.806,0,0,26.806
KEAX20190602-1,KEAX20190602_103108_V06,0,0.483,1.200,7772,0,39170.193,390,0,37320.972
KEAX20190602-1,KEAX20190602_103108_V06,2,1.494,1.200,7772,0,13.035,0,0,13.035
KEAX20190602-1,KEAX20190602_103108_V06,4,2.505,1.200,3890,0,13.067,0,0,13.067
KEAX20190602-2,KEAX20190602_101151_V06,0,0.483,1.200,6398,0,29457.378,381,0,27662.638
KEAX20190602-2,KEAX20190602_101151_V06,2,1.494,1.200,6409,0,344.840,126,0,258.856
KEAX20190602-2,KEAX20190602_101151_V06,4,2.505,1.200,3235,0,95.834,29,0,68.132
KEAX20190602-2,KEAX20190602_101151_V06,5,3.516,1.200,3242,0,14.553,1,0,14.207
KEAX20190602-2,KEAX20190602_101151_V06,6,4.482,1.200,3250,0,8.328,2,0,7.505
KEAX20190602-2,KEAX20190602_102130_V06,0,0.483,1.200,13267,0,53841.945,1001,0,50200.388
KEAX20190602-2,KEAX20190602_102130_V06,2,1.494,1.200,13273,0,423.002,208,0,322.771
KEAX20190602-2,KEAX20190602_102130_V06,4,2.505,1.200,6642,0,280.665,33,0,166.684
KEAX20190602-2,KEAX20190602_102130_V06,5,3.516,1.200,6654,0,45.510,3,0,43.350
KEAX20190602-2,KEAX20190602_102130_V06,6,4.482,1.200,6660,0,18.118,1,0,16.915
KEAX20190602-5,KEAX20190602_110940_V06,0,0.483,1.200,11592,0,734468.615,1498,0,605524.049
KEAX20190602-5,KEAX20190602_111917_V06,0,0.483,1.200,14040,0,694803.656,2057,0,534219.222
KEAX20190603-1,KEAX20190603_104006_V06,0,0.483,1.200,6563,0,200035.875,1422,0,173343.579
KEAX20190603-1,KEAX20190603_104006_V06,2,1.494,1.200,6573,0,126.856,8,0,91.889
KEAX20190604-9,KEAX20190604_110421_V06,0,0.483,1.200,392,0,135940.142,130,0,1462.121
KEAX20190604-9,KEAX20190604_110421_V06,2,0.879,1.200,393,1,260552.513,180,0,175.680
KEAX20190604-9,KEAX20190604_110421_V06,4,1.318,1.200,395,11,232242.592,195,0,121.810
KEAX20190604-9,KEAX20190604_110421_V06,6,1.802,1.200,195,4,399930.433,74,0,92.754
KEAX20190604-9,KEAX20190604_110421_V06,7,2.417,1.200,196,3,271485.524,83,0,2.476
