track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KEVX20140601-1,KEVX20140601_100912_V06,0,0.483,1.200,61,0,492.104,1,0,491.454
KEVX20140601-1,KEVX20140601_100912_V06,2,1.450,1.200,66,0,0.040,0,0,0.040
KEVX20140601-1,KEVX20140601_100912_V06,4,2.417,1.200,33,0,0.040,0,0,0.040
KEVX20140601-1,KEVX20140601_100912_V06,5,3.384,1.200,33,0,0.040,0,0,0.040
KEVX20140601-1,KEVX20140601_100912_V06,6,4.307,1.200,30,0,0.037,0,0,0.037
KEVX20140602-4,KEVX20140602_113523_V06,0,0.483,1.200,20971,3,360779.812,8270,0,33834.672
KEVX20140602-4,KEVX20140602_113523_V06,2,1.450,1.200,20974,0,346833.051,8582,0,8002.270
KEVX20140602-4,KEVX20140602_113523_V06,4,2.417,1.200,10499,0,399096.009,4421,0,3131.744
KEVX20140602-4,KEVX20140602_113523_V06,5,3.384,1.200,10501,0,443740.870,4418,0,11834.154
KEVX20140602-4,KEVX20140602_113523_V06,6,4.307,1.200,10516,0,321874.260,3643,0,16266.798
KEVX20140605-1,KEVX20140605_094732_V06,0,0.483,1.200,267,0,280.565,42,0,246.549
KEVX20140605-1,KEVX20140605_094732_V06,2,1.494,1.200,266,0,1.463,0,0,1.463
KEVX20140605-1,KEVX20140605_094732_V06,4,2.505,1.200,266,0,0.314,0,0,0.314
KEVX20140605-1,KEVX20140605_094732_V06,6,3.516,1.200,132,0,0.313,0,0,0.313
KEVX20140607-7,KEVX20140607_112221_V06,0,0.483,1.200,907,0,2173.755,200,0,17.029
KEVX20140607-7,KEVX20140607_112221_V06,2,1.494,1.200,909,0,30.149,4,0,25.846
KEVX20140608-1,KEVX20140608_101152_V06,0,0.483,1.200,471,0,1926.231,31,0,1830.955
KEVX20140608-1,KEVX20140608_101152_V06,2,1.450,1.200,469,0,0.273,0,0,0.273
KEVX20140608-1,KEVX20140608_101152_V06,4,2.417,1.200,235,0,0.275,0,0,0.275
KEVX20140608-1,KEVX20140608_101152_V06,5,3.384,1.200,234,0,0.274,0,0,0.274
KEVX20140608-1,KEVX20140608_101152_V06,6,4.307,1.200,236,0,0.277,0,0,0.277
KEVX20140608-1,KEVX20140608_101722_V06,0,0.483,1.200,2117,0,3910.543,205,0,3267.687
KEVX20140608-1,KEVX20140608_101722_V06,2,1.450,1.200,2123,0,3.716,5,0,1.233
KEVX20140608-1,KEVX20140608_101722_V06,4,2.417,1.200,1064,0,1.240,0,0,1.240
KEVX20140608-1,KEVX20140608_101722_V06,5,3.384,1.200,1066,0,1.243,0,0,1.243
KEVX20140608-1,KEVX20140608_101722_V06,6,4.307,1.200,1066,0,1.246,0,0,1.246
KEVX20140608-2,KEVX20140608_110002_V06,0,0.483,1.200,4123,0,19429.744,596,0,6439.248
KEVX20140608-2,KEVX20140608_110002_V06,2,1.494,1.200,4132,0,15787.763,1870,0,618.582
KEVX20140608-2,KEVX20140608_110002_V06,4,2.505,1.200,4126,0,7817.610,3476,0,48.664
KEVX20140608-2,KEVX20140608_110002_V06,6,3.516,1.200,2060,0,1147.083,1716,0,68.763
KEVX20140608-2,KEVX20140608_110002_V06,7,4.482,1.200,2070,0,300.834,919,0,24.752
KEVX20140608-2,KEVX20140608_110910_V06,0,0.483,1.200,13406,0,39672.147,1842,0,16537.837
KEVX20140608-2,KEVX20140608_110910_V06,2,1.494,1.200,13406,0,26943.898,4855,0,2946.534
KEVX20140608-2,KEVX20140608_110910_V06,4,2.505,1.200,13418,0,196977.628,8156,0,328.215
KEVX20140608-2,KEVX20140608_110910_V06,6,3.516,1.200,6718,0,9001.326,4856,0,206.060
KEVX20140608-2,KEVX20140608_110910_V06,7,4.482,1.200,6728,0,914.890,2907,0,77.402
KEVX20140608-2,KEVX20140608_111818_V06,0,0.483,1.200,12312,4,232216.586,1315,0,18119.349
KEVX20140608-2,KEVX20140608_111818_V06,2,1.494,1.200,12323,0,218374.960,4159,0,2856.681
KEVX20140608-2,KEVX20140608_111818_V06,4,2.505,1.200,12333,0,123864.850,7582,0,371.394
KEVX20140608-2,KEVX20140608_111818_V06,6,3.516,1.200,6174,0,3315.319,4517,0,233.318
KEVX20140608-2,KEVX20140608_111818_V06,7,4.482,1.200,6180,0,1064.475,2692,0,77.874
KEVX20140609-4,KEVX20140609_101453_V06,0,0.483,1.200,1358,0,5888.647,94,0,5868.552
KEVX20140609-4,KEVX20140609_101453_V06,2,1.494,1.200,1358,0,8.913,275,0,5.859
KEVX20140609-4,KEVX20140609_101453_V06,4,2.505,1.200,1357,0,5.155,717,0,1.180
KEVX20140609-4,KEVX20140609_101453_V06,6,3.516,1.200,681,0,10.373,486,0,0.786
KEVX20140609-4,KEVX20140609_101453_V06,7,4.482,1.200,679,0,21.929,496,0,0.529
KEVX20140610-2,KEVX20140610_100646_V06,0,0.483,1.200,4780,0,2121.662,236,0,2008.161
KEVX20140610-2,KEVX20140610_100646_V06,2,1.494,1.200,4780,0,28.802,1661,0,17.343
KEVX20140610-2,KEVX20140610_100646_V06,4,2.505,1.200,4785,0,7.499,2382,0,3.869
KEVX20140610-2,KEVX20140610_100646_V06,6,3.516,1.200,2397,0,5.814,961,0,3.193
KEVX20140610-2,KEVX20140610_100646_V06,7,4.482,1.200,2401,0,6.558,1051,0,3.230
KEVX20140610-3,KEVX20140610_100646_V06,0,0.483,1.200,280,0,1546.495,0,0,1546.495
KEVX20140610-3,KEVX20140610_100646_V06,2,1.494,1.200,280,0,1.308,29,0,1.215
KEVX20140610-3,KEVX20140610_100646_V06,4,2.505,1.200,280,0,0.513,98,0,0.330
KEVX20140610-3,KEVX20140610_100646_V06,6,3.516,1.200,141,0,0.279,19,0,0.221
KEVX20140610-3,KEVX20140610_100646_V06,7,4.482,1.200,141,0,0.648,60,0,0.302
KEVX20140610-4,KEVX20140610_100646_V06,0,0.483,1.200,6541,0,4814.605,709,0,4553.408
KEVX20140610-4,KEVX20140610_100646_V06,2,1.494,1.200,6543,0,1385.943,2151,0,1077.687
KEVX20140610-4,KEVX20140610_100646_V06,4,2.505,1.200,6550,0,95.738,1979,0,57.854
