track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KEWX20190601-1,KEWX20190601_110046_V06,0,0.483,1.200,3088,12,445892.396,202,11,430178.835
KEWX20190601-1,KEWX20190601_110046_V06,2,0.879,1.200,3091,0,65523.426,202,0,62505.919
KEWX20190601-1,KEWX20190601_110046_V06,6,1.318,1.200,3088,0,1621.203,477,0,1229.065
KEWX20190601-1,KEWX20190601_110046_V06,10,1.802,1.200,1544,0,561.820,187,0,428.588
KEWX20190601-1,KEWX20190601_110046_V06,11,2.417,1.200,1543,0,615.437,276,0,479.641
KEWX20190601-1,KEWX20190601_110046_V06,12,3.120,1.200,1547,0,562.488,520,0,277.671
KEWX20190601-1,KEWX20190601_110046_V06,15,3.999,1.200,1550,0,448.298,493,0,185.191
KEWX20190601-1,KEWX20190601_110046_V06,16,5.098,1.200,1554,0,414.826,433,0,156.974
KEWX20190601-1,KEWX20190601_110046_V06,17,6.416,1.200,1549,0,197.313,285,0,52.174
KEWX20190601-1,KEWX20190601_110635_V06,0,0.483,1.200,7465,5,328580.147,1047,5,315792.957
KEWX20190601-1,KEWX20190601_110635_V06,2,0.879,1.200,7469,0,70411.196,883,0,68057.766
KEWX20190601-1,KEWX20190601_110635_V06,6,1.318,1.200,7472,0,1950.440,1389,0,1429.696
KEWX20190601-1,KEWX20190601_110635_V06,10,1.802,1.200,3733,0,613.676,421,0,444.213
KEWX20190601-1,KEWX20190601_110635_V06,11,2.417,1.200,3738,0,736.627,639,0,501.918
KEWX20190601-1,KEWX20190601_110635_V06,12,3.120,1.200,3744,0,1063.210,1173,0,496.141
KEWX20190601-1,KEWX20190601_110635_V06,15,3.999,1.200,3749,0,1239.149,1257,0,499.829
KEWX20190601-1,KEWX20190601_110635_V06,16,5.098,1.200,3750,0,950.161,1046,0,339.780
KEWX20190601-1,KEWX20190601_110635_V06,17,6.416,1.200,3762,0,1023.244,999,0,274.795
KEWX20190601-1,KEWX20190601_111227_V06,0,0.483,1.200,5129,4,151737.447,190,4,150953.926
KEWX20190601-1,KEWX20190601_111227_V06,2,0.879,1.200,5128,0,22009.594,158,0,21786.864
KEWX20190601-1,KEWX20190601_111227_V06,6,1.318,1.200,5128,0,612.742,530,0,520.780
KEWX20190601-1,KEWX20190601_111227_V06,8,1.802,1.200,2565,0,197.647,144,0,164.648
KEWX20190601-1,KEWX20190601_111227_V06,9,2.417,1.200,2563,0,379.243,182,0,310.200
KEWX20190601-1,KEWX20190601_111227_V06,10,3.120,1.200,2566,0,658.665,794,0,351.865
KEWX20190601-1,KEWX20190601_111227_V06,11,3.999,1.200,2568,0,1216.594,1220,0,491.597
KEWX20190601-1,KEWX20190601_111227_V06,12,5.098,1.200,2576,0,1347.662,1250,0,471.197
KEWX20190601-1,KEWX20190601_111227_V06,13,6.416,1.200,2580,0,1359.419,1183,0,394.982
KEWX20190602-2,KEWX20190602_104959_V06,0,0.483,1.200,1465,4,418846.199,14,4,411568.844
KEWX20190602-2,KEWX20190602_104959_V06,2,0.879,1.200,1467,0,68866.527,26,0,63191.989
KEWX20190602-2,KEWX20190602_104959_V06,6,1.318,1.200,1463,0,2925.467,83,0,2599.718
KEWX20190602-2,KEWX20190602_104959_V06,10,1.802,1.200,730,0,399.345,159,0,264.229
KEWX20190602-2,KEWX20190602_104959_V06,11,2.417,1.200,728,0,300.508,195,0,187.854
KEWX20190602-2,KEWX20190602_104959_V06,12,3.120,1.200,730,0,237.101,167,0,131.862
KEWX20190602-2,KEWX20190602_104959_V06,15,3.999,1.200,730,0,57.535,52,0,34.784
KEWX20190602-2,KEWX20190602_104959_V06,16,5.098,1.200,735,0,7.016,17,0,5.403
KEWX20190602-2,KEWX20190602_104959_V06,17,6.416,1.200,733,0,3.242,5,0,2.843
KEWX20190602-2,KEWX20190602_110140_V06,0,0.483,1.200,5352,8,353284.337,502,8,337518.357
KEWX20190602-2,KEWX20190602_110140_V06,2,0.879,1.200,5355,0,75595.239,457,0,69833.110
KEWX20190602-2,KEWX20190602_110140_V06,6,1.318,1.200,5355,0,2321.715,659,0,1811.108
KEWX20190602-2,KEWX20190602_110140_V06,10,1.802,1.200,2680,0,707.908,633,0,407.586
KEWX20190602-2,KEWX20190602_110140_V06,11,2.417,1.200,2686,0,825.971,724,0,506.816
KEWX20190602-2,KEWX20190602_110140_V06,12,3.120,1.200,2685,0,610.590,615,0,352.693
KEWX20190602-2,KEWX20190602_110140_V06,15,3.999,1.200,2689,0,261.890,378,0,163.795
KEWX20190602-2,KEWX20190602_110140_V06,16,5.098,1.200,2691,0,102.443,262,0,61.522
KEWX20190602-2,KEWX20190602_110140_V06,17,6.416,1.200,2694,0,37.450,121,0,18.284
KEWX20190602-2,KEWX20190602_110731_V06,0,0.483,1.200,8437,4,173754.938,1053,4,167220.738
KEWX20190602-2,KEWX20190602_110731_V06,2,0.879,1.200,8435,0,37921.011,980,0,36336.814
KEWX20190602-2,KEWX20190602_110731_V06,6,1.318,1.200,8439,0,2108.687,1078,0,1570.677
KEWX20190602-2,KEWX20190602_110731_V06,10,1.802,1.200,4218,0,710.885,707,0,461.976
KEWX20190602-2,KEWX20190602_110731_V06,11,2.417,1.200,4225,0,993.350,1018,0,595.491
KEWX20190602-2,KEWX20190602_110731_V06,12,3.120,1.200,4226,0,853.042,1006,0,485.630
KEWX20190602-2,KEWX20190602_110731_V06,15,3.999,1.200,4232,0,347.230,675,0,214.143
KEWX20190602-2,KEWX20190602_110731_V06,16,5.098,1.200,4236,0,174.965,446,0,105.951
KEWX20190602-2,KEWX20190602_110731_V06,17,6.416,1.200,4249,0,84.962,326,0,36.921
KEWX20190602-2,KEWX20190602_111237_V06,0,0.483,1.200,8708,0,40249.228,1140,0,37869.670
KEWX20190602-2,KEWX20190602_111237_V06,2,0.879,1.200,8710,0,14128.034,987,0,13240.965
KEWX20190602-2,KEWX20190602_111237_V06,6,1.318,1.200,8705,0,960.137,1078,0,746.362
KEWX20190602-2,KEWX20190602_111237_V06,10,1.802,1.200,4356,0,324.586,453,0,201.945
KEWX20190602-2,KEWX20190602_111237_V06,11,2.417,1.200,4359,0,648.906,903,0,378.257
KEWX20190602-2,KEWX20190602_111237_V06,12,3.120,1.200,4361,0,635.291,1051,0,360.448
KEWX20190602-2,KEWX20190602_111237_V06,15,3.999,1.200,4372,0,337.355,777,0,195.685
KEWX20190602-2,KEWX20190602_111237_V06,16,5.098,1.200,4377,0,247.624,702,0,125.870
KEWX20190602-2,KEWX20190602_111237_V06,17,6.416,1.200,4389,0,117.434,414,0,46.179
KEWX20190602-1,KEWX20190602_103226_V06,0,0.483,1.200,1065,9,393184.245,4,9,387756.142
KEWX20190602-1,KEWX20190602_103226_V06,2,0.879,1.200,1064,0,92560.241,24,0,84403.885
KEWX20190602-1,KEWX20190602_103226_V06,6,1.318,1.200,1065,0,5970.245,53,0,5407.169
KEWX20190602-1,KEWX20190602_103226_V06,10,1.802,1.200,539,0,376.198,157,0,241.512
KEWX20190602-1,KEWX20190602_103226_V06,11,2.417,1.200,538,0,274.521,129,0,116.265
KEWX20190602-1,KEWX20190602_103226_V06,12,3.120,1.200,541,0,237.640,97,0,71.769
KEWX20190602-1,KEWX20190602_103226_V06,15,3.999,1.200,538,0,54.357,68,0,33.969
KEWX20190602-1,KEWX20190602_103226_V06,16,5.098,1.200,543,0,8.550,9,0,7.101
KEWX20190602-1,KEWX20190602_103226_V06,17,6.416,1.200,544,0,3.685,3,0,3.452
KEWX20190602-1,KEWX20190602_103818_V06,0,0.483,1.200,4105,9,580457.312,85,9,566601.299
KEWX20190602-1,KEWX20190602_103818_V06,2,0.879,1.200,4106,0,146880.032,120,0,132389.947
KEWX20190602-1,KEWX20190602_103818_V06,6,1.318,1.200,4100,0,11464.931,379,0,9573.060
KEWX20190602-1,KEWX20190602_103818_V06,10,1.802,1.200,2052,0,1405.930,520,0,807.093
KEWX20190602-1,KEWX20190602_103818_V06,11,2.417,1.200,2055,0,955.916,510,0,446.609
KEWX20190602-1,KEWX20190602_103818_V06,12,3.120,1.200,2060,0,513.288,352,0,257.682
KEWX20190602-1,KEWX20190602_103818_V06,15,3.999,1.200,2061,0,173.310,218,0,100.496
KEWX20190602-1,KEWX20190602_103818_V06,16,5.098,1.200,2057,0,50.942,113,0,34.887
KEWX20190602-1,KEWX20190602_103818_V06,17,6.416,1.200,2064,0,18.657,53,0,13.513
