track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KEYX20230601-1,KEYX20230601_121849_V06,0,0.483,1.200,4134,0,5251.445,480,0,4336.671
KEYX20230601-1,KEYX20230601_121849_V06,2,0.879,1.200,4134,0,2127.971,462,0,1511.800
KEYX20230601-1,KEYX20230601_121849_V06,4,1.318,1.200,4135,0,532.121,236,0,280.929
KEYX20230601-1,KEYX20230601_121849_V06,8,1.802,1.200,2069,0,21.150,0,0,21.150
KEYX20230601-1,KEYX20230601_121849_V06,9,2.417,1.200,2071,0,18.745,3,0,3.948
KEYX20230601-1,KEYX20230601_121849_V06,10,3.120,1.200,2070,0,3.957,0,0,3.957
KEYX20230601-1,KEYX20230601_122732_V06,0,0.483,1.200,7533,0,6074.000,1000,0,4694.455
KEYX20230601-1,KEYX20230601_122732_V06,2,0.879,1.200,7537,0,2045.211,1040,0,1239.865
KEYX20230601-1,KEYX20230601_122732_V06,4,1.318,1.200,7538,0,939.448,647,0,555.922
KEYX20230601-1,KEYX20230601_122732_V06,8,1.802,1.200,3763,0,102.249,17,0,56.914
KEYX20230601-1,KEYX20230601_122732_V06,9,2.417,1.200,3770,0,57.080,11,0,21.909
KEYX20230601-1,KEYX20230601_122732_V06,10,3.120,1.200,3779,0,11.581,0,0,11.581
KEYX20230601-1,KEYX20230601_122732_V06,11,3.999,1.200,3781,0,6.352,0,0,6.352
KEYX20230601-1,KEYX20230601_123616_V06,0,0.483,1.200,12758,0,4811.602,1778,0,3446.328
KEYX20230601-1,KEYX20230601_123616_V06,2,0.879,1.200,12759,0,2185.018,1670,0,1294.124
KEYX20230601-1,KEYX20230601_123616_V06,4,1.318,1.200,12766,0,1367.185,893,0,779.960
KEYX20230601-1,KEYX20230601_123616_V06,8,1.802,1.200,6386,0,137.015,32,0,82.638
KEYX20230601-1,KEYX20230601_123616_V06,9,2.417,1.200,6386,0,49.445,31,0,36.454
KEYX20230601-1,KEYX20230601_123616_V06,10,3.120,1.200,6383,0,20.680,22,0,16.983
KEYX20230601-1,KEYX20230601_123616_V06,11,3.999,1.200,6392,0,10.156,0,0,10.156
KEYX20230601-1,KEYX20230601_124459_V06,0,0.483,1.200,6403,0,3231.446,1329,0,2198.397
KEYX20230601-1,KEYX20230601_124459_V06,2,0.879,1.200,6399,0,838.566,777,0,461.988
KEYX20230601-1,KEYX20230601_124459_V06,4,1.318,1.200,6408,0,321.284,385,0,180.187
KEYX20230601-1,KEYX20230601_124459_V06,8,1.802,1.200,3207,0,71.650,20,0,31.589
KEYX20230601-1,KEYX20230601_124459_V06,9,2.417,1.200,3208,0,16.561,7,0,12.864
KEYX20230601-1,KEYX20230601_124459_V06,10,3.120,1.200,3212,0,7.282,1,0,7.117
KEYX20230601-1,KEYX20230601_124459_V06,11,3.999,1.200,3219,0,4.662,0,0,4.662
KEYX20230603-1,KEYX20230603_120520_V06,0,0.483,1.200,36434,1,257829.996,4537,1,227141.122
KEYX20230603-1,KEYX20230603_120520_V06,2,0.879,1.200,36440,1,100140.369,5627,1,87084.345
KEYX20230603-1,KEYX20230603_120520_V06,4,1.318,1.200,36454,0,13569.318,6041,0,10600.008
KEYX20230603-1,KEYX20230603_120520_V06,8,1.802,1.200,18223,0,1539.849,991,0,1034.951
KEYX20230603-1,KEYX20230603_120520_V06,9,2.417,1.200,18236,0,775.475,879,0,487.401
KEYX20230603-1,KEYX20230603_120520_V06,10,3.120,1.200,18255,0,469.021,993,0,289.931
KEYX20230603-1,KEYX20230603_120520_V06,11,3.999,1.200,18270,0,396.357,579,0,255.168
KEYX20230603-1,KEYX20230603_121402_V06,0,0.483,1.200,62105,7,549730.543,8089,6,475433.471
KEYX20230603-1,KEYX20230603_121402_V06,2,0.879,1.200,62115,1,163483.017,8701,1,145890.680
KEYX20230603-1,KEYX20230603_121402_V06,4,1.318,1.200,62140,0,26692.504,9030,0,20571.065
KEYX20230603-1,KEYX20230603_121402_V06,8,1.802,1.200,31085,0,2842.838,1739,0,1932.445
KEYX20230603-1,KEYX20230603_121402_V06,9,2.417,1.200,31100,0,1222.789,1740,0,684.007
KEYX20230603-1,KEYX20230603_121402_V06,10,3.120,1.200,31118,0,931.327,2253,0,579.419
KEYX20230603-1,KEYX20230603_121402_V06,11,3.999,1.200,31154,0,634.629,1892,0,397.820
KEYX20230603-1,KEYX20230603_122246_V06,0,0.483,1.200,86670,11,550588.796,9839,4,459164.144
KEYX20230603-1,KEYX20230603_122246_V06,2,0.879,1.200,86682,2,268606.401,10038,2,244654.337
KEYX20230603-1,KEYX20230603_122246_V06,4,1.318,1.200,86711,0,85593.800,9817,0,77713.314
KEYX20230603-1,KEYX20230603_122246_V06,8,1.802,1.200,43369,0,13623.146,2641,0,10445.324
KEYX20230603-1,KEYX20230603_122246_V06,9,2.417,1.200,43391,0,3419.828,2591,0,2313.295
KEYX20230603-1,KEYX20230603_122246_V06,10,3.120,1.200,43411,0,2633.427,3483,0,1514.809
KEYX20230603-2,KEYX20230603_121402_V06,0,0.483,1.200,64172,0,246135.058,7164,0,167023.035
KEYX20230603-2,KEYX20230603_121402_V06,2,0.879,1.200,64191,0,49391.946,7093,0,37560.547
KEYX20230603-2,KEYX20230603_121402_V06,4,1.318,1.200,64206,0,10542.009,8068,0,7160.588
KEYX20230603-2,KEYX20230603_121402_V06,8,1.802,1.200,32061,0,1456.346,1235,0,800.001
KEYX20230603-2,KEYX20230603_121402_V06,9,2.417,1.200,32076,0,1079.682,1221,0,611.740
KEYX20230603-2,KEYX20230603_121402_V06,10,3.120,1.200,32107,0,647.817,1538,0,357.747
KEYX20230603-3,KEYX20230603_124013_V06,0,0.483,1.200,9216,0,23687.854,1473,0,20133.977
KEYX20230603-3,KEYX20230603_124013_V06,2,0.879,1.200,9220,0,19142.348,1260,0,16197.854
KEYX20230603-3,KEYX20230603_124013_V06,4,1.318,1.200,9222,0,10703.226,1312,0,8022.515
KEYX20230603-3,KEYX20230603_124013_V06,8,1.802,1.200,4606,0,1592.316,123,0,1131.876
KEYX20230603-3,KEYX20230603_124013_V06,9,2.417,1.200,4613,0,278.730,41,0,163.498
KEYX20230603-3,KEYX20230603_124013_V06,10,3.120,1.200,4618,0,159.980,34,0,98.291
KEYX20230605-1,KEYX20230605_131047_V06,0,0.483,1.200,19926,0,130473.941,1886,0,117749.400
KEYX20230605-1,KEYX20230605_131047_V06,2,0.879,1.200,19928,0,75894.962,1998,0,70411.069
KEYX20230605-1,KEYX20230605_131047_V06,4,1.318,1.200,19928,0,28271.366,1735,0,24981.363
KEYX20230605-1,KEYX20230605_131047_V06,8,1.802,1.200,9971,0,8482.858,985,0,6278.567
KEYX20230605-1,KEYX20230605_131047_V06,9,2.417,1.200,9975,0,2448.348,716,0,1746.903
KEYX20230605-1,KEYX20230605_131047_V06,10,3.120,1.200,9984,0,966.924,645,0,619.836
KEYX20230605-1,KEYX20230605_131047_V06,11,3.999,1.200,9991,0,200.389,461,0,98.614
KEYX20230605-1,KEYX20230605_131047_V06,12,5.098,1.200,10006,0,166.252,576,0,85.074
KEYX20230607-5,KEYX20230607_122713_V06,0,0.483,1.200,1215,0,212422.855,1011,0,2952.766
KEYX20230607-5,KEYX20230607_122713_V06,2,0.879,1.200,1212,0,259064.621,1060,0,1645.417
KEYX20230607-5,KEYX20230607_122713_V06,4,1.318,1.200,1213,0,138382.872,771,0,1770.845
KEYX20230607-5,KEYX20230607_123250_V06,0,0.483,1.200,2345,0,286112.216,1413,0,3652.709
KEYX20230607-5,KEYX20230607_123250_V06,2,0.879,1.200,2343,0,298507.619,1492,0,3607.476
KEYX20230607-5,KEYX20230607_123250_V06,4,1.318,1.200,2349,0,142014.041,1081,0,2656.078
KEYX20230607-5,KEYX20230607_123825_V06,0,0.483,1.200,1595,0,245100.651,1099,0,3015.614
KEYX20230607-5,KEYX20230607_123825_V06,2,0.879,1.200,1597,0,238871.890,1095,0,1542.534
KEYX20230607-5,KEYX20230607_123825_V06,4,1.318,1.200,1600,0,73809.964,703,0,1520.564
KEYX20230607-5,KEYX20230607_124402_V06,0,0.483,1.200,2996,0,236976.991,1396,0,3812.634
KEYX20230607-5,KEYX20230607_124402_V06,2,0.879,1.200,2992,0,225719.231,1421,0,3269.043
KEYX20230607-5,KEYX20230607_124402_V06,4,1.318,1.200,2995,0,65309.685,856,0,2554.378
