track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KFSX20140601-1,KFSX20140601_111622_V06,0,0.483,1.200,172,0,13503.130,0,0,13503.130
KFSX20140601-1,KFSX20140601_111622_V06,2,1.494,1.200,170,0,34.700,3,0,0.296
KFSX20140601-1,KFSX20140601_111622_V06,4,2.505,1.200,88,0,73.116,2,0,60.178
KFSX20140602-1,KFSX20140602_111939_V06,0,0.483,1.200,280,0,22423.106,0,0,22423.106
KFSX20140602-1,KFSX20140602_111939_V06,2,1.494,1.200,282,0,99.979,7,0,48.467
KFSX20140602-1,KFSX20140602_111939_V06,4,2.505,1.200,142,0,166.922,2,0,159.909
KFSX20140602-2,KFSX20140602_114707_V06,0,0.483,1.200,333,0,27893.180,0,0,27893.180
KFSX20140602-2,KFSX20140602_114707_V06,2,1.494,1.200,334,0,19.319,1,0,13.990
KFSX20140602-2,KFSX20140602_114707_V06,4,2.505,1.200,165,0,291.684,7,0,125.670
KFSX20140602-3,KFSX20140602_130034_V06,0,0.483,1.200,949,0,26569.303,16,0,26487.504
KFSX20140602-3,KFSX20140602_130034_V06,2,1.494,1.200,950,0,71.204,6,0,45.560
KFSX20140602-3,KFSX20140602_130034_V06,4,2.505,1.200,474,0,425.591,9,0,336.389
KFSX20140602-3,KFSX20140602_130948_V06,0,0.483,1.200,173,0,26468.290,1,0,26452.260
KFSX20140602-3,KFSX20140602_130948_V06,2,1.494,1.200,175,0,9.559,0,0,9.559
KFSX20140602-3,KFSX20140602_130948_V06,4,2.505,1.200,86,0,17.273,0,0,17.273
KFSX20140603-1,KFSX20140603_112055_V06,0,0.483,1.200,170,0,22935.684,0,0,22935.684
KFSX20140603-1,KFSX20140603_112055_V06,2,1.494,1.200,171,0,0.304,0,0,0.304
KFSX20140603-1,KFSX20140603_112055_V06,4,2.505,1.200,87,0,81.246,3,0,63.402
KFSX20140603-1,KFSX20140603_113007_V06,0,0.483,1.200,1360,0,36028.266,15,0,35947.221
KFSX20140603-1,KFSX20140603_113007_V06,2,1.494,1.200,1361,0,192.545,7,0,106.923
KFSX20140603-1,KFSX20140603_113007_V06,4,2.505,1.200,683,0,189.777,5,0,129.449
KFSX20140603-3,KFSX20140603_115745_V06,0,0.483,1.200,14572,0,33.070,4800,0,14.218
KFSX20140603-3,KFSX20140603_115745_V06,2,1.494,1.200,14580,0,2.266,4921,0,1.421
KFSX20140603-3,KFSX20140603_115745_V06,4,2.505,1.200,7293,0,1.941,2058,0,1.023
KFSX20140603-3,KFSX20140603_115745_V06,5,3.516,1.200,7305,0,1.494,2107,0,0.698
KFSX20140603-3,KFSX20140603_115745_V06,6,4.482,1.200,7316,0,0.711,1817,0,0.475
KFSX20140603-3,KFSX20140603_120659_V06,0,0.483,1.200,28815,0,943.108,7829,0,809.742
KFSX20140603-3,KFSX20140603_120659_V06,2,1.494,1.200,28825,0,19.017,11004,0,3.058
KFSX20140603-3,KFSX20140603_120659_V06,4,2.505,1.200,14431,0,8.352,3545,0,3.873
KFSX20140603-3,KFSX20140603_120659_V06,5,3.516,1.200,14443,0,3.599,2570,0,2.596
KFSX20140603-3,KFSX20140603_120659_V06,6,4.482,1.200,14469,0,2.865,2370,0,2.111
