track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KFTG20140601-2,KFTG20140601_105434_V06,0,0.483,1.200,18587,0,1336233.781,2839,0,149299.190
KFTG20140601-2,KFTG20140601_105434_V06,2,0.879,1.200,18588,0,2162471.714,4411,0,100710.022
KFTG20140601-2,KFTG20140601_105434_V06,4,1.318,1.200,18593,0,2502388.214,5105,0,65064.908
KFTG20140601-2,KFTG20140601_105913_V06,0,0.483,1.200,21948,5,995415.297,2389,5,192313.916
KFTG20140601-2,KFTG20140601_105913_V06,2,0.879,1.200,21953,2,1686673.606,4351,2,116258.456
KFTG20140601-2,KFTG20140601_105913_V06,4,1.318,1.200,21969,0,2128808.886,4893,0,66534.904
KFTG20140601-2,KFTG20140601_110558_V06,0,0.483,1.200,28446,0,1295660.667,2358,0,595708.517
KFTG20140601-2,KFTG20140601_110558_V06,2,0.879,1.200,28456,0,2108825.553,4170,0,122304.311
KFTG20140601-2,KFTG20140601_110558_V06,4,1.318,1.200,28467,0,2565157.202,5229,0,61830.914
KFTG20140601-1,KFTG20140601_103553_V06,0,0.483,1.200,111,0,13125.646,8,0,12360.726
KFTG20140601-1,KFTG20140601_103553_V06,2,0.879,1.200,107,0,13.891,1,0,0.334
KFTG20140601-1,KFTG20140601_103553_V06,4,1.318,1.200,110,0,709.812,22,0,78.146
KFTG20140601-1,KFTG20140601_103553_V06,6,1.802,1.200,50,0,681.558,4,0,43.081
KFTG20140601-3,KFTG20140601_105434_V06,0,0.483,1.200,581,0,962898.158,24,0,890047.473
KFTG20140601-3,KFTG20140601_105434_V06,2,0.879,1.200,578,0,2780.459,32,0,1947.981
KFTG20140601-3,KFTG20140601_105434_V06,4,1.318,1.200,580,0,5233.294,104,0,1095.592
KFTG20140601-3,KFTG20140601_105434_V06,6,1.802,1.200,296,0,313.879,4,0,147.755
KFTG20140601-3,KFTG20140601_105913_V06,0,0.483,1.200,3557,3,1385874.041,495,3,1320057.688
KFTG20140601-3,KFTG20140601_105913_V06,2,0.879,1.200,3561,0,403372.044,1999,0,7917.949
KFTG20140601-3,KFTG20140601_105913_V06,4,1.318,1.200,3564,0,618537.465,2398,0,11492.989
KFTG20140601-10,KFTG20140601_114800_V06,0,0.483,1.200,6276,0,2194975.149,2014,0,26062.998
KFTG20140601-10,KFTG20140601_114800_V06,2,0.879,1.200,6285,4,4264128.267,2350,0,13319.390
KFTG20140603-6,KFTG20140603_121819_V06,0,0.483,1.200,505,0,481215.046,11,0,440931.208
KFTG20140603-6,KFTG20140603_121819_V06,2,1.494,1.200,505,0,379.322,8,0,162.343
KFTG20140603-6,KFTG20140603_122801_V06,0,0.483,1.200,1725,21,2444847.771,18,20,2437623.869
KFTG20140603-6,KFTG20140603_122801_V06,2,1.494,1.200,1726,0,539.223,9,0,402.769
KFTG20140603-1,KFTG20140603_104900_V06,0,0.483,1.200,409,74,2868174.453,8,74,2867447.964
KFTG20140603-1,KFTG20140603_104900_V06,2,1.494,1.200,412,0,5338.870,11,0,5147.867
KFTG20140603-3,KFTG20140603_111802_V06,0,0.483,1.200,1604,100,3325880.622,22,100,3314598.332
KFTG20140603-3,KFTG20140603_111802_V06,2,1.494,1.200,1605,0,37174.456,51,0,34962.015
KFTG20140603-3,KFTG20140603_112954_V06,0,0.483,1.200,6978,172,6348642.880,108,172,6344063.925
KFTG20140603-3,KFTG20140603_112954_V06,2,1.494,1.200,6981,0,5166.231,30,0,4462.095
KFTG20140603-3,KFTG20140603_113935_V06,0,0.483,1.200,802,146,3402286.684,18,145,3398657.866
KFTG20140603-3,KFTG20140603_113935_V06,2,1.494,1.200,802,0,8320.013,24,0,7662.014
KFTG20140603-5,KFTG20140603_120838_V06,0,0.483,1.200,860,3,603312.262,17,3,564696.053
KFTG20140603-5,KFTG20140603_120838_V06,2,1.494,1.200,865,0,315.923,10,0,103.220
KFTG20140604-1,KFTG20140604_104157_V06,0,0.483,1.200,2923,0,39376.396,1122,0,23211.586
KFTG20140604-1,KFTG20140604_104157_V06,2,1.494,1.200,2928,0,5.200,2,0,4.478
