track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGJX20140606-2,KGJX20140606_104731_V06,0,0.483,1.200,43,0,355.230,25,0,0.042
KGJX20140606-2,KGJX20140606_104731_V06,2,1.494,1.200,44,0,1737.848,44,0,0.000
KGJX20140608-10,KGJX20140608_125950_V06,0,0.483,1.200,22167,0,1988114.705,8419,0,57084.726
KGJX20140608-10,KGJX20140608_125950_V06,2,1.450,1.200,22188,0,857150.950,6682,0,39367.667
KGJX20140608-10,KGJX20140608_130538_V06,0,0.483,1.200,26347,0,2693345.631,10656,0,68386.280
KGJX20140608-10,KGJX20140608_130538_V06,2,1.450,1.200,26355,0,1059526.614,7434,0,45790.274
KGJX20140608-10,KGJX20140608_131125_V06,0,0.483,1.200,24330,0,2015106.013,9060,0,72684.765
KGJX20140608-10,KGJX20140608_131125_V06,2,1.450,1.200,24361,0,842392.876,5733,0,43024.572
KGJX20140608-9,KGJX20140608_125950_V06,0,0.483,1.200,37897,0,43.123,8613,0,30.917
KGJX20140608-9,KGJX20140608_125950_V06,2,1.450,1.200,37914,0,65.501,7841,0,29.858
KGJX20140608-9,KGJX20140608_125950_V06,4,2.417,1.200,18964,0,56.347,2374,0,2.477
KGJX20140608-9,KGJX20140608_125950_V06,5,3.384,1.200,18979,0,643.843,2518,0,2.530
KGJX20140608-9,KGJX20140608_125950_V06,6,4.307,1.200,19002,0,2535.242,2737,0,2.432
KGJX20140608-9,KGJX20140608_125950_V06,7,6.021,1.200,19069,0,7612.154,3704,0,6.671
KGJX20140608-9,KGJX20140608_125950_V06,8,9.888,1.200,19295,0,10677.123,6705,0,21.435
KGJX20140608-9,KGJX20140608_125950_V06,9,14.590,1.200,19689,0,8184.825,8656,0,34.542
KGJX20140608-9,KGJX20140608_125950_V06,10,19.512,1.200,20285,0,4356.489,9220,0,17.441
KGJX20140608-9,KGJX20140608_130538_V06,0,0.483,1.200,54688,0,194.093,9697,0,117.634
KGJX20140608-9,KGJX20140608_130538_V06,2,1.450,1.200,54709,0,98.757,9510,0,17.250
KGJX20140608-9,KGJX20140608_130538_V06,4,2.417,1.200,27378,0,411.886,3388,0,6.766
KGJX20140608-9,KGJX20140608_130538_V06,5,3.384,1.200,27412,0,1477.584,3490,0,7.070
KGJX20140608-9,KGJX20140608_130538_V06,6,4.307,1.200,27442,0,4645.714,4073,0,10.158
KGJX20140608-9,KGJX20140608_130538_V06,7,6.021,1.200,27529,0,17473.201,5438,0,24.131
KGJX20140608-9,KGJX20140608_130538_V06,8,9.888,1.200,27815,0,27747.453,10254,0,96.756
KGJX20140608-9,KGJX20140608_130538_V06,9,14.590,1.200,28382,0,8548.375,11881,0,42.476
KGJX20140608-9,KGJX20140608_130538_V06,10,19.512,1.200,29225,0,4020.749,9806,0,12.301
KGJX20140608-3,KGJX20140608_112510_V06,0,0.483,1.200,21747,0,3459171.640,12683,0,13081.953
KGJX20140608-3,KGJX20140608_112510_V06,2,1.450,1.200,21761,0,571676.310,7063,0,37976.830
KGJX20140615-2,KGJX20140615_111504_V06,0,0.483,1.200,3832,0,24453.463,971,0,1331.878
KGJX20140615-2,KGJX20140615_111504_V06,2,1.494,1.200,3832,0,11499.812,742,0,1747.429
KGJX20140615-2,KGJX20140615_112446_V06,0,0.483,1.200,7267,0,16239.753,851,0,2218.698
KGJX20140615-2,KGJX20140615_112446_V06,2,1.494,1.200,7271,0,14656.498,901,0,3669.303
KGJX20140615-6,KGJX20140615_123235_V06,0,0.483,1.200,14370,0,87968.644,2934,0,4009.111
KGJX20140615-6,KGJX20140615_123235_V06,2,1.494,1.200,14383,0,82584.869,4721,0,10219.532
KGJX20140615-6,KGJX20140615_124216_V06,0,0.483,1.200,19993,0,127738.917,4024,0,4245.484
KGJX20140615-6,KGJX20140615_124216_V06,2,1.494,1.200,20005,0,114321.369,6996,0,14831.919
KGJX20140615-1,KGJX20140615_111504_V06,0,0.483,1.200,9960,0,17199.681,446,0,40.217
KGJX20140615-1,KGJX20140615_111504_V06,2,1.494,1.200,9968,0,7490.982,656,0,591.565
KGJX20140615-3,KGJX20140615_112446_V06,0,0.483,1.200,8933,0,17449.928,851,0,2755.651
KGJX20140615-3,KGJX20140615_112446_V06,2,1.494,1.200,8938,0,17089.573,1053,0,6316.527
KGJX20140615-4,KGJX20140615_115349_V06,0,0.483,1.200,7405,0,9559.158,442,0,923.507
KGJX20140615-4,KGJX20140615_115349_V06,2,1.494,1.200,7399,0,5241.022,327,0,668.768
KGJX20140615-5,KGJX20140615_120330_V06,0,0.483,1.200,8048,0,4152.438,211,0,67.773
KGJX20140615-5,KGJX20140615_120330_V06,2,1.494,1.200,8059,0,14598.722,982,0,888.499
