track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGLD20190601-3,KGLD20190601_113115_V06,0,0.483,1.200,1525,0,67485.420,126,0,64375.481
KGLD20190601-3,KGLD20190601_113115_V06,2,1.494,1.200,1523,0,2.604,0,0,2.604
KGLD20190601-3,KGLD20190601_113115_V06,4,2.505,1.200,764,0,2.614,0,0,2.614
KGLD20190601-4,KGLD20190601_113115_V06,0,0.483,1.200,6159,0,116577.851,818,0,98299.688
KGLD20190601-4,KGLD20190601_113115_V06,2,1.494,1.200,6163,0,3026.895,253,0,2537.542
KGLD20190601-4,KGLD20190601_113115_V06,4,2.505,1.200,3085,0,9.085,0,0,9.085
KGLD20190604-1,KGLD20190604_110612_V06,0,0.483,1.200,1151,0,23286.189,194,0,17523.517
KGLD20190604-1,KGLD20190604_110612_V06,2,0.879,1.200,1150,0,2983.350,281,0,2040.746
KGLD20190604-1,KGLD20190604_110612_V06,4,1.318,1.200,1149,0,50.639,15,0,35.078
KGLD20190604-1,KGLD20190604_110612_V06,6,1.802,1.200,576,0,1.352,0,0,1.352
KGLD20190604-1,KGLD20190604_110612_V06,7,2.417,1.200,576,0,1.353,0,0,1.353
KGLD20190604-1,KGLD20190604_110612_V06,8,3.120,1.200,575,0,1.352,0,0,1.352
KGLD20190604-2,KGLD20190604_110612_V06,0,0.483,1.200,10948,0,22484.586,323,0,21837.002
KGLD20190604-2,KGLD20190604_110612_V06,2,0.879,1.200,10949,0,4357.925,377,0,4061.959
KGLD20190604-2,KGLD20190604_110612_V06,4,1.318,1.200,10949,0,725.551,215,0,602.702
KGLD20190604-2,KGLD20190604_110612_V06,6,1.802,1.200,5476,0,24.542,5,0,17.205
KGLD20190604-2,KGLD20190604_110612_V06,7,2.417,1.200,5483,0,9.859,0,0,9.859
KGLD20190604-2,KGLD20190604_110612_V06,8,3.120,1.200,5484,0,9.188,1,0,8.681
KGLD20190604-2,KGLD20190604_110612_V06,9,3.999,1.200,5494,0,10.878,1,0,10.081
KGLD20190605-1,KGLD20190605_102129_V06,0,0.483,1.200,878,9,126721.028,129,4,71446.946
KGLD20190605-1,KGLD20190605_102129_V06,2,0.879,1.200,880,0,534.661,30,0,498.505
KGLD20190605-1,KGLD20190605_102129_V06,4,1.318,1.200,882,0,294.878,51,0,166.718
KGLD20190605-1,KGLD20190605_102129_V06,6,1.802,1.200,441,0,32.625,7,0,8.286
KGLD20190605-1,KGLD20190605_102129_V06,7,2.417,1.200,441,0,62.810,14,0,33.740
KGLD20190605-1,KGLD20190605_102129_V06,8,3.120,1.200,442,0,22.755,7,0,10.987
KGLD20190605-1,KGLD20190605_102129_V06,9,3.999,1.200,442,0,12.251,4,0,6.953
KGLD20190605-3,KGLD20190605_110854_V06,0,0.483,1.200,447,0,12430.327,11,0,12368.498
KGLD20190605-3,KGLD20190605_110854_V06,2,1.494,1.200,449,0,273.941,41,0,223.649
KGLD20190605-3,KGLD20190605_110854_V06,4,2.505,1.200,225,0,0.349,0,0,0.349
KGLD20190605-3,KGLD20190605_110854_V06,5,3.516,1.200,225,0,0.351,0,0,0.351
KGLD20190605-4,KGLD20190605_110854_V06,0,0.483,1.200,627,0,422730.909,20,0,394455.033
KGLD20190605-5,KGLD20190605_120046_V06,0,0.483,1.200,12100,0,55781.664,889,0,50334.584
KGLD20190605-5,KGLD20190605_120046_V06,2,0.879,1.200,12100,0,14112.634,810,0,9729.945
KGLD20190605-5,KGLD20190605_120046_V06,4,1.318,1.200,12098,0,1419.497,151,0,347.176
KGLD20190605-5,KGLD20190605_120046_V06,6,1.802,1.200,6046,0,233.925,26,0,48.886
KGLD20190605-5,KGLD20190605_120046_V06,7,2.417,1.200,6050,0,462.428,41,0,65.177
KGLD20190605-5,KGLD20190605_120046_V06,8,3.120,1.200,6054,0,266.829,23,0,41.927
KGLD20190605-5,KGLD20190605_120046_V06,9,3.999,1.200,6061,0,19.892,7,0,14.283
KGLD20190605-5,KGLD20190605_120750_V06,0,0.483,1.200,8917,0,56626.898,711,0,34960.953
KGLD20190605-5,KGLD20190605_120750_V06,2,0.879,1.200,8922,1,10755.998,586,0,8789.549
KGLD20190605-5,KGLD20190605_120750_V06,4,1.318,1.200,8931,0,736.629,104,0,211.520
KGLD20190605-5,KGLD20190605_120750_V06,6,1.802,1.200,4463,0,884.665,38,0,86.800
KGLD20190605-5,KGLD20190605_120750_V06,7,2.417,1.200,4458,0,4070.501,79,0,57.250
KGLD20190605-5,KGLD20190605_120750_V06,8,3.120,1.200,4465,0,2937.121,58,0,227.210
KGLD20190605-5,KGLD20190605_120750_V06,9,3.999,1.200,4471,0,32.706,5,0,17.415
KGLD20190605-7,KGLD20190605_124308_V06,0,0.483,1.200,13019,0,203373.784,1062,0,117752.301
KGLD20190605-7,KGLD20190605_124308_V06,2,0.879,1.200,13024,0,96112.312,1167,0,37346.851
KGLD20190605-7,KGLD20190605_124308_V06,4,1.318,1.200,13030,0,69043.268,1188,0,1992.157
KGLD20190605-7,KGLD20190605_124308_V06,6,1.802,1.200,6517,0,35825.889,240,0,76.403
KGLD20190605-7,KGLD20190605_124308_V06,7,2.417,1.200,6524,0,13146.153,217,0,199.347
KGLD20190605-7,KGLD20190605_124308_V06,8,3.120,1.200,6530,0,3521.202,137,0,93.037
KGLD20190605-7,KGLD20190605_124308_V06,9,3.999,1.200,6534,0,32.311,12,0,14.882
KGLD20190606-1,KGLD20190606_102031_V06,0,0.483,1.200,514,3,809459.791,23,3,779306.834
KGLD20190606-1,KGLD20190606_102031_V06,2,0.879,1.200,519,0,231876.974,19,0,201955.293
KGLD20190606-1,KGLD20190606_102031_V06,4,1.318,1.200,520,0,2792.339,26,0,1470.671
KGLD20190606-2,KGLD20190606_110031_V06,0,0.483,1.200,515,34,2086038.954,48,25,1990177.805
KGLD20190606-2,KGLD20190606_110031_V06,2,0.879,1.200,515,4,807176.874,40,2,740534.094
KGLD20190606-2,KGLD20190606_110031_V06,4,1.318,1.200,516,0,3999.614,16,0,3422.301
KGLD20190608-3,KGLD20190608_111010_V06,0,0.483,1.200,2526,0,47250.664,343,0,35225.535
KGLD20190608-3,KGLD20190608_111010_V06,2,0.879,1.200,2528,0,361.353,24,0,211.017
KGLD20190608-3,KGLD20190608_111010_V06,4,1.318,1.200,2527,0,7.293,0,0,7.293
KGLD20190608-3,KGLD20190608_111010_V06,6,1.802,1.200,1261,0,7.293,0,0,7.293
KGLD20190608-3,KGLD20190608_111654_V06,0,0.483,1.200,1429,0,114277.868,321,0,89239.822
KGLD20190608-3,KGLD20190608_111654_V06,2,0.879,1.200,1430,0,1239.724,70,0,779.286
KGLD20190608-3,KGLD20190608_111654_V06,4,1.318,1.200,1428,0,3.773,0,0,3.773
KGLD20190608-3,KGLD20190608_111654_V06,6,1.802,1.200,710,0,3.751,0,0,3.751
KGLD20190608-6,KGLD20190608_112339_V06,0,0.483,1.200,1713,0,24624.349,158,0,20254.165
KGLD20190608-6,KGLD20190608_112339_V06,2,0.879,1.200,1717,0,103.898,8,0,51.713
KGLD20190608-6,KGLD20190608_112339_V06,4,1.318,1.200,1714,0,4.489,0,0,4.489
KGLD20190608-6,KGLD20190608_112339_V06,6,1.802,1.200,859,0,4.504,0,0,4.504
KGLD20190608-7,KGLD20190608_113022_V06,0,0.483,1.200,4289,0,18097.275,179,0,2522.156
KGLD20190608-7,KGLD20190608_113022_V06,2,0.879,1.200,4294,0,74413.294,270,0,518.835
KGLD20190608-7,KGLD20190608_113022_V06,4,1.318,1.200,4294,0,87508.543,332,0,519.718
KGLD20190608-9,KGLD20190608_124237_V06,0,0.483,1.200,2037,0,5652.598,139,0,4591.152
KGLD20190608-9,KGLD20190608_124237_V06,2,0.879,1.200,2037,0,9.553,0,0,9.553
KGLD20190608-9,KGLD20190608_124237_V06,4,1.318,1.200,2032,0,4.480,0,0,4.480
KGLD20190608-9,KGLD20190608_124237_V06,6,1.802,1.200,1009,0,4.461,0,0,4.461
KGLD20190608-9,KGLD20190608_124237_V06,7,2.417,1.200,1011,0,4.477,0,0,4.477
KGLD20190614-1,KGLD20190614_102107_V06,0,0.483,1.200,145,0,121407.510,11,0,114578.546
KGLD20190614-1,KGLD20190614_102107_V06,2,0.879,1.200,141,0,4702.577,18,0,3101.707
KGLD20190614-1,KGLD20190614_102107_V06,4,1.318,1.200,142,0,0.517,0,0,0.517
KGLD20190614-2,KGLD20190614_120307_V06,0,0.483,1.200,60061,107,1991206.984,4822,90,1813099.199
KGLD20190614-2,KGLD20190614_120307_V06,2,1.494,1.200,60082,0,83437.441,5237,0,69425.132
KGLD20190614-2,KGLD20190614_120307_V06,4,2.505,1.200,30065,0,9124.831,2406,0,5746.428
KGLD20190614-2,KGLD20190614_120307_V06,5,3.516,1.200,30098,0,1816.651,1488,0,1136.336
KGLD20190614-2,KGLD20190614_120307_V06,6,4.482,1.200,30144,0,661.293,1041,0,397.800
KGLD20190615-5,KGLD20190615_110541_V06,0,0.483,1.200,337,0,47271.362,2,0,47259.886
KGLD20190615-5,KGLD20190615_110541_V06,2,1.494,1.200,336,0,426.501,25,0,397.985
KGLD20190615-5,KGLD20190615_110541_V06,4,2.505,1.200,169,0,0.196,0,0,0.196
KGLD20190615-5,KGLD20190615_110541_V06,5,3.516,1.200,170,0,0.199,0,0,0.199
KGLD20190615-5,KGLD20190615_110541_V06,6,4.482,1.200,169,0,0.197,0,0,0.197
KGLD20190615-5,KGLD20190615_111517_V06,0,0.483,1.200,3041,0,93759.934,80,0,92766.532
KGLD20190615-5,KGLD20190615_111517_V06,2,1.494,1.200,3046,0,6175.943,205,0,5976.412
KGLD20190615-5,KGLD20190615_111517_V06,4,2.505,1.200,1523,0,89.138,25,0,22.954
KGLD20190615-5,KGLD20190615_111517_V06,5,3.516,1.200,1528,0,4.144,1,0,3.939
KGLD20190615-5,KGLD20190615_111517_V06,6,4.482,1.200,1529,0,1.779,0,0,1.779
KGLD20190615-5,KGLD20190615_112454_V06,0,0.483,1.200,5032,0,99591.551,240,0,98642.750
KGLD20190615-5,KGLD20190615_112454_V06,2,1.494,1.200,5039,0,3263.175,325,0,3003.983
KGLD20190615-5,KGLD20190615_112454_V06,4,2.505,1.200,2522,0,120.295,33,0,48.040
KGLD20190615-5,KGLD20190615_112454_V06,5,3.516,1.200,2522,0,6.775,0,0,6.775
KGLD20190615-5,KGLD20190615_112454_V06,6,4.482,1.200,2523,0,5.133,1,0,4.866
KGLD20190615-5,KGLD20190615_113430_V06,0,0.483,1.200,9146,1,115143.995,672,1,87532.522
KGLD20190615-5,KGLD20190615_113430_V06,2,1.494,1.200,9154,0,1781.908,464,0,1407.355
KGLD20190615-5,KGLD20190615_113430_V06,4,2.505,1.200,4582,0,84.855,16,0,59.523
KGLD20190615-5,KGLD20190615_113430_V06,5,3.516,1.200,4588,0,9.805,6,0,6.267
KGLD20190615-5,KGLD20190615_113430_V06,6,4.482,1.200,4590,0,7.390,1,0,6.752
KGLD20190615-2,KGLD20190615_110541_V06,0,0.483,1.200,38,0,273.929,5,0,256.196
KGLD20190615-2,KGLD20190615_110541_V06,2,1.494,1.200,39,0,0.052,0,0,0.052
KGLD20190615-2,KGLD20190615_110541_V06,4,2.505,1.200,20,0,0.053,0,0,0.053
KGLD20190615-2,KGLD20190615_111517_V06,0,0.483,1.200,744,0,723.244,26,0,645.935
KGLD20190615-2,KGLD20190615_111517_V06,2,1.494,1.200,744,0,0.973,0,0,0.973
KGLD20190615-2,KGLD20190615_111517_V06,4,2.505,1.200,347,0,0.909,0,0,0.909
KGLD20190615-1,KGLD20190615_102717_V06,0,0.483,1.200,28,0,185.448,1,0,183.244
