track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGRK20160601-1,KGRK20160601_112410_V06,0,0.483,1.200,8947,5,27395551.782,5767,0,4386785.919
KGRK20160601-1,KGRK20160601_112725_V06,0,0.483,1.200,10540,17,28711722.428,5927,0,3576640.842
KGRK20160604-2,KGRK20160604_105228_V06,0,0.483,1.200,5917,0,2318307.122,923,0,261434.301
KGRK20160604-2,KGRK20160604_105228_V06,2,0.879,1.200,5912,0,2674885.119,1037,0,269306.126
KGRK20160604-2,KGRK20160604_105631_V06,0,0.483,1.200,7555,0,2027957.352,829,0,192338.625
KGRK20160604-2,KGRK20160604_105631_V06,2,0.879,1.200,7559,1,2426782.085,927,0,254415.216
KGRK20160604-3,KGRK20160604_110900_V06,0,0.483,1.200,12549,0,135279.479,501,0,74340.048
KGRK20160604-3,KGRK20160604_110900_V06,2,0.879,1.200,12548,0,18086.605,300,0,11981.052
KGRK20160604-3,KGRK20160604_110900_V06,4,1.318,1.200,12546,0,235.977,49,0,87.597
KGRK20160604-3,KGRK20160604_110900_V06,8,1.802,1.200,6273,0,37.197,0,0,37.197
KGRK20160604-3,KGRK20160604_110900_V06,9,2.417,1.200,6275,0,16.442,0,0,16.442
KGRK20160604-3,KGRK20160604_110900_V06,10,3.120,1.200,6277,0,11.444,0,0,11.444
KGRK20160604-3,KGRK20160604_110900_V06,11,3.999,1.200,6281,0,11.477,0,0,11.477
KGRK20160604-3,KGRK20160604_111302_V06,0,0.483,1.200,8104,0,196931.763,332,0,136845.984
KGRK20160604-3,KGRK20160604_111302_V06,2,0.879,1.200,8102,0,33777.320,208,0,23221.882
KGRK20160604-3,KGRK20160604_111302_V06,4,1.318,1.200,8088,0,162.604,16,0,93.786
KGRK20160604-3,KGRK20160604_111302_V06,8,1.802,1.200,4069,0,29.002,0,0,29.002
KGRK20160604-3,KGRK20160604_111302_V06,9,2.417,1.200,4076,0,8.487,0,0,8.487
KGRK20160604-3,KGRK20160604_111302_V06,10,3.120,1.200,4070,0,8.499,0,0,8.499
