track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGRR20210601-1,KGRR20210601_093206_V06,0,0.483,1.200,837,0,155.237,320,0,54.862
KGRR20210601-1,KGRR20210601_093206_V06,2,0.879,1.200,838,0,170.449,263,0,84.213
KGRR20210601-1,KGRR20210601_093206_V06,4,1.318,1.200,839,0,52.817,149,0,13.509
KGRR20210601-1,KGRR20210601_093206_V06,8,1.802,1.200,425,0,22.758,18,0,4.593
KGRR20210601-1,KGRR20210601_093206_V06,9,2.417,1.200,426,0,6.256,4,0,0.702
KGRR20210601-1,KGRR20210601_093206_V06,10,3.120,1.200,426,0,0.153,0,0,0.153
KGRR20210601-1,KGRR20210601_093206_V06,11,3.999,1.200,423,0,1.651,3,0,1.432
KGRR20210601-1,KGRR20210601_093206_V06,12,5.098,1.200,426,0,0.153,0,0,0.153
KGRR20210601-1,KGRR20210601_093206_V06,13,6.416,1.200,425,0,0.154,0,0,0.154
KGRR20210604-32,KGRR20210604_110713_V06,0,0.483,1.200,4946,0,310514.964,608,0,9981.292
KGRR20210604-32,KGRR20210604_110713_V06,2,0.879,1.200,4940,0,221496.084,573,0,8643.955
KGRR20210604-32,KGRR20210604_110713_V06,4,1.318,1.200,4947,0,76255.297,362,0,1449.809
KGRR20210604-32,KGRR20210604_111441_V06,0,0.483,1.200,7984,0,246920.576,686,0,5880.134
KGRR20210604-32,KGRR20210604_111441_V06,2,0.879,1.200,7991,0,256535.496,710,0,5501.432
KGRR20210604-32,KGRR20210604_111441_V06,4,1.318,1.200,7993,0,140727.185,500,0,1531.323
KGRR20210604-32,KGRR20210604_112005_V06,0,0.483,1.200,7755,0,251039.924,727,0,5317.369
KGRR20210604-32,KGRR20210604_112005_V06,2,0.879,1.200,7751,0,314565.606,723,0,5094.465
KGRR20210604-32,KGRR20210604_112005_V06,4,1.318,1.200,7762,0,147591.188,524,0,2424.233
KGRR20210604-32,KGRR20210604_112535_V06,0,0.483,1.200,4912,0,262745.939,691,0,3371.471
KGRR20210604-32,KGRR20210604_112535_V06,2,0.879,1.200,4906,0,314294.204,743,0,1922.483
KGRR20210604-32,KGRR20210604_112535_V06,4,1.318,1.200,4903,0,199633.853,558,0,1699.369
KGRR20210604-3,KGRR20210604_090732_V06,0,0.483,1.200,568,0,47812.250,79,0,44269.507
KGRR20210604-3,KGRR20210604_090732_V06,2,0.879,1.200,569,0,10500.809,47,0,4929.901
KGRR20210604-3,KGRR20210604_090732_V06,4,1.318,1.200,569,0,1.272,0,0,1.272
KGRR20210604-3,KGRR20210604_090732_V06,6,1.802,1.200,285,0,1.274,0,0,1.274
KGRR20210604-9,KGRR20210604_091434_V06,0,0.483,1.200,2074,0,24417.772,262,0,1238.222
KGRR20210604-9,KGRR20210604_091434_V06,2,0.879,1.200,2073,0,30717.437,346,0,605.494
KGRR20210604-9,KGRR20210604_091434_V06,4,1.318,1.200,2078,0,27854.900,327,0,430.387
KGRR20210604-9,KGRR20210604_091434_V06,6,1.802,1.200,1036,0,9077.964,63,0,264.082
KGRR20210604-20,KGRR20210604_094843_V06,0,0.483,1.200,3874,0,20836.300,816,0,10934.077
KGRR20210604-20,KGRR20210604_094843_V06,2,0.879,1.200,3875,0,21737.512,834,0,3357.685
KGRR20210604-20,KGRR20210604_094843_V06,4,1.318,1.200,3876,0,22337.727,518,0,252.469
KGRR20210604-20,KGRR20210604_094843_V06,6,1.802,1.200,1941,0,24662.271,213,0,18.617
KGRR20210604-20,KGRR20210604_094843_V06,7,2.417,1.200,1943,0,36472.598,217,0,1988.632
KGRR20210604-20,KGRR20210604_094843_V06,10,3.120,1.200,1943,0,17441.349,147,0,2921.357
KGRR20210604-25,KGRR20210604_101251_V06,0,0.483,1.200,1440,0,17405.417,193,0,217.332
KGRR20210604-25,KGRR20210604_101251_V06,2,0.879,1.200,1443,0,43473.726,245,0,3956.706
KGRR20210604-25,KGRR20210604_101251_V06,4,1.318,1.200,1444,0,57888.925,305,0,7351.696
KGRR20210604-25,KGRR20210604_101251_V06,6,1.802,1.200,722,0,30602.667,119,0,2555.509
KGRR20210604-25,KGRR20210604_101836_V06,0,0.483,1.200,1050,0,14912.548,165,0,300.152
KGRR20210604-25,KGRR20210604_101836_V06,2,0.879,1.200,1050,0,29291.309,236,0,2215.484
KGRR20210604-25,KGRR20210604_101836_V06,4,1.318,1.200,1047,0,49109.367,292,0,9552.097
KGRR20210604-25,KGRR20210604_101836_V06,6,1.802,1.200,516,0,27184.049,133,0,636.097
KGRR20210607-5,KGRR20210607_101540_V06,0,0.483,1.200,3038,0,897189.134,2106,0,51979.532
KGRR20210607-5,KGRR20210607_101540_V06,2,0.879,1.200,3039,0,2158844.862,2877,0,34204.779
KGRR20210607-5,KGRR20210607_102102_V06,0,0.483,1.200,4571,0,1261491.914,2913,0,90864.160
KGRR20210607-5,KGRR20210607_102102_V06,2,0.879,1.200,4575,0,2411072.351,4099,0,71156.310
KGRR20210607-6,KGRR20210607_103708_V06,0,0.483,1.200,4513,0,1511090.181,3385,0,104569.860
KGRR20210607-6,KGRR20210607_103708_V06,2,0.879,1.200,4517,0,2247791.270,4009,0,106149.171
KGRR20210607-6,KGRR20210607_104232_V06,0,0.483,1.200,6666,0,1890421.747,4391,0,153253.520
KGRR20210607-6,KGRR20210607_104232_V06,2,0.879,1.200,6669,0,2710207.974,5544,0,152414.425
KGRR20210607-2,KGRR20210607_094530_V06,0,0.483,1.200,1454,0,4289.726,303,0,1712.635
KGRR20210607-2,KGRR20210607_094530_V06,2,0.879,1.200,1453,0,488.201,247,0,374.823
KGRR20210607-2,KGRR20210607_094530_V06,4,1.318,1.200,1451,0,22.099,43,0,10.790
KGRR20210607-2,KGRR20210607_094530_V06,8,1.802,1.200,736,0,0.731,0,0,0.731
KGRR20210607-2,KGRR20210607_094530_V06,9,2.417,1.200,739,0,0.735,0,0,0.735
KGRR20210607-2,KGRR20210607_094530_V06,10,3.120,1.200,736,0,1.581,0,0,1.581
KGRR20210607-2,KGRR20210607_094530_V06,11,3.999,1.200,737,0,0.736,0,0,0.736
KGRR20210607-2,KGRR20210607_094530_V06,12,5.098,1.200,739,0,0.740,0,0,0.740
KGRR20210607-4,KGRR20210607_100211_V06,0,0.483,1.200,623,0,58299.180,93,0,187.442
KGRR20210607-4,KGRR20210607_100211_V06,2,0.879,1.200,623,0,46931.583,107,0,210.502
KGRR20210607-4,KGRR20210607_100211_V06,4,1.318,1.200,623,0,5833.263,58,0,258.845
KGRR20210610-1,KGRR20210610_093114_V06,0,0.483,1.200,13057,0,10370.832,1264,0,5717.686
KGRR20210610-1,KGRR20210610_093114_V06,2,0.879,1.200,13063,0,2119.621,837,0,1189.619
KGRR20210610-1,KGRR20210610_093114_V06,4,1.318,1.200,13067,0,241.564,261,0,96.947
KGRR20210610-1,KGRR20210610_093114_V06,8,1.802,1.200,6530,0,18.904,5,0,15.277
KGRR20210610-1,KGRR20210610_093114_V06,9,2.417,1.200,6543,0,10.573,2,0,9.799
KGRR20210610-1,KGRR20210610_093114_V06,10,3.120,1.200,6542,0,62.980,3,0,44.889
KGRR20210610-1,KGRR20210610_093114_V06,11,3.999,1.200,6543,0,28.864,3,0,12.244
KGRR20210611-1,KGRR20210611_090408_V06,0,0.483,1.200,1163,20,1407694.390,132,14,964444.052
