track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGSP20200602-1,KGSP20200602_103407_V06,0,0.176,1.200,582,0,527.269,5,0,497.337
KGSP20200602-1,KGSP20200602_103407_V06,2,0.483,1.200,583,0,4933.269,7,0,4898.038
KGSP20200602-1,KGSP20200602_103407_V06,4,0.879,1.200,583,0,7770.734,37,0,7607.466
KGSP20200602-1,KGSP20200602_103407_V06,6,1.318,1.200,584,0,1915.954,31,0,1796.341
KGSP20200602-1,KGSP20200602_103407_V06,8,1.802,1.200,294,0,15.506,0,0,15.506
KGSP20200602-1,KGSP20200602_103407_V06,9,2.417,1.200,293,0,19.429,2,0,0.776
KGSP20200602-1,KGSP20200602_103407_V06,10,3.120,1.200,293,0,14.671,0,0,14.671
KGSP20200603-1,KGSP20200603_091607_V06,0,0.176,1.200,582,0,948.425,3,0,937.142
KGSP20200603-1,KGSP20200603_091607_V06,2,0.483,1.200,584,0,7246.332,17,0,7143.865
KGSP20200603-1,KGSP20200603_091607_V06,4,0.879,1.200,584,0,8003.328,34,0,7685.095
KGSP20200603-1,KGSP20200603_091607_V06,6,1.318,1.200,586,0,2322.033,34,0,2036.073
KGSP20200603-1,KGSP20200603_091607_V06,8,1.802,1.200,291,0,62.235,0,0,62.235
KGSP20200603-1,KGSP20200603_091607_V06,9,2.417,1.200,292,0,0.772,0,0,0.772
KGSP20200603-1,KGSP20200603_091607_V06,10,3.120,1.200,292,0,102.005,8,0,12.248
KGSP20200604-1,KGSP20200604_093247_V06,0,0.176,1.200,517,0,479.367,4,0,450.841
KGSP20200604-1,KGSP20200604_093247_V06,2,0.483,1.200,518,0,10268.811,6,0,10247.052
KGSP20200604-1,KGSP20200604_093247_V06,4,0.879,1.200,519,0,23922.943,30,0,23796.026
KGSP20200604-1,KGSP20200604_093247_V06,6,1.318,1.200,519,0,2758.457,14,0,2670.310
KGSP20200604-1,KGSP20200604_093247_V06,8,1.802,1.200,264,0,37.553,3,0,11.640
KGSP20200604-1,KGSP20200604_093247_V06,9,2.417,1.200,262,0,0.684,0,0,0.684
KGSP20200604-1,KGSP20200604_093247_V06,10,3.120,1.200,259,0,44.050,3,0,15.324
KGSP20200606-5,KGSP20200606_111715_V06,0,0.176,1.200,10456,0,428369.816,413,0,388820.170
KGSP20200606-5,KGSP20200606_111715_V06,2,0.483,1.200,10460,0,104876.854,356,0,92498.319
KGSP20200606-5,KGSP20200606_111715_V06,4,0.879,1.200,10462,0,54875.856,360,0,11862.076
KGSP20200606-5,KGSP20200606_111715_V06,6,1.318,1.200,10463,0,13319.371,326,0,8193.764
KGSP20200606-5,KGSP20200606_111715_V06,8,1.802,1.200,5236,0,664.836,16,0,518.784
KGSP20200606-5,KGSP20200606_111715_V06,9,2.417,1.200,5235,0,975.757,65,0,541.163
KGSP20200613-1,KGSP20200613_101520_V06,0,0.176,1.200,417,0,25968.913,13,0,25692.700
KGSP20200613-1,KGSP20200613_101520_V06,2,0.483,1.200,417,0,13721.551,13,0,13646.990
KGSP20200613-1,KGSP20200613_101520_V06,4,0.879,1.200,418,0,307.465,26,0,291.662
KGSP20200613-1,KGSP20200613_101520_V06,6,1.318,1.200,417,0,50.635,35,0,38.252
KGSP20200613-1,KGSP20200613_101520_V06,8,1.802,1.200,208,0,2.584,1,0,1.667
KGSP20200613-1,KGSP20200613_101520_V06,9,2.417,1.200,211,0,8.975,10,0,4.194
KGSP20200613-1,KGSP20200613_101520_V06,10,3.120,1.200,208,0,5.169,2,0,3.819
KGSP20200613-1,KGSP20200613_101520_V06,11,3.999,1.200,208,0,0.143,0,0,0.143
KGSP20200613-1,KGSP20200613_101520_V06,12,5.098,1.200,210,0,0.672,1,0,0.497
KGSP20200613-1,KGSP20200613_101520_V06,13,6.416,1.200,211,0,0.671,1,0,0.494
